year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2019,2nd Quintile,West,3198,7.2435962812525325,7.171001198826219,7.316191363678846,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
2019,2nd Quintile,East,1166,7.876268494109942,7.778373872407952,7.9741631158119315,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2019,3rd Quintile,West,3243,7.49388727368978,7.426063080915601,7.561711466463959,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2019,3rd Quintile,East,981,7.949731683868678,7.856626935497207,8.042836432240149,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2019,4th Quintile,West,3351,7.867367630764438,7.808238849086184,7.926496412442692,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2019,4th Quintile,East,663,8.229333366574515,8.121955448933315,8.336711284215715,7.0,8.0,9.0,4.0,10.0,8.0,7.0,8.0
2019,5th Quintile,West,3961,8.20039922863806,8.152451750053014,8.248346707223106,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2019,5th Quintile,East,543,8.41743763305474,8.308575603984144,8.526299662125338,8.0,8.804116443600316,9.0,6.5,10.0,9.0,9.0,10.0
2020,1st Quintile,West,,,,,,,,,,,,
2020,1st Quintile,East,,,,,,,,,,,,
2020,2nd Quintile,West,,,,,,,,,,,,
2020,2nd Quintile,East,,,,,,,,,,,,
2020,3rd Quintile,West,,,,,,,,,,,,
2020,3rd Quintile,East,,,,,,,,,,,,
2020,4th Quintile,West,,,,,,,,,,,,
2020,4th Quintile,East,,,,,,,,,,,,
2020,5th Quintile,West,,,,,,,,,,,,
2020,5th Quintile,East,,,,,,,,,,,,
2021,1st Quintile,West,,,,,,,,,,,,
2021,1st Quintile,East,,,,,,,,,,,,
2021,2nd Quintile,West,,,,,,,,,,,,
2021,2nd Quintile,East,,,,,,,,,,,,
2021,3rd Quintile,West,,,,,,,,,,,,
2021,3rd Quintile,East,,,,,,,,,,,,
2021,4th Quintile,West,,,,,,,,,,,,
2021,4th Quintile,East,,,,,,,,,,,,
2021,5th Quintile,West,,,,,,,,,,,,
2021,5th Quintile,East,,,,,,,,,,,,
