year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2012,1st Quintile,Urban regions,,,,,,,,,,,,
2012,1st Quintile,Rural regions,,,,,,,,,,,,
2012,2nd Quintile,Urban regions,,,,,,,,,,,,
2012,2nd Quintile,Rural regions,,,,,,,,,,,,
2012,3rd Quintile,Urban regions,,,,,,,,,,,,
2012,3rd Quintile,Rural regions,,,,,,,,,,,,
2012,4th Quintile,Urban regions,,,,,,,,,,,,
2012,4th Quintile,Rural regions,,,,,,,,,,,,
2012,5th Quintile,Urban regions,,,,,,,,,,,,
2012,5th Quintile,Rural regions,,,,,,,,,,,,
2013,1st Quintile,Urban regions,,,,,,,,,,,,
2013,1st Quintile,Rural regions,,,,,,,,,,,,
2013,2nd Quintile,Urban regions,,,,,,,,,,,,
2013,2nd Quintile,Rural regions,,,,,,,,,,,,
2013,3rd Quintile,Urban regions,,,,,,,,,,,,
2013,3rd Quintile,Rural regions,,,,,,,,,,,,
2013,4th Quintile,Urban regions,,,,,,,,,,,,
2013,4th Quintile,Rural regions,,,,,,,,,,,,
2013,5th Quintile,Urban regions,,,,,,,,,,,,
2013,5th Quintile,Rural regions,,,,,,,,,,,,
2014,1st Quintile,Urban regions,3400,6.62938,6.50767,6.76290,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2014,1st Quintile,Rural regions,1922,6.75895,6.58036,6.96500,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2014,2nd Quintile,Urban regions,3084,7.13602,7.03249,7.26965,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,9.00000
2014,2nd Quintile,Rural regions,1902,7.28206,7.12967,7.40496,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
2014,3rd Quintile,Urban regions,2962,7.42193,7.32058,7.52799,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,3rd Quintile,Rural regions,1801,7.52498,7.36537,7.66027,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,4th Quintile,Urban regions,3157,7.64910,7.54841,7.75279,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,4th Quintile,Rural regions,1668,7.72926,7.61136,7.85480,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
