year,bula_h,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.05109,73,150,0.01573,0.08644
1994,Bavaria,female,Next year,0.03048,31,120,-0.00041,0.06136
1994,Bavaria,female,In the next 2 to 5 years,0.04831,57,120,0.00979,0.08684
1994,Bavaria,female,"In the distant future, in more than five years",0.02084,32,120,-0.00483,0.04650
1994,Brandenburg,female,As soon as possible,0.06490,34,34,-0.01915,0.14895
1994,Mecklenburg-Western Pomerania,female,As soon as possible,0.15150,38,38,0.03597,0.26703
1994,Saxony,male,As soon as possible,0.07706,47,47,-0.00001,0.15412
1994,Saxony,female,As soon as possible,0.09091,67,101,0.03456,0.14726
1994,Saxony,female,In the next 2 to 5 years,0.03925,34,101,0.00119,0.07730
1994,Saxony-Anhalt,female,As soon as possible,0.11221,46,46,0.01999,0.20443
1994,Thuringa,female,As soon as possible,0.11833,49,49,0.02695,0.20970
1995,Lower Saxony,male,As soon as possible,0.04648,34,34,-0.02535,0.11831
1995,Lower Saxony,female,In the next 2 to 5 years,0.06271,46,46,-0.00813,0.13354
1995,North Rhine-Westphalia,male,As soon as possible,0.03100,60,134,0.00155,0.06046
1995,North Rhine-Westphalia,male,Next year,0.02010,34,134,-0.00375,0.04396
1995,North Rhine-Westphalia,male,In the next 2 to 5 years,0.01881,40,134,-0.00428,0.04190
1995,North Rhine-Westphalia,female,As soon as possible,0.01962,53,271,0.00308,0.03616
1995,North Rhine-Westphalia,female,Next year,0.02697,55,271,0.00765,0.04629
1995,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05782,112,271,0.02998,0.08566
1995,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02488,51,271,0.00630,0.04347
1995,Hesse,female,In the next 2 to 5 years,0.07885,47,47,0.00097,0.15673
1995,"Rhineland-Palatinate, Saarland",female,In the next 2 to 5 years,0.05000,31,31,-0.02799,0.12800
1995,Baden-Wuerttemberg,male,As soon as possible,0.02215,40,40,-0.02404,0.06833
1995,Baden-Wuerttemberg,female,Next year,0.02534,34,124,-0.00244,0.05311
1995,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.06810,90,124,0.02358,0.11262
1995,Bavaria,female,As soon as possible,0.02942,36,172,0.00409,0.05475
1995,Bavaria,female,Next year,0.02443,36,172,0.00129,0.04757
1995,Bavaria,female,In the next 2 to 5 years,0.04969,67,172,0.01712,0.08227
1995,Bavaria,female,"In the distant future, in more than five years",0.02094,33,172,-0.00052,0.04241
1995,Saxony,male,As soon as possible,0.05623,36,36,-0.02009,0.13255
1995,Saxony,female,As soon as possible,0.07432,59,90,0.01983,0.12881
1995,Saxony,female,Next year,0.04416,31,90,0.00148,0.08685
1995,Saxony-Anhalt,female,As soon as possible,0.07409,40,40,-0.00811,0.15629
1995,Thuringa,female,As soon as possible,0.09520,37,37,-0.00068,0.19107
1996,Lower Saxony,female,In the next 2 to 5 years,0.05815,45,45,-0.01100,0.12730
1996,North Rhine-Westphalia,male,As soon as possible,0.03337,66,103,-0.00148,0.06823
