year,bula_h,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Bavaria,Urban regions,In the next 2 to 5 years,0.37994,76,167,0.30611,0.45378
2000,Bavaria,Rural regions,As soon as possible,0.20160,35,168,0.14075,0.26245
2000,Bavaria,Rural regions,Next year,0.23668,49,168,0.17221,0.30114
2000,Bavaria,Rural regions,In the next 2 to 5 years,0.43846,84,168,0.36320,0.51371
2000,Berlin,Urban regions,As soon as possible,0.39992,53,124,0.31334,0.48649
2000,Berlin,Urban regions,Next year,0.23858,32,124,0.16326,0.31391
2000,Berlin,Urban regions,In the next 2 to 5 years,0.26725,39,124,0.18904,0.34546
2000,Brandenburg,Rural regions,As soon as possible,0.60972,90,90,0.50838,0.71107
2000,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.57874,45,45,0.43285,0.72464
2000,Saxony,Urban regions,As soon as possible,0.56419,81,117,0.47395,0.65443
2000,Saxony,Urban regions,In the next 2 to 5 years,0.21435,36,117,0.13967,0.28903
2000,Saxony,Rural regions,As soon as possible,0.55822,90,132,0.47318,0.64326
2000,Saxony,Rural regions,Next year,0.25788,42,132,0.18296,0.33279
2000,Saxony-Anhalt,Rural regions,As soon as possible,0.55046,65,108,0.45620,0.64472
2000,Saxony-Anhalt,Rural regions,Next year,0.27264,43,108,0.18826,0.35702
2000,Thuringa,Rural regions,As soon as possible,0.59805,69,69,0.48151,0.71458
2001,Lower Saxony,Urban regions,As soon as possible,0.31809,33,105,0.22858,0.40760
2001,Lower Saxony,Urban regions,Next year,0.33003,37,105,0.23966,0.42040
2001,Lower Saxony,Urban regions,In the next 2 to 5 years,0.26220,35,105,0.17766,0.34673
2001,Lower Saxony,Rural regions,As soon as possible,0.26277,35,116,0.18232,0.34321
2001,Lower Saxony,Rural regions,Next year,0.25090,33,116,0.17166,0.33014
2001,Lower Saxony,Rural regions,In the next 2 to 5 years,0.39019,48,116,0.30103,0.47934
2001,North Rhine-Westphalia,Urban regions,As soon as possible,0.28361,138,542,0.24563,0.32160
2001,North Rhine-Westphalia,Urban regions,Next year,0.24777,123,542,0.21139,0.28415
2001,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.36786,210,542,0.32722,0.40850
2001,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.10076,71,542,0.07539,0.12612
2001,Hesse,Urban regions,As soon as possible,0.33990,43,133,0.25909,0.42071
2001,Hesse,Urban regions,In the next 2 to 5 years,0.34070,57,133,0.25984,0.42155
2001,Hesse,Urban regions,"In the distant future, in more than five years",0.17355,33,133,0.10894,0.23815
2001,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.24015,36,131,0.16672,0.31358
2001,"Rhineland-Palatinate, Saarland",Urban regions,Next year,0.27218,40,131,0.19567,0.34869
2001,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.33534,55,131,0.25419,0.41650
2001,Baden-Wuerttemberg,Urban regions,As soon as possible,0.17309,52,280,0.12869,0.21748
2001,Baden-Wuerttemberg,Urban regions,Next year,0.21850,54,280,0.17001,0.26699
2001,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.41120,122,280,0.35346,0.46894
2001,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.19722,52,280,0.15053,0.24391
2001,Bavaria,Urban regions,As soon as possible,0.22778,31,141,0.15831,0.29726
2001,Bavaria,Urban regions,Next year,0.26734,45,141,0.19403,0.34066
2001,Bavaria,Urban regions,In the next 2 to 5 years,0.36059,65,141,0.28105,0.44014
2001,Bavaria,Rural regions,As soon as possible,0.22647,38,144,0.15787,0.29507
2001,Bavaria,Rural regions,Next year,0.23868,35,144,0.16881,0.30855
2001,Bavaria,Rural regions,In the next 2 to 5 years,0.38624,71,144,0.30643,0.46604
2001,Berlin,Urban regions,As soon as possible,0.38556,55,88,0.28328,0.48783
2001,Berlin,Urban regions,In the next 2 to 5 years,0.22990,33,88,0.14148,0.31832
2001,Brandenburg,Rural regions,As soon as possible,0.58903,78,78,0.47913,0.69892
2001,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.67879,43,43,0.53757,0.82001
2001,Saxony,Urban regions,As soon as possible,0.53859,71,71,0.42180,0.65537
2001,Saxony,Rural regions,As soon as possible,0.55846,75,75,0.44532,0.67160
2001,Saxony-Anhalt,Rural regions,As soon as possible,0.60635,80,80,0.49861,0.71409
2001,Thuringa,Rural regions,As soon as possible,0.63369,70,70,0.52000,0.74737
2002,Lower Saxony,Urban regions,As soon as possible,0.44794,39,106,0.35283,0.54306
2002,Lower Saxony,Urban regions,Next year,0.23439,34,106,0.15337,0.31542
2002,Lower Saxony,Urban regions,In the next 2 to 5 years,0.20664,33,106,0.12919,0.28408
2002,Lower Saxony,Rural regions,As soon as possible,0.38764,42,79,0.27952,0.49577
2002,Lower Saxony,Rural regions,In the next 2 to 5 years,0.24411,37,79,0.14878,0.33944
2002,North Rhine-Westphalia,Urban regions,As soon as possible,0.33255,169,607,0.29503,0.37006
2002,North Rhine-Westphalia,Urban regions,Next year,0.24010,139,607,0.20609,0.27410
2002,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.30871,207,607,0.27193,0.34550
2002,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.11864,92,607,0.09290,0.14439
2002,Hesse,Urban regions,As soon as possible,0.30828,40,135,0.23010,0.38647
2002,Hesse,Urban regions,Next year,0.18953,31,135,0.12317,0.25589
2002,Hesse,Urban regions,In the next 2 to 5 years,0.40455,64,135,0.32144,0.48765
2002,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.26578,32,92,0.17502,0.35654
2002,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.38406,60,92,0.28413,0.48399
2002,Baden-Wuerttemberg,Urban regions,As soon as possible,0.24543,72,333,0.19914,0.29172
2002,Baden-Wuerttemberg,Urban regions,Next year,0.24177,69,333,0.19571,0.28782
2002,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.35841,136,333,0.30683,0.40999
2002,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.15439,56,333,0.11553,0.19326
2002,Bavaria,Urban regions,As soon as possible,0.26534,44,163,0.19735,0.33333
2002,Bavaria,Urban regions,Next year,0.24303,42,163,0.17698,0.30907
2002,Bavaria,Urban regions,In the next 2 to 5 years,0.38105,77,163,0.30627,0.45584
2002,Bavaria,Rural regions,As soon as possible,0.30432,51,184,0.23765,0.37098
2002,Bavaria,Rural regions,Next year,0.24664,54,184,0.18418,0.30909
2002,Bavaria,Rural regions,In the next 2 to 5 years,0.33670,79,184,0.26823,0.40517
2002,Berlin,Urban regions,As soon as possible,0.49410,68,103,0.39707,0.59113
2002,Berlin,Urban regions,In the next 2 to 5 years,0.26774,35,103,0.18181,0.35367
2002,Brandenburg,Rural regions,As soon as possible,0.62024,97,128,0.53583,0.70465
2002,Brandenburg,Rural regions,Next year,0.18556,31,128,0.11795,0.25317
2002,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.66231,41,41,0.51575,0.80887
2002,Saxony,Urban regions,As soon as possible,0.52377,72,72,0.40759,0.63994
2002,Saxony,Rural regions,As soon as possible,0.54878,65,65,0.42686,0.67070
2002,Saxony-Anhalt,Rural regions,As soon as possible,0.65677,84,84,0.55462,0.75891
2002,Thuringa,Rural regions,As soon as possible,0.53875,65,99,0.44005,0.63744
2002,Thuringa,Rural regions,Next year,0.27398,34,99,0.18568,0.36229
2003,Lower Saxony,Urban regions,As soon as possible,0.45552,38,38,0.29505,0.61600
2003,Lower Saxony,Rural regions,As soon as possible,0.45492,43,112,0.36228,0.54756
2003,Lower Saxony,Rural regions,Next year,0.25303,34,112,0.17215,0.33391
2003,Lower Saxony,Rural regions,In the next 2 to 5 years,0.21488,35,112,0.13847,0.29129
2003,North Rhine-Westphalia,Urban regions,As soon as possible,0.40432,190,558,0.36356,0.44507
2003,North Rhine-Westphalia,Urban regions,Next year,0.22951,120,558,0.19459,0.26443
2003,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.29150,195,558,0.25376,0.32925
2003,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.07467,53,558,0.05284,0.09650
2003,Hesse,Urban regions,As soon as possible,0.35944,51,141,0.27995,0.43892
2003,Hesse,Urban regions,Next year,0.19980,31,141,0.13356,0.26603
2003,Hesse,Urban regions,In the next 2 to 5 years,0.35605,59,141,0.27673,0.43537
2003,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.36938,49,130,0.28609,0.45267
2003,"Rhineland-Palatinate, Saarland",Urban regions,Next year,0.19039,33,130,0.12264,0.25814
2003,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.30736,48,130,0.22774,0.38698
2003,Baden-Wuerttemberg,Urban regions,As soon as possible,0.21453,70,320,0.16949,0.25958
2003,Baden-Wuerttemberg,Urban regions,Next year,0.27688,74,320,0.22778,0.32599
2003,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.35445,120,320,0.30195,0.40694
2003,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.15414,56,320,0.11451,0.19376
2003,Bavaria,Urban regions,As soon as possible,0.39184,57,158,0.31548,0.46820
2003,Bavaria,Urban regions,Next year,0.19269,38,158,0.13099,0.25439
2003,Bavaria,Urban regions,In the next 2 to 5 years,0.29902,63,158,0.22741,0.37064
2003,Bavaria,Rural regions,As soon as possible,0.42626,63,168,0.35125,0.50126
2003,Bavaria,Rural regions,Next year,0.17869,43,168,0.12059,0.23679
2003,Bavaria,Rural regions,In the next 2 to 5 years,0.30927,62,168,0.23917,0.37937
2003,Berlin,Urban regions,As soon as possible,0.45102,65,142,0.36889,0.53315
2003,Berlin,Urban regions,Next year,0.23554,38,142,0.16550,0.30558
2003,Berlin,Urban regions,In the next 2 to 5 years,0.27082,39,142,0.19747,0.34417
2003,Brandenburg,Rural regions,As soon as possible,0.51851,67,100,0.42008,0.61693
2003,Brandenburg,Rural regions,Next year,0.28719,33,100,0.19806,0.37632
2003,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.77405,62,62,0.66911,0.87900
2003,Saxony,Urban regions,As soon as possible,0.50216,73,104,0.40560,0.59872
2003,Saxony,Urban regions,In the next 2 to 5 years,0.21802,31,104,0.13828,0.29776
2003,Saxony,Rural regions,As soon as possible,0.57475,82,117,0.48478,0.66471
2003,Saxony,Rural regions,Next year,0.23577,35,117,0.15852,0.31302
2003,Saxony-Anhalt,Rural regions,As soon as possible,0.63685,89,120,0.55044,0.72326
2003,Saxony-Anhalt,Rural regions,In the next 2 to 5 years,0.16971,31,120,0.10226,0.23715
2003,Thuringa,Rural regions,As soon as possible,0.59279,61,61,0.46847,0.71711
2004,Schleswig-Holstein,Rural regions,As soon as possible,0.62416,34,34,0.45891,0.78941
2004,Lower Saxony,Urban regions,As soon as possible,0.41782,38,73,0.30389,0.53174
2004,Lower Saxony,Urban regions,In the next 2 to 5 years,0.33530,35,73,0.22626,0.44435
2004,Lower Saxony,Rural regions,As soon as possible,0.28794,35,110,0.20293,0.37294
2004,Lower Saxony,Rural regions,Next year,0.25042,32,110,0.16908,0.33176
2004,Lower Saxony,Rural regions,In the next 2 to 5 years,0.36714,43,110,0.27664,0.45763
2004,North Rhine-Westphalia,Urban regions,As soon as possible,0.40205,209,585,0.36229,0.44182
2004,North Rhine-Westphalia,Urban regions,Next year,0.24166,124,585,0.20694,0.27638
2004,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.27838,190,585,0.24203,0.31473
2004,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.07790,62,585,0.05616,0.09964
2004,Hesse,Urban regions,As soon as possible,0.35620,45,131,0.27388,0.43852
2004,Hesse,Urban regions,Next year,0.21197,31,131,0.14171,0.28222
2004,Hesse,Urban regions,In the next 2 to 5 years,0.36659,55,131,0.28375,0.44942
2004,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.48630,54,130,0.40005,0.57255
2004,"Rhineland-Palatinate, Saarland",Urban regions,Next year,0.14304,31,130,0.08262,0.20346
2004,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.24654,45,130,0.17216,0.32091
2004,Baden-Wuerttemberg,Urban regions,As soon as possible,0.32395,96,321,0.27268,0.37523
2004,Baden-Wuerttemberg,Urban regions,Next year,0.18034,54,321,0.13822,0.22247
2004,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.39888,122,321,0.34523,0.45253
2004,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.09682,49,321,0.06442,0.12922
2004,Bavaria,Urban regions,As soon as possible,0.33711,52,174,0.26666,0.40755
2004,Bavaria,Urban regions,Next year,0.17079,44,174,0.11472,0.22687
2004,Bavaria,Urban regions,In the next 2 to 5 years,0.37246,78,174,0.30042,0.44451
2004,Bavaria,Rural regions,As soon as possible,0.39359,69,175,0.32100,0.46618
2004,Bavaria,Rural regions,Next year,0.27097,46,175,0.20493,0.33701
2004,Bavaria,Rural regions,In the next 2 to 5 years,0.22626,60,175,0.16409,0.28843
2004,Berlin,Urban regions,As soon as possible,0.51199,74,147,0.43090,0.59307
2004,Berlin,Urban regions,Next year,0.18811,34,147,0.12472,0.25150
2004,Berlin,Urban regions,In the next 2 to 5 years,0.26697,39,147,0.19522,0.33873
2004,Brandenburg,Rural regions,As soon as possible,0.64156,90,90,0.54193,0.74119
2004,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.76660,54,54,0.65272,0.88048
2004,Saxony,Urban regions,As soon as possible,0.56959,72,105,0.47443,0.66475
2004,Saxony,Urban regions,In the next 2 to 5 years,0.24208,33,105,0.15976,0.32441
2004,Saxony,Rural regions,As soon as possible,0.54542,66,66,0.42436,0.66647
2004,Saxony-Anhalt,Rural regions,As soon as possible,0.53809,65,104,0.44181,0.63437
2004,Saxony-Anhalt,Rural regions,In the next 2 to 5 years,0.15702,39,104,0.08676,0.22728
2004,Thuringa,Rural regions,As soon as possible,0.60441,73,73,0.49146,0.71736
2005,Lower Saxony,Rural regions,As soon as possible,0.52482,51,90,0.42107,0.62857
2005,Lower Saxony,Rural regions,In the next 2 to 5 years,0.22362,39,90,0.13705,0.31019
2005,North Rhine-Westphalia,Urban regions,As soon as possible,0.43540,209,550,0.39393,0.47688
2005,North Rhine-Westphalia,Urban regions,Next year,0.20340,104,550,0.16973,0.23707
2005,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.26774,174,550,0.23070,0.30478
2005,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.09346,63,550,0.06911,0.11781
2005,Hesse,Urban regions,As soon as possible,0.35606,40,113,0.26738,0.44474
2005,Hesse,Urban regions,Next year,0.27105,33,113,0.18872,0.35337
2005,Hesse,Urban regions,In the next 2 to 5 years,0.26830,40,113,0.18624,0.35036
2005,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.57523,59,96,0.47582,0.67463
2005,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.24318,37,96,0.15691,0.32945
2005,Baden-Wuerttemberg,Urban regions,As soon as possible,0.25742,88,348,0.21142,0.30342
2005,Baden-Wuerttemberg,Urban regions,Next year,0.22948,73,348,0.18524,0.27373
2005,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.39094,128,348,0.33959,0.44228
2005,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.12216,59,348,0.08771,0.15662
2005,Bavaria,Urban regions,As soon as possible,0.35128,54,174,0.28014,0.42241
2005,Bavaria,Urban regions,Next year,0.24340,49,174,0.17945,0.30734
2005,Bavaria,Urban regions,In the next 2 to 5 years,0.32511,71,174,0.25531,0.39491
2005,Bavaria,Rural regions,As soon as possible,0.40647,62,154,0.32864,0.48430
2005,Bavaria,Rural regions,Next year,0.22291,37,154,0.15696,0.28886
2005,Bavaria,Rural regions,In the next 2 to 5 years,0.29702,55,154,0.22462,0.36943
2005,Berlin,Urban regions,As soon as possible,0.49494,69,108,0.40021,0.58968
2005,Berlin,Urban regions,In the next 2 to 5 years,0.23994,39,108,0.15902,0.32085
2005,Brandenburg,Rural regions,As soon as possible,0.66685,85,120,0.58216,0.75154
2005,Brandenburg,Rural regions,In the next 2 to 5 years,0.19390,35,120,0.12286,0.26493
2005,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.63624,48,48,0.49871,0.77378
2005,Saxony,Urban regions,As soon as possible,0.49149,69,106,0.39587,0.58711
2005,Saxony,Urban regions,In the next 2 to 5 years,0.24948,37,106,0.16671,0.33225
2005,Saxony,Rural regions,As soon as possible,0.59348,72,72,0.47923,0.70774
2005,Saxony-Anhalt,Rural regions,As soon as possible,0.59223,69,69,0.47542,0.70903
2005,Thuringa,Rural regions,As soon as possible,0.60076,77,77,0.49065,0.71086
2006,Lower Saxony,Urban regions,As soon as possible,0.38221,47,83,0.27704,0.48739
2006,Lower Saxony,Urban regions,In the next 2 to 5 years,0.28515,36,83,0.18743,0.38288
2006,Lower Saxony,Rural regions,As soon as possible,0.52883,60,98,0.42949,0.62816
2006,Lower Saxony,Rural regions,In the next 2 to 5 years,0.25870,38,98,0.17155,0.34585
2006,North Rhine-Westphalia,Urban regions,As soon as possible,0.47314,238,562,0.43183,0.51446
2006,North Rhine-Westphalia,Urban regions,Next year,0.17088,96,562,0.13974,0.20203
2006,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.29825,184,562,0.26039,0.33611
2006,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.05772,44,562,0.03842,0.07702
2006,Hesse,Urban regions,As soon as possible,0.35878,43,126,0.27470,0.44287
2006,Hesse,Urban regions,Next year,0.22214,33,126,0.14927,0.29502
2006,Hesse,Urban regions,In the next 2 to 5 years,0.34980,50,126,0.26619,0.43340
2006,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.46997,56,91,0.36686,0.57309
2006,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.26994,35,91,0.17822,0.36166
2006,Baden-Wuerttemberg,Urban regions,As soon as possible,0.33196,102,344,0.28212,0.38180
2006,Baden-Wuerttemberg,Urban regions,Next year,0.19783,64,344,0.15567,0.23999
2006,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.37716,134,344,0.32587,0.42845
2006,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.09305,44,344,0.06231,0.12379
2006,Bavaria,Urban regions,As soon as possible,0.40739,56,167,0.33265,0.48214
2006,Bavaria,Urban regions,Next year,0.19598,44,167,0.13559,0.25636
2006,Bavaria,Urban regions,In the next 2 to 5 years,0.27010,67,167,0.20255,0.33764
2006,Bavaria,Rural regions,As soon as possible,0.42903,65,178,0.35611,0.50194
2006,Bavaria,Rural regions,Next year,0.22089,53,178,0.15977,0.28200
2006,Bavaria,Rural regions,In the next 2 to 5 years,0.30349,60,178,0.23576,0.37123
2006,Berlin,Urban regions,As soon as possible,0.48513,63,94,0.38356,0.58671
2006,Berlin,Urban regions,Next year,0.25271,31,94,0.16438,0.34103
2006,Brandenburg,Rural regions,As soon as possible,0.70094,83,116,0.61726,0.78462
2006,Brandenburg,Rural regions,In the next 2 to 5 years,0.15838,33,116,0.09165,0.22511
2006,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.61999,61,61,0.49717,0.74281
2006,Saxony,Urban regions,As soon as possible,0.45840,72,110,0.36486,0.55194
2006,Saxony,Urban regions,In the next 2 to 5 years,0.26019,38,110,0.17783,0.34256
2006,Saxony,Rural regions,As soon as possible,0.51781,50,50,0.37789,0.65772
2006,Saxony-Anhalt,Rural regions,As soon as possible,0.63892,84,84,0.53559,0.74226
2006,Thuringa,Rural regions,As soon as possible,0.69134,64,64,0.57727,0.80541
2007,Lower Saxony,Urban regions,As soon as possible,0.38186,35,35,0.21855,0.54517
2007,Lower Saxony,Rural regions,As soon as possible,0.38805,43,81,0.28127,0.49484
2007,Lower Saxony,Rural regions,In the next 2 to 5 years,0.36936,38,81,0.26360,0.47512
2007,North Rhine-Westphalia,Urban regions,As soon as possible,0.40051,185,494,0.35725,0.44376
2007,North Rhine-Westphalia,Urban regions,Next year,0.25492,111,494,0.21645,0.29339
2007,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.25498,141,494,0.21650,0.29345
2007,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.08959,57,494,0.06438,0.11480
2007,Hesse,Urban regions,As soon as possible,0.45230,49,127,0.36539,0.53921
2007,Hesse,Urban regions,Next year,0.26001,36,127,0.18342,0.33660
2007,Hesse,Urban regions,In the next 2 to 5 years,0.20510,42,127,0.13459,0.27560
2007,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.39211,41,73,0.27933,0.50488
2007,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.27561,32,73,0.17240,0.37882
2007,Baden-Wuerttemberg,Urban regions,As soon as possible,0.27969,63,276,0.22664,0.33274
2007,Baden-Wuerttemberg,Urban regions,Next year,0.20789,46,276,0.15993,0.25585
2007,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.39638,128,276,0.33856,0.45419
2007,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.11604,39,276,0.07819,0.15390
2007,Bavaria,Urban regions,As soon as possible,0.45281,48,149,0.37262,0.53301
2007,Bavaria,Urban regions,Next year,0.23774,47,149,0.16916,0.30633
2007,Bavaria,Urban regions,In the next 2 to 5 years,0.25961,54,149,0.18898,0.33024
2007,Bavaria,Rural regions,As soon as possible,0.30734,39,103,0.21780,0.39688
2007,Bavaria,Rural regions,In the next 2 to 5 years,0.42715,64,103,0.33115,0.52315
2007,Berlin,Urban regions,As soon as possible,0.51507,54,54,0.38052,0.64962
2007,Brandenburg,Rural regions,As soon as possible,0.74320,83,83,0.64865,0.83776
2007,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.70727,45,45,0.57282,0.84172
2007,Saxony,Urban regions,As soon as possible,0.39352,49,49,0.25531,0.53172
2007,Saxony,Rural regions,As soon as possible,0.55810,44,44,0.40966,0.70653
2007,Saxony-Anhalt,Rural regions,As soon as possible,0.53751,59,59,0.40919,0.66583
2007,Thuringa,Rural regions,As soon as possible,0.68136,60,60,0.56246,0.80026
2008,Lower Saxony,Rural regions,As soon as possible,0.33455,36,36,0.17824,0.49087
2008,North Rhine-Westphalia,Urban regions,As soon as possible,0.42424,157,428,0.37736,0.47112
2008,North Rhine-Westphalia,Urban regions,Next year,0.19768,86,428,0.15990,0.23545
2008,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.29230,137,428,0.24916,0.33544
2008,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.08578,48,428,0.05922,0.11235
2008,Hesse,Urban regions,As soon as possible,0.46739,38,79,0.35666,0.57811
2008,Hesse,Urban regions,In the next 2 to 5 years,0.29800,41,79,0.19650,0.39951
2008,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.48433,36,36,0.31876,0.64990
2008,Baden-Wuerttemberg,Urban regions,As soon as possible,0.19230,36,234,0.14170,0.24291
2008,Baden-Wuerttemberg,Urban regions,Next year,0.16564,43,234,0.11791,0.21338
2008,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.45752,110,234,0.39355,0.52149
2008,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.18454,45,234,0.13473,0.23435
2008,Bavaria,Urban regions,As soon as possible,0.35833,36,120,0.27218,0.44449
2008,Bavaria,Urban regions,Next year,0.36159,46,120,0.27527,0.44792
2008,Bavaria,Urban regions,In the next 2 to 5 years,0.21536,38,120,0.14150,0.28922
2008,Bavaria,Rural regions,Next year,0.26225,39,92,0.17188,0.35263
2008,Bavaria,Rural regions,In the next 2 to 5 years,0.39467,53,92,0.29425,0.49510
2008,Berlin,Urban regions,As soon as possible,0.50761,52,52,0.37040,0.64482
2008,Brandenburg,Rural regions,As soon as possible,0.71877,76,76,0.61702,0.82052
2008,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.71578,43,43,0.57937,0.85219
2008,Saxony,Rural regions,As soon as possible,0.59606,38,38,0.43795,0.75417
2008,Saxony-Anhalt,Rural regions,As soon as possible,0.61365,48,48,0.47444,0.75285
2008,Thuringa,Rural regions,As soon as possible,0.61585,49,49,0.47825,0.75345
2009,North Rhine-Westphalia,Urban regions,As soon as possible,0.42395,141,395,0.37516,0.47275
2009,North Rhine-Westphalia,Urban regions,Next year,0.21306,98,395,0.17262,0.25349
2009,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.28441,119,395,0.23987,0.32896
2009,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.07858,37,395,0.05201,0.10515
2009,Hesse,Urban regions,As soon as possible,0.32410,36,75,0.21746,0.43074
2009,Hesse,Urban regions,In the next 2 to 5 years,0.33733,39,75,0.22960,0.44505
2009,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.56496,42,42,0.41321,0.71672
2009,Baden-Wuerttemberg,Urban regions,As soon as possible,0.26140,56,186,0.19808,0.32471
2009,Baden-Wuerttemberg,Urban regions,Next year,0.24022,42,186,0.17866,0.30179
2009,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.38207,88,186,0.31205,0.45209
2009,Bavaria,Urban regions,As soon as possible,0.39886,42,88,0.29597,0.50176
2009,Bavaria,Urban regions,In the next 2 to 5 years,0.34909,46,88,0.24892,0.44925
2009,Bavaria,Rural regions,As soon as possible,0.37429,34,115,0.28545,0.46313
2009,Bavaria,Rural regions,Next year,0.26899,37,115,0.18759,0.35039
2009,Bavaria,Rural regions,In the next 2 to 5 years,0.23549,44,115,0.15760,0.31338
2009,Berlin,Urban regions,As soon as possible,0.49262,43,43,0.34142,0.64382
2009,Brandenburg,Rural regions,As soon as possible,0.58693,53,53,0.45310,0.72076
2009,Saxony,Urban regions,As soon as possible,0.44114,44,44,0.29273,0.58955
2009,Saxony,Rural regions,As soon as possible,0.70431,46,46,0.57097,0.83765
2009,Saxony-Anhalt,Rural regions,As soon as possible,0.61400,46,46,0.47175,0.75624
2009,Thuringa,Rural regions,As soon as possible,0.60662,44,44,0.46061,0.75264
2010,Schleswig-Holstein,Rural regions,As soon as possible,0.31456,33,69,0.20420,0.42493
2010,Schleswig-Holstein,Rural regions,Next year,0.39220,36,69,0.27615,0.50825
2010,Hamburg,Urban regions,Next year,0.37707,35,35,0.21416,0.53998
2010,Lower Saxony,Urban regions,As soon as possible,0.40118,47,137,0.31880,0.48355
2010,Lower Saxony,Urban regions,Next year,0.24269,45,137,0.17064,0.31474
2010,Lower Saxony,Urban regions,In the next 2 to 5 years,0.29313,45,137,0.21663,0.36964
2010,Lower Saxony,Rural regions,As soon as possible,0.31111,56,178,0.24291,0.37931
2010,Lower Saxony,Rural regions,Next year,0.20754,41,178,0.14779,0.26728
2010,Lower Saxony,Rural regions,In the next 2 to 5 years,0.36593,81,178,0.29497,0.43689
2010,North Rhine-Westphalia,Urban regions,As soon as possible,0.41907,279,977,0.38812,0.45003
2010,North Rhine-Westphalia,Urban regions,Next year,0.22583,275,977,0.19959,0.25206
2010,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.26438,315,977,0.23671,0.29205
2010,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.09072,108,977,0.07270,0.10874
2010,Hesse,Urban regions,As soon as possible,0.30401,59,212,0.24194,0.36608
2010,Hesse,Urban regions,Next year,0.27640,70,212,0.21605,0.33674
2010,Hesse,Urban regions,In the next 2 to 5 years,0.33287,83,212,0.26928,0.39645
