year,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Upper Secondary Level,In the next 2 to 5 years,0.02979,369,1436,0.02099,0.03858
2005,Upper Secondary Level,"In the distant future, in more than five years",0.00783,99,1436,0.00327,0.01239
2005,Post-secondary Non-tertiary Level,As soon as possible,0.05667,55,153,0.01991,0.09343
2005,Post-secondary Non-tertiary Level,Next year,0.02793,42,153,0.00174,0.05413
2005,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.05187,56,153,0.01661,0.08712
2005,First Stage of Tertiary Education,As soon as possible,0.03218,53,90,-0.00449,0.06884
2005,First Stage of Tertiary Education,Next year,0.02345,37,90,-0.00799,0.05489
2005,Second Stage of Tertiary Education,As soon as possible,0.04029,129,269,0.01675,0.06384
2005,Second Stage of Tertiary Education,Next year,0.02281,81,269,0.00493,0.04068
2005,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01808,59,269,0.00213,0.03403
2006,Pre-primary Level,Next year,0.07279,45,280,0.04230,0.10327
2006,Pre-primary Level,In the next 2 to 5 years,0.22458,138,280,0.17561,0.27354
2006,Pre-primary Level,"In the distant future, in more than five years",0.11817,97,280,0.08029,0.15605
2006,Primary Level,As soon as possible,0.15482,33,33,0.02948,0.28015
2006,Lower Secondary Level,As soon as possible,0.08569,204,381,0.05755,0.11383
2006,Lower Secondary Level,Next year,0.02459,77,381,0.00902,0.04016
2006,Lower Secondary Level,In the next 2 to 5 years,0.03408,100,381,0.01584,0.05233
2006,Upper Secondary Level,As soon as possible,0.06774,733,1538,0.05517,0.08030
2006,Upper Secondary Level,Next year,0.02325,275,1538,0.01572,0.03079
2006,Upper Secondary Level,In the next 2 to 5 years,0.03251,420,1538,0.02364,0.04137
2006,Upper Secondary Level,"In the distant future, in more than five years",0.00817,110,1538,0.00367,0.01267
2006,Post-secondary Non-tertiary Level,As soon as possible,0.04768,58,184,0.01680,0.07855
2006,Post-secondary Non-tertiary Level,Next year,0.03702,50,184,0.00966,0.06438
2006,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.06018,76,184,0.02572,0.09464
2006,First Stage of Tertiary Education,As soon as possible,0.04054,58,92,0.00002,0.08106
2006,First Stage of Tertiary Education,Next year,0.02114,34,92,-0.00842,0.05069
2006,Second Stage of Tertiary Education,As soon as possible,0.03715,134,299,0.01568,0.05863
2006,Second Stage of Tertiary Education,Next year,0.02689,90,299,0.00852,0.04525
2006,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01868,75,299,0.00331,0.03406
2007,Pre-primary Level,Next year,0.07062,50,244,0.03841,0.10283
2007,Pre-primary Level,In the next 2 to 5 years,0.18888,113,244,0.13966,0.23809
2007,Pre-primary Level,"In the distant future, in more than five years",0.09378,81,244,0.05713,0.13043
2007,Lower Secondary Level,As soon as possible,0.06990,153,328,0.04227,0.09754
2007,Lower Secondary Level,Next year,0.03052,76,328,0.01188,0.04917
2007,Lower Secondary Level,In the next 2 to 5 years,0.03948,99,328,0.01838,0.06059
2007,Upper Secondary Level,As soon as possible,0.05895,590,1248,0.04588,0.07203
2007,Upper Secondary Level,Next year,0.02414,242,1248,0.01562,0.03266
2007,Upper Secondary Level,In the next 2 to 5 years,0.02814,349,1248,0.01896,0.03732
2007,Upper Secondary Level,"In the distant future, in more than five years",0.00534,67,1248,0.00129,0.00938
2007,Post-secondary Non-tertiary Level,As soon as possible,0.05593,56,154,0.01952,0.09234
2007,Post-secondary Non-tertiary Level,Next year,0.04544,45,154,0.01244,0.07844
2007,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03491,53,154,0.00582,0.06399
2007,First Stage of Tertiary Education,As soon as possible,0.03364,39,39,-0.02369,0.09097
2007,Second Stage of Tertiary Education,As soon as possible,0.03157,107,239,0.00936,0.05379
2007,Second Stage of Tertiary Education,Next year,0.01962,70,239,0.00200,0.03724
2007,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01505,62,239,-0.00042,0.03051
2008,Pre-primary Level,Next year,0.08138,46,267,0.04852,0.11424
2008,Pre-primary Level,In the next 2 to 5 years,0.20727,114,267,0.15856,0.25599
2008,Pre-primary Level,"In the distant future, in more than five years",0.15061,107,267,0.10763,0.19360
2008,Lower Secondary Level,As soon as possible,0.06889,130,273,0.03879,0.09899
2008,Lower Secondary Level,Next year,0.03297,75,273,0.01175,0.05420
2008,Lower Secondary Level,In the next 2 to 5 years,0.02500,68,273,0.00645,0.04356
2008,Upper Secondary Level,As soon as possible,0.04892,478,1096,0.03615,0.06170
2008,Upper Secondary Level,Next year,0.02245,236,1096,0.01368,0.03123
2008,Upper Secondary Level,In the next 2 to 5 years,0.02689,305,1096,0.01731,0.03648
2008,Upper Secondary Level,"In the distant future, in more than five years",0.00674,77,1096,0.00189,0.01159
2008,Post-secondary Non-tertiary Level,As soon as possible,0.03251,33,121,0.00078,0.06424
2008,Post-secondary Non-tertiary Level,Next year,0.03468,41,121,0.00194,0.06742
2008,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.04023,47,121,0.00507,0.07539
2008,First Stage of Tertiary Education,As soon as possible,0.03520,40,40,-0.02264,0.09303
2008,Second Stage of Tertiary Education,As soon as possible,0.03103,87,208,0.00741,0.05466
2008,Second Stage of Tertiary Education,Next year,0.01424,67,208,-0.00190,0.03038
2008,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01249,54,208,-0.00264,0.02762
2009,Pre-primary Level,Next year,0.08166,47,215,0.04497,0.11835
2009,Pre-primary Level,In the next 2 to 5 years,0.19494,93,215,0.14186,0.24802
2009,Pre-primary Level,"In the distant future, in more than five years",0.12702,75,215,0.08240,0.17163
2009,Lower Secondary Level,As soon as possible,0.07116,124,247,0.03903,0.10329
2009,Lower Secondary Level,Next year,0.03339,55,247,0.01094,0.05584
2009,Lower Secondary Level,In the next 2 to 5 years,0.03304,68,247,0.01070,0.05538
2009,Upper Secondary Level,As soon as possible,0.05423,475,993,0.04013,0.06832
2009,Upper Secondary Level,Next year,0.02064,205,993,0.01179,0.02949
2009,Upper Secondary Level,In the next 2 to 5 years,0.02473,258,993,0.01507,0.03440
2009,Upper Secondary Level,"In the distant future, in more than five years",0.00592,55,993,0.00115,0.01070
2009,Post-secondary Non-tertiary Level,Next year,0.03520,43,90,-0.00309,0.07349
2009,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03772,47,90,-0.00186,0.07730
2009,Second Stage of Tertiary Education,As soon as possible,0.02614,84,212,0.00461,0.04767
2009,Second Stage of Tertiary Education,Next year,0.01866,73,212,0.00040,0.03692
2009,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01043,55,212,-0.00328,0.02414
2010,Pre-primary Level,Next year,0.10858,60,295,0.07302,0.14415
2010,Pre-primary Level,In the next 2 to 5 years,0.21821,134,295,0.17100,0.26542
2010,Pre-primary Level,"In the distant future, in more than five years",0.14441,101,295,0.10423,0.18459
2010,Primary Level,As soon as possible,0.17155,53,99,0.09691,0.24619
2010,Primary Level,In the next 2 to 5 years,0.04047,46,99,0.00145,0.07949
2010,Lower Secondary Level,As soon as possible,0.07432,231,616,0.05359,0.09505
2010,Lower Secondary Level,Next year,0.03349,169,616,0.01927,0.04770
2010,Lower Secondary Level,In the next 2 to 5 years,0.02799,164,616,0.01495,0.04103
2010,Lower Secondary Level,"In the distant future, in more than five years",0.01091,52,616,0.00270,0.01912
2010,Upper Secondary Level,As soon as possible,0.04900,721,2061,0.03968,0.05832
2010,Upper Secondary Level,Next year,0.02805,552,2061,0.02092,0.03518
2010,Upper Secondary Level,In the next 2 to 5 years,0.02950,632,2061,0.02219,0.03681
2010,Upper Secondary Level,"In the distant future, in more than five years",0.00646,156,2061,0.00300,0.00992
2010,Post-secondary Non-tertiary Level,As soon as possible,0.04166,83,348,0.02064,0.06269
2010,Post-secondary Non-tertiary Level,Next year,0.03847,140,348,0.01823,0.05871
2010,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03226,125,348,0.01367,0.05086
2010,First Stage of Tertiary Education,As soon as possible,0.03425,41,120,0.00157,0.06693
2010,First Stage of Tertiary Education,Next year,0.01273,38,120,-0.00741,0.03288
2010,First Stage of Tertiary Education,In the next 2 to 5 years,0.00977,41,120,-0.00790,0.02745
2010,Second Stage of Tertiary Education,As soon as possible,0.02892,148,610,0.01561,0.04223
2010,Second Stage of Tertiary Education,Next year,0.02437,269,610,0.01212,0.03662
2010,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01196,154,610,0.00333,0.02060
2010,Second Stage of Tertiary Education,"In the distant future, in more than five years",0.00313,39,610,-0.00131,0.00757
2011,Pre-primary Level,Next year,0.06836,66,345,0.04169,0.09503
2011,Pre-primary Level,In the next 2 to 5 years,0.19955,150,345,0.15731,0.24178
2011,Pre-primary Level,"In the distant future, in more than five years",0.12113,129,345,0.08665,0.15561
2011,Primary Level,As soon as possible,0.11989,60,98,0.05525,0.18453
2011,Primary Level,Next year,0.05269,38,98,0.00823,0.09715
2011,Lower Secondary Level,As soon as possible,0.06704,258,617,0.04729,0.08679
2011,Lower Secondary Level,Next year,0.02636,164,617,0.01371,0.03901
2011,Lower Secondary Level,In the next 2 to 5 years,0.02596,151,617,0.01340,0.03852
2011,Lower Secondary Level,"In the distant future, in more than five years",0.00647,44,617,0.00014,0.01280
2011,Upper Secondary Level,As soon as possible,0.04144,737,2015,0.03274,0.05015
2011,Upper Secondary Level,Next year,0.02421,490,2015,0.01750,0.03092
2011,Upper Secondary Level,In the next 2 to 5 years,0.03264,622,2015,0.02488,0.04040
2011,Upper Secondary Level,"In the distant future, in more than five years",0.00839,166,2015,0.00440,0.01237
2011,Post-secondary Non-tertiary Level,As soon as possible,0.03503,97,333,0.01526,0.05481
2011,Post-secondary Non-tertiary Level,Next year,0.03857,111,333,0.01785,0.05928
2011,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.04120,125,333,0.01982,0.06257
2011,First Stage of Tertiary Education,Next year,0.00935,39,80,-0.01187,0.03058
2011,First Stage of Tertiary Education,In the next 2 to 5 years,0.01305,41,80,-0.01198,0.03808
2011,Second Stage of Tertiary Education,As soon as possible,0.02712,142,494,0.01278,0.04145
2011,Second Stage of Tertiary Education,Next year,0.01809,174,494,0.00633,0.02985
2011,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01490,137,494,0.00421,0.02560
2011,Second Stage of Tertiary Education,"In the distant future, in more than five years",0.00367,41,494,-0.00167,0.00901
2012,Pre-primary Level,Next year,0.08445,58,327,0.05427,0.11464
2012,Pre-primary Level,In the next 2 to 5 years,0.13992,138,327,0.10226,0.17757
2012,Pre-primary Level,"In the distant future, in more than five years",0.13633,131,327,0.09908,0.17358
2012,Primary Level,As soon as possible,0.14429,58,91,0.07170,0.21689
2012,Primary Level,In the next 2 to 5 years,0.04419,33,91,0.00173,0.08665
2012,Lower Secondary Level,As soon as possible,0.06700,243,595,0.04690,0.08711
2012,Lower Secondary Level,Next year,0.02856,160,595,0.01516,0.04195
2012,Lower Secondary Level,In the next 2 to 5 years,0.02781,137,595,0.01459,0.04104
2012,Lower Secondary Level,"In the distant future, in more than five years",0.01255,55,595,0.00360,0.02150
2012,Upper Secondary Level,As soon as possible,0.04503,672,1790,0.03542,0.05464
2012,Upper Secondary Level,Next year,0.02753,473,1790,0.01995,0.03511
2012,Upper Secondary Level,In the next 2 to 5 years,0.03184,503,1790,0.02370,0.03998
2012,Upper Secondary Level,"In the distant future, in more than five years",0.00708,142,1790,0.00320,0.01097
2012,Post-secondary Non-tertiary Level,As soon as possible,0.03105,80,279,0.01066,0.05144
2012,Post-secondary Non-tertiary Level,Next year,0.03932,107,279,0.01648,0.06217
2012,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03302,92,279,0.01202,0.05403
2012,First Stage of Tertiary Education,As soon as possible,0.02106,40,75,-0.01165,0.05378
2012,First Stage of Tertiary Education,Next year,0.02149,35,75,-0.01155,0.05453
2012,Second Stage of Tertiary Education,As soon as possible,0.02602,150,450,0.01129,0.04074
2012,Second Stage of Tertiary Education,Next year,0.02431,183,450,0.01006,0.03855
2012,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01589,117,450,0.00432,0.02746
2013,Pre-primary Level,Next year,0.09851,101,439,0.07060,0.12642
2013,Pre-primary Level,In the next 2 to 5 years,0.17398,194,439,0.13848,0.20949
2013,Pre-primary Level,"In the distant future, in more than five years",0.13129,144,439,0.09967,0.16292
2013,Primary Level,As soon as possible,0.12953,98,193,0.08203,0.17702
2013,Primary Level,Next year,0.06168,49,193,0.02765,0.09571
2013,Primary Level,In the next 2 to 5 years,0.04108,46,193,0.01300,0.06915
2013,Lower Secondary Level,As soon as possible,0.06293,314,847,0.04657,0.07930
2013,Lower Secondary Level,Next year,0.03854,216,847,0.02557,0.05151
2013,Lower Secondary Level,In the next 2 to 5 years,0.04080,236,847,0.02747,0.05413
2013,Lower Secondary Level,"In the distant future, in more than five years",0.00826,81,847,0.00216,0.01436
2013,Upper Secondary Level,As soon as possible,0.04337,755,1967,0.03436,0.05237
2013,Upper Secondary Level,Next year,0.03076,495,1967,0.02313,0.03839
2013,Upper Secondary Level,In the next 2 to 5 years,0.02743,549,1967,0.02021,0.03465
2013,Upper Secondary Level,"In the distant future, in more than five years",0.00684,168,1967,0.00320,0.01049
2013,Post-secondary Non-tertiary Level,As soon as possible,0.04176,120,339,0.02044,0.06309
2013,Post-secondary Non-tertiary Level,Next year,0.03196,103,339,0.01321,0.05071
2013,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03628,116,339,0.01635,0.05621
2013,First Stage of Tertiary Education,Next year,0.01438,36,36,-0.02506,0.05382
2013,Second Stage of Tertiary Education,As soon as possible,0.02241,196,540,0.00991,0.03491
2013,Second Stage of Tertiary Education,Next year,0.02357,200,540,0.01076,0.03638
2013,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01410,144,540,0.00415,0.02406
2014,Pre-primary Level,As soon as possible,0.03179,32,329,0.01280,0.05077
2014,Pre-primary Level,Next year,0.09054,79,329,0.05948,0.12159
2014,Pre-primary Level,In the next 2 to 5 years,0.16662,136,329,0.12629,0.20695
2014,Pre-primary Level,"In the distant future, in more than five years",0.09873,82,329,0.06645,0.13102
2014,Primary Level,As soon as possible,0.14505,79,157,0.08979,0.20032
2014,Primary Level,Next year,0.05748,42,157,0.02096,0.09401
2014,Primary Level,In the next 2 to 5 years,0.05203,36,157,0.01718,0.08688
2014,Lower Secondary Level,As soon as possible,0.06807,274,679,0.04911,0.08703
2014,Lower Secondary Level,Next year,0.03886,174,679,0.02431,0.05341
2014,Lower Secondary Level,In the next 2 to 5 years,0.03351,171,679,0.01996,0.04705
2014,Lower Secondary Level,"In the distant future, in more than five years",0.01091,60,679,0.00309,0.01873
2014,Upper Secondary Level,As soon as possible,0.04340,591,1572,0.03333,0.05348
2014,Upper Secondary Level,Next year,0.02613,398,1572,0.01824,0.03402
2014,Upper Secondary Level,In the next 2 to 5 years,0.03063,448,1572,0.02211,0.03915
2014,Upper Secondary Level,"In the distant future, in more than five years",0.00597,135,1572,0.00216,0.00977
2014,Post-secondary Non-tertiary Level,As soon as possible,0.03437,79,243,0.01142,0.05732
2014,Post-secondary Non-tertiary Level,Next year,0.03318,88,243,0.01062,0.05575
2014,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.02470,76,243,0.00515,0.04426
2014,First Stage of Tertiary Education,As soon as possible,0.02053,32,32,-0.02939,0.07045
2014,Second Stage of Tertiary Education,As soon as possible,0.02752,178,491,0.01304,0.04201
2014,Second Stage of Tertiary Education,Next year,0.02578,192,491,0.01175,0.03981
2014,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01590,121,491,0.00482,0.02697
2015,Pre-primary Level,Next year,0.08427,51,262,0.05056,0.11797
2015,Pre-primary Level,In the next 2 to 5 years,0.17804,126,262,0.13163,0.22445
2015,Pre-primary Level,"In the distant future, in more than five years",0.11289,85,262,0.07450,0.15129
2015,Primary Level,As soon as possible,0.13903,82,172,0.08718,0.19089
2015,Primary Level,Next year,0.04274,39,172,0.01242,0.07306
2015,Primary Level,In the next 2 to 5 years,0.05561,51,172,0.02126,0.08996
2015,Lower Secondary Level,As soon as possible,0.05811,252,672,0.04041,0.07581
2015,Lower Secondary Level,Next year,0.03744,165,672,0.02307,0.05180
2015,Lower Secondary Level,In the next 2 to 5 years,0.04415,204,672,0.02860,0.05969
2015,Lower Secondary Level,"In the distant future, in more than five years",0.00952,51,672,0.00217,0.01686
2015,Upper Secondary Level,As soon as possible,0.04069,534,1592,0.03098,0.05040
2015,Upper Secondary Level,Next year,0.02643,406,1592,0.01854,0.03431
2015,Upper Secondary Level,In the next 2 to 5 years,0.02994,515,1592,0.02157,0.03832
2015,Upper Secondary Level,"In the distant future, in more than five years",0.00504,137,1592,0.00156,0.00852
2015,Post-secondary Non-tertiary Level,As soon as possible,0.04131,87,292,0.01845,0.06418
2015,Post-secondary Non-tertiary Level,Next year,0.02549,92,292,0.00738,0.04359
2015,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.04252,113,292,0.01934,0.06571
2015,Second Stage of Tertiary Education,As soon as possible,0.02719,206,561,0.01372,0.04066
2015,Second Stage of Tertiary Education,Next year,0.02475,205,561,0.01188,0.03762
2015,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01903,150,561,0.00771,0.03035
2016,Pre-primary Level,Next year,0.09408,65,262,0.05866,0.12950
2016,Pre-primary Level,In the next 2 to 5 years,0.18363,132,262,0.13666,0.23060
2016,Pre-primary Level,"In the distant future, in more than five years",0.09766,65,262,0.06164,0.13367
2016,Primary Level,As soon as possible,0.13096,358,900,0.10891,0.15301
2016,Primary Level,Next year,0.04932,221,900,0.03517,0.06348
2016,Primary Level,In the next 2 to 5 years,0.06936,259,900,0.05275,0.08597
2016,Primary Level,"In the distant future, in more than five years",0.03232,62,900,0.02076,0.04388
2016,Lower Secondary Level,As soon as possible,0.06228,395,980,0.04714,0.07742
2016,Lower Secondary Level,Next year,0.04428,270,980,0.03140,0.05717
2016,Lower Secondary Level,In the next 2 to 5 years,0.04120,241,980,0.02875,0.05365
2016,Lower Secondary Level,"In the distant future, in more than five years",0.01038,74,980,0.00403,0.01673
2016,Upper Secondary Level,As soon as possible,0.03861,663,1714,0.02948,0.04773
2016,Upper Secondary Level,Next year,0.02307,436,1714,0.01596,0.03018
2016,Upper Secondary Level,In the next 2 to 5 years,0.02948,495,1714,0.02147,0.03749
2016,Upper Secondary Level,"In the distant future, in more than five years",0.00750,120,1714,0.00342,0.01159
2016,Post-secondary Non-tertiary Level,As soon as possible,0.02964,98,292,0.01015,0.04912
2016,Post-secondary Non-tertiary Level,Next year,0.04017,95,292,0.01761,0.06273
2016,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03533,99,292,0.01412,0.05654
2016,Second Stage of Tertiary Education,As soon as possible,0.02367,403,965,0.01407,0.03326
2016,Second Stage of Tertiary Education,Next year,0.03414,314,965,0.02267,0.04560
2016,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01968,202,965,0.01091,0.02844
2016,Second Stage of Tertiary Education,"In the distant future, in more than five years",0.00373,46,965,-0.00012,0.00757
2017,Pre-primary Level,Next year,0.07335,55,281,0.04281,0.10388
2017,Pre-primary Level,In the next 2 to 5 years,0.20327,154,281,0.15613,0.25040
2017,Pre-primary Level,"In the distant future, in more than five years",0.09049,72,281,0.05689,0.12409
2017,Primary Level,As soon as possible,0.12686,407,1174,0.10782,0.14591
2017,Primary Level,Next year,0.09272,311,1174,0.07612,0.10932
2017,Primary Level,In the next 2 to 5 years,0.07147,355,1174,0.05673,0.08621
2017,Primary Level,"In the distant future, in more than five years",0.01895,101,1174,0.01115,0.02676
2017,Lower Secondary Level,As soon as possible,0.07028,440,1191,0.05576,0.08481
2017,Lower Secondary Level,Next year,0.04220,332,1191,0.03077,0.05362
2017,Lower Secondary Level,In the next 2 to 5 years,0.03618,329,1191,0.02557,0.04678
2017,Lower Secondary Level,"In the distant future, in more than five years",0.00884,90,1191,0.00352,0.01416
2017,Upper Secondary Level,As soon as possible,0.03251,623,1811,0.02434,0.04068
2017,Upper Secondary Level,Next year,0.02687,516,1811,0.01942,0.03431
2017,Upper Secondary Level,In the next 2 to 5 years,0.02601,533,1811,0.01867,0.03334
2017,Upper Secondary Level,"In the distant future, in more than five years",0.00658,139,1811,0.00286,0.01031
2017,Post-secondary Non-tertiary Level,As soon as possible,0.03200,96,319,0.01266,0.05134
2017,Post-secondary Non-tertiary Level,Next year,0.03598,108,319,0.01551,0.05645
2017,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.04490,115,319,0.02214,0.06766
2017,Second Stage of Tertiary Education,As soon as possible,0.01766,396,1033,0.00963,0.02570
2017,Second Stage of Tertiary Education,Next year,0.03424,349,1033,0.02315,0.04534
2017,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01566,248,1033,0.00808,0.02323
2017,Second Stage of Tertiary Education,"In the distant future, in more than five years",0.00200,40,1033,-0.00073,0.00472
2018,Pre-primary Level,Next year,0.08521,55,261,0.05127,0.11914
2018,Pre-primary Level,In the next 2 to 5 years,0.20783,139,261,0.15851,0.25715
2018,Pre-primary Level,"In the distant future, in more than five years",0.08539,67,261,0.05142,0.11936
2018,Primary Level,As soon as possible,0.13493,385,1074,0.11449,0.15537
2018,Primary Level,Next year,0.07431,306,1074,0.05862,0.09001
2018,Primary Level,In the next 2 to 5 years,0.06344,311,1074,0.04885,0.07802
2018,Primary Level,"In the distant future, in more than five years",0.02113,72,1074,0.01252,0.02973
2018,Lower Secondary Level,As soon as possible,0.05682,369,1042,0.04276,0.07088
2018,Lower Secondary Level,Next year,0.04571,306,1042,0.03302,0.05839
2018,Lower Secondary Level,In the next 2 to 5 years,0.03470,290,1042,0.02358,0.04582
2018,Lower Secondary Level,"In the distant future, in more than five years",0.01048,77,1042,0.00429,0.01666
2018,Upper Secondary Level,As soon as possible,0.02898,547,1595,0.02074,0.03721
2018,Upper Secondary Level,Next year,0.02577,452,1595,0.01799,0.03355
2018,Upper Secondary Level,In the next 2 to 5 years,0.02657,495,1595,0.01867,0.03446
2018,Upper Secondary Level,"In the distant future, in more than five years",0.00517,101,1595,0.00165,0.00870
2018,Post-secondary Non-tertiary Level,As soon as possible,0.02287,89,270,0.00500,0.04073
2018,Post-secondary Non-tertiary Level,Next year,0.04639,100,270,0.02125,0.07152
2018,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.02926,81,270,0.00912,0.04940
2018,Second Stage of Tertiary Education,As soon as possible,0.02164,317,865,0.01194,0.03134
2018,Second Stage of Tertiary Education,Next year,0.03109,308,865,0.01952,0.04266
2018,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01885,206,865,0.00978,0.02792
2018,Second Stage of Tertiary Education,"In the distant future, in more than five years",0.00214,34,865,-0.00094,0.00522
2019,Pre-primary Level,Next year,0.05659,46,212,0.02541,0.08776
2019,Pre-primary Level,In the next 2 to 5 years,0.20074,106,212,0.14669,0.25478
2019,Pre-primary Level,"In the distant future, in more than five years",0.12204,60,212,0.07787,0.16621
2019,Primary Level,As soon as possible,0.11298,325,898,0.09226,0.13370
2019,Primary Level,Next year,0.07716,278,898,0.05969,0.09462
2019,Primary Level,In the next 2 to 5 years,0.05341,239,898,0.03870,0.06813
2019,Primary Level,"In the distant future, in more than five years",0.03044,56,898,0.01920,0.04169
2019,Lower Secondary Level,As soon as possible,0.06366,324,839,0.04713,0.08019
2019,Lower Secondary Level,Next year,0.03295,219,839,0.02086,0.04504
2019,Lower Secondary Level,In the next 2 to 5 years,0.03124,230,839,0.01946,0.04302
2019,Lower Secondary Level,"In the distant future, in more than five years",0.01066,66,839,0.00371,0.01761
2019,Upper Secondary Level,As soon as possible,0.02394,423,1350,0.01578,0.03209
2019,Upper Secondary Level,Next year,0.02474,416,1350,0.01645,0.03303
2019,Upper Secondary Level,In the next 2 to 5 years,0.02697,415,1350,0.01832,0.03561
2019,Upper Secondary Level,"In the distant future, in more than five years",0.00531,96,1350,0.00143,0.00919
2019,Post-secondary Non-tertiary Level,As soon as possible,0.02847,95,251,0.00785,0.04909
2019,Post-secondary Non-tertiary Level,Next year,0.04402,88,251,0.01859,0.06944
2019,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.02982,68,251,0.00873,0.05090
2019,Second Stage of Tertiary Education,As soon as possible,0.01756,249,698,0.00781,0.02732
2019,Second Stage of Tertiary Education,Next year,0.03432,264,698,0.02080,0.04783
2019,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01673,185,698,0.00721,0.02625
2020,Pre-primary Level,Next year,0.08733,63,244,0.05183,0.12283
2020,Pre-primary Level,In the next 2 to 5 years,0.15384,126,244,0.10847,0.19920
2020,Pre-primary Level,"In the distant future, in more than five years",0.06485,55,244,0.03389,0.09581
2020,Primary Level,As soon as possible,0.12736,423,933,0.10595,0.14876
2020,Primary Level,Next year,0.05935,197,933,0.04418,0.07452
2020,Primary Level,In the next 2 to 5 years,0.06816,243,933,0.05198,0.08434
2020,Primary Level,"In the distant future, in more than five years",0.01278,70,933,0.00557,0.02000
2020,Lower Secondary Level,As soon as possible,0.05113,359,925,0.03693,0.06534
2020,Lower Secondary Level,Next year,0.04335,231,925,0.03022,0.05648
2020,Lower Secondary Level,In the next 2 to 5 years,0.04143,274,925,0.02858,0.05428
2020,Lower Secondary Level,"In the distant future, in more than five years",0.01398,61,925,0.00641,0.02155
2020,Upper Secondary Level,As soon as possible,0.02709,486,1420,0.01864,0.03554
2020,Upper Secondary Level,Next year,0.02900,435,1420,0.02026,0.03773
2020,Upper Secondary Level,In the next 2 to 5 years,0.02635,399,1420,0.01802,0.03469
2020,Upper Secondary Level,"In the distant future, in more than five years",0.00502,100,1420,0.00134,0.00870
2020,Post-secondary Non-tertiary Level,As soon as possible,0.03684,92,251,0.01349,0.06019
2020,Post-secondary Non-tertiary Level,Next year,0.03346,87,251,0.01117,0.05575
2020,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.03072,72,251,0.00933,0.05210
2020,Second Stage of Tertiary Education,As soon as possible,0.02051,274,710,0.01007,0.03094
2020,Second Stage of Tertiary Education,Next year,0.03255,262,710,0.01949,0.04561
2020,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01274,174,710,0.00448,0.02099
2021,Pre-primary Level,Next year,0.11657,31,128,0.06075,0.17238
2021,Pre-primary Level,In the next 2 to 5 years,0.12347,50,128,0.06625,0.18068
2021,Pre-primary Level,"In the distant future, in more than five years",0.11104,47,128,0.05640,0.16569
2021,Primary Level,As soon as possible,0.07871,165,484,0.05470,0.10273
2021,Primary Level,Next year,0.09814,139,484,0.07161,0.12467
2021,Primary Level,In the next 2 to 5 years,0.07120,132,484,0.04826,0.09413
2021,Primary Level,"In the distant future, in more than five years",0.02607,48,484,0.01186,0.04028
2021,Lower Secondary Level,As soon as possible,0.05844,185,525,0.03835,0.07852
2021,Lower Secondary Level,Next year,0.06295,146,525,0.04215,0.08374
2021,Lower Secondary Level,In the next 2 to 5 years,0.03417,143,525,0.01862,0.04973
2021,Lower Secondary Level,"In the distant future, in more than five years",0.01149,51,525,0.00237,0.02062
2021,Upper Secondary Level,As soon as possible,0.02162,275,941,0.01232,0.03091
2021,Upper Secondary Level,Next year,0.03177,310,941,0.02055,0.04298
2021,Upper Secondary Level,In the next 2 to 5 years,0.02849,272,941,0.01785,0.03913
2021,Upper Secondary Level,"In the distant future, in more than five years",0.00670,84,941,0.00149,0.01192
2021,Post-secondary Non-tertiary Level,As soon as possible,0.02328,54,155,-0.00054,0.04709
2021,Post-secondary Non-tertiary Level,Next year,0.03439,45,155,0.00561,0.06317
