year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1999,4th Quintile,1964,6.979074454771862,6.934870010529111,7.023278899014612,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1999,5th Quintile,1140,7.184462880490097,7.130309516636849,7.238616244343344,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2000,1st Quintile,666,6.459718892483568,6.359868952300225,6.55956883266691,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,2nd Quintile,1573,6.71569038462845,6.6629090031497915,6.768471766107109,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,3rd Quintile,2034,6.8469396603610715,6.804034912847474,6.889844407874669,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,4th Quintile,1891,6.953400771823599,6.908064888787732,6.998736654859466,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2000,5th Quintile,1209,7.293862307233041,7.242788969688141,7.34493564477794,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
2001,1st Quintile,1154,6.616529768727007,6.543145106323224,6.6899144311307905,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,2nd Quintile,2457,6.900755529907841,6.856922934134931,6.944588125680752,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
2001,3rd Quintile,3510,6.996292189559662,6.960453552894261,7.032130826225062,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2001,4th Quintile,3422,7.10558256332875,7.071094317981866,7.140070808675634,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2001,5th Quintile,2406,7.4037283040152095,7.365811178457917,7.441645429572502,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
2002,1st Quintile,966,6.3800372227389435,6.298122668194177,6.46195177728371,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,2nd Quintile,2058,6.6896894764491215,6.6401945929439155,6.7391843599543275,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,3rd Quintile,2975,6.842145472142289,6.804219285693029,6.880071658591549,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2002,4th Quintile,3429,6.878160033893552,6.842923446792773,6.913396620994331,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2002,5th Quintile,2780,7.202814181854953,7.167357546058719,7.238270817651188,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
2003,1st Quintile,866,6.200519896858123,6.107471326597566,6.293568467118679,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,2nd Quintile,1785,6.493397044241647,6.437952632229272,6.548841456254022,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,3rd Quintile,2847,6.902569312791205,6.8632224853537345,6.941916140228676,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2003,4th Quintile,3468,6.931286953897816,6.898568537978398,6.964005369817234,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2003,5th Quintile,4167,7.212124924663312,7.1825011971738775,7.241748652152747,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
2004,1st Quintile,897,6.076871634611111,5.983811969358246,6.1699312998639755,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995
2004,2nd Quintile,1681,6.557130426613802,6.501566464359981,6.612694388867623,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,3rd Quintile,2705,6.73037761312435,6.689841289925153,6.770913936323548,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,4th Quintile,3405,6.847671942969554,6.813055445516484,6.8822884404226246,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2004,5th Quintile,3991,7.156973780282528,7.126944463063171,7.1870030975018855,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
2005,1st Quintile,827,5.766296940615174,5.668550337220594,5.864043544009753,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0
2005,2nd Quintile,1508,6.639597736979834,6.579438488574253,6.699756985385415,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,3rd Quintile,2466,6.715565210065115,6.67294011547302,6.7581903046572105,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,4th Quintile,3271,6.780792317802652,6.744379727920261,6.817204907685042,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,5th Quintile,3964,7.086552475785303,7.056335881479678,7.116769070090927,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2006,1st Quintile,798,6.003887583280486,5.903692273531096,6.104082893029876,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0
2006,2nd Quintile,1415,6.608983595772357,6.549019813047695,6.668947378497019,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,3rd Quintile,2305,6.647744578783134,6.604702318935269,6.6907868386309985,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,4th Quintile,2958,6.763976117859317,6.726675087127931,6.801277148590704,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,5th Quintile,3795,7.018376356694057,6.988460904756557,7.048291808631558,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2007,1st Quintile,809,6.035343177351161,5.943069854992579,6.1276164997097435,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2007,2nd Quintile,1413,6.420675505207168,6.3562549426670305,6.485096067747305,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,3rd Quintile,2417,6.708522895505759,6.664851355642119,6.752194435369399,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,4th Quintile,3191,6.869921138811315,6.83427937787298,6.9055628997496505,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2007,5th Quintile,4225,7.079784875645054,7.051989749212822,7.107580002077286,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2008,1st Quintile,742,6.114271158088049,6.02049520258262,6.208047113593477,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2008,2nd Quintile,1267,6.735448607509272,6.672720904486494,6.7981763105320505,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,3rd Quintile,2159,6.775379453807569,6.73103927448878,6.8197196331263585,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,4th Quintile,3177,6.816303058799596,6.781015215616763,6.851590901982429,5.5504064630437595,7.0,8.0,1.8760161576093988,10.0,7.0,7.0,7.0
2008,5th Quintile,4096,7.071123124414746,7.042555286369039,7.099690962460453,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2009,1st Quintile,661,6.188626880563158,6.089106748596435,6.288147012529881,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2009,2nd Quintile,1117,6.343020775889872,6.2698099673985555,6.416231584381188,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,3rd Quintile,1920,6.489141437007625,6.435784605684338,6.542498268330911,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,4th Quintile,2991,6.7560562069821435,6.7180425800218835,6.7940698339424035,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,5th Quintile,4088,7.058521124104839,7.030016274099432,7.087025974110246,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2010,1st Quintile,573,6.057924297784542,5.950166064339657,6.165682531229427,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
2010,2nd Quintile,925,6.416875528566677,6.333965139345782,6.499785917787571,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2010,3rd Quintile,1648,6.685847942045075,6.633444697606864,6.738251186483286,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2010,4th Quintile,2787,6.7565373580047625,6.718397836546315,6.79467687946321,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2010,5th Quintile,3916,7.020199152372297,6.990124139265026,7.050274165479568,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2011,1st Quintile,965,6.055900305440868,5.9642026688359735,6.147597942045763,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0
2011,2nd Quintile,1919,6.655098925324718,6.59862199321433,6.711575857435106,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
2011,3rd Quintile,2722,6.696809276491183,6.6547240743247205,6.738894478657645,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2011,4th Quintile,3676,6.802478971527655,6.7682383653107605,6.836719577744549,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2011,5th Quintile,4603,7.11402121905929,7.087190242316313,7.140852195802267,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2012,1st Quintile,1060,6.343783869959607,6.264115200402817,6.423452539516396,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2012,2nd Quintile,2164,6.877112391759854,6.82872245746182,6.925502326057888,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
2012,3rd Quintile,2954,6.8574079203286935,6.81797678150114,6.896839059156247,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2012,4th Quintile,4068,7.0226097319713885,6.992246043499827,7.05297342044295,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2012,5th Quintile,5509,7.161598630676727,7.137156309518544,7.186040951834911,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2013,1st Quintile,944,6.189522286684345,6.102518518462023,6.276526054906666,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995
2013,2nd Quintile,1984,6.826472404724102,6.775828875874354,6.87711593357385,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
2013,3rd Quintile,3068,6.9191547225128565,6.881749783746644,6.956559661279069,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2013,4th Quintile,4214,7.045043012912969,7.01389459490287,7.0761914309230685,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2013,5th Quintile,5743,7.1458288690526075,7.121147172935477,7.170510565169738,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2014,1st Quintile,1181,6.593575217073206,6.518672693311663,6.668477740834749,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
2014,2nd Quintile,2206,6.891276669567357,6.8429383161291,6.939615023005613,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
2014,3rd Quintile,3225,6.851442154905923,6.813159078842792,6.889725230969055,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2014,4th Quintile,4342,7.0636926568920195,7.033715493228044,7.093669820555995,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2014,5th Quintile,6164,7.181599760652196,7.158273672082011,7.204925849222381,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
2015,1st Quintile,956,6.813847326217108,6.738981844645514,6.8887128077887025,5.0,8.0,8.0,0.5,10.0,8.0,8.0,9.0
2015,2nd Quintile,1762,6.962217061187654,6.910879972851011,7.013554149524297,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
2015,3rd Quintile,2831,7.043540112730822,7.003985107162777,7.083095118298868,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2015,4th Quintile,4123,7.02053267642979,6.989530162120872,7.051535190738708,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2015,5th Quintile,5976,7.22093461235278,7.197831837853621,7.2440373868519385,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
2016,1st Quintile,939,7.008078123623137,6.936423696457774,7.0797325507885,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
2016,2nd Quintile,1586,6.84651109494812,6.789300750676495,6.903721439219745,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2016,3rd Quintile,2506,7.091195375598203,7.050564852005513,7.131825899190893,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
2016,4th Quintile,4022,7.070629732238756,7.039915349351693,7.101344115125819,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2016,5th Quintile,6123,7.195706574653134,7.173088610412171,7.218324538894097,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
