year,quintil_oecd,pgpsbil,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1997,2nd Quintile,Other Degree,0.09671396564600448,16487,0.09220224194045934,0.10122568935154963
1997,2nd Quintile,Upper Secondary Degree,0.0720687079910381,16487,0.06812125896373829,0.0760161570183379
1997,2nd Quintile,"Dropout, No School Degree",0.04891710231516057,16487,0.04562460977217779,0.052209594858143346
1997,2nd Quintile,No School Degree Yet,0.02875280059746079,16487,0.026201919483575163,0.03130368171134642
1997,2nd Quintile,No School Attended,0.012322628827483197,16487,0.01063861951872283,0.014006638136243563
1997,2nd Quintile,Technical School Degree,0.009708737864077669,16487,0.0082119918386424,0.011205483889512938
1997,3rd Quintile,Secondary School Degree,0.43546441495778043,16487,0.427895959674515,0.4430328702410459
1997,3rd Quintile,Intermediate School Degree,0.3116204262163249,16487,0.3045505436744938,0.318690308758156
1997,3rd Quintile,Upper Secondary Degree,0.1033373542420587,16487,0.09869082729320983,0.10798388119090757
1997,3rd Quintile,Other Degree,0.07478890229191798,16487,0.07077354450889886,0.0788042600749371
1997,3rd Quintile,"Dropout, No School Degree",0.025733815842380377,16487,0.023316818565111648,0.028150813119649107
1997,3rd Quintile,No School Degree Yet,0.024527543224768796,16487,0.02216641385760582,0.026888672591931773
1997,3rd Quintile,Technical School Degree,0.020506634499396863,16487,0.018343252573006258,0.02267001642578747
1997,3rd Quintile,No School Attended,0.004020908725371934,16487,0.003054919081655693,0.004986898369088174
1997,4th Quintile,Secondary School Degree,0.4183634268152132,16487,0.41083354843425207,0.42589330519617435
1997,4th Quintile,Intermediate School Degree,0.2935074913561275,16487,0.2865564699142302,0.3004585127980248
1997,4th Quintile,Upper Secondary Degree,0.15597387629658085,16487,0.15043541494427776,0.16151233764888395
1997,4th Quintile,Other Degree,0.05339992316557818,16487,0.0499679898857012,0.05683185644545516
1997,4th Quintile,Technical School Degree,0.03688052247406838,16487,0.03400362842571795,0.03975741652241881
1997,4th Quintile,"Dropout, No School Degree",0.020361121782558587,16487,0.018205268957403386,0.022516974607713788
1997,4th Quintile,No School Degree Yet,0.01920860545524395,16487,0.017113424711986003,0.021303786198501897
1997,4th Quintile,No School Attended,0.002305032654629274,16487,0.001573013097219768,0.0030370522120387795
1997,5th Quintile,Secondary School Degree,0.3183536329273415,16487,0.31124281236309714,0.3254644534915858
1997,5th Quintile,Intermediate School Degree,0.30701385972280554,16487,0.299972986612858,0.3140547328327531
1997,5th Quintile,Upper Secondary Degree,0.247795044099118,16487,0.2412048280000978,0.25438526019813823
1997,5th Quintile,Technical School Degree,0.05543889122217556,16487,0.051945819119256324,0.058931963325094795
1997,5th Quintile,Other Degree,0.0373792524149517,16487,0.03448372176141426,0.04027478306848914
1997,5th Quintile,No School Degree Yet,0.021839563208735827,16487,0.01960849795272794,0.024070628464743712
1997,5th Quintile,"Dropout, No School Degree",0.010919781604367913,16487,0.00933339882548777,0.012506164383248057
1997,5th Quintile,No School Attended,0.00125997480050399,16487,0.0007184823457353703,0.0018014672552726096
1998,1st Quintile,Secondary School Degree,0.4378619153674833,18147,0.4306434688549472,0.4450803618800194
1998,1st Quintile,Intermediate School Degree,0.21915367483296214,18147,0.21313486231104709,0.2251724873548772
1998,1st Quintile,Other Degree,0.13719376391982183,18147,0.13218791803295948,0.14219960980668417
1998,1st Quintile,Upper Secondary Degree,0.06948775055679288,18147,0.06578803082704708,0.07318747028653867
1998,1st Quintile,"Dropout, No School Degree",0.06503340757238307,18147,0.06144567590804824,0.0686211392367179
1998,1st Quintile,No School Degree Yet,0.03296213808463252,18147,0.030364473472697,0.03555980269656804
1998,1st Quintile,No School Attended,0.01915367483296214,18147,0.01715942212010287,0.02114792754582141
1998,1st Quintile,Technical School Degree,0.01915367483296214,18147,0.01715942212010287,0.02114792754582141
1998,2nd Quintile,Secondary School Degree,0.45358735306039727,18147,0.4463439193221819,0.4608307867986126
1998,2nd Quintile,Intermediate School Degree,0.29063640048642075,18147,0.28403002727586946,0.29724277369697205
1998,2nd Quintile,Other Degree,0.0976895014187272,18147,0.09336978135552912,0.10200922148192529
1998,2nd Quintile,Upper Secondary Degree,0.06769355492501013,18147,0.06403839270785781,0.07134871714216244
1998,2nd Quintile,"Dropout, No School Degree",0.040535062829347386,18147,0.037665712135612796,0.043404413523081976
1998,2nd Quintile,No School Degree Yet,0.029995946493717066,18147,0.027514118313945124,0.03247777467348901
1998,2nd Quintile,Technical School Degree,0.012160518848804215,18147,0.010565841247516725,0.013755196450091704
1998,2nd Quintile,No School Attended,0.007701661937576003,18147,0.006429720812273724,0.008973603062878283
1998,3rd Quintile,Secondary School Degree,0.4355680449618627,18147,0.42835385699672424,0.44278223292700114
1998,3rd Quintile,Intermediate School Degree,0.3119229225210759,18147,0.30518236463888276,0.31866348040326903
1998,3rd Quintile,Upper Secondary Degree,0.1055800883179446,18147,0.10110897793682247,0.11005119869906674
1998,3rd Quintile,Other Degree,0.067442794058611,18147,0.06379391751238282,0.07109167060483919
1998,3rd Quintile,No School Degree Yet,0.028502609393817744,18147,0.02608148679438468,0.030923731993250807
1998,3rd Quintile,Technical School Degree,0.02328382175832999,18147,0.021089678521903913,0.025477964994756064
1998,3rd Quintile,"Dropout, No School Degree",0.02328382175832999,18147,0.021089678521903913,0.025477964994756064
