"pgpsbil","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Abitur","1984","Realschulabschluss","Baden-Wuerttemberg","","","",""
"Abitur","1984","Realschulabschluss","Bayern","","","",""
"Abitur","1984","Realschulabschluss","Saarland","","","",""
"Abitur","1984","Realschulabschluss","Berlin","","","",""
"Abitur","1984","Realschulabschluss","Brandenburg","","","",""
"Abitur","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"Abitur","1984","Realschulabschluss","Sachsen","","","",""
"Abitur","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"Abitur","1984","Realschulabschluss","Thueringen","","","",""
"Abitur","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Abitur","1984","(Fach-)Abitur","Hamburg","","","",""
"Abitur","1984","(Fach-)Abitur","Niedersachsen","47","0.701775667068948","0.600895629307517","0.802655704830379"
"Abitur","1984","(Fach-)Abitur","Bremen","","","",""
"Abitur","1984","(Fach-)Abitur","Nordrhein-Westfalen","129","0.630073270834972","0.571502461965049","0.688644079704895"
"Abitur","1984","(Fach-)Abitur","Hessen","57","0.729562078251845","0.645003031353605","0.814121125150085"
"Abitur","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Abitur","1984","(Fach-)Abitur","Baden-Wuerttemberg","58","0.579375044356364","0.496407918204275","0.662342170508453"
"Abitur","1984","(Fach-)Abitur","Bayern","84","0.698824093441824","0.622557431424928","0.77509075545872"
"Abitur","1984","(Fach-)Abitur","Saarland","","","",""
"Abitur","1984","(Fach-)Abitur","Berlin","","","",""
"Abitur","1984","(Fach-)Abitur","Brandenburg","","","",""
"Abitur","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Abitur","1984","(Fach-)Abitur","Sachsen","","","",""
"Abitur","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Abitur","1984","(Fach-)Abitur","Thueringen","","","",""
"Abitur","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"Abitur","1984","AkademikerInnen","Hamburg","","","",""
"Abitur","1984","AkademikerInnen","Niedersachsen","52","0.675174348212876","0.571246026081477","0.779102670344274"
"Abitur","1984","AkademikerInnen","Bremen","","","",""
"Abitur","1984","AkademikerInnen","Nordrhein-Westfalen","147","0.683197666689152","0.62254341564268","0.743851917735624"
