"pgpsbil","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Ohne Abschluss verlassen","1996","35-65 Jahre alt","314","0.0233303230695256","0.0197107147009377","0.0269499314381136"
"Ohne Abschluss verlassen","1996","66 und älter","36","0.00972100542562334","0.00486311215407156","0.0145788986971751"
"Noch kein Abschluss","1996","16-34 Jahre alt","289","0.0658441680065374","0.0585907136017836","0.0730976224112913"
"Noch kein Abschluss","1996","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1996","66 und älter","","","",""
"Keine Schule besucht","1996","16-34 Jahre alt","","","",""
"Keine Schule besucht","1996","35-65 Jahre alt","70","0.0043326014389246","0.00275768009589125","0.00590752278195794"
"Keine Schule besucht","1996","66 und älter","","","",""
"Hauptschulabschluss","1997","16-34 Jahre alt","1207","0.258576586183323","0.245536461430344","0.271616710936303"
"Hauptschulabschluss","1997","35-65 Jahre alt","2811","0.510146038687013","0.49807388291045","0.522218194463575"
"Hauptschulabschluss","1997","66 und älter","1159","0.727149063730631","0.705330464060822","0.748967663400439"
"Realschulabschluss","1997","16-34 Jahre alt","1590","0.361028094494356","0.346723834988435","0.375332354000278"
"Realschulabschluss","1997","35-65 Jahre alt","1747","0.237299275862518","0.227025512812009","0.247573038913028"
"Realschulabschluss","1997","66 und älter","214","0.161431053797371","0.143408540535927","0.179453567058816"
"Fachhochschulreife","1997","16-34 Jahre alt","160","0.0443691855626196","0.0382366538854253","0.050501717239814"
"Fachhochschulreife","1997","35-65 Jahre alt","153","0.0331494848377481","0.0288261157044504","0.0374728539710458"
"Fachhochschulreife","1997","66 und älter","","","",""
"Abitur","1997","16-34 Jahre alt","734","0.203203589833307","0.191219822417052","0.215187357249563"
"Abitur","1997","35-65 Jahre alt","776","0.128132038561714","0.12006045984249","0.136203617280938"
"Abitur","1997","66 und älter","91","0.06069804009864","0.0490019050708242","0.0723941751264558"
"Anderer Abschluss","1997","16-34 Jahre alt","237","0.0494888500110298","0.0430295376308062","0.0559481623912535"
"Anderer Abschluss","1997","35-65 Jahre alt","732","0.0628522239735067","0.0569912657811765","0.0687131821658369"
"Anderer Abschluss","1997","66 und älter","58","0.0175780248443829","0.0111409805703803","0.0240150691183855"
"Ohne Abschluss verlassen","1997","16-34 Jahre alt","79","0.0132915585814193","0.00988091469643927","0.0167022024663993"
"Ohne Abschluss verlassen","1997","35-65 Jahre alt","300","0.0237744807475343","0.0200954378000311","0.0274535236950375"
"Ohne Abschluss verlassen","1997","66 und älter","38","0.0110595720867621","0.00593678091369358","0.0161823632598307"
"Noch kein Abschluss","1997","16-34 Jahre alt","313","0.0688245502904216","0.0612850693268541","0.076364031253989"
"Noch kein Abschluss","1997","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1997","66 und älter","","","",""
"Keine Schule besucht","1997","16-34 Jahre alt","","","",""
"Keine Schule besucht","1997","35-65 Jahre alt","68","0.00464645732996618","0.00300415193636655","0.00628876272356581"
"Keine Schule besucht","1997","66 und älter","","","",""
"Hauptschulabschluss","1998","16-34 Jahre alt","1200","0.244699412162932","0.232137190023708","0.257261634302155"
"Hauptschulabschluss","1998","35-65 Jahre alt","3152","0.48974624659611","0.478257571188343","0.501234922003877"
"Hauptschulabschluss","1998","66 und älter","1303","0.725536815334891","0.704944669714755","0.746128960955026"
"Realschulabschluss","1998","16-34 Jahre alt","1673","0.366351799316935","0.352273073151831","0.380430525482039"
"Realschulabschluss","1998","35-65 Jahre alt","1970","0.248117063071356","0.23819059550924","0.258043530633472"
"Realschulabschluss","1998","66 und älter","246","0.156846499181654","0.140065393863326","0.173627604499982"
"Fachhochschulreife","1998","16-34 Jahre alt","183","0.0493708160729958","0.0430404209400532","0.0557012112059384"
"Fachhochschulreife","1998","35-65 Jahre alt","184","0.0348758356921956","0.0306594026949024","0.0390922686894889"
"Fachhochschulreife","1998","66 und älter","","","",""
"Abitur","1998","16-34 Jahre alt","810","0.206811592134832","0.194976661612429","0.218646522657234"
"Abitur","1998","35-65 Jahre alt","907","0.132394800668178","0.124605690701475","0.140183910634881"
"Abitur","1998","66 und älter","105","0.0619028398674708","0.0507827314456484","0.0730229482892933"
"Anderer Abschluss","1998","16-34 Jahre alt","222","0.0471415074080316","0.0409484367964423","0.0533345780196209"
"Anderer Abschluss","1998","35-65 Jahre alt","712","0.0652390845290032","0.0595636972955115","0.070914471762495"
"Anderer Abschluss","1998","66 und älter","68","0.0223336256399401","0.0155148754552375","0.0291523758246428"
"Ohne Abschluss verlassen","1998","16-34 Jahre alt","69","0.0114385369583387","0.00833127997659915","0.0145457939400782"
"Ohne Abschluss verlassen","1998","35-65 Jahre alt","284","0.0246864903680577","0.0211203938536116","0.0282525868825037"
"Ohne Abschluss verlassen","1998","66 und älter","42","0.0125665418990677","0.00742620438606549","0.0177068794120698"
"Noch kein Abschluss","1998","16-34 Jahre alt","332","0.072755395806877","0.0651657788884472","0.0803450127253068"
"Noch kein Abschluss","1998","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1998","66 und älter","","","",""
"Keine Schule besucht","1998","16-34 Jahre alt","","","",""
"Keine Schule besucht","1998","35-65 Jahre alt","62","0.00460926447335525","0.00305256811873063","0.00616596082797987"
"Keine Schule besucht","1998","66 und älter","","","",""
"Hauptschulabschluss","1999","16-34 Jahre alt","1155","0.251361245192818","0.238418005218309","0.264304485167326"
"Hauptschulabschluss","1999","35-65 Jahre alt","3062","0.479525512318411","0.467994006011941","0.49105701862488"
"Hauptschulabschluss","1999","66 und älter","1312","0.71763588202646","0.696954992093238","0.738316771959682"
"Realschulabschluss","1999","16-34 Jahre alt","1597","0.36152155726007","0.347186550245439","0.375856564274701"
"Realschulabschluss","1999","35-65 Jahre alt","2035","0.25482425018647","0.244765820304232","0.264882680068707"
"Realschulabschluss","1999","66 und älter","233","0.148469292217853","0.132133850851928","0.164804733583777"
"Fachhochschulreife","1999","16-34 Jahre alt","172","0.0487129292828408","0.0422899634602944","0.0551358951053873"
"Fachhochschulreife","1999","35-65 Jahre alt","185","0.0340495341745013","0.0298633968201564","0.0382356715288463"
"Fachhochschulreife","1999","66 und älter","","","",""
"Abitur","1999","16-34 Jahre alt","806","0.209105786073992","0.19697189993779","0.221239672210195"
"Abitur","1999","35-65 Jahre alt","927","0.136136167180451","0.128220457377643","0.144051876983259"
"Abitur","1999","66 und älter","115","0.0701973269033732","0.0584600302965607","0.0819346235101857"
"Anderer Abschluss","1999","16-34 Jahre alt","191","0.0408912910105475","0.0349823858517462","0.0468001961693488"
"Anderer Abschluss","1999","35-65 Jahre alt","677","0.0675892942908005","0.0617946999184218","0.0733838886631791"
"Anderer Abschluss","1999","66 und älter","67","0.0236825477253612","0.0166966514358631","0.0306684440148594"
"Ohne Abschluss verlassen","1999","16-34 Jahre alt","68","0.0125584318844844","0.00923580862454157","0.0158810551444272"
"Ohne Abschluss verlassen","1999","35-65 Jahre alt","265","0.0237048481899848","0.0201933729201602","0.0272163234598094"
"Ohne Abschluss verlassen","1999","66 und älter","52","0.016991145053062","0.0110536612796445","0.0229286288264796"
"Noch kein Abschluss","1999","16-34 Jahre alt","319","0.0744951011864903","0.0666606079651861","0.0823295944077944"
"Noch kein Abschluss","1999","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1999","66 und älter","","","",""
"Keine Schule besucht","1999","16-34 Jahre alt","","","",""
"Keine Schule besucht","1999","35-65 Jahre alt","57","0.00383227448108737","0.00240609233349345","0.00525845662868129"
"Keine Schule besucht","1999","66 und älter","","","",""
"Hauptschulabschluss","2000","16-34 Jahre alt","1723","0.241366957106158","0.231439339793515","0.251294574418801"
"Hauptschulabschluss","2000","35-65 Jahre alt","5734","0.446795263203471","0.438393234246006","0.455197292160937"
"Hauptschulabschluss","2000","66 und älter","2535","0.691006518482069","0.675964371897277","0.70604866506686"
"Realschulabschluss","2000","16-34 Jahre alt","2627","0.355380753093234","0.34427651338065","0.366484992805819"
"Realschulabschluss","2000","35-65 Jahre alt","3884","0.26966562571621","0.262165636913537","0.277165614518882"
"Realschulabschluss","2000","66 und älter","489","0.14951988529161","0.137911397605779","0.16112837297744"
"Fachhochschulreife","2000","16-34 Jahre alt","360","0.0548402353548016","0.049558306947533","0.0601221637620702"
"Fachhochschulreife","2000","35-65 Jahre alt","573","0.0489749691241634","0.0453276815410987","0.0526222567072282"
"Fachhochschulreife","2000","66 und älter","90","0.0258953960574506","0.0207251863063622","0.0310656058085389"
"Abitur","2000","16-34 Jahre alt","1521","0.225679041249242","0.215980724503636","0.235377357994849"
"Abitur","2000","35-65 Jahre alt","1925","0.144852972729203","0.138904971491599","0.150800973966807"
"Abitur","2000","66 und älter","280","0.081820773081763","0.0728982104254851","0.0907433357380408"
"Anderer Abschluss","2000","16-34 Jahre alt","340","0.0481895370423878","0.0432208475539742","0.0531582265308015"
"Anderer Abschluss","2000","35-65 Jahre alt","1053","0.0706066085336615","0.0662773909413386","0.0749358261259844"
"Anderer Abschluss","2000","66 und älter","151","0.0317432293993382","0.0260361369120884","0.037450321886588"
"Ohne Abschluss verlassen","2000","16-34 Jahre alt","76","0.0112932317263933","0.0088417248487004","0.0137447386040863"
"Ohne Abschluss verlassen","2000","35-65 Jahre alt","263","0.018036311372085","0.0157872126166213","0.0202854101275487"
"Ohne Abschluss verlassen","2000","66 und älter","74","0.0189663694841543","0.0145259077001028","0.0234068312682058"
"Noch kein Abschluss","2000","16-34 Jahre alt","490","0.0632502444277819","0.0576030447911182","0.0688974440644457"
"Noch kein Abschluss","2000","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2000","66 und älter","","","",""
"Keine Schule besucht","2000","16-34 Jahre alt","","","",""
"Keine Schule besucht","2000","35-65 Jahre alt","","","",""
"Keine Schule besucht","2000","66 und älter","","","",""
"Hauptschulabschluss","2001","16-34 Jahre alt","1424","0.230150716971173","0.219695030453624","0.240606403488722"
"Hauptschulabschluss","2001","35-65 Jahre alt","5013","0.431335822975474","0.422580493078077","0.440091152872871"
"Hauptschulabschluss","2001","66 und älter","2351","0.677587361164409","0.66194773350457","0.693226988824248"
"Realschulabschluss","2001","16-34 Jahre alt","2256","0.348442575186815","0.336607105721951","0.360278044651679"
"Realschulabschluss","2001","35-65 Jahre alt","3712","0.278415682323906","0.270491997266469","0.286339367381343"
"Realschulabschluss","2001","66 und älter","481","0.152402094293625","0.140375902186562","0.164428286400688"
"Fachhochschulreife","2001","16-34 Jahre alt","313","0.0549465432874016","0.0492862112438002","0.060606875331003"
"Fachhochschulreife","2001","35-65 Jahre alt","557","0.0510191261812981","0.0471292833591745","0.0549089690034217"
"Fachhochschulreife","2001","66 und älter","95","0.0286253513574459","0.0230457068809925","0.0342049958338993"
"Abitur","2001","16-34 Jahre alt","1357","0.232343263000002","0.221852861560364","0.242833664439639"
"Abitur","2001","35-65 Jahre alt","1851","0.152251164726501","0.14590003873875","0.158602290714253"
"Abitur","2001","66 und älter","287","0.0889069374073292","0.079383649216423","0.0984302255982355"
"Anderer Abschluss","2001","16-34 Jahre alt","268","0.0463353868803766","0.041113857048548","0.0515569167122053"
"Anderer Abschluss","2001","35-65 Jahre alt","958","0.0727701091836641","0.068178054615747","0.0773621637515811"
"Anderer Abschluss","2001","66 und älter","150","0.0342086939928961","0.0281266770607889","0.0402907109250034"
"Ohne Abschluss verlassen","2001","16-34 Jahre alt","58","0.0103285884405058","0.00781722520809498","0.0128399516729166"
"Ohne Abschluss verlassen","2001","35-65 Jahre alt","192","0.0137723768795876","0.0117120798055333","0.015832673953642"
"Ohne Abschluss verlassen","2001","66 und älter","65","0.0178743730353994","0.0134409756341869","0.022307770436612"
"Noch kein Abschluss","2001","16-34 Jahre alt","550","0.077452926233726","0.0708130999698264","0.0840927524976255"
"Noch kein Abschluss","2001","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2001","66 und älter","","","",""
"Keine Schule besucht","2001","16-34 Jahre alt","","","",""
"Keine Schule besucht","2001","35-65 Jahre alt","","","",""
"Keine Schule besucht","2001","66 und älter","","","",""
"Hauptschulabschluss","2002","16-34 Jahre alt","1250","0.228132497411955","0.217541072524706","0.238723922299205"
"Hauptschulabschluss","2002","35-65 Jahre alt","4725","0.426556110038497","0.41815012766166","0.434962092415333"
"Hauptschulabschluss","2002","66 und älter","2405","0.6797476521806","0.664563367673967","0.694931936687233"
"Realschulabschluss","2002","16-34 Jahre alt","2124","0.343984039707963","0.331994133551295","0.35597394586463"
"Realschulabschluss","2002","35-65 Jahre alt","4075","0.28719140885363","0.279501395189629","0.29488142251763"
"Realschulabschluss","2002","66 und älter","515","0.154716695138844","0.142947573570326","0.166485816707361"
"Fachhochschulreife","2002","16-34 Jahre alt","304","0.0537749948199647","0.048081527477664","0.0594684621622654"
"Fachhochschulreife","2002","35-65 Jahre alt","696","0.051726673417995","0.0479624189997628","0.0554909278362273"
"Fachhochschulreife","2002","66 und älter","96","0.0239936063592388","0.0190133877206537","0.0289738249978239"
"Abitur","2002","16-34 Jahre alt","1462","0.236806539891517","0.226076444049967","0.247536635733068"
"Abitur","2002","35-65 Jahre alt","2673","0.14508199308842","0.139096169469232","0.151067816707608"
"Abitur","2002","66 und älter","385","0.08673172284871","0.0775724185846977","0.0958910271127222"
"Anderer Abschluss","2002","16-34 Jahre alt","221","0.0444648638680526","0.0392622541352653","0.0496674736008398"
"Anderer Abschluss","2002","35-65 Jahre alt","950","0.0751100308440095","0.0706303308363049","0.0795897308517141"
"Anderer Abschluss","2002","66 und älter","158","0.0368457984467489","0.0307150116839899","0.0429765852095079"
"Ohne Abschluss verlassen","2002","16-34 Jahre alt","51","0.0103740187190504","0.00781661970803041","0.0129314177300703"
"Ohne Abschluss verlassen","2002","35-65 Jahre alt","174","0.0140213618507618","0.012022955605433","0.0160197680960906"
"Ohne Abschluss verlassen","2002","66 und älter","66","0.0175490639048084","0.0132758294015114","0.0218222984081055"
"Noch kein Abschluss","2002","16-34 Jahre alt","618","0.0824630455814969","0.0755203055660442","0.0894057855969497"
"Noch kein Abschluss","2002","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2002","66 und älter","","","",""
"Keine Schule besucht","2002","16-34 Jahre alt","","","",""
"Keine Schule besucht","2002","35-65 Jahre alt","","","",""
"Keine Schule besucht","2002","66 und älter","","","",""
"Hauptschulabschluss","2003","16-34 Jahre alt","1161","0.224100521610484","0.213237164931085","0.234963878289884"
"Hauptschulabschluss","2003","35-65 Jahre alt","4361","0.408308862253517","0.399749944395667","0.416867780111366"
"Hauptschulabschluss","2003","66 und älter","2430","0.669545715318469","0.65437711679631","0.684714313840627"
"Realschulabschluss","2003","16-34 Jahre alt","1928","0.337986640315066","0.325663453866038","0.350309826764093"
"Realschulabschluss","2003","35-65 Jahre alt","4024","0.294762282370908","0.286823011052089","0.302701553689726"
"Realschulabschluss","2003","66 und älter","519","0.151023364112031","0.139476352972579","0.162570375251484"
"Fachhochschulreife","2003","16-34 Jahre alt","295","0.0554385746106344","0.0494769996929883","0.0614001495282805"
"Fachhochschulreife","2003","35-65 Jahre alt","659","0.0520949432164751","0.0482254229331792","0.0559644634997709"
"Fachhochschulreife","2003","66 und älter","109","0.0311406630437139","0.0255392972157712","0.0367420288716566"
"Abitur","2003","16-34 Jahre alt","1392","0.237496534262063","0.226410162836183","0.248582905687943"
"Abitur","2003","35-65 Jahre alt","2596","0.155793488028946","0.14947845069727","0.162108525360621"
"Abitur","2003","66 und älter","396","0.0883951365992514","0.0792410050776905","0.0975492681208123"
"Anderer Abschluss","2003","16-34 Jahre alt","214","0.0469553106281248","0.0414442033216534","0.0524664179345962"
"Anderer Abschluss","2003","35-65 Jahre alt","862","0.0740576073713125","0.0694977238890229","0.0786174908536021"
"Anderer Abschluss","2003","66 und älter","175","0.0414208295599178","0.0349950912385155","0.04784656788132"
"Ohne Abschluss verlassen","2003","16-34 Jahre alt","51","0.0115518507822076","0.00876802144761532","0.0143356801167999"
"Ohne Abschluss verlassen","2003","35-65 Jahre alt","163","0.0146819404816521","0.0125875537688055","0.0167763271944987"
"Ohne Abschluss verlassen","2003","66 und älter","64","0.0184079528949674","0.0140731644386021","0.0227427413513327"
"Noch kein Abschluss","2003","16-34 Jahre alt","619","0.0864705677914201","0.0791484737439697","0.0937926618388704"
"Noch kein Abschluss","2003","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2003","66 und älter","","","",""
"Keine Schule besucht","2003","16-34 Jahre alt","","","",""
"Keine Schule besucht","2003","35-65 Jahre alt","","","",""
"Keine Schule besucht","2003","66 und älter","","","",""
"Hauptschulabschluss","2004","16-34 Jahre alt","1047","0.228010915584153","0.216782264378095","0.23923956679021"
"Hauptschulabschluss","2004","35-65 Jahre alt","4074","0.395904885571861","0.387239374201863","0.404570396941859"
"Hauptschulabschluss","2004","66 und älter","2475","0.661897635023304","0.64687050059186","0.676924769454748"
"Realschulabschluss","2004","16-34 Jahre alt","1774","0.327027594477962","0.314472065322503","0.33958312363342"
"Realschulabschluss","2004","35-65 Jahre alt","3985","0.301816351030007","0.293682385584699","0.309950316475315"
"Realschulabschluss","2004","66 und älter","546","0.15028937113524","0.138937791202165","0.161640951068315"
"Fachhochschulreife","2004","16-34 Jahre alt","287","0.0555993565001906","0.0494665789478701","0.0617321340525111"
"Fachhochschulreife","2004","35-65 Jahre alt","647","0.0511175619576434","0.047215111713243","0.0550200122020437"
"Fachhochschulreife","2004","66 und älter","122","0.0329452577507419","0.027275315482211","0.0386152000192727"
"Abitur","2004","16-34 Jahre alt","1381","0.241638631451937","0.230181774857784","0.25309548804609"
"Abitur","2004","35-65 Jahre alt","2535","0.156449197437508","0.150012125013158","0.162886269861859"
"Abitur","2004","66 und älter","420","0.0918172019302539","0.0826443303102013","0.100990073550307"
"Anderer Abschluss","2004","16-34 Jahre alt","188","0.0420257324224486","0.0366556771001663","0.0473957877447309"
"Anderer Abschluss","2004","35-65 Jahre alt","835","0.0794408672278524","0.0746491195845392","0.0842326148711657"
"Anderer Abschluss","2004","66 und älter","177","0.0429402477131685","0.0365006542353099","0.0493798411910271"
"Ohne Abschluss verlassen","2004","16-34 Jahre alt","44","0.010427942344307","0.00770920523551358","0.0131466794531005"
"Ohne Abschluss verlassen","2004","35-65 Jahre alt","155","0.015099296663224","0.0129384662343588","0.0172601270920892"
"Ohne Abschluss verlassen","2004","66 und älter","66","0.0200407827583986","0.0155891636920339","0.0244924018247632"
"Noch kein Abschluss","2004","16-34 Jahre alt","642","0.0952698272190022","0.0874123809756666","0.103127273462338"
"Noch kein Abschluss","2004","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2004","66 und älter","","","",""
"Keine Schule besucht","2004","16-34 Jahre alt","","","",""
"Keine Schule besucht","2004","35-65 Jahre alt","","","",""
"Keine Schule besucht","2004","66 und älter","","","",""
"Hauptschulabschluss","2005","16-34 Jahre alt","951","0.224715435586743","0.213154145015617","0.236276726157868"
"Hauptschulabschluss","2005","35-65 Jahre alt","3729","0.374348311304004","0.365543682369249","0.383152940238759"
"Hauptschulabschluss","2005","66 und älter","2448","0.658342031633723","0.643278694718445","0.673405368549002"
"Realschulabschluss","2005","16-34 Jahre alt","1618","0.317653153369551","0.304757644775156","0.330548661963946"
"Realschulabschluss","2005","35-65 Jahre alt","3876","0.314021151507611","0.305577279896671","0.322465023118551"
"Realschulabschluss","2005","66 und älter","547","0.147832335089929","0.136559144092815","0.159105526087043"
"Fachhochschulreife","2005","16-34 Jahre alt","272","0.0536522385746879","0.0474108876983647","0.0598935894510111"
"Fachhochschulreife","2005","35-65 Jahre alt","622","0.0519282806041701","0.0478915536427138","0.0559650075656264"
"Fachhochschulreife","2005","66 und älter","128","0.0354616626091853","0.0295875953495338","0.0413357298688368"
"Abitur","2005","16-34 Jahre alt","1307","0.243517945044305","0.231629526250688","0.255406363837922"
"Abitur","2005","35-65 Jahre alt","2437","0.160542448757482","0.153863607528154","0.16722128998681"
"Abitur","2005","66 und älter","442","0.0940080999289167","0.0847388537610403","0.103277346096793"
"Anderer Abschluss","2005","16-34 Jahre alt","162","0.0444766023365962","0.0387664754377154","0.0501867292354769"
"Anderer Abschluss","2005","35-65 Jahre alt","795","0.0825971860906849","0.0775891267305004","0.0876052454508693"
"Anderer Abschluss","2005","66 und älter","178","0.0441801741566609","0.037653358447094","0.0507069898662278"
"Ohne Abschluss verlassen","2005","16-34 Jahre alt","41","0.0116586107486375","0.00868532815733826","0.0146318933399368"
"Ohne Abschluss verlassen","2005","35-65 Jahre alt","143","0.0164427741232207","0.0141291427219898","0.0187564055244516"
"Ohne Abschluss verlassen","2005","66 und älter","64","0.0201050985677398","0.0156470738362437","0.024563123299236"
"Noch kein Abschluss","2005","16-34 Jahre alt","656","0.10432601433948","0.0958589943792991","0.112793034299661"
"Noch kein Abschluss","2005","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2005","66 und älter","","","",""
"Keine Schule besucht","2005","16-34 Jahre alt","","","",""
"Keine Schule besucht","2005","35-65 Jahre alt","","","",""
"Keine Schule besucht","2005","66 und älter","","","",""
"Hauptschulabschluss","2006","16-34 Jahre alt","946","0.222789873418443","0.211333511194816","0.234246235642069"
"Hauptschulabschluss","2006","35-65 Jahre alt","3903","0.355260471215058","0.34683269325302","0.363688249177095"
"Hauptschulabschluss","2006","66 und älter","2822","0.640654055616528","0.626589891686734","0.654718219546321"
"Realschulabschluss","2006","16-34 Jahre alt","1634","0.315798495446595","0.303000945634628","0.328596045258562"
"Realschulabschluss","2006","35-65 Jahre alt","4215","0.321823692864628","0.313596952215592","0.330050433513665"
"Realschulabschluss","2006","66 und älter","671","0.155819389714532","0.145188387906983","0.166450391522081"
"Fachhochschulreife","2006","16-34 Jahre alt","302","0.058320446229599","0.0518684845768829","0.0647724078823152"
"Fachhochschulreife","2006","35-65 Jahre alt","666","0.0513364633485993","0.0474503401031713","0.0552225865940273"
"Fachhochschulreife","2006","66 und älter","156","0.0350548244266236","0.0296638040445961","0.0404458448086511"
"Abitur","2006","16-34 Jahre alt","1331","0.240340641045399","0.228576699933022","0.252104582157776"
"Abitur","2006","35-65 Jahre alt","2657","0.174916787683389","0.168227003389419","0.18160657197736"
"Abitur","2006","66 und älter","520","0.0964767608451552","0.0878225638524231","0.105130957837887"
"Anderer Abschluss","2006","16-34 Jahre alt","182","0.0534903972057747","0.0472955555276133","0.0596852388839361"
"Anderer Abschluss","2006","35-65 Jahre alt","804","0.0800173807422118","0.0752395642022188","0.0847951972822048"
"Anderer Abschluss","2006","66 und älter","218","0.0503658211490297","0.0439553214497252","0.0567763208483342"
"Ohne Abschluss verlassen","2006","16-34 Jahre alt","38","0.0117659723873047","0.00879722255651502","0.0147347222180944"
"Ohne Abschluss verlassen","2006","35-65 Jahre alt","131","0.0156614276720461","0.0134749984703298","0.0178478568737624"
"Ohne Abschluss verlassen","2006","66 und älter","75","0.0200608757346147","0.0159510798908952","0.0241706715783342"
"Noch kein Abschluss","2006","16-34 Jahre alt","635","0.097494174266885","0.0893275208021404","0.10566082773163"
"Noch kein Abschluss","2006","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2006","66 und älter","","","",""
"Keine Schule besucht","2006","16-34 Jahre alt","","","",""
"Keine Schule besucht","2006","35-65 Jahre alt","","","",""
"Keine Schule besucht","2006","66 und älter","","","",""
"Hauptschulabschluss","2007","16-34 Jahre alt","801","0.198906602909375","0.187428379738737","0.210384826080013"
"Hauptschulabschluss","2007","35-65 Jahre alt","3462","0.3432824013946","0.334581781902505","0.351983020886696"
"Hauptschulabschluss","2007","66 und älter","2726","0.637482988946448","0.623260886718515","0.65170509117438"
"Realschulabschluss","2007","16-34 Jahre alt","1449","0.312472349590763","0.299144521900966","0.325800177280561"
"Realschulabschluss","2007","35-65 Jahre alt","3974","0.326678105335526","0.318083885445701","0.335272325225351"
"Realschulabschluss","2007","66 und älter","684","0.153943421312171","0.143266511576856","0.164620331047486"
"Fachhochschulreife","2007","16-34 Jahre alt","265","0.0569155007334907","0.0502535859634518","0.0635774155035297"
"Fachhochschulreife","2007","35-65 Jahre alt","628","0.0535685707163867","0.0494425188280505","0.0576946226047229"
"Fachhochschulreife","2007","66 und älter","167","0.0410190610867118","0.0351514253393255","0.0468866968340981"
"Abitur","2007","16-34 Jahre alt","1318","0.259218752666064","0.246618284356438","0.271819220975691"
"Abitur","2007","35-65 Jahre alt","2536","0.180122592797941","0.173080631510828","0.187164554085053"
"Abitur","2007","66 und älter","538","0.0992160443625223","0.0903716810226364","0.108060407702408"
"Anderer Abschluss","2007","16-34 Jahre alt","148","0.0496241878207147","0.0433796128850718","0.0558687627563576"
"Anderer Abschluss","2007","35-65 Jahre alt","724","0.0810023672377716","0.0760026996473543","0.086002034828189"
"Anderer Abschluss","2007","66 und älter","206","0.0501062273335154","0.0436519343886255","0.0565605202784053"
"Ohne Abschluss verlassen","2007","16-34 Jahre alt","35","0.0106417562595563","0.00769128131821885","0.0135922312008937"
"Ohne Abschluss verlassen","2007","35-65 Jahre alt","114","0.0152332442025249","0.0129888560348373","0.0174776323702124"
"Ohne Abschluss verlassen","2007","66 und älter","67","0.0181360603693607","0.0141881941072589","0.0220839266314625"
"Noch kein Abschluss","2007","16-34 Jahre alt","630","0.112220850020036","0.103144782129147","0.121296917910925"
"Noch kein Abschluss","2007","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2007","66 und älter","","","",""
"Keine Schule besucht","2007","16-34 Jahre alt","","","",""
"Keine Schule besucht","2007","35-65 Jahre alt","","","",""
"Keine Schule besucht","2007","66 und älter","","","",""
"Hauptschulabschluss","2008","16-34 Jahre alt","696","0.195824407537255","0.183792880262167","0.207855934812343"
"Hauptschulabschluss","2008","35-65 Jahre alt","3179","0.339196332908797","0.330206882096961","0.348185783720633"
"Hauptschulabschluss","2008","66 und älter","2650","0.623693561745845","0.609291995522836","0.638095127968854"
"Realschulabschluss","2008","16-34 Jahre alt","1326","0.312301751836015","0.298251048163853","0.326352455508177"
"Realschulabschluss","2008","35-65 Jahre alt","3773","0.331858691428078","0.322917773181236","0.340799609674919"
"Realschulabschluss","2008","66 und älter","700","0.163355245747227","0.15236543130131","0.174345060193145"
"Fachhochschulreife","2008","16-34 Jahre alt","256","0.0666683913825379","0.0591054648667501","0.0742313178983257"
"Fachhochschulreife","2008","35-65 Jahre alt","597","0.0532997412652908","0.0490345337838928","0.0575649487466888"
"Fachhochschulreife","2008","66 und älter","166","0.0419797563421178","0.0360181873990311","0.0479413252852045"
"Abitur","2008","16-34 Jahre alt","1190","0.261726939491365","0.248399564134549","0.27505431484818"
"Abitur","2008","35-65 Jahre alt","2379","0.183347297701034","0.176000005323909","0.190694590078158"
"Abitur","2008","66 und älter","566","0.103646245323632","0.0945853778379269","0.112707112809336"
"Anderer Abschluss","2008","16-34 Jahre alt","118","0.0430398706006232","0.0368867658892501","0.0491929753119964"
"Anderer Abschluss","2008","35-65 Jahre alt","626","0.0781169104298389","0.0730214689579807","0.0832123519016971"
"Anderer Abschluss","2008","66 und älter","207","0.052404872750347","0.0457804122371214","0.0590293332635727"
"Ohne Abschluss verlassen","2008","16-34 Jahre alt","33","0.0116368632503865","0.00838533044276198","0.0148883960580111"
"Ohne Abschluss verlassen","2008","35-65 Jahre alt","99","0.0140528727968364","0.0118178562923541","0.0162878893013187"
"Ohne Abschluss verlassen","2008","66 und älter","58","0.014920318090831","0.0113163744339831","0.0185242617476789"
"Noch kein Abschluss","2008","16-34 Jahre alt","560","0.108801775901818","0.0993607964213021","0.118242755382333"
"Noch kein Abschluss","2008","35-65 Jahre alt","","","",""
"Noch kein Abschluss","2008","66 und älter","","","",""
"Keine Schule besucht","2008","16-34 Jahre alt","","","",""
"Keine Schule besucht","2008","35-65 Jahre alt","","","",""
"Keine Schule besucht","2008","66 und älter","","","",""
