"hgowner","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1989","4","Laendlicher Raum","","","",""
"Eigentuemer","1989","5","Staedtischer Raum","","","",""
"Eigentuemer","1989","5","Laendlicher Raum","","","",""
"Hauptmieter","1989","1","Staedtischer Raum","4380","0.586683244991367","0.57508361133374","0.598282878648994"
"Hauptmieter","1989","1","Laendlicher Raum","792","0.424588532448382","0.401057736038309","0.448119328858456"
"Hauptmieter","1989","2","Staedtischer Raum","1803","0.37187683795163","0.354721813249283","0.389031862653976"
"Hauptmieter","1989","2","Laendlicher Raum","348","0.252541775169631","0.224436565637855","0.280646984701407"
"Hauptmieter","1989","3","Staedtischer Raum","","","",""
"Hauptmieter","1989","3","Laendlicher Raum","","","",""
"Hauptmieter","1989","4","Staedtischer Raum","","","",""
"Hauptmieter","1989","4","Laendlicher Raum","","","",""
"Hauptmieter","1989","5","Staedtischer Raum","","","",""
"Hauptmieter","1989","5","Laendlicher Raum","","","",""
"Untermieter","1989","1","Staedtischer Raum","139","0.0224040626190307","0.0189179291674409","0.0258901960706204"
"Untermieter","1989","1","Laendlicher Raum","41","0.0328243052666651","0.0243420039025065","0.0413066066308237"
"Untermieter","1989","2","Staedtischer Raum","39","0.0165938417761209","0.0120595515662492","0.0211281319859927"
"Untermieter","1989","2","Laendlicher Raum","","","",""
"Untermieter","1989","3","Staedtischer Raum","","","",""
"Untermieter","1989","3","Laendlicher Raum","","","",""
"Untermieter","1989","4","Staedtischer Raum","","","",""
"Untermieter","1989","4","Laendlicher Raum","","","",""
"Untermieter","1989","5","Staedtischer Raum","","","",""
"Untermieter","1989","5","Laendlicher Raum","","","",""
"Mieter","1989","1","Staedtischer Raum","","","",""
"Mieter","1989","1","Laendlicher Raum","","","",""
"Mieter","1989","2","Staedtischer Raum","","","",""
"Mieter","1989","2","Laendlicher Raum","","","",""
"Mieter","1989","3","Staedtischer Raum","","","",""
"Mieter","1989","3","Laendlicher Raum","","","",""
"Mieter","1989","4","Staedtischer Raum","","","",""
"Mieter","1989","4","Laendlicher Raum","","","",""
"Mieter","1989","5","Staedtischer Raum","","","",""
"Mieter","1989","5","Laendlicher Raum","","","",""
"Eigentuemer","1990","1","Staedtischer Raum","2626","0.362109163261572","0.351917716806577","0.372300609716567"
"Eigentuemer","1990","1","Laendlicher Raum","2138","0.479399089603203","0.465304400643794","0.493493778562613"
"Eigentuemer","1990","2","Staedtischer Raum","1256","0.554428975290628","0.537486451798614","0.571371498782641"
"Eigentuemer","1990","2","Laendlicher Raum","993","0.660752374257851","0.638305553726289","0.683199194789413"
"Eigentuemer","1990","3","Staedtischer Raum","","","",""
"Eigentuemer","1990","3","Laendlicher Raum","","","",""
"Eigentuemer","1990","4","Staedtischer Raum","","","",""
"Eigentuemer","1990","4","Laendlicher Raum","","","",""
"Eigentuemer","1990","5","Staedtischer Raum","","","",""
"Eigentuemer","1990","5","Laendlicher Raum","","","",""
"Hauptmieter","1990","1","Staedtischer Raum","5703","0.611942697184494","0.601609226864577","0.622276167504411"
"Hauptmieter","1990","1","Laendlicher Raum","2484","0.477853185075238","0.463760362271217","0.491946007879258"
"Hauptmieter","1990","2","Staedtischer Raum","2020","0.438020461566992","0.421108105354397","0.454932817779587"
"Hauptmieter","1990","2","Laendlicher Raum","676","0.321120987785251","0.2989845570684","0.343257418502101"
"Hauptmieter","1990","3","Staedtischer Raum","","","",""
"Hauptmieter","1990","3","Laendlicher Raum","","","",""
"Hauptmieter","1990","4","Staedtischer Raum","","","",""
"Hauptmieter","1990","4","Laendlicher Raum","","","",""
"Hauptmieter","1990","5","Staedtischer Raum","","","",""
"Hauptmieter","1990","5","Laendlicher Raum","","","",""
"Untermieter","1990","1","Staedtischer Raum","210","0.0256533381283959","0.0223008165536735","0.0290058597031182"
"Untermieter","1990","1","Laendlicher Raum","199","0.0416215105861035","0.0359866668076228","0.0472563543645842"
"Untermieter","1990","2","Staedtischer Raum","","","",""
"Untermieter","1990","2","Laendlicher Raum","40","0.0181266379568982","0.0118015957347129","0.0244516801790836"
"Untermieter","1990","3","Staedtischer Raum","","","",""
"Untermieter","1990","3","Laendlicher Raum","","","",""
"Untermieter","1990","4","Staedtischer Raum","","","",""
"Untermieter","1990","4","Laendlicher Raum","","","",""
"Untermieter","1990","5","Staedtischer Raum","","","",""
"Untermieter","1990","5","Laendlicher Raum","","","",""
"Mieter","1990","1","Staedtischer Raum","","","",""
"Mieter","1990","1","Laendlicher Raum","","","",""
"Mieter","1990","2","Staedtischer Raum","","","",""
"Mieter","1990","2","Laendlicher Raum","","","",""
"Mieter","1990","3","Staedtischer Raum","","","",""
"Mieter","1990","3","Laendlicher Raum","","","",""
"Mieter","1990","4","Staedtischer Raum","","","",""
"Mieter","1990","4","Laendlicher Raum","","","",""
"Mieter","1990","5","Staedtischer Raum","","","",""
"Mieter","1990","5","Laendlicher Raum","","","",""
"Eigentuemer","1991","1","Staedtischer Raum","2643","0.363825311026002","0.353601930587086","0.374048691464918"
"Eigentuemer","1991","1","Laendlicher Raum","2078","0.479153955135623","0.464884017079109","0.493423893192137"
"Eigentuemer","1991","2","Staedtischer Raum","1219","0.571625337678057","0.554259008585571","0.588991666770543"
"Eigentuemer","1991","2","Laendlicher Raum","989","0.657812964104155","0.63507178678541","0.6805541414229"
"Eigentuemer","1991","3","Staedtischer Raum","","","",""
"Eigentuemer","1991","3","Laendlicher Raum","","","",""
"Eigentuemer","1991","4","Staedtischer Raum","","","",""
"Eigentuemer","1991","4","Laendlicher Raum","","","",""
"Eigentuemer","1991","5","Staedtischer Raum","","","",""
"Eigentuemer","1991","5","Laendlicher Raum","","","",""
"Hauptmieter","1991","1","Staedtischer Raum","5641","0.606648384449746","0.596267870260718","0.617028898638775"
"Hauptmieter","1991","1","Laendlicher Raum","2375","0.471228346287261","0.456969655525604","0.485487037048918"
"Hauptmieter","1991","2","Staedtischer Raum","1878","0.423871539922125","0.406528820531528","0.441214259312722"
"Hauptmieter","1991","2","Laendlicher Raum","636","0.323561590969766","0.301137101454917","0.345986080484615"
"Hauptmieter","1991","3","Staedtischer Raum","","","",""
"Hauptmieter","1991","3","Laendlicher Raum","","","",""
"Hauptmieter","1991","4","Staedtischer Raum","","","",""
"Hauptmieter","1991","4","Laendlicher Raum","","","",""
"Hauptmieter","1991","5","Staedtischer Raum","","","",""
"Hauptmieter","1991","5","Laendlicher Raum","","","",""
"Untermieter","1991","1","Staedtischer Raum","207","0.0271362376496697","0.0236835228601322","0.0305889524392072"
"Untermieter","1991","1","Laendlicher Raum","249","0.0488374402064816","0.0426809430433413","0.0549939373696219"
"Untermieter","1991","2","Staedtischer Raum","","","",""
"Untermieter","1991","2","Laendlicher Raum","47","0.0186254449260785","0.0121450618492905","0.0251058280028665"
"Untermieter","1991","3","Staedtischer Raum","","","",""
"Untermieter","1991","3","Laendlicher Raum","","","",""
"Untermieter","1991","4","Staedtischer Raum","","","",""
"Untermieter","1991","4","Laendlicher Raum","","","",""
"Untermieter","1991","5","Staedtischer Raum","","","",""
"Untermieter","1991","5","Laendlicher Raum","","","",""
"Mieter","1991","1","Staedtischer Raum","","","",""
"Mieter","1991","1","Laendlicher Raum","","","",""
"Mieter","1991","2","Staedtischer Raum","","","",""
"Mieter","1991","2","Laendlicher Raum","","","",""
"Mieter","1991","3","Staedtischer Raum","","","",""
"Mieter","1991","3","Laendlicher Raum","","","",""
"Mieter","1991","4","Staedtischer Raum","","","",""
"Mieter","1991","4","Laendlicher Raum","","","",""
"Mieter","1991","5","Staedtischer Raum","","","",""
"Mieter","1991","5","Laendlicher Raum","","","",""
"Eigentuemer","1992","1","Staedtischer Raum","2706","0.376365390693324","0.366086607249048","0.386644174137599"
"Eigentuemer","1992","1","Laendlicher Raum","2005","0.477443456794398","0.46295865151231","0.491928262076486"
"Eigentuemer","1992","2","Staedtischer Raum","1226","0.588253923949966","0.570607571652547","0.605900276247384"
"Eigentuemer","1992","2","Laendlicher Raum","940","0.65947043857176","0.636051953059551","0.682888924083969"
"Eigentuemer","1992","3","Staedtischer Raum","","","",""
"Eigentuemer","1992","3","Laendlicher Raum","","","",""
"Eigentuemer","1992","4","Staedtischer Raum","","","",""
"Eigentuemer","1992","4","Laendlicher Raum","","","",""
"Eigentuemer","1992","5","Staedtischer Raum","","","",""
"Eigentuemer","1992","5","Laendlicher Raum","","","",""
"Hauptmieter","1992","1","Staedtischer Raum","5601","0.594056025684041","0.583637205946278","0.604474845421804"
"Hauptmieter","1992","1","Laendlicher Raum","2391","0.484431279196882","0.469938742370343","0.498923816023422"
"Hauptmieter","1992","2","Staedtischer Raum","1734","0.403533219882646","0.385942218154438","0.421124221610853"
"Hauptmieter","1992","2","Laendlicher Raum","620","0.33539587565796","0.312064298091471","0.358727453224449"
"Hauptmieter","1992","3","Staedtischer Raum","","","",""
"Hauptmieter","1992","3","Laendlicher Raum","","","",""
"Hauptmieter","1992","4","Staedtischer Raum","","","",""
"Hauptmieter","1992","4","Laendlicher Raum","","","",""
"Hauptmieter","1992","5","Staedtischer Raum","","","",""
"Hauptmieter","1992","5","Laendlicher Raum","","","",""
"Untermieter","1992","1","Staedtischer Raum","222","0.0288600724399368","0.0253081670823892","0.0324119777974845"
"Untermieter","1992","1","Laendlicher Raum","168","0.0367322733242566","0.0312774278544246","0.0421871187940886"
"Untermieter","1992","2","Staedtischer Raum","","","",""
"Untermieter","1992","2","Laendlicher Raum","","","",""
"Untermieter","1992","3","Staedtischer Raum","","","",""
"Untermieter","1992","3","Laendlicher Raum","","","",""
"Untermieter","1992","4","Staedtischer Raum","","","",""
"Untermieter","1992","4","Laendlicher Raum","","","",""
"Untermieter","1992","5","Staedtischer Raum","","","",""
"Untermieter","1992","5","Laendlicher Raum","","","",""
"Mieter","1992","1","Staedtischer Raum","","","",""
"Mieter","1992","1","Laendlicher Raum","","","",""
"Mieter","1992","2","Staedtischer Raum","","","",""
"Mieter","1992","2","Laendlicher Raum","","","",""
"Mieter","1992","3","Staedtischer Raum","","","",""
"Mieter","1992","3","Laendlicher Raum","","","",""
"Mieter","1992","4","Staedtischer Raum","","","",""
"Mieter","1992","4","Laendlicher Raum","","","",""
"Mieter","1992","5","Staedtischer Raum","","","",""
"Mieter","1992","5","Laendlicher Raum","","","",""
"Eigentuemer","1993","1","Staedtischer Raum","2627","0.381361905566495","0.371008005868901","0.391715805264088"
"Eigentuemer","1993","1","Laendlicher Raum","2011","0.478568821618219","0.46409840965574","0.493039233580697"
"Eigentuemer","1993","2","Staedtischer Raum","1253","0.598307618729292","0.580628854275789","0.615986383182795"
"Eigentuemer","1993","2","Laendlicher Raum","931","0.662994254721763","0.63939380349282","0.686594705950705"
"Eigentuemer","1993","3","Staedtischer Raum","","","",""
"Eigentuemer","1993","3","Laendlicher Raum","","","",""
"Eigentuemer","1993","4","Staedtischer Raum","","","",""
"Eigentuemer","1993","4","Laendlicher Raum","","","",""
"Eigentuemer","1993","5","Staedtischer Raum","","","",""
"Eigentuemer","1993","5","Laendlicher Raum","","","",""
"Hauptmieter","1993","1","Staedtischer Raum","5588","0.588722553016678","0.578233416123879","0.599211689909477"
"Hauptmieter","1993","1","Laendlicher Raum","2394","0.481575729467825","0.467101843222327","0.496049615713322"
"Hauptmieter","1993","2","Staedtischer Raum","1678","0.394367413673295","0.376743677860554","0.411991149486037"
