year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1990,66 and older,2nd Quintile,,,,,,,,,,,,
1990,66 and older,3rd Quintile,,,,,,,,,,,,
1990,66 and older,4th Quintile,,,,,,,,,,,,
1990,66 and older,5th Quintile,,,,,,,,,,,,
1991,0-16 y.,1st Quintile,,,,,,,,,,,,
1991,0-16 y.,2nd Quintile,,,,,,,,,,,,
1991,0-16 y.,3rd Quintile,,,,,,,,,,,,
1991,0-16 y.,4th Quintile,,,,,,,,,,,,
1991,0-16 y.,5th Quintile,,,,,,,,,,,,
1991,17-29 y.,1st Quintile,,,,,,,,,,,,
1991,17-29 y.,2nd Quintile,,,,,,,,,,,,
1991,17-29 y.,3rd Quintile,,,,,,,,,,,,
1991,17-29 y.,4th Quintile,,,,,,,,,,,,
1991,17-29 y.,5th Quintile,,,,,,,,,,,,
1991,30-45 y.,1st Quintile,,,,,,,,,,,,
1991,30-45 y.,2nd Quintile,,,,,,,,,,,,
1991,30-45 y.,3rd Quintile,,,,,,,,,,,,
1991,30-45 y.,4th Quintile,,,,,,,,,,,,
1991,30-45 y.,5th Quintile,,,,,,,,,,,,
1991,46-65 y.,1st Quintile,,,,,,,,,,,,
1991,46-65 y.,2nd Quintile,,,,,,,,,,,,
1991,46-65 y.,3rd Quintile,,,,,,,,,,,,
1991,46-65 y.,4th Quintile,,,,,,,,,,,,
1991,46-65 y.,5th Quintile,,,,,,,,,,,,
1991,66 and older,1st Quintile,,,,,,,,,,,,
1991,66 and older,2nd Quintile,,,,,,,,,,,,
1991,66 and older,3rd Quintile,,,,,,,,,,,,
1991,66 and older,4th Quintile,,,,,,,,,,,,
1991,66 and older,5th Quintile,,,,,,,,,,,,
1992,0-16 y.,1st Quintile,,,,,,,,,,,,
1992,0-16 y.,2nd Quintile,,,,,,,,,,,,
1992,0-16 y.,3rd Quintile,,,,,,,,,,,,
1992,0-16 y.,4th Quintile,,,,,,,,,,,,
1992,0-16 y.,5th Quintile,,,,,,,,,,,,
1992,17-29 y.,1st Quintile,668,3.51500779832636,3.398168844960325,3.631846751692395,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1992,17-29 y.,2nd Quintile,779,3.232636129771725,3.132871412975799,3.3324008465676513,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1992,17-29 y.,3rd Quintile,731,3.93565769051004,3.8196352442270936,4.051680136792987,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
1992,17-29 y.,4th Quintile,721,4.048126670260582,3.9256085322941985,4.170644808226966,2.0,3.0,6.0,0.0,12.0,3.0,2.0,3.0
1992,17-29 y.,5th Quintile,539,4.384364762868552,4.254678944576395,4.514050581160709,2.0,4.0,6.0,0.0,12.0,4.0,4.0,4.0249999999999995
1992,30-45 y.,1st Quintile,793,2.5998429160136673,2.5107776819649854,2.6889081500623493,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,30-45 y.,2nd Quintile,995,2.6299024367167916,2.5615231905134976,2.6982816829200855,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1992,30-45 y.,3rd Quintile,867,3.0499093552878604,2.962305062135515,3.1375136484402057,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1992,30-45 y.,4th Quintile,755,3.238698435098324,3.135460824867124,3.3419360453295237,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1992,30-45 y.,5th Quintile,716,3.6280233873845957,3.52212777011555,3.7339190046536417,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
1992,46-65 y.,1st Quintile,716,2.932341395911376,2.832659081146519,3.0320237106762336,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1992,46-65 y.,2nd Quintile,684,2.966753270442665,2.861832653265,3.07167388762033,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1992,46-65 y.,3rd Quintile,724,3.1309001829094356,3.022452450813184,3.239347915005687,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1992,46-65 y.,4th Quintile,858,3.048445941720947,2.9558182328824327,3.1410736505594614,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1992,46-65 y.,5th Quintile,853,3.55532988255849,3.4556532409988665,3.655006524118113,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
1992,66 and older,1st Quintile,482,2.943252486240693,2.805671028809792,3.0808339436715935,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,66 and older,2nd Quintile,278,3.042812371449497,2.876243580271663,3.209381162627331,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1992,66 and older,3rd Quintile,217,2.9711692382724735,2.7795979233355697,3.1627405532093773,0.0,2.0,4.0,0.0,10.0,2.0,1.0,2.0
1992,66 and older,4th Quintile,212,2.891021279301843,2.6932430742190125,3.088799484384673,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1992,66 and older,5th Quintile,184,3.279634350804121,3.0673197622148765,3.4919489393933656,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1993,0-16 y.,1st Quintile,,,,,,,,,,,,
1993,0-16 y.,2nd Quintile,,,,,,,,,,,,
1993,0-16 y.,3rd Quintile,,,,,,,,,,,,
1993,0-16 y.,4th Quintile,,,,,,,,,,,,
1993,0-16 y.,5th Quintile,,,,,,,,,,,,
1993,17-29 y.,1st Quintile,701,3.545406922550068,3.4296573033091273,3.661156541791009,1.0,3.0,6.0,0.0,13.5,3.0,3.0,4.0
