year,pgisced97,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,general elemantary,3. Quintil,294,1.9984506867100196,1.884142644318093,2.112758729101946,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,general elemantary,4. Quintil,66,2.9720081438169657,2.663117850479814,3.2808984371541174,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1987,general elemantary,5. Quintil,,,,,,,,,,,,
1987,middle vocational,1. Quintil,2214,2.2625213779586284,2.215468877004495,2.309573878912762,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1987,middle vocational,2. Quintil,1487,2.576692413347207,2.5109404233501587,2.6424444033442556,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,middle vocational,3. Quintil,850,2.876910680690925,2.778975943093656,2.974845418288194,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,middle vocational,4. Quintil,275,2.6260744264260287,2.4960469476367493,2.756101905215308,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,middle vocational,5. Quintil,92,2.9580935358511766,2.6828327378319385,3.2333543338704147,1.0,2.0,4.0,0.0,8.5,2.0,1.9749999999999943,2.0
1987,vocational + Abi,1. Quintil,124,2.8691467105924864,2.653909229397181,3.084384191787792,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,vocational + Abi,2. Quintil,66,2.5319529524163706,2.2796701401623736,2.7842357646703677,1.0,2.0,4.0,0.0,8.5,2.0,1.0,3.0
1987,vocational + Abi,3. Quintil,49,3.2015896111082762,2.9011902224940473,3.501988999722505,1.0,3.0,4.113175548259544,0.0,8.0,3.0,2.0,4.0
1987,vocational + Abi,4. Quintil,,,,,,,,,,,,
1987,vocational + Abi,5. Quintil,,,,,,,,,,,,
1987,higher vocational,1. Quintil,198,2.3403263315887246,2.175330334322072,2.505322328855377,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1987,higher vocational,2. Quintil,169,2.5618710329715997,2.3966347662457554,2.727107299697444,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,higher vocational,3. Quintil,114,2.9124664441781154,2.6748787481034975,3.1500541402527333,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,higher vocational,4. Quintil,59,2.5547476125038546,2.326421996558249,2.78307322844946,1.0,2.0,4.0,0.0,8.0,2.0,1.0,2.0
1987,higher vocational,5. Quintil,,,,,,,,,,,,
1987,higher education,1. Quintil,132,3.205272353678855,2.918519596759107,3.492025110598603,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,higher education,2. Quintil,188,2.6670191481126273,2.452721123981273,2.8813171722439814,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1987,higher education,3. Quintil,192,3.038567479715009,2.8382090571872087,3.2389259022428094,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,higher education,4. Quintil,154,3.1987947280437847,2.9750954348345333,3.422494021253036,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1987,higher education,5. Quintil,74,3.196318898275854,2.8868750007996917,3.505762795752016,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1988,in school,1. Quintil,36,2.9787516957841,2.6011015144250496,3.3564018771431505,1.0,2.089520645970628,4.0,0.0,8.5,2.0,0.0,2.0
1988,in school,2. Quintil,,,,,,,,,,,,
1988,in school,3. Quintil,,,,,,,,,,,,
1988,in school,4. Quintil,,,,,,,,,,,,
1988,in school,5. Quintil,,,,,,,,,,,,
1988,inadequately,1. Quintil,422,2.0062451596864728,1.8666602852617473,2.145830034111198,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,1.0
1988,inadequately,2. Quintil,184,2.2657193089793224,2.0681199442702223,2.4633186736884225,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1988,inadequately,3. Quintil,62,2.3033569077010774,2.078618073648455,2.5280957417536998,0.0,2.0,4.0,0.0,7.0,2.0,1.0,3.0
1988,inadequately,4. Quintil,,,,,,,,,,,,
1988,inadequately,5. Quintil,,,,,,,,,,,,
1988,general elemantary,1. Quintil,1476,1.9469973856881209,1.890087640028255,2.0039071313479866,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1988,general elemantary,2. Quintil,714,2.0056650707946955,1.9266469815534786,2.0846831600359126,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1988,general elemantary,3. Quintil,305,2.2416837995698504,2.1007928929746447,2.382574706165056,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1988,general elemantary,4. Quintil,80,2.4490533575203344,2.159277116257255,2.738829598783414,0.0,2.0,4.0,0.0,10.0,2.0,1.0,3.0
1988,general elemantary,5. Quintil,,,,,,,,,,,,
1988,middle vocational,1. Quintil,1902,2.175305174560423,2.122190987798263,2.2284193613225827,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1988,middle vocational,2. Quintil,1503,2.4956214321251085,2.4330770212616097,2.558165842988607,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,middle vocational,3. Quintil,867,2.666847763307181,2.581332702529354,2.7523628240850084,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,middle vocational,4. Quintil,322,2.7651022541440637,2.635006230201149,2.8951982780869785,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,middle vocational,5. Quintil,98,2.7924695066751974,2.5050428297672527,3.079896183583142,1.0,2.0,4.0,0.0,8.5,2.0,1.9749999999999943,2.0
1988,vocational + Abi,1. Quintil,104,2.7597633609329932,2.4749329376695877,3.044593784196399,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1988,vocational + Abi,2. Quintil,66,3.239767004462242,2.884183026846924,3.5953509820775604,2.0,2.0,4.0,0.0,7.0,2.0,1.0,2.0
1988,vocational + Abi,3. Quintil,54,3.5413061284853145,3.238162011640717,3.844450245329912,2.0,3.0,5.0,0.0,9.5,3.0,2.0,4.0
1988,vocational + Abi,4. Quintil,,,,,,,,,,,,
1988,vocational + Abi,5. Quintil,,,,,,,,,,,,
1988,higher vocational,1. Quintil,165,2.0287700023277155,1.880772907798624,2.1767670968568074,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1988,higher vocational,2. Quintil,168,2.5249208167052815,2.349615968817398,2.700225664593165,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,higher vocational,3. Quintil,111,2.9585953420866384,2.713032085653559,3.204158598519718,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,higher vocational,4. Quintil,76,2.7234750505456313,2.52673375356419,2.920216347527073,2.0,3.0,4.0,0.0,7.0,3.0,3.0,4.0
1988,higher vocational,5. Quintil,,,,,,,,,,,,
1988,higher education,1. Quintil,115,2.986868102995187,2.773265998288363,3.200470207702011,1.0,2.0,4.0,0.0,8.5,2.0,0.0,2.0
1988,higher education,2. Quintil,165,2.776949711431705,2.5934843171297337,2.9604151057336767,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,higher education,3. Quintil,179,3.06884265934538,2.8456178803464884,3.292067438344272,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,higher education,4. Quintil,156,2.6238676342077922,2.4768628404792574,2.770872427936327,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,higher education,5. Quintil,85,3.355611071456103,3.086619948180466,3.62460219473174,1.0,3.0,4.0,0.0,8.5,3.0,2.9749999999999943,4.0
