"ple0081_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2010","(Fach-)Abitur","weiblich","839","0.809300211770194","0.785549498022936","0.833050925517452"
"Nein","2010","AkademikerIn","maennlich","1687","0.807560489718101","0.790545236623209","0.824575742812993"
"Nein","2010","AkademikerIn","weiblich","1483","0.826352283689279","0.80869499105733","0.844009576321229"
"Ja","2011","(noch) kein Abschluss","maennlich","","","",""
"Ja","2011","(noch) kein Abschluss","weiblich","","","",""
"Ja","2011","Hauptschule","maennlich","","","",""
"Ja","2011","Hauptschule","weiblich","","","",""
"Ja","2011","Realschule","maennlich","","","",""
"Ja","2011","Realschule","weiblich","","","",""
"Ja","2011","(Fach-)Abitur","maennlich","","","",""
"Ja","2011","(Fach-)Abitur","weiblich","","","",""
"Ja","2011","AkademikerIn","maennlich","","","",""
"Ja","2011","AkademikerIn","weiblich","","","",""
"Nein","2011","(noch) kein Abschluss","maennlich","","","",""
"Nein","2011","(noch) kein Abschluss","weiblich","","","",""
"Nein","2011","Hauptschule","maennlich","","","",""
"Nein","2011","Hauptschule","weiblich","","","",""
"Nein","2011","Realschule","maennlich","","","",""
"Nein","2011","Realschule","weiblich","","","",""
"Nein","2011","(Fach-)Abitur","maennlich","","","",""
"Nein","2011","(Fach-)Abitur","weiblich","","","",""
"Nein","2011","AkademikerIn","maennlich","","","",""
"Nein","2011","AkademikerIn","weiblich","","","",""
"Ja","2012","(noch) kein Abschluss","maennlich","86","0.360107847673395","0.300722279602246","0.419493415744544"
"Ja","2012","(noch) kein Abschluss","weiblich","64","0.246585942633223","0.19706343661562","0.296108448650825"
"Ja","2012","Hauptschule","maennlich","1092","0.33853377093695","0.322480639466662","0.354586902407237"
"Ja","2012","Hauptschule","weiblich","869","0.234317557518752","0.22046381382335","0.248171301214155"
"Ja","2012","Realschule","maennlich","797","0.363914576264703","0.34410498176588","0.383724170763527"
"Ja","2012","Realschule","weiblich","872","0.276940356931902","0.26134066477423","0.292540049089573"
"Ja","2012","(Fach-)Abitur","maennlich","298","0.288969511172443","0.261643218163098","0.316295804181788"
"Ja","2012","(Fach-)Abitur","weiblich","268","0.196372704789826","0.175313996226457","0.217431413353194"
"Ja","2012","AkademikerIn","maennlich","416","0.183070822262348","0.16777319366369","0.198368450861007"
"Ja","2012","AkademikerIn","weiblich","346","0.164421925888672","0.148858942316865","0.179984909460478"
"Nein","2012","(noch) kein Abschluss","maennlich","165","0.639892152326605","0.580506584255456","0.699277720397754"
"Nein","2012","(noch) kein Abschluss","weiblich","227","0.753414057366777","0.703891551349175","0.80293656338438"
"Nein","2012","Hauptschule","maennlich","2246","0.66146622906305","0.645413097592763","0.677519360533337"
"Nein","2012","Hauptschule","weiblich","2722","0.765682442481248","0.751828698785845","0.77953618617665"
"Nein","2012","Realschule","maennlich","1469","0.636085423735297","0.616275829236473","0.65589501823412"
"Nein","2012","Realschule","weiblich","2289","0.723059643068098","0.707459950910426","0.73865933522577"
"Nein","2012","(Fach-)Abitur","maennlich","759","0.711030488827557","0.683704195818212","0.738356781836902"
"Nein","2012","(Fach-)Abitur","weiblich","1099","0.803627295210174","0.782568586646806","0.824686003773543"
"Nein","2012","AkademikerIn","maennlich","2039","0.816929177737652","0.801631549138993","0.83222680633631"
"Nein","2012","AkademikerIn","weiblich","1833","0.835578074111328","0.820015090539522","0.851141057683135"
"Ja","2013","(noch) kein Abschluss","maennlich","","","",""
"Ja","2013","(noch) kein Abschluss","weiblich","","","",""
"Ja","2013","Hauptschule","maennlich","","","",""
"Ja","2013","Hauptschule","weiblich","","","",""
"Ja","2013","Realschule","maennlich","","","",""
"Ja","2013","Realschule","weiblich","","","",""
"Ja","2013","(Fach-)Abitur","maennlich","","","",""
"Ja","2013","(Fach-)Abitur","weiblich","","","",""
"Ja","2013","AkademikerIn","maennlich","","","",""
"Ja","2013","AkademikerIn","weiblich","","","",""
"Nein","2013","(noch) kein Abschluss","maennlich","","","",""
"Nein","2013","(noch) kein Abschluss","weiblich","","","",""
"Nein","2013","Hauptschule","maennlich","","","",""
"Nein","2013","Hauptschule","weiblich","","","",""
"Nein","2013","Realschule","maennlich","","","",""
"Nein","2013","Realschule","weiblich","","","",""
"Nein","2013","(Fach-)Abitur","maennlich","","","",""
"Nein","2013","(Fach-)Abitur","weiblich","","","",""
"Nein","2013","AkademikerIn","maennlich","","","",""
"Nein","2013","AkademikerIn","weiblich","","","",""
"Ja","2014","(noch) kein Abschluss","maennlich","167","0.407212173619201","0.362265064654734","0.452159282583668"
"Ja","2014","(noch) kein Abschluss","weiblich","157","0.259742573537364","0.222826848385272","0.296658298689456"
"Ja","2014","Hauptschule","maennlich","1495","0.346019736617124","0.331285290559985","0.360754182674263"
