year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Rural regions,Tenant,4 rooms,0.18782,97,409,0.14992,0.22572
1988,Rural regions,Tenant,5 rooms,0.06792,38,409,0.04350,0.09233
1989,Urban regions,Owner,2 rooms,0.07471,76,1210,0.05989,0.08953
1989,Urban regions,Owner,3 rooms,0.23085,253,1210,0.20710,0.25460
1989,Urban regions,Owner,4 rooms,0.27063,352,1210,0.24558,0.29567
1989,Urban regions,Owner,5 rooms,0.18970,255,1210,0.16760,0.21180
1989,Urban regions,Owner,6 rooms,0.12191,164,1210,0.10347,0.14036
1989,Urban regions,Owner,7 rooms,0.05140,70,1210,0.03896,0.06385
1989,Urban regions,Owner,8 rooms,0.02952,40,1210,0.01998,0.03906
1989,Urban regions,Tenant,1 room,0.09348,175,2463,0.08198,0.10497
1989,Urban regions,Tenant,2 rooms,0.32814,678,2463,0.30960,0.34669
1989,Urban regions,Tenant,3 rooms,0.38656,1062,2463,0.36733,0.40580
1989,Urban regions,Tenant,4 rooms,0.13080,389,2463,0.11748,0.14412
1989,Urban regions,Tenant,5 rooms,0.03824,115,2463,0.03067,0.04582
1989,Urban regions,Tenant,6 rooms,0.01447,44,2463,0.00976,0.01919
1989,Rural regions,Owner,3 rooms,0.21023,86,425,0.17144,0.24901
1989,Rural regions,Owner,4 rooms,0.25674,118,425,0.21516,0.29832
1989,Rural regions,Owner,5 rooms,0.21527,105,425,0.17615,0.25439
1989,Rural regions,Owner,6 rooms,0.16460,80,425,0.12930,0.19989
1989,Rural regions,Owner,7 rooms,0.06473,36,425,0.04131,0.08815
1989,Rural regions,Tenant,2 rooms,0.21552,83,398,0.17508,0.25597
1989,Rural regions,Tenant,3 rooms,0.39579,177,398,0.34768,0.44389
1989,Rural regions,Tenant,4 rooms,0.20476,96,398,0.16506,0.24445
1989,Rural regions,Tenant,5 rooms,0.07641,42,398,0.05028,0.10254
1990,Urban regions,Owner,2 rooms,0.07842,94,1310,0.06385,0.09298
1990,Urban regions,Owner,3 rooms,0.23477,296,1310,0.21181,0.25773
1990,Urban regions,Owner,4 rooms,0.26933,370,1310,0.24530,0.29336
1990,Urban regions,Owner,5 rooms,0.18408,263,1310,0.16308,0.20507
1990,Urban regions,Owner,6 rooms,0.12557,174,1310,0.10762,0.14352
1990,Urban regions,Owner,7 rooms,0.05342,73,1310,0.04124,0.06561
1990,Urban regions,Owner,8 rooms,0.02639,40,1310,0.01771,0.03508
1990,Urban regions,Tenant,1 room,0.09730,214,3042,0.08677,0.10784
1990,Urban regions,Tenant,2 rooms,0.32366,817,3042,0.30704,0.34029
1990,Urban regions,Tenant,3 rooms,0.38864,1317,3042,0.37132,0.40597
1990,Urban regions,Tenant,4 rooms,0.13114,519,3042,0.11914,0.14314
1990,Urban regions,Tenant,5 rooms,0.03710,129,3042,0.03038,0.04382
1990,Urban regions,Tenant,6 rooms,0.01391,46,3042,0.00974,0.01807
1990,Rural regions,Owner,2 rooms,0.06345,53,976,0.04815,0.07875
1990,Rural regions,Owner,3 rooms,0.24093,235,976,0.21409,0.26777
