year,bula_h,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1989,Baden-Wuerttemberg,Tenant,491,2.17798,2.06199,2.29396,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1989,Bavaria,Owner,327,2.71860,2.57095,2.86625,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1989,Bavaria,Tenant,454,1.92613,1.82188,2.03038,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1989,Berlin,Owner,,,,,,,,,,,,
1989,Berlin,Tenant,175,1.72596,1.57033,1.88158,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1990,Schleswig-Holstein,Owner,71,2.52527,2.22392,2.82663,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1990,Schleswig-Holstein,Tenant,78,2.10036,1.81960,2.38112,1.00000,2.00000,2.00000,1,3.50000,2,1.97500,2.00000
1990,Hamburg,Owner,,,,,,,,,,,,
1990,Hamburg,Tenant,92,1.54187,1.34649,1.73725,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1990,Lower Saxony,Owner,214,2.64836,2.49566,2.80107,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1990,Lower Saxony,Tenant,269,1.90175,1.76279,2.04071,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1990,Bremen,Owner,,,,,,,,,,,,
1990,Bremen,Tenant,45,1.75678,1.44340,2.07017,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1990,North Rhine-Westphalia,Owner,411,2.72104,2.59658,2.84551,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1990,North Rhine-Westphalia,Tenant,813,2.09280,2.00816,2.17744,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Hesse,Owner,156,2.50208,2.30893,2.69524,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,2.00000
1990,Hesse,Tenant,310,2.12528,1.98727,2.26329,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,"Rhineland-Palatinate, Saarland",Owner,164,2.49579,2.31643,2.67514,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1990,"Rhineland-Palatinate, Saarland",Tenant,153,2.12667,1.92629,2.32705,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Baden-Wuerttemberg,Owner,342,2.65327,2.50547,2.80106,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1990,Baden-Wuerttemberg,Tenant,480,2.17395,2.06133,2.28658,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Bavaria,Owner,338,2.62273,2.48121,2.76424,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1990,Bavaria,Tenant,448,1.91000,1.80541,2.01458,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1990,Berlin,Owner,,,,,,,,,,,,
1990,Berlin,Tenant,325,1.89598,1.77208,2.01988,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1990,Brandenburg,Owner,123,2.69149,2.48171,2.90127,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1990,Brandenburg,Tenant,227,2.34516,2.18716,2.50315,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Mecklenburg-Western Pomerania,Owner,63,3.05975,2.76945,3.35004,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,4.00000
1990,Mecklenburg-Western Pomerania,Tenant,166,2.41064,2.21707,2.60421,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,3.00000
1990,Saxony,Owner,152,2.65445,2.46243,2.84648,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1990,Saxony,Tenant,505,2.25284,2.15799,2.34769,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Saxony-Anhalt,Owner,135,2.63176,2.43305,2.83047,2.00000,2.00000,3.32559,1,5.31396,2,2.00000,3.00000
1990,Saxony-Anhalt,Tenant,258,2.20259,2.05450,2.35068,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Thuringa,Owner,144,2.83181,2.63705,3.02656,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1990,Thuringa,Tenant,213,2.26924,2.10598,2.43250,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Schleswig-Holstein,Owner,71,2.53523,2.24727,2.82319,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1991,Schleswig-Holstein,Tenant,83,2.28516,1.97050,2.59983,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1991,Hamburg,Owner,,,,,,,,,,,,
1991,Hamburg,Tenant,88,1.50308,1.31419,1.69197,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1991,Lower Saxony,Owner,210,2.61731,2.45730,2.77731,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1991,Lower Saxony,Tenant,268,1.96518,1.82235,2.10801,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1991,Bremen,Owner,,,,,,,,,,,,
1991,Bremen,Tenant,42,1.54238,1.24009,1.84467,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1991,North Rhine-Westphalia,Owner,417,2.67221,2.54924,2.79518,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1991,North Rhine-Westphalia,Tenant,832,2.03524,1.95342,2.11706,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Hesse,Owner,153,2.51264,2.30928,2.71600,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,2.00000
1991,Hesse,Tenant,308,2.07094,1.93163,2.21024,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1991,"Rhineland-Palatinate, Saarland",Owner,165,2.46655,2.28414,2.64896,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1991,"Rhineland-Palatinate, Saarland",Tenant,163,1.99116,1.80403,2.17829,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1991,Baden-Wuerttemberg,Owner,348,2.68806,2.54781,2.82831,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1991,Baden-Wuerttemberg,Tenant,487,2.17321,2.06322,2.28320,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Bavaria,Owner,345,2.64353,2.50472,2.78234,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1991,Bavaria,Tenant,453,1.91190,1.81043,2.01336,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1991,Berlin,Owner,,,,,,,,,,,,
