year,bula_h,ple0011,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2017,North Rhine-Westphalia,No,0.8989862418537292,45410,0.8962145362008096,0.9017579475066488
2017,North Rhine-Westphalia,Yes,0.10101375814627082,45410,0.09824205249335126,0.10378546379919039
2017,Hesse,No,0.9105645612073784,45410,0.9079397956814772,0.9131893267332796
2017,Hesse,Yes,0.08943543879262157,45410,0.08681067326672041,0.09206020431852273
2017,"Rhineland-Palatinate, Saarland",No,0.9186351706036745,45410,0.9161205630614745,0.9211497781458745
2017,"Rhineland-Palatinate, Saarland",Yes,0.08136482939632546,45410,0.07885022185412545,0.08387943693852547
2017,Baden-Wuerttemberg,No,0.911530815109344,45410,0.9089188822392348,0.9141427479794532
2017,Baden-Wuerttemberg,Yes,0.08846918489065607,45410,0.08585725202054684,0.0910811177607653
2017,Bavaria,No,0.9133222512467347,45410,0.9107343592281515,0.9159101432653179
2017,Bavaria,Yes,0.08667774875326525,45410,0.08408985673468208,0.08926564077184843
2017,Berlin,No,0.8968655207280081,45410,0.8940681764181218,0.8996628650378944
2017,Berlin,Yes,0.10313447927199192,45410,0.10033713496210556,0.10593182358187828
2017,Brandenburg,No,0.920619554695063,45410,0.9181331192766082,0.9231059901135177
2017,Brandenburg,Yes,0.07938044530493708,45410,0.07689400988648233,0.08186688072339184
2017,Mecklenburg-Western Pomerania,No,0.924956369982548,45410,0.9225331219933768,0.9273796179717193
2017,Mecklenburg-Western Pomerania,Yes,0.07504363001745201,45410,0.07262038202828072,0.0774668780066233
2017,Saxony,No,0.9225650332728372,45410,0.9201066625595722,0.9250234039861023
2017,Saxony,Yes,0.07743496672716274,45410,0.07497659601389774,0.07989333744042774
2017,Saxony-Anhalt,No,0.914409534127844,45410,0.911836394292024,0.916982673963664
2017,Saxony-Anhalt,Yes,0.08559046587215602,45410,0.08301732603633606,0.08816360570797598
2017,Thuringa,No,0.9130879345603272,45410,0.9104968794044828,0.9156789897161717
2017,Thuringa,Yes,0.0869120654396728,45410,0.0843210102838283,0.0895031205955173
2019,Schleswig-Holstein,No,0.9215481171548117,42417,0.9189892555939859,0.9241069787156374
2019,Schleswig-Holstein,Yes,0.07845188284518828,42417,0.07589302128436248,0.08101074440601408
2019,Hamburg,No,0.9224952741020794,42417,0.9199505994480476,0.9250399487561113
2019,Hamburg,Yes,0.07750472589792061,42417,0.07496005124388877,0.08004940055195245
2019,Lower Saxony,No,0.9129562775772162,42417,0.9102735299832683,0.9156390251711641
2019,Lower Saxony,Yes,0.0870437224227838,42417,0.08436097482883584,0.08972647001673176
2019,Bremen,No,0.9223744292237442,42417,0.9198279383308668,0.9249209201166216
2019,Bremen,Yes,0.0776255707762557,42417,0.07507907988337834,0.08017206166913307
2019,North Rhine-Westphalia,No,0.8991860895301517,42417,0.8963207828185056,0.9020513962417978
2019,North Rhine-Westphalia,Yes,0.10081391046984832,42417,0.09794860375820219,0.10367921718149445
2019,Hesse,No,0.9018118059614261,42417,0.8989799334941228,0.9046436784287294
2019,Hesse,Yes,0.09818819403857393,42417,0.09535632157127057,0.10102006650587729
2019,"Rhineland-Palatinate, Saarland",No,0.9099590723055935,42417,0.9072350101870842,0.9126831344241028
2019,"Rhineland-Palatinate, Saarland",Yes,0.09004092769440655,42417,0.08731686557589731,0.0927649898129158
2019,Baden-Wuerttemberg,No,0.9078242229367631,42417,0.9050712915722181,0.9105771543013081
2019,Baden-Wuerttemberg,Yes,0.09217577706323687,42417,0.08942284569869188,0.09492870842778187
2019,Bavaria,No,0.9141989369779803,42417,0.9115335959347012,0.9168642780212594
2019,Bavaria,Yes,0.08580106302201974,42417,0.08313572197874064,0.08846640406529885
2019,Berlin,No,0.8987341772151899,42417,0.8958631773419468,0.901605177088433
2019,Berlin,Yes,0.10126582278481013,42417,0.09839482291156702,0.10413682265805323
2019,Brandenburg,No,0.9108910891089109,42417,0.9081797746419751,0.9136024035758468
2019,Brandenburg,Yes,0.0891089108910891,42417,0.08639759642415328,0.09182022535802493
2019,Mecklenburg-Western Pomerania,No,0.9198036006546645,42417,0.9172188950513954,0.9223883062579336
2019,Mecklenburg-Western Pomerania,Yes,0.08019639934533551,42417,0.07761169374206642,0.0827811049486046
2019,Saxony,No,0.9259485924112607,42417,0.9234566029936608,0.9284405818288606
2019,Saxony,Yes,0.0740514075887393,42417,0.07155941817113941,0.07654339700633918
