year,bula_h,quintil_oecd,region_secnat,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,Baden-Wuerttemberg,2nd Quintile,Western Asia,0.2,27798,0.19529771132167503,0.204702288678325
2001,Baden-Wuerttemberg,2nd Quintile,Southern Europe,0.1,27798,0.09647328349125628,0.10352671650874373
2001,Baden-Wuerttemberg,3rd Quintile,Eastern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Baden-Wuerttemberg,3rd Quintile,Southern Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,Baden-Wuerttemberg,3rd Quintile,Western Europe,0.1875,27798,0.18291159634624518,0.19208840365375482
2001,Baden-Wuerttemberg,3rd Quintile,Northern Europe,0.0625,27798,0.05965439285309183,0.06534560714690817
2001,Baden-Wuerttemberg,4th Quintile,Eastern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Baden-Wuerttemberg,4th Quintile,Southern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Baden-Wuerttemberg,4th Quintile,Western Asia,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Baden-Wuerttemberg,5th Quintile,Southern Europe,0.42857142857142855,27798,0.4227538550694894,0.43438900207336767
2001,Baden-Wuerttemberg,5th Quintile,Latin America and the Caribbean,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Baden-Wuerttemberg,5th Quintile,Southern Asia,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Baden-Wuerttemberg,5th Quintile,Northern Europe,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Baden-Wuerttemberg,5th Quintile,Northern America,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Bavaria,1st Quintile,Eastern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Bavaria,1st Quintile,Northern America,0.2222222222222222,27798,0.2173349018977783,0.22710954254666613
2001,Bavaria,1st Quintile,Western Europe,0.2222222222222222,27798,0.2173349018977783,0.22710954254666613
2001,Bavaria,1st Quintile,Southern Europe,0.2222222222222222,27798,0.2173349018977783,0.22710954254666613
2001,Bavaria,2nd Quintile,Eastern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Bavaria,2nd Quintile,Western Europe,0.3,27798,0.2946128515480105,0.3053871484519895
2001,Bavaria,2nd Quintile,Southern Europe,0.2,27798,0.19529771132167503,0.204702288678325
2001,Bavaria,3rd Quintile,Eastern Europe,1.0,27798,1.0,1.0
2001,Bavaria,4th Quintile,Southern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Bavaria,4th Quintile,Eastern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Bavaria,4th Quintile,Western Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Bavaria,5th Quintile,Western Europe,0.75,27798,0.7449096231858032,0.7550903768141968
2001,Bavaria,5th Quintile,Northern America,0.25,27798,0.24490962318580328,0.2550903768141967
