"pgisced97","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"higher education","2013","16-34 Jahre alt","1122","0.174785124870646","0.166467588613486","0.183102661127805"
"higher education","2013","35-65 Jahre alt","4579","0.227067720748949","0.22088861315496","0.233246828342937"
"higher education","2013","66 und älter","1178","0.185324028537507","0.174648480348273","0.19599957672674"
"in school","2014","16-34 Jahre alt","885","0.0909640220830625","0.0840635630127274","0.0978644811533976"
"in school","2014","35-65 Jahre alt","","","",""
"in school","2014","66 und älter","","","",""
"inadequately","2014","16-34 Jahre alt","163","0.0193972994348972","0.0160877429461924","0.022706855923602"
"inadequately","2014","35-65 Jahre alt","293","0.0163816503603546","0.0143831584255601","0.0183801422951491"
"inadequately","2014","66 und älter","50","0.0117266775119982","0.00873855787871657","0.0147147971452799"
"general elemantary","2014","16-34 Jahre alt","1310","0.157739414009947","0.148992678961069","0.166486149058826"
"general elemantary","2014","35-65 Jahre alt","1234","0.0823842621744602","0.0780555090528402","0.0867130152960802"
"general elemantary","2014","66 und älter","700","0.157143641367738","0.147041879094574","0.167245403640901"
"middle vocational","2014","16-34 Jahre alt","2725","0.427162168719967","0.415291782269343","0.439032555170591"
"middle vocational","2014","35-65 Jahre alt","7307","0.504109668487841","0.496238021732309","0.511981315243372"
"middle vocational","2014","66 und älter","2588","0.537418415571191","0.523578851974984","0.551257979167399"
"vocational + Abi","2014","16-34 Jahre alt","504","0.0912281602570393","0.0843186938512872","0.0981376266627915"
"vocational + Abi","2014","35-65 Jahre alt","1423","0.0802249760698199","0.0759483048205424","0.0845016473190974"
"vocational + Abi","2014","66 und älter","131","0.0319045745922183","0.0270263980101888","0.0367827511742477"
"higher vocational","2014","16-34 Jahre alt","131","0.0228573944914735","0.0192711081885738","0.0264436807943732"
"higher vocational","2014","35-65 Jahre alt","1123","0.0806568460480874","0.0763696859321886","0.0849440061639862"
"higher vocational","2014","66 und älter","346","0.069858895634542","0.0627833940866915","0.0769343971823925"
"higher education","2014","16-34 Jahre alt","953","0.190651541003613","0.181225256298737","0.200077825708489"
"higher education","2014","35-65 Jahre alt","4118","0.236242596859437","0.229555046227069","0.242930147491805"
"higher education","2014","66 und älter","1171","0.191947795322313","0.181016208012064","0.202879382632562"
"in school","2015","16-34 Jahre alt","778","0.0800638621488477","0.0735861951393509","0.0865415291583445"
"in school","2015","35-65 Jahre alt","","","",""
"in school","2015","66 und älter","","","",""
"inadequately","2015","16-34 Jahre alt","185","0.0186361750063032","0.0154083132696115","0.021864036742995"
"inadequately","2015","35-65 Jahre alt","310","0.017237714892294","0.0151664592583434","0.0193089705262446"
"inadequately","2015","66 und älter","43","0.0109202759113957","0.00802332380600553","0.0138172280167859"
"general elemantary","2015","16-34 Jahre alt","1276","0.159338228198086","0.150602640010237","0.168073816385935"
"general elemantary","2015","35-65 Jahre alt","1181","0.0784728076948738","0.0741934036919477","0.0827522116977999"
"general elemantary","2015","66 und älter","666","0.15554395515883","0.1454415692747","0.165646341042961"
"middle vocational","2015","16-34 Jahre alt","2645","0.409121791626407","0.397386421158006","0.420857162094808"
"middle vocational","2015","35-65 Jahre alt","7049","0.500477128558546","0.492520310602547","0.508433946514545"
"middle vocational","2015","66 und älter","2555","0.533718493286942","0.519812914142803","0.54762407243108"
"vocational + Abi","2015","16-34 Jahre alt","547","0.0925011447408965","0.0855857319672324","0.0994165575145606"
"vocational + Abi","2015","35-65 Jahre alt","1484","0.08348173580629","0.0790798789807073","0.0878835926318728"
"vocational + Abi","2015","66 und älter","139","0.0342580993302403","0.0291879467467445","0.0393282519137362"
"higher vocational","2015","16-34 Jahre alt","127","0.0273276869347227","0.0234362837943639","0.0312190900750816"
"higher vocational","2015","35-65 Jahre alt","1067","0.0807622912227248","0.0764263054669327","0.0850982769785169"
"higher vocational","2015","66 und älter","347","0.0705304601310691","0.0633934748766529","0.0776674453854852"
"higher education","2015","16-34 Jahre alt","1185","0.213011111344737","0.203238582957687","0.222783639731786"
"higher education","2015","35-65 Jahre alt","4078","0.239568321825271","0.232776060119551","0.246360583530992"
"higher education","2015","66 und älter","1194","0.195028716181523","0.183984158317861","0.206073274045185"
"in school","2016","16-34 Jahre alt","906","0.0784097532909209","0.0726182430493411","0.0842012635325007"
"in school","2016","35-65 Jahre alt","","","",""
"in school","2016","66 und älter","","","",""
"inadequately","2016","16-34 Jahre alt","1078","0.0241288721523638","0.0208228740820084","0.0274348702227192"
"inadequately","2016","35-65 Jahre alt","906","0.017119345134809","0.0150832171510613","0.0191554731185567"
"inadequately","2016","66 und älter","55","0.0120641400634749","0.00897021022612486","0.015158069900825"
"general elemantary","2016","16-34 Jahre alt","1614","0.1608285688609","0.152913680494508","0.168743457227292"
"general elemantary","2016","35-65 Jahre alt","1342","0.0775086903994181","0.0733114151869349","0.0817059656119013"
"general elemantary","2016","66 und älter","629","0.15666883689413","0.146367625853794","0.166970047934466"
"middle vocational","2016","16-34 Jahre alt","2649","0.407214747401696","0.396629566264525","0.417799928538867"
"middle vocational","2016","35-65 Jahre alt","6784","0.492120113920967","0.484272688989361","0.499967538852574"
"middle vocational","2016","66 und älter","2435","0.531437031081898","0.51729513021384","0.545578931949957"
"vocational + Abi","2016","16-34 Jahre alt","542","0.0942137852662799","0.0879200578442935","0.100507512688266"
"vocational + Abi","2016","35-65 Jahre alt","1471","0.0898314725809162","0.0853431271689628","0.0943198179928697"
"vocational + Abi","2016","66 und älter","130","0.0348131846390379","0.02961830526421","0.0400080640138658"
"higher vocational","2016","16-34 Jahre alt","115","0.0296025285009099","0.0259509799271195","0.0332540770747003"
"higher vocational","2016","35-65 Jahre alt","970","0.078695292234664","0.074468731377377","0.082921853091951"
"higher vocational","2016","66 und älter","329","0.0661464035210487","0.0591028727475983","0.0731899342944991"
"higher education","2016","16-34 Jahre alt","1372","0.205601744526929","0.196894707555121","0.214308781498738"
"higher education","2016","35-65 Jahre alt","4114","0.244714513763722","0.237966180238802","0.251462847288643"
"higher education","2016","66 und älter","1205","0.19887040380041","0.187558534814827","0.210182272785993"
"in school","2017","16-34 Jahre alt","946","0.084358134548295","0.0787916330951985","0.0899246360013916"
"in school","2017","35-65 Jahre alt","","","",""
"in school","2017","66 und älter","","","",""
"inadequately","2017","16-34 Jahre alt","1466","0.0307470741560915","0.0272894603767611","0.034204687935422"
"inadequately","2017","35-65 Jahre alt","1135","0.0221701513020926","0.0199855793723926","0.0243547232317926"
"inadequately","2017","66 und älter","77","0.0118307840627623","0.00884984638602575","0.0148117217394989"
"general elemantary","2017","16-34 Jahre alt","1821","0.153843518309455","0.146617135455089","0.161069901163821"
"general elemantary","2017","35-65 Jahre alt","1559","0.0836529150408114","0.0795450050760463","0.0877608250055764"
"general elemantary","2017","66 und älter","631","0.150485502024302","0.140628083401955","0.160342920646648"
"middle vocational","2017","16-34 Jahre alt","3030","0.3963902037196","0.386593147086585","0.406187260352615"
"middle vocational","2017","35-65 Jahre alt","7439","0.483303443515344","0.475889007806768","0.49071787922392"
"middle vocational","2017","66 und älter","2580","0.534447262100219","0.520695215255622","0.548199308944816"
"vocational + Abi","2017","16-34 Jahre alt","599","0.0935187643291084","0.0876872034813518","0.0993503251768649"
"vocational + Abi","2017","35-65 Jahre alt","1621","0.0883110847279496","0.0841010922270935","0.0925210772288058"
"vocational + Abi","2017","66 und älter","140","0.0358955205696741","0.0307667573360411","0.0410242838033071"
"higher vocational","2017","16-34 Jahre alt","128","0.0281646765189162","0.0248510409273349","0.0314783121104974"
"higher vocational","2017","35-65 Jahre alt","1069","0.075009218161421","0.0711010216107082","0.0789174147121337"
"higher vocational","2017","66 und älter","349","0.0677527462451039","0.0608239230377022","0.0746815694525055"
"higher education","2017","16-34 Jahre alt","1586","0.212977628418534","0.20477757739956","0.221177679437507"
"higher education","2017","35-65 Jahre alt","4621","0.247543602494262","0.241140110095546","0.253947094892979"
"higher education","2017","66 und älter","1277","0.199588184997939","0.188568869136976","0.210607500858901"
"in school","2018","16-34 Jahre alt","791","0.0764632717362278","0.0707508176165605","0.0821757258558951"
"in school","2018","35-65 Jahre alt","","","",""
"in school","2018","66 und älter","","","",""
"inadequately","2018","16-34 Jahre alt","1100","0.0312779740235347","0.0275361091918754","0.035019838855194"
"inadequately","2018","35-65 Jahre alt","1017","0.0232186043398616","0.0209038518204847","0.0255333568592384"
"inadequately","2018","66 und älter","63","0.0106609184037366","0.00782812242028689","0.0134937143871863"
"general elemantary","2018","16-34 Jahre alt","1629","0.145108635905866","0.137537321247531","0.152679950564202"
"general elemantary","2018","35-65 Jahre alt","1444","0.0803408850720451","0.0761628741969339","0.0845188959471562"
"general elemantary","2018","66 und älter","606","0.14618386325989","0.136438965154265","0.155928761365515"
"middle vocational","2018","16-34 Jahre alt","2714","0.395646981049789","0.385135389506674","0.406158572592904"
"middle vocational","2018","35-65 Jahre alt","6968","0.4813382120887","0.473658320012702","0.489018104164699"
"middle vocational","2018","66 und älter","2567","0.526149300813903","0.512376550717758","0.539922050910047"
"vocational + Abi","2018","16-34 Jahre alt","543","0.0962767689547634","0.0899359160661946","0.102617621843332"
"vocational + Abi","2018","35-65 Jahre alt","1515","0.0909166835128134","0.0864978111562265","0.0953355558694002"
"vocational + Abi","2018","66 und älter","155","0.0376161851108659","0.032368026699011","0.0428643435227208"
"higher vocational","2018","16-34 Jahre alt","125","0.0298463296728021","0.0261884035317945","0.0335042558138097"
"higher vocational","2018","35-65 Jahre alt","975","0.0748292273301116","0.0707850107717459","0.0788734438884774"
"higher vocational","2018","66 und älter","355","0.0668405945067574","0.0599517960875472","0.0737293929259677"
"higher education","2018","16-34 Jahre alt","1411","0.225380038657016","0.216398075539368","0.234362001774665"
"higher education","2018","35-65 Jahre alt","4338","0.249263191602497","0.24261412396241","0.255912259242585"
"higher education","2018","66 und älter","1303","0.212549137904847","0.201264521235534","0.223833754574161"
"in school","2019","16-34 Jahre alt","609","0.0698690228110279","0.0639936791953954","0.0757443664266605"
"in school","2019","35-65 Jahre alt","","","",""
"in school","2019","66 und älter","","","",""
"inadequately","2019","16-34 Jahre alt","899","0.02956689747878","0.0256629446526539","0.0334708503049062"
"inadequately","2019","35-65 Jahre alt","1002","0.0254022971221837","0.0230186306014903","0.0277859636428772"
"inadequately","2019","66 und älter","60","0.0100857018426188","0.00738028425666499","0.0127911194285727"
"general elemantary","2019","16-34 Jahre alt","1393","0.147432192157331","0.139261111285773","0.155603273028888"
"general elemantary","2019","35-65 Jahre alt","1351","0.078003979278115","0.0739412375782257","0.0820667209780042"
"general elemantary","2019","66 und älter","559","0.138759390480416","0.129399389610819","0.148119391350013"
"middle vocational","2019","16-34 Jahre alt","2398","0.395714762937174","0.384444579083316","0.406984946791032"
"middle vocational","2019","35-65 Jahre alt","6767","0.466812771034472","0.459254759628329","0.474370782440615"
"middle vocational","2019","66 und älter","2592","0.531569611973129","0.518058687978155","0.545080535968104"
"vocational + Abi","2019","16-34 Jahre alt","500","0.0964931114005836","0.0896880386646178","0.10329818413655"
"vocational + Abi","2019","35-65 Jahre alt","1592","0.0963248123841921","0.0918551823760372","0.100794442392347"
"vocational + Abi","2019","66 und älter","170","0.0362143988705212","0.03115599728763","0.0412728004534124"
"higher vocational","2019","16-34 Jahre alt","135","0.0334690172238524","0.0293237908527214","0.0376142435949835"
"higher vocational","2019","35-65 Jahre alt","1147","0.075531186040178","0.0715280016546406","0.0795343704257154"
"higher vocational","2019","66 und älter","390","0.0649506731747556","0.0582781277842528","0.0716232185652583"
"higher education","2019","16-34 Jahre alt","1298","0.227454995991251","0.217793852851704","0.237116139130798"
"higher education","2019","35-65 Jahre alt","4878","0.257922489990961","0.251294748656904","0.264550231325019"
"higher education","2019","66 und älter","1469","0.21842022365856","0.207233174977726","0.229607272339393"
