"pgisced97","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"inadequately","1996","(noch) kein Abschluss","469","0.425687639998339","0.392369364782723","0.459005915213955"
"inadequately","1996","Hauptschulabschluss","","","",""
"inadequately","1996","Realschulabschluss","","","",""
"inadequately","1996","(Fach-)Abitur","","","",""
"inadequately","1996","AkademikerInnen","","","",""
"general elemantary","1996","(noch) kein Abschluss","","","",""
"general elemantary","1996","Hauptschulabschluss","1937","0.302205444864283","0.290573337755824","0.313837551972742"
"general elemantary","1996","Realschulabschluss","472","0.143015979187407","0.130743501582773","0.15528845679204"
"general elemantary","1996","(Fach-)Abitur","","","",""
"general elemantary","1996","AkademikerInnen","","","",""
"middle vocational","1996","(noch) kein Abschluss","77","0.0940240587289051","0.0743569400202355","0.113691177437575"
"middle vocational","1996","Hauptschulabschluss","3745","0.640181126429837","0.628023833954232","0.652338418905442"
"middle vocational","1996","Realschulabschluss","2300","0.743473666317393","0.728164470554582","0.758782862080205"
"middle vocational","1996","(Fach-)Abitur","440","0.370026701474755","0.340739663862975","0.399313739086534"
"middle vocational","1996","AkademikerInnen","","","",""
"vocational + Abi","1996","(noch) kein Abschluss","","","",""
"vocational + Abi","1996","Hauptschulabschluss","","","",""
"vocational + Abi","1996","Realschulabschluss","","","",""
"vocational + Abi","1996","(Fach-)Abitur","478","0.475187626221791","0.44489531317081","0.505479939272771"
"vocational + Abi","1996","AkademikerInnen","","","",""
"higher vocational","1996","(noch) kein Abschluss","","","",""
"higher vocational","1996","Hauptschulabschluss","278","0.0534955289838206","0.0477956774969258","0.0591953804707155"
"higher vocational","1996","Realschulabschluss","354","0.1135103544952","0.102390267680504","0.124630441309895"
"higher vocational","1996","(Fach-)Abitur","126","0.154785672303455","0.132845165969871","0.176726178637039"
"higher vocational","1996","AkademikerInnen","","","",""
"higher education","1996","(noch) kein Abschluss","","","",""
"higher education","1996","Hauptschulabschluss","","","",""
"higher education","1996","Realschulabschluss","","","",""
"higher education","1996","(Fach-)Abitur","","","",""
"higher education","1996","AkademikerInnen","1770","1","1","1"
"in school","1997","(noch) kein Abschluss","316","0.467695094398577","0.433912910377842","0.501477278419311"
"in school","1997","Hauptschulabschluss","","","",""
"in school","1997","Realschulabschluss","","","",""
"in school","1997","(Fach-)Abitur","","","",""
"in school","1997","AkademikerInnen","","","",""
"inadequately","1997","(noch) kein Abschluss","439","0.422345711844127","0.388903566730577","0.455787856957678"
"inadequately","1997","Hauptschulabschluss","","","",""
"inadequately","1997","Realschulabschluss","","","",""
"inadequately","1997","(Fach-)Abitur","","","",""
"inadequately","1997","AkademikerInnen","","","",""
"general elemantary","1997","(noch) kein Abschluss","","","",""
"general elemantary","1997","Hauptschulabschluss","1872","0.301522302377926","0.289730037527863","0.313314567227989"
"general elemantary","1997","Realschulabschluss","478","0.146367708739424","0.133908616439154","0.158826801039694"
"general elemantary","1997","(Fach-)Abitur","","","",""
"general elemantary","1997","AkademikerInnen","","","",""
"middle vocational","1997","(noch) kein Abschluss","79","0.0933086070783204","0.0736153894006185","0.113001824756022"
"middle vocational","1997","Hauptschulabschluss","3650","0.642326062485957","0.63000969460731","0.654642430364605"
"middle vocational","1997","Realschulabschluss","2269","0.742388031089548","0.726973623175782","0.757802439003315"
"middle vocational","1997","(Fach-)Abitur","435","0.375005806168317","0.345468884604372","0.404542727732261"
"middle vocational","1997","AkademikerInnen","","","",""
"vocational + Abi","1997","(noch) kein Abschluss","","","",""
"vocational + Abi","1997","Hauptschulabschluss","","","",""
"vocational + Abi","1997","Realschulabschluss","","","",""
"vocational + Abi","1997","(Fach-)Abitur","458","0.454149534806911","0.42377255995904","0.484526509654782"
"vocational + Abi","1997","AkademikerInnen","","","",""
"higher vocational","1997","(noch) kein Abschluss","","","",""
"higher vocational","1997","Hauptschulabschluss","267","0.0513355994771969","0.0456650276833397","0.0570061712710541"
"higher vocational","1997","Realschulabschluss","345","0.111244260171028","0.100161233873565","0.12232728646849"
"higher vocational","1997","(Fach-)Abitur","139","0.170844659024772","0.147881750442748","0.193807567606796"
"higher vocational","1997","AkademikerInnen","","","",""
"higher education","1997","(noch) kein Abschluss","","","",""
"higher education","1997","Hauptschulabschluss","","","",""
"higher education","1997","Realschulabschluss","","","",""
"higher education","1997","(Fach-)Abitur","","","",""
"higher education","1997","AkademikerInnen","1775","1","1","1"
"in school","1998","(noch) kein Abschluss","336","0.471805526550225","0.437843978117511","0.505767074982938"
"in school","1998","Hauptschulabschluss","","","",""
"in school","1998","Realschulabschluss","","","",""
"in school","1998","(Fach-)Abitur","","","",""
"in school","1998","AkademikerInnen","","","",""
"inadequately","1998","(noch) kein Abschluss","414","0.424491032929494","0.390865486348537","0.458116579510451"
"inadequately","1998","Hauptschulabschluss","34","0.005222932392574","0.00343563152901787","0.00701023325613012"
"inadequately","1998","Realschulabschluss","","","",""
"inadequately","1998","(Fach-)Abitur","","","",""
"inadequately","1998","AkademikerInnen","","","",""
"general elemantary","1998","(noch) kein Abschluss","","","",""
"general elemantary","1998","Hauptschulabschluss","2022","0.308720933694972","0.297266138652665","0.32017572873728"
"general elemantary","1998","Realschulabschluss","539","0.148674976038069","0.136720031253421","0.160629920822716"
"general elemantary","1998","(Fach-)Abitur","","","",""
"general elemantary","1998","AkademikerInnen","","","",""
"middle vocational","1998","(noch) kein Abschluss","76","0.0881067053787911","0.0688232198250806","0.107390190932502"
"middle vocational","1998","Hauptschulabschluss","3904","0.635852004091701","0.623920517297961","0.647783490885441"
"middle vocational","1998","Realschulabschluss","2499","0.745036458717065","0.730390805705422","0.759682111728708"
"middle vocational","1998","(Fach-)Abitur","487","0.385331266884144","0.357336963341871","0.413325570426418"
"middle vocational","1998","AkademikerInnen","","","",""
"vocational + Abi","1998","(noch) kein Abschluss","","","",""
"vocational + Abi","1998","Hauptschulabschluss","","","",""
"vocational + Abi","1998","Realschulabschluss","","","",""
"vocational + Abi","1998","(Fach-)Abitur","512","0.450758252522511","0.422137200401338","0.479379304643684"
"vocational + Abi","1998","AkademikerInnen","","","",""
"higher vocational","1998","(noch) kein Abschluss","","","",""
"higher vocational","1998","Hauptschulabschluss","288","0.0502041298207523","0.0447895789170232","0.0556186807244814"
"higher vocational","1998","Realschulabschluss","364","0.106288565244866","0.0959318301962196","0.116645300293513"
"higher vocational","1998","(Fach-)Abitur","162","0.163910480593345","0.142616260785637","0.185204700401053"
"higher vocational","1998","AkademikerInnen","","","",""
"higher education","1998","(noch) kein Abschluss","","","",""
"higher education","1998","Hauptschulabschluss","","","",""
"higher education","1998","Realschulabschluss","","","",""
"higher education","1998","(Fach-)Abitur","","","",""
"higher education","1998","AkademikerInnen","1979","1","1","1"
"in school","1999","(noch) kein Abschluss","322","0.465816945916453","0.431185420167868","0.500448471665038"
"in school","1999","Hauptschulabschluss","","","",""
"in school","1999","Realschulabschluss","","","",""
"in school","1999","(Fach-)Abitur","","","",""
"in school","1999","AkademikerInnen","","","",""
"inadequately","1999","(noch) kein Abschluss","394","0.427126394470742","0.392784318729682","0.461468470211802"
"inadequately","1999","Hauptschulabschluss","34","0.00491250175849896","0.00315376852982609","0.00667123498717184"
"inadequately","1999","Realschulabschluss","","","",""
"inadequately","1999","(Fach-)Abitur","","","",""
"inadequately","1999","AkademikerInnen","","","",""
"general elemantary","1999","(noch) kein Abschluss","","","",""
"general elemantary","1999","Hauptschulabschluss","1925","0.297702637361873","0.286200730821512","0.309204543902234"
"general elemantary","1999","Realschulabschluss","536","0.153625854524819","0.14149281782724","0.165758891222397"
"general elemantary","1999","(Fach-)Abitur","","","",""
"general elemantary","1999","AkademikerInnen","","","",""
"middle vocational","1999","(noch) kein Abschluss","77","0.091267528916837","0.0712737401408306","0.111261317692843"
"middle vocational","1999","Hauptschulabschluss","3831","0.647105408555138","0.635084757491984","0.659126059618293"
"middle vocational","1999","Realschulabschluss","2491","0.741883609427449","0.727159404912918","0.75660781394198"
"middle vocational","1999","(Fach-)Abitur","480","0.380113717704678","0.352095131218841","0.408132304190516"
"middle vocational","1999","AkademikerInnen","","","",""
"vocational + Abi","1999","(noch) kein Abschluss","","","",""
"vocational + Abi","1999","Hauptschulabschluss","","","",""
"vocational + Abi","1999","Realschulabschluss","","","",""
"vocational + Abi","1999","(Fach-)Abitur","510","0.457083984570777","0.428330017819733","0.485837951321821"
"vocational + Abi","1999","AkademikerInnen","","","",""
"higher vocational","1999","(noch) kein Abschluss","","","",""
"higher vocational","1999","Hauptschulabschluss","281","0.0502794523244898","0.0447826368146752","0.0557762678343044"
"higher vocational","1999","Realschulabschluss","366","0.104490536047733","0.0941978262096887","0.114783245885777"
"higher vocational","1999","(Fach-)Abitur","163","0.162802297724544","0.141492579052225","0.184112016396864"
"higher vocational","1999","AkademikerInnen","","","",""
"higher education","1999","(noch) kein Abschluss","","","",""
"higher education","1999","Hauptschulabschluss","","","",""
"higher education","1999","Realschulabschluss","","","",""
"higher education","1999","(Fach-)Abitur","","","",""
"higher education","1999","AkademikerInnen","1971","1","1","1"
"in school","2000","(noch) kein Abschluss","499","0.501490516250497","0.469286452898624","0.53369457960237"
"in school","2000","Hauptschulabschluss","","","",""
"in school","2000","Realschulabschluss","","","",""
"in school","2000","(Fach-)Abitur","","","",""
"in school","2000","AkademikerInnen","","","",""
"inadequately","2000","(noch) kein Abschluss","359","0.402582089428942","0.370995048601087","0.434169130256798"
"inadequately","2000","Hauptschulabschluss","47","0.00311754094683163","0.00206326622640005","0.00417181566726321"
"inadequately","2000","Realschulabschluss","","","",""
"inadequately","2000","(Fach-)Abitur","","","",""
"inadequately","2000","AkademikerInnen","","","",""
"general elemantary","2000","(noch) kein Abschluss","","","",""
"general elemantary","2000","Hauptschulabschluss","2847","0.263017032605603","0.254690841111356","0.27134322409985"
"general elemantary","2000","Realschulabschluss","735","0.110792967921447","0.103047897519717","0.118538038323178"
"general elemantary","2000","(Fach-)Abitur","","","",""
"general elemantary","2000","AkademikerInnen","","","",""
"middle vocational","2000","(noch) kein Abschluss","60","0.0778307732355122","0.0605754307753584","0.0950861156956661"
"middle vocational","2000","Hauptschulabschluss","7222","0.676376201007549","0.667528302798379","0.68522409921672"
"middle vocational","2000","Realschulabschluss","4753","0.757747258278974","0.747175082761409","0.76831943379654"
"middle vocational","2000","(Fach-)Abitur","833","0.317425030393357","0.298806398093207","0.336043662693507"
"middle vocational","2000","AkademikerInnen","","","",""
"vocational + Abi","2000","(noch) kein Abschluss","","","",""
"vocational + Abi","2000","Hauptschulabschluss","","","",""
"vocational + Abi","2000","Realschulabschluss","","","",""
"vocational + Abi","2000","(Fach-)Abitur","1130","0.488218352811544","0.468224273273529","0.508212432349559"
"vocational + Abi","2000","AkademikerInnen","","","",""
"higher vocational","2000","(noch) kein Abschluss","","","",""
"higher vocational","2000","Hauptschulabschluss","625","0.0574892254400155","0.0530871029447049","0.0618913479353262"
"higher vocational","2000","Realschulabschluss","821","0.131459773799579","0.123121824761186","0.139797722837971"
"higher vocational","2000","(Fach-)Abitur","438","0.194356616795099","0.17852872405402","0.210184509536179"
"higher vocational","2000","AkademikerInnen","","","",""
"higher education","2000","(noch) kein Abschluss","","","",""
"higher education","2000","Hauptschulabschluss","","","",""
"higher education","2000","Realschulabschluss","","","",""
"higher education","2000","(Fach-)Abitur","","","",""
"higher education","2000","AkademikerInnen","3840","1","1","1"
"in school","2001","(noch) kein Abschluss","551","0.585733622450536","0.553094837335893","0.618372407565179"
"in school","2001","Hauptschulabschluss","","","",""
"in school","2001","Realschulabschluss","","","",""
"in school","2001","(Fach-)Abitur","","","",""
"in school","2001","AkademikerInnen","","","",""
"inadequately","2001","(noch) kein Abschluss","275","0.332567908518517","0.301351152045188","0.363784664991846"
"inadequately","2001","Hauptschulabschluss","37","0.00278253546265224","0.0017205916803762","0.00384447924492827"
"inadequately","2001","Realschulabschluss","","","",""
"inadequately","2001","(Fach-)Abitur","","","",""
"inadequately","2001","AkademikerInnen","","","",""
"general elemantary","2001","(noch) kein Abschluss","","","",""
"general elemantary","2001","Hauptschulabschluss","2461","0.259945809776207","0.251103628666024","0.26878799088639"
"general elemantary","2001","Realschulabschluss","661","0.108969585013232","0.100948965797888","0.116990204228576"
"general elemantary","2001","(Fach-)Abitur","","","",""
"general elemantary","2001","AkademikerInnen","","","",""
"middle vocational","2001","(noch) kein Abschluss","44","0.0646115173669204","0.048322494095427","0.0809005406384138"
"middle vocational","2001","Hauptschulabschluss","6405","0.680978229779329","0.671581797050398","0.69037466250826"
"middle vocational","2001","Realschulabschluss","4398","0.7633532408162","0.752413121891599","0.7742933597408"
"middle vocational","2001","(Fach-)Abitur","796","0.320475965574582","0.301236455228322","0.339715475920842"
"middle vocational","2001","AkademikerInnen","","","",""
"vocational + Abi","2001","(noch) kein Abschluss","","","",""
"vocational + Abi","2001","Hauptschulabschluss","","","",""
"vocational + Abi","2001","Realschulabschluss","","","",""
"vocational + Abi","2001","(Fach-)Abitur","1079","0.499980377178468","0.479366301056118","0.520594453300818"
"vocational + Abi","2001","AkademikerInnen","","","",""
"higher vocational","2001","(noch) kein Abschluss","","","",""
"higher vocational","2001","Hauptschulabschluss","549","0.0562934249818119","0.0516468434569948","0.060940006506629"
"higher vocational","2001","Realschulabschluss","739","0.127677174170568","0.119086955191317","0.136267393149819"
"higher vocational","2001","(Fach-)Abitur","385","0.17954365724695","0.163720008149114","0.195367306344786"
"higher vocational","2001","AkademikerInnen","","","",""
"higher education","2001","(noch) kein Abschluss","","","",""
"higher education","2001","Hauptschulabschluss","","","",""
"higher education","2001","Realschulabschluss","","","",""
"higher education","2001","(Fach-)Abitur","","","",""
"higher education","2001","AkademikerInnen","3568","1","1","1"
"in school","2002","(noch) kein Abschluss","617","0.590302215448115","0.558420329231926","0.622184101664304"
"in school","2002","Hauptschulabschluss","","","",""
"in school","2002","Realschulabschluss","","","",""
"in school","2002","(Fach-)Abitur","","","",""
"in school","2002","AkademikerInnen","","","",""
"inadequately","2002","(noch) kein Abschluss","248","0.33159057331554","0.301069671339316","0.362111475291764"
"inadequately","2002","Hauptschulabschluss","37","0.00341470464254954","0.00220768853135259","0.0046217207537465"
"inadequately","2002","Realschulabschluss","","","",""
"inadequately","2002","(Fach-)Abitur","","","",""
"inadequately","2002","AkademikerInnen","","","",""
"general elemantary","2002","(noch) kein Abschluss","","","",""
"general elemantary","2002","Hauptschulabschluss","2263","0.259046202562883","0.249981293820932","0.268111111304833"
"general elemantary","2002","Realschulabschluss","661","0.107656976008996","0.0998209140766102","0.115493037941382"
"general elemantary","2002","(Fach-)Abitur","","","",""
"general elemantary","2002","AkademikerInnen","","","",""
"middle vocational","2002","(noch) kein Abschluss","44","0.0637324399749077","0.0478960840503677","0.0795687958994477"
"middle vocational","2002","Hauptschulabschluss","6123","0.680337699300794","0.670688589774056","0.689986808827532"
"middle vocational","2002","Realschulabschluss","4577","0.766786677355771","0.756095517763059","0.777477836948483"
"middle vocational","2002","(Fach-)Abitur","894","0.320001078573889","0.301686205847392","0.338315951300386"
"middle vocational","2002","AkademikerInnen","","","",""
"vocational + Abi","2002","(noch) kein Abschluss","","","",""
"vocational + Abi","2002","Hauptschulabschluss","","","",""
"vocational + Abi","2002","Realschulabschluss","","","",""
"vocational + Abi","2002","(Fach-)Abitur","1180","0.507462843290726","0.48783395534682","0.527091731234633"
"vocational + Abi","2002","AkademikerInnen","","","",""
"higher vocational","2002","(noch) kein Abschluss","","","",""
"higher vocational","2002","Hauptschulabschluss","550","0.0572013934937739","0.0523964085900344","0.0620063783975133"
"higher vocational","2002","Realschulabschluss","772","0.125556346635233","0.117179200236666","0.1339334930338"
"higher vocational","2002","(Fach-)Abitur","418","0.172536078135385","0.157701043430016","0.187371112840754"
"higher vocational","2002","AkademikerInnen","","","",""
"higher education","2002","(noch) kein Abschluss","","","",""
"higher education","2002","Hauptschulabschluss","","","",""
"higher education","2002","Realschulabschluss","","","",""
"higher education","2002","(Fach-)Abitur","","","",""
"higher education","2002","AkademikerInnen","4574","1","1","1"
"in school","2003","(noch) kein Abschluss","619","0.582217951328643","0.549996542910388","0.614439359746897"
"in school","2003","Hauptschulabschluss","","","",""
"in school","2003","Realschulabschluss","","","",""
"in school","2003","(Fach-)Abitur","","","",""
"in school","2003","AkademikerInnen","","","",""
"inadequately","2003","(noch) kein Abschluss","233","0.335764832017592","0.304911265593439","0.366618398441746"
"inadequately","2003","Hauptschulabschluss","38","0.00367555194036666","0.00239036458740282","0.0049607392933305"
"inadequately","2003","Realschulabschluss","","","",""
"inadequately","2003","(Fach-)Abitur","","","",""
"inadequately","2003","AkademikerInnen","","","",""
"general elemantary","2003","(noch) kein Abschluss","","","",""
"general elemantary","2003","Hauptschulabschluss","2132","0.260198346107633","0.250880518262799","0.269516173952466"
"general elemantary","2003","Realschulabschluss","635","0.107179272645441","0.09921957147209","0.115138973818793"
"general elemantary","2003","(Fach-)Abitur","","","",""
"general elemantary","2003","AkademikerInnen","","","",""
"middle vocational","2003","(noch) kein Abschluss","44","0.0693652511421065","0.0527660399659111","0.0859644623183019"
"middle vocational","2003","Hauptschulabschluss","5825","0.678275497789153","0.668354624550654","0.688196371027651"
"middle vocational","2003","Realschulabschluss","4416","0.765716011092942","0.754817569582645","0.776614452603238"
"middle vocational","2003","(Fach-)Abitur","867","0.30923741258545","0.290910184837938","0.327564640332962"
"middle vocational","2003","AkademikerInnen","","","",""
"vocational + Abi","2003","(noch) kein Abschluss","","","",""
"vocational + Abi","2003","Hauptschulabschluss","","","",""
"vocational + Abi","2003","Realschulabschluss","","","",""
"vocational + Abi","2003","(Fach-)Abitur","1164","0.514349662575178","0.494530858945525","0.534168466204831"
"vocational + Abi","2003","AkademikerInnen","","","",""
"higher vocational","2003","(noch) kein Abschluss","","","",""
"higher vocational","2003","Hauptschulabschluss","522","0.0578506041628479","0.0528924662372659","0.0628087420884299"
"higher vocational","2003","Realschulabschluss","751","0.127104716261617","0.118533920719883","0.13567551180335"
"higher vocational","2003","(Fach-)Abitur","412","0.176412924839372","0.161297988618203","0.191527861060541"
"higher vocational","2003","AkademikerInnen","","","",""
"higher education","2003","(noch) kein Abschluss","","","",""
"higher education","2003","Hauptschulabschluss","","","",""
"higher education","2003","Realschulabschluss","","","",""
"higher education","2003","(Fach-)Abitur","","","",""
"higher education","2003","AkademikerInnen","4369","1","1","1"
"in school","2004","(noch) kein Abschluss","640","0.593564784056538","0.561652556253221","0.625477011859855"
"in school","2004","Hauptschulabschluss","","","",""
"in school","2004","Realschulabschluss","","","",""
"in school","2004","(Fach-)Abitur","","","",""
"in school","2004","AkademikerInnen","","","",""
"inadequately","2004","(noch) kein Abschluss","216","0.31375541938634","0.283607143785084","0.343903694987596"
"inadequately","2004","Hauptschulabschluss","40","0.00410072853385596","0.00271194606881988","0.00548951099889205"
"inadequately","2004","Realschulabschluss","","","",""
"inadequately","2004","(Fach-)Abitur","","","",""
"inadequately","2004","AkademikerInnen","","","",""
"general elemantary","2004","(noch) kein Abschluss","","","",""
"general elemantary","2004","Hauptschulabschluss","1990","0.262245515508583","0.252686658364259","0.271804372652906"
"general elemantary","2004","Realschulabschluss","612","0.106803281700449","0.098741836581022","0.114864726819875"
"general elemantary","2004","(Fach-)Abitur","","","",""
"general elemantary","2004","AkademikerInnen","","","",""
"middle vocational","2004","(noch) kein Abschluss","49","0.0784766431657121","0.0610043150245578","0.0959489713068664"
"middle vocational","2004","Hauptschulabschluss","5602","0.674483570928961","0.664300748954313","0.684666392903609"
"middle vocational","2004","Realschulabschluss","4295","0.762332634833491","0.751222890225083","0.7734423794419"
"middle vocational","2004","(Fach-)Abitur","851","0.301035041873744","0.282766779117561","0.319303304629927"
"middle vocational","2004","AkademikerInnen","","","",""
"vocational + Abi","2004","(noch) kein Abschluss","","","",""
"vocational + Abi","2004","Hauptschulabschluss","","","",""
"vocational + Abi","2004","Realschulabschluss","","","",""
"vocational + Abi","2004","(Fach-)Abitur","1167","0.529822490782225","0.509945202238339","0.549699779326111"
"vocational + Abi","2004","AkademikerInnen","","","",""
"higher vocational","2004","(noch) kein Abschluss","","","",""
"higher vocational","2004","Hauptschulabschluss","502","0.0591701850286004","0.0540427164632603","0.0642976535939405"
"higher vocational","2004","Realschulabschluss","732","0.13086408346606","0.122061682932474","0.139666483999647"
"higher vocational","2004","(Fach-)Abitur","404","0.169142467344031","0.154212782739896","0.184072151948166"
"higher vocational","2004","AkademikerInnen","","","",""
"higher education","2004","(noch) kein Abschluss","","","",""
"higher education","2004","Hauptschulabschluss","","","",""
"higher education","2004","Realschulabschluss","","","",""
"higher education","2004","(Fach-)Abitur","","","",""
"higher education","2004","AkademikerInnen","4311","1","1","1"
"in school","2005","(noch) kein Abschluss","652","0.606707367647622","0.574917260820868","0.638497474474376"
"in school","2005","Hauptschulabschluss","","","",""
"in school","2005","Realschulabschluss","","","",""
"in school","2005","(Fach-)Abitur","","","",""
"in school","2005","AkademikerInnen","","","",""
"inadequately","2005","(noch) kein Abschluss","205","0.305899433296367","0.275911607231337","0.335887259361397"
"inadequately","2005","Hauptschulabschluss","41","0.00471992744702074","0.0031819335951562","0.00625792129888528"
"inadequately","2005","Realschulabschluss","","","",""
"inadequately","2005","(Fach-)Abitur","","","",""
"inadequately","2005","AkademikerInnen","","","",""
"general elemantary","2005","(noch) kein Abschluss","","","",""
"general elemantary","2005","Hauptschulabschluss","1835","0.256795704864415","0.246992631185636","0.266598778543194"
"general elemantary","2005","Realschulabschluss","581","0.113123703777729","0.10467481177119","0.121572595784268"
"general elemantary","2005","(Fach-)Abitur","","","",""
"general elemantary","2005","AkademikerInnen","","","",""
"middle vocational","2005","(noch) kein Abschluss","46","0.0763864318312511","0.0591003043519922","0.0936725593105101"
"middle vocational","2005","Hauptschulabschluss","5279","0.680382751186152","0.669918551092628","0.690846951279676"
"middle vocational","2005","Realschulabschluss","4117","0.758357461505516","0.746938802494084","0.769776120516948"
"middle vocational","2005","(Fach-)Abitur","799","0.302161547783163","0.283476201751609","0.320846893814717"
"middle vocational","2005","AkademikerInnen","","","",""
"vocational + Abi","2005","(noch) kein Abschluss","","","",""
"vocational + Abi","2005","Hauptschulabschluss","","","",""
"vocational + Abi","2005","Realschulabschluss","","","",""
"vocational + Abi","2005","(Fach-)Abitur","1137","0.528419363351392","0.508106486174808","0.548732240527975"
"vocational + Abi","2005","AkademikerInnen","","","",""
"higher vocational","2005","(noch) kein Abschluss","","","",""
"higher vocational","2005","Hauptschulabschluss","474","0.0581016165024124","0.0528522074348116","0.0633510255700133"
"higher vocational","2005","Realschulabschluss","701","0.128518834716755","0.119591869972893","0.137445799460617"
"higher vocational","2005","(Fach-)Abitur","384","0.169419088865446","0.154154811733224","0.184683365997667"
"higher vocational","2005","AkademikerInnen","","","",""
"higher education","2005","(noch) kein Abschluss","","","",""
"higher education","2005","Hauptschulabschluss","","","",""
"higher education","2005","Realschulabschluss","","","",""
"higher education","2005","(Fach-)Abitur","","","",""
"higher education","2005","AkademikerInnen","4180","1","1","1"
"in school","2006","(noch) kein Abschluss","639","0.589775102525752","0.557550260402735","0.621999944648769"
"in school","2006","Hauptschulabschluss","","","",""
"in school","2006","Realschulabschluss","","","",""
"in school","2006","(Fach-)Abitur","","","",""
"in school","2006","AkademikerInnen","","","",""
"inadequately","2006","(noch) kein Abschluss","195","0.312664378765684","0.28229330111594","0.343035456415429"
"inadequately","2006","Hauptschulabschluss","48","0.00565836758155072","0.00403386827502344","0.007282866888078"
"inadequately","2006","Realschulabschluss","","","",""
"inadequately","2006","(Fach-)Abitur","","","",""
"inadequately","2006","AkademikerInnen","","","",""
"general elemantary","2006","(noch) kein Abschluss","","","",""
"general elemantary","2006","Hauptschulabschluss","1947","0.259465381104385","0.249972052071743","0.268958710137027"
"general elemantary","2006","Realschulabschluss","611","0.111629986645078","0.103526273863494","0.119733699426662"
"general elemantary","2006","(Fach-)Abitur","","","",""
"general elemantary","2006","AkademikerInnen","","","",""
"middle vocational","2006","(noch) kein Abschluss","56","0.0881948359049017","0.0696163988492432","0.10677327296056"
"middle vocational","2006","Hauptschulabschluss","5694","0.679171924390334","0.669062365984145","0.689281482796523"
"middle vocational","2006","Realschulabschluss","4462","0.766810978025208","0.755929325103157","0.77769263094726"
"middle vocational","2006","(Fach-)Abitur","835","0.312234557773869","0.293970524390858","0.33049859115688"
"middle vocational","2006","AkademikerInnen","","","",""
"vocational + Abi","2006","(noch) kein Abschluss","","","",""
"vocational + Abi","2006","Hauptschulabschluss","","","",""
"vocational + Abi","2006","Realschulabschluss","","","",""
"vocational + Abi","2006","(Fach-)Abitur","1220","0.519221184919484","0.499529408497605","0.538912961341362"
"vocational + Abi","2006","AkademikerInnen","","","",""
"higher vocational","2006","(noch) kein Abschluss","","","",""
"higher vocational","2006","Hauptschulabschluss","501","0.05570432692373","0.0507372074578527","0.0606714463896072"
"higher vocational","2006","Realschulabschluss","728","0.121559035329714","0.113149992376455","0.129968078282973"
"higher vocational","2006","(Fach-)Abitur","418","0.168544257306647","0.153790162109642","0.183298352503653"
"higher vocational","2006","AkademikerInnen","","","",""
"higher education","2006","(noch) kein Abschluss","","","",""
"higher education","2006","Hauptschulabschluss","","","",""
"higher education","2006","Realschulabschluss","","","",""
"higher education","2006","(Fach-)Abitur","","","",""
"higher education","2006","AkademikerInnen","4590","1","1","1"
"in school","2007","(noch) kein Abschluss","629","0.636355393770403","0.603939996432927","0.668770791107878"
"in school","2007","Hauptschulabschluss","","","",""
"in school","2007","Realschulabschluss","","","",""
"in school","2007","(Fach-)Abitur","","","",""
"in school","2007","AkademikerInnen","","","",""
"inadequately","2007","(noch) kein Abschluss","176","0.287387142236855","0.256892509768563","0.317881774705146"
"inadequately","2007","Hauptschulabschluss","43","0.00571154784599402","0.00399688299332016","0.00742621269866789"
"inadequately","2007","Realschulabschluss","","","",""
"inadequately","2007","(Fach-)Abitur","","","",""
"inadequately","2007","AkademikerInnen","","","",""
"general elemantary","2007","(noch) kein Abschluss","","","",""
"general elemantary","2007","Hauptschulabschluss","1723","0.254287905462712","0.244379709575152","0.264196101350273"
"general elemantary","2007","Realschulabschluss","556","0.112498588354176","0.104109632623524","0.120887544084828"
"general elemantary","2007","(Fach-)Abitur","","","",""
"general elemantary","2007","AkademikerInnen","","","",""
"middle vocational","2007","(noch) kein Abschluss","38","0.069520387853081","0.0523819026631496","0.0866588730430123"
"middle vocational","2007","Hauptschulabschluss","5194","0.682455852199997","0.671863669181747","0.693048035218248"
"middle vocational","2007","Realschulabschluss","4212","0.766043246449323","0.754803816701126","0.77728267619752"
"middle vocational","2007","(Fach-)Abitur","818","0.323750416741009","0.304956077286159","0.342544756195859"
"middle vocational","2007","AkademikerInnen","","","",""
"vocational + Abi","2007","(noch) kein Abschluss","","","",""
"vocational + Abi","2007","Hauptschulabschluss","","","",""
"vocational + Abi","2007","Realschulabschluss","","","",""
"vocational + Abi","2007","(Fach-)Abitur","1175","0.516064135918128","0.495991050305249","0.536137221531007"
"vocational + Abi","2007","AkademikerInnen","","","",""
"higher vocational","2007","(noch) kein Abschluss","","","",""
"higher vocational","2007","Hauptschulabschluss","460","0.0575446944912961","0.052245874519515","0.0628435144630772"
"higher vocational","2007","Realschulabschluss","682","0.121458165196501","0.112785662943255","0.130130667449748"
"higher vocational","2007","(Fach-)Abitur","388","0.160185447340863","0.14545311116174","0.174917783519985"
"higher vocational","2007","AkademikerInnen","","","",""
"higher education","2007","(noch) kein Abschluss","","","",""
"higher education","2007","Hauptschulabschluss","","","",""
"higher education","2007","Realschulabschluss","","","",""
"higher education","2007","(Fach-)Abitur","","","",""
"higher education","2007","AkademikerInnen","4402","1","1","1"
"in school","2008","(noch) kein Abschluss","554","0.640736504637832","0.606353520141626","0.675119489134038"
"in school","2008","Hauptschulabschluss","","","",""
