"ple0019","year","age_gr","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein","2010","17-34","Sachsen","","","",""
"Nein","2010","17-34","Sachsen-Anhalt","","","",""
"Nein","2010","17-34","Thueringen","","","",""
"Nein","2010","35-65","Schleswig-Holstein","","","",""
"Nein","2010","35-65","Hamburg","","","",""
"Nein","2010","35-65","Niedersachsen","","","",""
"Nein","2010","35-65","Bremen","","","",""
"Nein","2010","35-65","Nordrhein-Westfalen","","","",""
"Nein","2010","35-65","Hessen","","","",""
"Nein","2010","35-65","Rheinland-Pfalz,Saarland","","","",""
"Nein","2010","35-65","Baden-Wuerttemberg","","","",""
"Nein","2010","35-65","Bayern","","","",""
"Nein","2010","35-65","Saarland","","","",""
"Nein","2010","35-65","Berlin","","","",""
"Nein","2010","35-65","Brandenburg","","","",""
"Nein","2010","35-65","Mecklenburg-Vorpommern","","","",""
"Nein","2010","35-65","Sachsen","","","",""
"Nein","2010","35-65","Sachsen-Anhalt","","","",""
"Nein","2010","35-65","Thueringen","","","",""
"Nein","2010","66 +","Schleswig-Holstein","","","",""
"Nein","2010","66 +","Hamburg","","","",""
"Nein","2010","66 +","Niedersachsen","","","",""
"Nein","2010","66 +","Bremen","","","",""
"Nein","2010","66 +","Nordrhein-Westfalen","","","",""
"Nein","2010","66 +","Hessen","","","",""
"Nein","2010","66 +","Rheinland-Pfalz,Saarland","","","",""
"Nein","2010","66 +","Baden-Wuerttemberg","","","",""
"Nein","2010","66 +","Bayern","","","",""
"Nein","2010","66 +","Saarland","","","",""
"Nein","2010","66 +","Berlin","","","",""
"Nein","2010","66 +","Brandenburg","","","",""
"Nein","2010","66 +","Mecklenburg-Vorpommern","","","",""
"Nein","2010","66 +","Sachsen","","","",""
"Nein","2010","66 +","Sachsen-Anhalt","","","",""
"Nein","2010","66 +","Thueringen","","","",""
"Ja","2011","17-34","Schleswig-Holstein","7","","",""
"Ja","2011","17-34","Hamburg","6","","",""
"Ja","2011","17-34","Niedersachsen","8","","",""
"Ja","2011","17-34","Bremen","3","","",""
"Ja","2011","17-34","Nordrhein-Westfalen","36","0.0404498163558481","0.0269571350139512","0.0539424976977451"
"Ja","2011","17-34","Hessen","8","","",""
"Ja","2011","17-34","Rheinland-Pfalz,Saarland","11","","",""
"Ja","2011","17-34","Baden-Wuerttemberg","16","","",""
"Ja","2011","17-34","Bayern","23","","",""
"Ja","2011","17-34","Saarland","","","",""
"Ja","2011","17-34","Berlin","8","","",""
"Ja","2011","17-34","Brandenburg","4","","",""
"Ja","2011","17-34","Mecklenburg-Vorpommern","5","","",""
"Ja","2011","17-34","Sachsen","16","","",""
"Ja","2011","17-34","Sachsen-Anhalt","5","","",""
"Ja","2011","17-34","Thueringen","8","","",""
"Ja","2011","35-65","Schleswig-Holstein","18","","",""
"Ja","2011","35-65","Hamburg","12","","",""
"Ja","2011","35-65","Niedersachsen","70","0.0687788729928837","0.0533458192661416","0.0842119267196259"
"Ja","2011","35-65","Bremen","2","","",""
"Ja","2011","35-65","Nordrhein-Westfalen","186","0.0911814074499758","0.0794372480767567","0.102925566823195"
"Ja","2011","35-65","Hessen","78","0.114471647707102","0.0929152452073791","0.136028050206825"
"Ja","2011","35-65","Rheinland-Pfalz,Saarland","53","0.0873324054690688","0.0659390425488352","0.108725768389302"
"Ja","2011","35-65","Baden-Wuerttemberg","92","0.0711563325557538","0.0573862706446152","0.0849263944668923"
"Ja","2011","35-65","Bayern","157","0.0954281664640837","0.0817484828747985","0.109107850053369"
"Ja","2011","35-65","Saarland","","","",""
"Ja","2011","35-65","Berlin","40","0.106061142401933","0.0758859426666154","0.13623634213725"
"Ja","2011","35-65","Brandenburg","45","0.099284580065759","0.0726704716170635","0.125898688514454"
"Ja","2011","35-65","Mecklenburg-Vorpommern","21","","",""
"Ja","2011","35-65","Sachsen","45","0.0844404069777484","0.0645676721141608","0.104313141841336"
"Ja","2011","35-65","Sachsen-Anhalt","28","","",""
"Ja","2011","35-65","Thueringen","35","0.0917138015684612","0.0657855447375417","0.117642058399381"
"Ja","2011","66 +","Schleswig-Holstein","5","","",""
"Ja","2011","66 +","Hamburg","3","","",""
"Ja","2011","66 +","Niedersachsen","23","","",""
"Ja","2011","66 +","Bremen","1","","",""
"Ja","2011","66 +","Nordrhein-Westfalen","33","0.0302596117029768","0.0196636433658676","0.0408555800400859"
"Ja","2011","66 +","Hessen","10","","",""
"Ja","2011","66 +","Rheinland-Pfalz,Saarland","10","","",""
"Ja","2011","66 +","Baden-Wuerttemberg","17","","",""
"Ja","2011","66 +","Bayern","40","0.0526171549397602","0.037057989871176","0.0681763200083445"
"Ja","2011","66 +","Saarland","","","",""
"Ja","2011","66 +","Berlin","5","","",""
"Ja","2011","66 +","Brandenburg","6","","",""
"Ja","2011","66 +","Mecklenburg-Vorpommern","6","","",""
"Ja","2011","66 +","Sachsen","13","","",""
"Ja","2011","66 +","Sachsen-Anhalt","12","","",""
"Ja","2011","66 +","Thueringen","8","","",""
"Nein","2011","17-34","Schleswig-Holstein","158","0.96622998368519","0.93866790239633","0.993792064974049"
"Nein","2011","17-34","Hamburg","75","0.948540750001549","0.900427432392366","0.996654067610732"
"Nein","2011","17-34","Niedersachsen","357","0.987794222544242","0.976529574597046","0.999058870491438"
"Nein","2011","17-34","Bremen","32","0.8692960890492","0.757624621602106","0.980967556496294"
"Nein","2011","17-34","Nordrhein-Westfalen","783","0.959550183644152","0.946057502302255","0.973042864986049"
"Nein","2011","17-34","Hessen","278","0.968684455367839","0.948499108147211","0.988869802588467"
"Nein","2011","17-34","Rheinland-Pfalz,Saarland","231","0.908294464167084","0.871932149723684","0.944656778610483"
"Nein","2011","17-34","Baden-Wuerttemberg","560","0.965529578081824","0.950631064535398","0.98042809162825"
"Nein","2011","17-34","Bayern","598","0.96055906627131","0.945250380010617","0.975867752532003"
"Nein","2011","17-34","Saarland","","","",""
"Nein","2011","17-34","Berlin","159","0.957208106907806","0.926512672112945","0.987903541702668"
"Nein","2011","17-34","Brandenburg","148","0.979642431067604","0.957192084597122","1.00209277753809"
"Nein","2011","17-34","Mecklenburg-Vorpommern","93","0.92685543235791","0.875305026173783","0.978405838542036"
"Nein","2011","17-34","Sachsen","283","0.949482271812755","0.924657924834287","0.974306618791222"
"Nein","2011","17-34","Sachsen-Anhalt","174","0.987164595807757","0.970674577576426","1.00365461403909"
"Nein","2011","17-34","Thueringen","180","0.947827560919081","0.916040205110109","0.979614916728053"
"Nein","2011","35-65","Schleswig-Holstein","302","0.951902846253269","0.928458987131584","0.975346705374953"
"Nein","2011","35-65","Hamburg","127","0.919536208748637","0.874316750572136","0.964755666925138"
"Nein","2011","35-65","Niedersachsen","963","0.931221127007116","0.915788073280374","0.946654180733858"
"Nein","2011","35-65","Bremen","59","0.919266273481651","0.850901664131324","0.987630882831978"
"Nein","2011","35-65","Nordrhein-Westfalen","2122","0.908818592550024","0.897074433176805","0.920562751923243"
"Nein","2011","35-65","Hessen","760","0.885528352292898","0.863971949793175","0.907084754792621"
"Nein","2011","35-65","Rheinland-Pfalz,Saarland","616","0.912667594530931","0.891274231610698","0.934060957451165"
"Nein","2011","35-65","Baden-Wuerttemberg","1247","0.928843667444246","0.915073605533108","0.942613729355385"
"Nein","2011","35-65","Bayern","1615","0.904571833535916","0.890892149946631","0.918251517125201"
"Nein","2011","35-65","Saarland","","","",""
"Nein","2011","35-65","Berlin","360","0.893938857598067","0.86376365786275","0.924114057333384"
"Nein","2011","35-65","Brandenburg","440","0.900715419934241","0.874101311485546","0.927329528382936"
"Nein","2011","35-65","Mecklenburg-Vorpommern","273","0.920705902230272","0.889820353589752","0.951591450870792"
"Nein","2011","35-65","Sachsen","707","0.915559593022252","0.895686858158664","0.935432327885839"
"Nein","2011","35-65","Sachsen-Anhalt","437","0.943169420989643","0.922126427981169","0.964212413998117"
"Nein","2011","35-65","Thueringen","441","0.908286198431539","0.882357941600619","0.934214455262458"
"Nein","2011","66 +","Schleswig-Holstein","161","0.929804530571266","0.890940806202073","0.968668254940459"
"Nein","2011","66 +","Hamburg","88","0.955471396522491","0.913091901507756","0.997850891537226"
"Nein","2011","66 +","Niedersachsen","487","0.957647199417152","0.94016859146723","0.975125807367073"
"Nein","2011","66 +","Bremen","29","","",""
"Nein","2011","66 +","Nordrhein-Westfalen","971","0.969740388297023","0.959144419959914","0.980336356634132"
"Nein","2011","66 +","Hessen","275","0.962501327651745","0.94044494561857","0.98455770968492"
"Nein","2011","66 +","Rheinland-Pfalz,Saarland","285","0.966202466118143","0.945581279151229","0.986823653085057"
"Nein","2011","66 +","Baden-Wuerttemberg","554","0.971228646872713","0.95751759031097","0.984939703434457"
"Nein","2011","66 +","Bayern","751","0.94738284506024","0.931823679991655","0.962942010128824"
"Nein","2011","66 +","Saarland","","","",""
"Nein","2011","66 +","Berlin","209","0.983025717057683","0.96571881393376","1.00033262018161"
"Nein","2011","66 +","Brandenburg","239","0.958393707250167","0.933389301603297","0.983398112897036"
"Nein","2011","66 +","Mecklenburg-Vorpommern","117","0.953002629786458","0.915601961408111","0.990403298164806"
"Nein","2011","66 +","Sachsen","340","0.962997797911739","0.943305918359219","0.98268967746426"
"Nein","2011","66 +","Sachsen-Anhalt","211","0.95422413265729","0.926793290044083","0.981654975270497"
"Nein","2011","66 +","Thueringen","212","0.975910784298236","0.955650145252493","0.99617142334398"
"Ja","2012","17-34","Schleswig-Holstein","","","",""
"Ja","2012","17-34","Hamburg","","","",""
"Ja","2012","17-34","Niedersachsen","","","",""
"Ja","2012","17-34","Bremen","","","",""
"Ja","2012","17-34","Nordrhein-Westfalen","","","",""
"Ja","2012","17-34","Hessen","","","",""
"Ja","2012","17-34","Rheinland-Pfalz,Saarland","","","",""
"Ja","2012","17-34","Baden-Wuerttemberg","","","",""
"Ja","2012","17-34","Bayern","","","",""
"Ja","2012","17-34","Saarland","","","",""
"Ja","2012","17-34","Berlin","","","",""
"Ja","2012","17-34","Brandenburg","","","",""
"Ja","2012","17-34","Mecklenburg-Vorpommern","","","",""
"Ja","2012","17-34","Sachsen","","","",""
"Ja","2012","17-34","Sachsen-Anhalt","","","",""
"Ja","2012","17-34","Thueringen","","","",""
"Ja","2012","35-65","Schleswig-Holstein","","","",""
"Ja","2012","35-65","Hamburg","","","",""
"Ja","2012","35-65","Niedersachsen","","","",""
"Ja","2012","35-65","Bremen","","","",""
"Ja","2012","35-65","Nordrhein-Westfalen","","","",""
"Ja","2012","35-65","Hessen","","","",""
"Ja","2012","35-65","Rheinland-Pfalz,Saarland","","","",""
