year,age_gr,bula_h,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Saxony-Anhalt,No,0.53608,56,56,0.40428,0.66788
2013,17-29 y.,Thuringa,Yes,0.22501,32,95,0.14059,0.30943
2013,17-29 y.,Thuringa,No,0.62554,63,95,0.52770,0.72338
2013,30-45 y.,Schleswig-Holstein,Yes,0.29741,59,120,0.21528,0.37955
2013,30-45 y.,Schleswig-Holstein,No,0.34439,61,120,0.25901,0.42976
2013,30-45 y.,Hamburg,Yes,0.33938,41,88,0.23988,0.43888
2013,30-45 y.,Hamburg,No,0.42890,47,88,0.32490,0.53290
2013,30-45 y.,Lower Saxony,Yes,0.35699,191,377,0.30856,0.40542
2013,30-45 y.,Lower Saxony,No,0.31910,186,377,0.27199,0.36622
2013,30-45 y.,North Rhine-Westphalia,Yes,0.30773,373,799,0.27571,0.33976
2013,30-45 y.,North Rhine-Westphalia,No,0.34678,426,799,0.31376,0.37980
2013,30-45 y.,Hesse,Yes,0.32240,137,282,0.26775,0.37705
2013,30-45 y.,Hesse,No,0.32447,145,282,0.26973,0.37921
2013,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.31639,98,208,0.25303,0.37974
2013,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.34773,110,208,0.28286,0.41261
2013,30-45 y.,Baden-Wuerttemberg,Yes,0.26339,183,476,0.22378,0.30301
2013,30-45 y.,Baden-Wuerttemberg,No,0.35397,293,476,0.31097,0.39698
2013,30-45 y.,Bavaria,Yes,0.33155,302,636,0.29493,0.36816
2013,30-45 y.,Bavaria,No,0.31379,334,636,0.27770,0.34989
2013,30-45 y.,Berlin,Yes,0.31414,76,174,0.24497,0.38331
2013,30-45 y.,Berlin,No,0.40275,98,174,0.32966,0.47583
2013,30-45 y.,Brandenburg,Yes,0.21887,50,129,0.14724,0.29050
2013,30-45 y.,Brandenburg,No,0.43848,79,129,0.35252,0.52445
2013,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.33802,34,87,0.23804,0.43800
2013,30-45 y.,Mecklenburg-Western Pomerania,No,0.41553,53,87,0.31137,0.51969
2013,30-45 y.,Saxony,Yes,0.37585,129,299,0.32086,0.43085
2013,30-45 y.,Saxony,No,0.42200,170,299,0.36592,0.47807
2013,30-45 y.,Saxony-Anhalt,Yes,0.32336,78,162,0.25111,0.39562
2013,30-45 y.,Saxony-Anhalt,No,0.42925,84,162,0.35279,0.50570
2013,30-45 y.,Thuringa,Yes,0.29296,64,151,0.22013,0.36580
2013,30-45 y.,Thuringa,No,0.41840,87,151,0.33946,0.49735
2013,46-65 y.,Schleswig-Holstein,Yes,0.61010,149,207,0.54349,0.67670
2013,46-65 y.,Schleswig-Holstein,No,0.30677,58,207,0.24380,0.36975
2013,46-65 y.,Hamburg,Yes,0.62445,57,57,0.49762,0.75129
2013,46-65 y.,Lower Saxony,Yes,0.65740,468,661,0.62119,0.69361
2013,46-65 y.,Lower Saxony,No,0.24280,193,661,0.21009,0.27551
2013,46-65 y.,North Rhine-Westphalia,Yes,0.63519,970,1423,0.61017,0.66021
2013,46-65 y.,North Rhine-Westphalia,No,0.25112,453,1423,0.22858,0.27366
2013,46-65 y.,Hesse,Yes,0.63994,395,554,0.59993,0.67995
2013,46-65 y.,Hesse,No,0.23956,159,554,0.20399,0.27513
2013,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.65740,313,441,0.61306,0.70174
2013,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.24989,128,441,0.20944,0.29035
2013,46-65 y.,Baden-Wuerttemberg,Yes,0.56997,514,781,0.53522,0.60471
2013,46-65 y.,Baden-Wuerttemberg,No,0.29487,267,781,0.26287,0.32687
2013,46-65 y.,Bavaria,Yes,0.63531,778,1101,0.60686,0.66375
2013,46-65 y.,Bavaria,No,0.25162,323,1101,0.22598,0.27727
2013,46-65 y.,Berlin,Yes,0.69081,216,287,0.63724,0.74437
2013,46-65 y.,Berlin,No,0.21283,71,287,0.16539,0.26027
2013,46-65 y.,Brandenburg,Yes,0.60240,231,337,0.55007,0.65473
2013,46-65 y.,Brandenburg,No,0.31845,106,337,0.26863,0.36826
2013,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.76814,151,198,0.70921,0.82708
2013,46-65 y.,Mecklenburg-Western Pomerania,No,0.18904,47,198,0.13437,0.24372
2013,46-65 y.,Saxony,Yes,0.67085,372,515,0.63023,0.71148
2013,46-65 y.,Saxony,No,0.26738,143,515,0.22911,0.30564
2013,46-65 y.,Saxony-Anhalt,Yes,0.77065,240,309,0.72370,0.81761
2013,46-65 y.,Saxony-Anhalt,No,0.17616,69,309,0.13361,0.21870
2013,46-65 y.,Thuringa,Yes,0.66116,230,340,0.61077,0.71154
2013,46-65 y.,Thuringa,No,0.29744,110,340,0.24878,0.34610
2013,66 and older,Schleswig-Holstein,Yes,0.82735,144,144,0.76540,0.88929
2013,66 and older,Hamburg,Yes,0.77547,78,78,0.68226,0.86867
2013,66 and older,Lower Saxony,Yes,0.87632,428,487,0.84705,0.90559
2013,66 and older,Lower Saxony,No,0.11071,59,487,0.08281,0.13861
2013,66 and older,North Rhine-Westphalia,Yes,0.89455,816,936,0.87487,0.91424
2013,66 and older,North Rhine-Westphalia,No,0.09502,120,936,0.07623,0.11382
2013,66 and older,Hesse,Yes,0.90168,260,292,0.86747,0.93589
2013,66 and older,Hesse,No,0.08422,32,292,0.05231,0.11612
2013,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.85018,247,282,0.80845,0.89191
2013,66 and older,"Rhineland-Palatinate, Saarland",No,0.11862,35,282,0.08081,0.15642
2013,66 and older,Baden-Wuerttemberg,Yes,0.86667,470,540,0.83797,0.89537
2013,66 and older,Baden-Wuerttemberg,No,0.12037,70,540,0.09290,0.14784
2013,66 and older,Bavaria,Yes,0.83508,651,753,0.80855,0.86160
2013,66 and older,Bavaria,No,0.14263,102,753,0.11764,0.16763
2013,66 and older,Berlin,Yes,0.86535,176,176,0.81477,0.91592
2013,66 and older,Brandenburg,Yes,0.87216,213,213,0.82721,0.91711
2013,66 and older,Mecklenburg-Western Pomerania,Yes,0.90432,105,105,0.84779,0.96086
2013,66 and older,Saxony,Yes,0.88665,310,345,0.85315,0.92015
2013,66 and older,Saxony,No,0.11001,35,345,0.07694,0.14307
2013,66 and older,Saxony-Anhalt,Yes,0.88901,180,180,0.84299,0.93503
2013,66 and older,Thuringa,Yes,0.83628,178,209,0.78599,0.88656
2013,66 and older,Thuringa,No,0.14920,31,209,0.10078,0.19762
2015,17-29 y.,Schleswig-Holstein,Yes,0.34408,60,156,0.26929,0.41887
2015,17-29 y.,Schleswig-Holstein,No,0.57030,96,156,0.49237,0.64824
2015,17-29 y.,Hamburg,No,0.41926,36,36,0.25579,0.58274
2015,17-29 y.,Lower Saxony,Yes,0.28422,124,405,0.24023,0.32820
2015,17-29 y.,Lower Saxony,No,0.60720,281,405,0.55957,0.65482
2015,17-29 y.,North Rhine-Westphalia,Yes,0.27894,275,872,0.24916,0.30873
2015,17-29 y.,North Rhine-Westphalia,No,0.59685,597,872,0.56428,0.62943
2015,17-29 y.,Hesse,Yes,0.20434,81,265,0.15570,0.25298
2015,17-29 y.,Hesse,No,0.67165,184,265,0.61500,0.72830
2015,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.19327,56,246,0.14383,0.24272
2015,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.68113,190,246,0.62277,0.73949
2015,17-29 y.,Baden-Wuerttemberg,Yes,0.26804,129,484,0.22853,0.30754
2015,17-29 y.,Baden-Wuerttemberg,No,0.63348,355,484,0.59051,0.67645
2015,17-29 y.,Bavaria,Yes,0.28975,210,637,0.25450,0.32501
2015,17-29 y.,Bavaria,No,0.55800,427,637,0.51941,0.59660
2015,17-29 y.,Berlin,Yes,0.36125,47,131,0.27867,0.44382
2015,17-29 y.,Berlin,No,0.45381,84,131,0.36823,0.53939
2015,17-29 y.,Brandenburg,No,0.66603,72,72,0.55632,0.77573
2015,17-29 y.,Mecklenburg-Western Pomerania,No,0.83805,47,47,0.73159,0.94452
2015,17-29 y.,Saxony,Yes,0.31792,76,192,0.25188,0.38396
2015,17-29 y.,Saxony,No,0.56283,116,192,0.49248,0.63317
2015,17-29 y.,Saxony-Anhalt,Yes,0.32738,43,114,0.24086,0.41390
2015,17-29 y.,Saxony-Anhalt,No,0.59305,71,114,0.50247,0.68363
2015,17-29 y.,Thuringa,Yes,0.34103,42,115,0.25401,0.42806
2015,17-29 y.,Thuringa,No,0.48568,73,115,0.39393,0.57743
2015,30-45 y.,Schleswig-Holstein,Yes,0.51658,141,270,0.45686,0.57629
2015,30-45 y.,Schleswig-Holstein,No,0.45653,129,270,0.39701,0.51606
2015,30-45 y.,Hamburg,Yes,0.31042,49,140,0.23350,0.38733
2015,30-45 y.,Hamburg,No,0.61892,91,140,0.53818,0.69966
2015,30-45 y.,Lower Saxony,Yes,0.46059,319,696,0.42353,0.49764
2015,30-45 y.,Lower Saxony,No,0.47669,377,696,0.43955,0.51382
2015,30-45 y.,Bremen,No,0.60552,32,32,0.43347,0.77757
2015,30-45 y.,North Rhine-Westphalia,Yes,0.46610,725,1530,0.44110,0.49111
2015,30-45 y.,North Rhine-Westphalia,No,0.46885,805,1530,0.44383,0.49386
2015,30-45 y.,Hesse,Yes,0.43552,217,494,0.39175,0.47929
2015,30-45 y.,Hesse,No,0.49739,277,494,0.45325,0.54152
2015,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.40399,163,389,0.35517,0.45282
2015,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.52952,226,389,0.47985,0.57918
2015,30-45 y.,Baden-Wuerttemberg,Yes,0.37490,393,942,0.34397,0.40583
2015,30-45 y.,Baden-Wuerttemberg,No,0.54497,549,942,0.51315,0.57679
2015,30-45 y.,Bavaria,Yes,0.39687,488,1168,0.36880,0.42494
2015,30-45 y.,Bavaria,No,0.52293,680,1168,0.49428,0.55159
2015,30-45 y.,Berlin,Yes,0.38073,117,268,0.32249,0.43898
2015,30-45 y.,Berlin,No,0.53284,151,268,0.47299,0.59268
2015,30-45 y.,Brandenburg,Yes,0.39256,109,243,0.33103,0.45408
2015,30-45 y.,Brandenburg,No,0.57206,134,243,0.50972,0.63439
2015,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.54064,71,153,0.46142,0.61987
2015,30-45 y.,Mecklenburg-Western Pomerania,No,0.45756,82,153,0.37836,0.53676
2015,30-45 y.,Saxony,Yes,0.41661,190,427,0.36979,0.46342
2015,30-45 y.,Saxony,No,0.54265,237,427,0.49534,0.58995
2015,30-45 y.,Saxony-Anhalt,Yes,0.56269,125,246,0.50058,0.62481
2015,30-45 y.,Saxony-Anhalt,No,0.42543,121,246,0.36352,0.48734
2015,30-45 y.,Thuringa,Yes,0.41132,120,245,0.34958,0.47307
2015,30-45 y.,Thuringa,No,0.51910,125,245,0.45641,0.58179
2015,46-65 y.,Schleswig-Holstein,Yes,0.69087,196,268,0.63544,0.74630
2015,46-65 y.,Schleswig-Holstein,No,0.29620,72,268,0.24143,0.35096
2015,46-65 y.,Hamburg,Yes,0.73544,77,129,0.65902,0.81185
2015,46-65 y.,Hamburg,No,0.25051,52,129,0.17544,0.32558
2015,46-65 y.,Lower Saxony,Yes,0.67668,543,819,0.64462,0.70873
2015,46-65 y.,Lower Saxony,No,0.30840,276,819,0.27675,0.34005
2015,46-65 y.,Bremen,Yes,0.77237,36,36,0.63345,0.91128
2015,46-65 y.,North Rhine-Westphalia,Yes,0.67499,1182,1810,0.65341,0.69658
2015,46-65 y.,North Rhine-Westphalia,No,0.30600,628,1810,0.28476,0.32723
2015,46-65 y.,Hesse,Yes,0.67170,448,657,0.63576,0.70764
2015,46-65 y.,Hesse,No,0.29639,209,657,0.26144,0.33133
2015,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.71507,379,556,0.67751,0.75262
2015,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.26903,177,556,0.23213,0.30592
2015,46-65 y.,Baden-Wuerttemberg,Yes,0.62090,625,987,0.59061,0.65118
2015,46-65 y.,Baden-Wuerttemberg,No,0.35719,362,987,0.32728,0.38710
2015,46-65 y.,Bavaria,Yes,0.68302,912,1443,0.65901,0.70704
2015,46-65 y.,Bavaria,No,0.30416,531,1443,0.28041,0.32790
2015,46-65 y.,Berlin,Yes,0.76880,232,311,0.72187,0.81573
2015,46-65 y.,Berlin,No,0.20754,79,311,0.16239,0.25268
2015,46-65 y.,Brandenburg,Yes,0.66943,272,393,0.62286,0.71600
2015,46-65 y.,Brandenburg,No,0.32141,121,393,0.27517,0.36764
2015,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.68442,133,201,0.62001,0.74883
2015,46-65 y.,Mecklenburg-Western Pomerania,No,0.31154,68,201,0.24736,0.37573
2015,46-65 y.,Saxony,Yes,0.71041,370,518,0.67131,0.74951
2015,46-65 y.,Saxony,No,0.27042,148,518,0.23213,0.30871
2015,46-65 y.,Saxony-Anhalt,Yes,0.77071,235,314,0.72414,0.81728
2015,46-65 y.,Saxony-Anhalt,No,0.22323,79,314,0.17710,0.26937
2015,46-65 y.,Thuringa,Yes,0.68764,242,345,0.63866,0.73662
2015,46-65 y.,Thuringa,No,0.30185,103,345,0.25334,0.35037
2015,66 and older,Schleswig-Holstein,Yes,0.83526,153,153,0.77629,0.89423
2015,66 and older,Hamburg,Yes,0.81561,82,82,0.73116,0.90007
2015,66 and older,Lower Saxony,Yes,0.88236,428,483,0.85360,0.91113
2015,66 and older,Lower Saxony,No,0.10260,55,483,0.07551,0.12969
2015,66 and older,North Rhine-Westphalia,Yes,0.87593,789,908,0.85448,0.89739
2015,66 and older,North Rhine-Westphalia,No,0.12172,119,908,0.10044,0.14300
2015,66 and older,Hesse,Yes,0.87136,235,272,0.83150,0.91122
2015,66 and older,Hesse,No,0.11771,37,272,0.07934,0.15608
2015,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.87124,258,290,0.83262,0.90985
2015,66 and older,"Rhineland-Palatinate, Saarland",No,0.11066,32,290,0.07449,0.14683
2015,66 and older,Baden-Wuerttemberg,Yes,0.85115,463,536,0.82099,0.88131
2015,66 and older,Baden-Wuerttemberg,No,0.14282,73,536,0.11317,0.17247
2015,66 and older,Bavaria,Yes,0.85807,649,745,0.83299,0.88315
2015,66 and older,Bavaria,No,0.12687,96,745,0.10295,0.15079
2015,66 and older,Berlin,Yes,0.89406,171,171,0.84779,0.94032
2015,66 and older,Brandenburg,Yes,0.90055,218,218,0.86073,0.94036
2015,66 and older,Mecklenburg-Western Pomerania,Yes,0.92813,118,118,0.88133,0.97493
2015,66 and older,Saxony,Yes,0.87478,308,344,0.83975,0.90981
2015,66 and older,Saxony,No,0.11129,36,344,0.07801,0.14457
2015,66 and older,Saxony-Anhalt,Yes,0.92771,192,192,0.89098,0.96444
2015,66 and older,Thuringa,Yes,0.80744,170,209,0.75385,0.86103
2015,66 and older,Thuringa,No,0.19256,39,209,0.13897,0.24615
2017,17-29 y.,Schleswig-Holstein,Yes,0.36793,60,162,0.29344,0.44243
2017,17-29 y.,Schleswig-Holstein,No,0.52015,102,162,0.44298,0.59733
2017,17-29 y.,Hamburg,No,0.44184,37,37,0.27961,0.60406
2017,17-29 y.,Lower Saxony,Yes,0.29240,168,532,0.25371,0.33109
2017,17-29 y.,Lower Saxony,No,0.61323,364,532,0.57180,0.65465
2017,17-29 y.,North Rhine-Westphalia,Yes,0.27913,318,976,0.25097,0.30728
2017,17-29 y.,North Rhine-Westphalia,No,0.59710,658,976,0.56632,0.62789
2017,17-29 y.,Hesse,Yes,0.31852,104,309,0.26649,0.37055
2017,17-29 y.,Hesse,No,0.57430,205,309,0.51908,0.62952
2017,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.26049,61,250,0.20598,0.31501
2017,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.62237,189,250,0.56216,0.68259
2017,17-29 y.,Baden-Wuerttemberg,Yes,0.27836,152,487,0.23851,0.31821
2017,17-29 y.,Baden-Wuerttemberg,No,0.63284,335,487,0.58998,0.67569
2017,17-29 y.,Bavaria,Yes,0.32460,238,653,0.28866,0.36054
2017,17-29 y.,Bavaria,No,0.58110,415,653,0.54323,0.61897
2017,17-29 y.,Berlin,Yes,0.28108,54,154,0.20985,0.35231
2017,17-29 y.,Berlin,No,0.64292,100,154,0.56700,0.71884
2017,17-29 y.,Brandenburg,Yes,0.21853,34,112,0.14165,0.29541
2017,17-29 y.,Brandenburg,No,0.66609,78,112,0.57836,0.75383
2017,17-29 y.,Mecklenburg-Western Pomerania,No,0.70771,50,50,0.58036,0.83506
2017,17-29 y.,Saxony,Yes,0.34279,88,235,0.28197,0.40361
2017,17-29 y.,Saxony,No,0.57806,147,235,0.51478,0.64134
2017,17-29 y.,Saxony-Anhalt,Yes,0.32132,42,135,0.24225,0.40039
2017,17-29 y.,Saxony-Anhalt,No,0.64205,93,135,0.56088,0.72322
2017,17-29 y.,Thuringa,Yes,0.38648,49,128,0.30179,0.47117
2017,17-29 y.,Thuringa,No,0.56465,79,128,0.47842,0.65088
2017,30-45 y.,Schleswig-Holstein,Yes,0.43128,137,292,0.37437,0.48818
