year,regtyp,sampreg,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2018,Urban regions,West,Very seldom,0.01733,261,25531,0.01729,0.01737
2018,Urban regions,West,Seldom,0.07996,1037,25531,0.07988,0.08004
2018,Urban regions,West,Sometimes,0.29273,4083,25531,0.29259,0.29286
2018,Urban regions,West,Often,0.51234,7665,25531,0.51219,0.51249
2018,Urban regions,West,Very often,0.09765,1613,25531,0.09756,0.09774
2018,Urban regions,East,Very seldom,0.01626,32,25531,0.01614,0.01638
2018,Urban regions,East,Seldom,0.08420,143,25531,0.08394,0.08446
2018,Urban regions,East,Sometimes,0.28661,583,25531,0.28618,0.28703
2018,Urban regions,East,Often,0.50476,977,25531,0.50429,0.50523
2018,Urban regions,East,Very often,0.10817,187,25531,0.10788,0.10847
2018,Rural regions,West,Very seldom,0.01473,72,25531,0.01467,0.01480
2018,Rural regions,West,Seldom,0.05837,285,25531,0.05825,0.05850
2018,Rural regions,West,Sometimes,0.32337,1544,25531,0.32313,0.32362
2018,Rural regions,West,Often,0.50574,2912,25531,0.50547,0.50600
2018,Rural regions,West,Very often,0.09778,583,25531,0.09763,0.09794
2018,Rural regions,East,Very seldom,0.01608,62,25531,0.01599,0.01617
2018,Rural regions,East,Seldom,0.09486,283,25531,0.09465,0.09508
2018,Rural regions,East,Sometimes,0.33588,1139,25531,0.33554,0.33622
2018,Rural regions,East,Often,0.49536,1781,25531,0.49500,0.49573
2018,Rural regions,East,Very often,0.05781,289,25531,0.05764,0.05798
2019,Urban regions,West,Very seldom,0.01995,248,25104,0.01991,0.01999
2019,Urban regions,West,Seldom,0.07467,927,25104,0.07459,0.07475
2019,Urban regions,West,Sometimes,0.29553,3978,25104,0.29539,0.29567
2019,Urban regions,West,Often,0.51087,7664,25104,0.51072,0.51103
2019,Urban regions,West,Very often,0.09898,1630,25104,0.09889,0.09907
2019,Urban regions,East,Seldom,0.08614,130,25104,0.08587,0.08642
2019,Urban regions,East,Sometimes,0.29982,532,25104,0.29938,0.30027
2019,Urban regions,East,Often,0.50824,1011,25104,0.50776,0.50873
2019,Urban regions,East,Very often,0.10579,197,25104,0.10549,0.10609
2019,Rural regions,West,Very seldom,0.02226,92,25104,0.02218,0.02234
2019,Rural regions,West,Seldom,0.06850,299,25104,0.06837,0.06864
2019,Rural regions,West,Sometimes,0.29593,1402,25104,0.29569,0.29617
2019,Rural regions,West,Often,0.49989,2821,25104,0.49962,0.50016
2019,Rural regions,West,Very often,0.11342,607,25104,0.11325,0.11359
2019,Rural regions,East,Very seldom,0.02246,50,25104,0.02235,0.02257
2019,Rural regions,East,Seldom,0.08908,273,25104,0.08888,0.08929
2019,Rural regions,East,Sometimes,0.34170,1104,25104,0.34136,0.34204
2019,Rural regions,East,Often,0.47504,1816,25104,0.47468,0.47540
2019,Rural regions,East,Very often,0.07172,323,25104,0.07153,0.07190
2020,Urban regions,West,Very seldom,0.02296,280,25586,0.02292,0.02301
2020,Urban regions,West,Seldom,0.08097,1093,25586,0.08089,0.08105
2020,Urban regions,West,Sometimes,0.30025,4274,25586,0.30011,0.30039
2020,Urban regions,West,Often,0.50337,7787,25586,0.50322,0.50352
2020,Urban regions,West,Very often,0.09244,1648,25586,0.09235,0.09253
2020,Urban regions,East,Seldom,0.09295,140,25586,0.09267,0.09323
2020,Urban regions,East,Sometimes,0.30272,573,25586,0.30227,0.30316
2020,Urban regions,East,Often,0.50858,974,25586,0.50810,0.50906
2020,Urban regions,East,Very often,0.09576,184,25586,0.09547,0.09604
2020,Rural regions,West,Very seldom,0.01888,98,25586,0.01881,0.01895
2020,Rural regions,West,Seldom,0.07580,344,25586,0.07566,0.07594
2020,Rural regions,West,Sometimes,0.29593,1414,25586,0.29569,0.29616
2020,Rural regions,West,Often,0.51343,2746,25586,0.51316,0.51369
2020,Rural regions,West,Very often,0.09597,621,25586,0.09581,0.09612
2020,Rural regions,East,Very seldom,0.01846,52,25586,0.01836,0.01855
2020,Rural regions,East,Seldom,0.10358,279,25586,0.10337,0.10380
2020,Rural regions,East,Sometimes,0.32272,1054,25586,0.32239,0.32306
2020,Rural regions,East,Often,0.48138,1704,25586,0.48103,0.48174
2020,Rural regions,East,Very often,0.07386,321,25586,0.07367,0.07404
2021,Urban regions,West,Very seldom,0.01777,163,17170,0.01773,0.01781
2021,Urban regions,West,Seldom,0.07608,739,17170,0.07600,0.07616
2021,Urban regions,West,Sometimes,0.27235,2558,17170,0.27221,0.27248
2021,Urban regions,West,Often,0.52485,5382,17170,0.52470,0.52500
2021,Urban regions,West,Very often,0.10896,1201,17170,0.10887,0.10905
2021,Urban regions,East,Seldom,0.08078,101,17170,0.08051,0.08104
2021,Urban regions,East,Sometimes,0.26100,355,17170,0.26057,0.26142
2021,Urban regions,East,Often,0.56596,732,17170,0.56548,0.56644
2021,Urban regions,East,Very often,0.09227,140,17170,0.09198,0.09255
2021,Rural regions,West,Very seldom,0.01265,40,17170,0.01260,0.01271
2021,Rural regions,West,Seldom,0.08945,260,17170,0.08930,0.08959
2021,Rural regions,West,Sometimes,0.26137,857,17170,0.26114,0.26159
2021,Rural regions,West,Often,0.52429,1936,17170,0.52403,0.52455
2021,Rural regions,West,Very often,0.11224,426,17170,0.11208,0.11241
2021,Rural regions,East,Very seldom,0.02767,45,17170,0.02756,0.02779
2021,Rural regions,East,Seldom,0.10814,209,17170,0.10792,0.10836
2021,Rural regions,East,Sometimes,0.29185,614,17170,0.29152,0.29217
2021,Rural regions,East,Often,0.48472,1161,17170,0.48436,0.48507
2021,Rural regions,East,Very often,0.08763,251,17170,0.08743,0.08783
