year,age_gr,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,46-65 y.,Urban regions,No,0.92516,5315,5707,0.91834,0.93199
2011,46-65 y.,Rural regions,Yes,0.09412,335,3417,0.08433,0.10391
2011,46-65 y.,Rural regions,No,0.90588,3082,3417,0.89609,0.91567
2011,66 and older,Urban regions,No,0.99993,3317,3317,0.99965,1.00021
2011,66 and older,Rural regions,No,0.99974,1823,1823,0.99900,1.00048
2012,17-29 y.,Urban regions,Yes,0.06706,231,2566,0.05738,0.07674
2012,17-29 y.,Urban regions,No,0.86209,2335,2566,0.84875,0.87543
2012,17-29 y.,Rural regions,Yes,0.09423,169,1415,0.07900,0.10946
2012,17-29 y.,Rural regions,No,0.84075,1246,1415,0.82167,0.85982
2012,30-45 y.,Urban regions,Yes,0.06244,459,5839,0.05624,0.06865
2012,30-45 y.,Urban regions,No,0.93756,5380,5839,0.93135,0.94376
2012,30-45 y.,Rural regions,Yes,0.09101,329,3236,0.08110,0.10092
2012,30-45 y.,Rural regions,No,0.90899,2907,3236,0.89908,0.91890
2012,46-65 y.,Urban regions,Yes,0.07661,422,5781,0.06976,0.08347
2012,46-65 y.,Urban regions,No,0.92339,5359,5781,0.91653,0.93024
2012,46-65 y.,Rural regions,Yes,0.09534,354,3594,0.08573,0.10494
2012,46-65 y.,Rural regions,No,0.90466,3240,3594,0.89506,0.91427
2012,66 and older,Urban regions,No,0.99989,3309,3309,0.99953,1.00025
2012,66 and older,Rural regions,No,0.99930,1892,1892,0.99810,1.00049
2013,17-29 y.,Urban regions,Yes,0.06675,312,3465,0.05844,0.07506
2013,17-29 y.,Urban regions,No,0.87581,3153,3465,0.86483,0.88680
2013,17-29 y.,Rural regions,Yes,0.09464,184,1560,0.08011,0.10917
2013,17-29 y.,Rural regions,No,0.81533,1376,1560,0.79607,0.83459
2013,30-45 y.,Urban regions,Yes,0.07973,717,6974,0.07337,0.08608
2013,30-45 y.,Urban regions,No,0.92027,6257,6974,0.91392,0.92663
2013,30-45 y.,Rural regions,Yes,0.09674,372,3389,0.08679,0.10670
2013,30-45 y.,Rural regions,No,0.90326,3017,3389,0.89330,0.91321
2013,46-65 y.,Urban regions,Yes,0.06976,541,6451,0.06355,0.07598
2013,46-65 y.,Urban regions,No,0.93024,5910,6451,0.92402,0.93645
2013,46-65 y.,Rural regions,Yes,0.09933,392,3739,0.08974,0.10892
2013,46-65 y.,Rural regions,No,0.90067,3347,3739,0.89108,0.91026
2013,66 and older,Urban regions,No,0.99928,3240,3240,0.99835,1.00020
2014,17-29 y.,Urban regions,Yes,0.06543,239,2916,0.05645,0.07441
2014,17-29 y.,Urban regions,No,0.86549,2677,2916,0.85311,0.87788
2014,17-29 y.,Rural regions,Yes,0.07429,129,1379,0.06045,0.08814
2014,17-29 y.,Rural regions,No,0.85775,1250,1379,0.83930,0.87619
2014,30-45 y.,Urban regions,Yes,0.08579,552,5656,0.07849,0.09309
2014,30-45 y.,Urban regions,No,0.91401,5104,5656,0.90670,0.92131
2014,30-45 y.,Rural regions,Yes,0.09733,286,2861,0.08647,0.10819
2014,30-45 y.,Rural regions,No,0.90262,2575,2861,0.89175,0.91348
2014,46-65 y.,Urban regions,Yes,0.06648,438,5894,0.06012,0.07284
2014,46-65 y.,Urban regions,No,0.93352,5456,5894,0.92716,0.93988
2014,46-65 y.,Rural regions,Yes,0.09213,339,3418,0.08244,0.10183
2014,46-65 y.,Rural regions,No,0.90757,3079,3418,0.89786,0.91728
2014,66 and older,Urban regions,No,0.99938,3156,3156,0.99852,1.00025
2015,17-29 y.,Urban regions,Yes,0.06870,261,3037,0.05970,0.07769
2015,17-29 y.,Urban regions,No,0.86638,2776,3037,0.85427,0.87848
2015,17-29 y.,Rural regions,Yes,0.07324,137,1417,0.05967,0.08681
2015,17-29 y.,Rural regions,No,0.85370,1280,1417,0.83529,0.87211
2015,30-45 y.,Urban regions,Yes,0.08958,596,5517,0.08205,0.09712
2015,30-45 y.,Urban regions,No,0.91039,4921,5517,0.90285,0.91793
2015,30-45 y.,Rural regions,Yes,0.09163,279,2768,0.08088,0.10238
2015,30-45 y.,Rural regions,No,0.90837,2489,2768,0.89762,0.91912
2015,46-65 y.,Urban regions,Yes,0.07066,447,5811,0.06407,0.07725
2015,46-65 y.,Urban regions,No,0.92934,5364,5811,0.92275,0.93593
2015,46-65 y.,Rural regions,Yes,0.08269,305,3326,0.07333,0.09205
2015,46-65 y.,Rural regions,No,0.91731,3021,3326,0.90795,0.92667
2015,66 and older,Urban regions,No,0.99826,3096,3096,0.99679,0.99973
2015,66 and older,Rural regions,No,0.99961,1802,1802,0.99870,1.00052
2016,17-29 y.,Urban regions,Yes,0.05958,203,2618,0.05051,0.06865
2016,17-29 y.,Urban regions,No,0.85764,2415,2618,0.84426,0.87103
2016,17-29 y.,Rural regions,Yes,0.08039,122,1242,0.06526,0.09551
2016,17-29 y.,Rural regions,No,0.82930,1120,1242,0.80837,0.85023
2016,30-45 y.,Urban regions,Yes,0.07725,439,4712,0.06963,0.08488
2016,30-45 y.,Urban regions,No,0.91508,4273,4712,0.90712,0.92304
2016,30-45 y.,Rural regions,Yes,0.09581,227,2386,0.08399,0.10762
2016,30-45 y.,Rural regions,No,0.89668,2159,2386,0.88446,0.90889
2016,46-65 y.,Urban regions,Yes,0.07334,410,5456,0.06642,0.08026
2016,46-65 y.,Urban regions,No,0.92483,5046,5456,0.91783,0.93183
2016,46-65 y.,Rural regions,Yes,0.07303,275,3152,0.06394,0.08211
2016,46-65 y.,Rural regions,No,0.92578,2877,3152,0.91663,0.93493
2016,66 and older,Urban regions,No,0.99852,2964,2964,0.99714,0.99991
2016,66 and older,Rural regions,No,0.99996,1751,1751,0.99967,1.00025
2017,17-29 y.,Urban regions,Yes,0.05829,378,3383,0.05039,0.06618
2017,17-29 y.,Urban regions,No,0.86185,3005,3383,0.85022,0.87348
2017,17-29 y.,Rural regions,Yes,0.07516,164,1603,0.06225,0.08807
2017,17-29 y.,Rural regions,No,0.85275,1439,1603,0.83540,0.87010
2017,30-45 y.,Urban regions,Yes,0.07989,864,5627,0.07281,0.08698
2017,30-45 y.,Urban regions,No,0.91616,4763,5627,0.90892,0.92340
2017,30-45 y.,Rural regions,Yes,0.08288,331,2742,0.07256,0.09320
2017,30-45 y.,Rural regions,No,0.91219,2411,2742,0.90160,0.92279
2017,46-65 y.,Urban regions,Yes,0.06927,554,6519,0.06310,0.07543
2017,46-65 y.,Urban regions,No,0.92977,5965,6519,0.92356,0.93597
2017,46-65 y.,Rural regions,Yes,0.07107,319,3795,0.06289,0.07924
2017,46-65 y.,Rural regions,No,0.92803,3476,3795,0.91981,0.93626
2017,66 and older,Urban regions,No,0.99792,3107,3107,0.99632,0.99952
2017,66 and older,Rural regions,No,0.99942,1854,1854,0.99832,1.00052
2018,17-29 y.,Urban regions,Yes,0.06052,485,3674,0.05281,0.06824
2018,17-29 y.,Urban regions,No,0.88025,3189,3674,0.86975,0.89075
2018,17-29 y.,Rural regions,Yes,0.08437,212,1634,0.07089,0.09786
2018,17-29 y.,Rural regions,No,0.83500,1422,1634,0.81700,0.85301
2018,30-45 y.,Urban regions,Yes,0.07711,917,5656,0.07015,0.08406
2018,30-45 y.,Urban regions,No,0.92200,4739,5656,0.91501,0.92899
2018,30-45 y.,Rural regions,Yes,0.07319,372,2651,0.06327,0.08310
2018,30-45 y.,Rural regions,No,0.92559,2279,2651,0.91560,0.93558
2018,46-65 y.,Urban regions,Yes,0.06733,633,6482,0.06123,0.07343
2018,46-65 y.,Urban regions,No,0.93233,5849,6482,0.92621,0.93845
2018,46-65 y.,Rural regions,Yes,0.06807,340,3694,0.05995,0.07619
2018,46-65 y.,Rural regions,No,0.93150,3354,3694,0.92335,0.93964
2018,66 and older,Urban regions,No,0.99791,3163,3163,0.99631,0.99950
2018,66 and older,Rural regions,No,0.99842,1838,1838,0.99660,1.00024
2019,17-29 y.,Urban regions,Yes,0.07242,449,3233,0.06348,0.08135
2019,17-29 y.,Urban regions,No,0.86197,2784,3233,0.85008,0.87386
2019,17-29 y.,Rural regions,Yes,0.06521,167,1403,0.05229,0.07814
2019,17-29 y.,Rural regions,No,0.83270,1236,1403,0.81316,0.85223
2019,30-45 y.,Urban regions,Yes,0.06353,752,5187,0.05689,0.07017
2019,30-45 y.,Urban regions,No,0.93512,4435,5187,0.92841,0.94182
2019,30-45 y.,Rural regions,Yes,0.07254,337,2502,0.06238,0.08271
2019,30-45 y.,Rural regions,No,0.92607,2165,2502,0.91581,0.93632
2019,46-65 y.,Urban regions,Yes,0.05534,521,6954,0.04996,0.06071
2019,46-65 y.,Urban regions,No,0.94431,6433,6954,0.93892,0.94970
2019,46-65 y.,Rural regions,Yes,0.06718,329,3843,0.05927,0.07510
2019,46-65 y.,Rural regions,No,0.93240,3514,3843,0.92446,0.94034
2019,66 and older,Urban regions,No,0.99934,3231,3231,0.99846,1.00023
2019,66 and older,Rural regions,No,0.99766,1873,1873,0.99547,0.99985
2020,17-29 y.,Urban regions,Yes,0.06632,378,3628,0.05822,0.07442
2020,17-29 y.,Urban regions,No,0.86400,3250,3628,0.85285,0.87516
2020,17-29 y.,Rural regions,Yes,0.08419,159,1449,0.06988,0.09849
2020,17-29 y.,Rural regions,No,0.80810,1290,1449,0.78782,0.82839
2020,30-45 y.,Urban regions,Yes,0.06577,648,5543,0.05924,0.07230
2020,30-45 y.,Urban regions,No,0.92812,4895,5543,0.92132,0.93492
2020,30-45 y.,Rural regions,Yes,0.07336,292,2490,0.06312,0.08361
2020,30-45 y.,Rural regions,No,0.92313,2198,2490,0.91266,0.93359
2020,46-65 y.,Urban regions,Yes,0.05602,506,6760,0.05054,0.06150
2020,46-65 y.,Urban regions,No,0.94278,6254,6760,0.93724,0.94832
2020,46-65 y.,Rural regions,Yes,0.05726,256,3632,0.04970,0.06482
2020,46-65 y.,Rural regions,No,0.94214,3376,3632,0.93454,0.94973
2020,66 and older,Urban regions,No,0.99887,3090,3090,0.99768,1.00005
2020,66 and older,Rural regions,No,0.99931,1806,1806,0.99810,1.00052
2021,17-29 y.,Urban regions,Yes,0.06720,196,2313,0.05699,0.07741
2021,17-29 y.,Urban regions,No,0.86390,2117,2313,0.84992,0.87788
2021,17-29 y.,Rural regions,Yes,0.04519,70,866,0.03135,0.05904
2021,17-29 y.,Rural regions,No,0.87952,796,866,0.85783,0.90122
2021,30-45 y.,Urban regions,Yes,0.06491,398,3678,0.05695,0.07288
2021,30-45 y.,Urban regions,No,0.93054,3280,3678,0.92232,0.93876
2021,30-45 y.,Rural regions,Yes,0.06783,145,1557,0.05533,0.08032
2021,30-45 y.,Rural regions,No,0.92993,1412,1557,0.91725,0.94261
2021,46-65 y.,Urban regions,Yes,0.05959,359,4798,0.05289,0.06629
2021,46-65 y.,Urban regions,No,0.93585,4439,4798,0.92892,0.94279
2021,46-65 y.,Rural regions,Yes,0.05798,147,2458,0.04874,0.06722
2021,46-65 y.,Rural regions,No,0.94080,2311,2458,0.93147,0.95014
2021,66 and older,Urban regions,No,0.98938,2234,2234,0.98513,0.99363
2021,66 and older,Rural regions,No,0.98316,1322,1322,0.97622,0.99010
