,Unnamed: 0,year,quintil_oecd_hh,regtyp,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
325,325,2009,1st Quintile,Urban regions,No,0.85792,958,10032,0.82083,0.90054
326,326,2009,1st Quintile,Rural regions,Yes,0.14091,108,10032,0.11992,0.1618
327,327,2009,1st Quintile,Rural regions,No,0.85909,529,10032,0.80045,0.91436
328,328,2009,2nd Quintile,Urban regions,Yes,0.03923,44,10032,0.03109,0.04801
329,329,2009,2nd Quintile,Urban regions,No,0.96077,1080,10032,0.92366,1.0021
330,330,2009,2nd Quintile,Rural regions,No,1.0,730,10032,0.94247,1.06406
331,331,2009,3rd Quintile,Urban regions,No,1.0,1173,10032,0.95208,1.05376
332,332,2009,3rd Quintile,Rural regions,No,1.0,763,10032,0.93386,1.06724
333,333,2009,4th Quintile,Urban regions,No,1.0,1350,10032,0.95392,1.04412
334,334,2009,4th Quintile,Rural regions,No,1.0,664,10032,0.93008,1.06518
335,335,2009,5th Quintile,Urban regions,No,1.0,1845,10032,0.95887,1.04576
336,336,2009,5th Quintile,Rural regions,No,1.0,628,10032,0.92866,1.0762
337,337,2010,1st Quintile,Urban regions,Yes,0.13479,313,13736,0.11293,0.15226
338,338,2010,1st Quintile,Urban regions,No,0.86521,1690,13736,0.81918,0.91114
339,339,2010,1st Quintile,Rural regions,Yes,0.13625,203,13736,0.11525,0.16078
340,340,2010,1st Quintile,Rural regions,No,0.86375,944,13736,0.79651,0.94372
341,341,2010,2nd Quintile,Urban regions,Yes,0.03553,119,13736,0.02727,0.04623
342,342,2010,2nd Quintile,Urban regions,No,0.96447,1634,13736,0.90746,1.01402
343,343,2010,2nd Quintile,Rural regions,Yes,0.03432,68,13736,0.02079,0.04831
344,344,2010,2nd Quintile,Rural regions,No,0.96568,1068,13736,0.90159,1.04275
345,345,2010,3rd Quintile,Urban regions,No,1.0,1541,13736,0.95234,1.06147
346,346,2010,3rd Quintile,Rural regions,No,1.0,1004,13736,0.92425,1.07461
347,347,2010,4th Quintile,Urban regions,No,1.0,1633,13736,0.95072,1.05051
348,348,2010,4th Quintile,Rural regions,No,1.0,802,13736,0.92666,1.08529
349,349,2010,5th Quintile,Urban regions,No,1.0,2098,13736,0.95735,1.05623
350,350,2010,5th Quintile,Rural regions,No,1.0,619,13736,0.91098,1.08312
351,351,2011,1st Quintile,Urban regions,Yes,0.13462,411,16256,0.11714,0.15648
352,352,2011,1st Quintile,Urban regions,No,0.86538,1824,16256,0.8241,0.9009
353,353,2011,1st Quintile,Rural regions,Yes,0.12388,275,16256,0.1081,0.14243
354,354,2011,1st Quintile,Rural regions,No,0.87612,1119,16256,0.82314,0.93616
355,355,2011,2nd Quintile,Urban regions,Yes,0.03707,160,16256,0.0307,0.04437
356,356,2011,2nd Quintile,Urban regions,No,0.96293,1874,16256,0.92086,1.01245
357,357,2011,2nd Quintile,Rural regions,Yes,0.03679,104,16256,0.02731,0.0465
358,358,2011,2nd Quintile,Rural regions,No,0.96321,1285,16256,0.90899,1.02279
359,359,2011,3rd Quintile,Urban regions,No,1.0,1893,16256,0.94819,1.04503
360,360,2011,3rd Quintile,Rural regions,No,1.0,1227,16256,0.94832,1.05739
361,361,2011,4th Quintile,Urban regions,No,1.0,1998,16256,0.95835,1.03868
362,362,2011,4th Quintile,Rural regions,No,1.0,953,16256,0.93563,1.07299
363,363,2011,5th Quintile,Urban regions,No,1.0,2345,16256,0.95894,1.04069
364,364,2011,5th Quintile,Rural regions,No,1.0,788,16256,0.93484,1.07431
365,365,2012,1st Quintile,Urban regions,Yes,0.11974,374,15903,0.10303,0.13661
366,366,2012,1st Quintile,Urban regions,No,0.88026,1792,15903,0.83706,0.91812
367,367,2012,1st Quintile,Rural regions,Yes,0.12777,281,15903,0.11197,0.14768
368,368,2012,1st Quintile,Rural regions,No,0.87223,1116,15903,0.81527,0.92475
369,369,2012,2nd Quintile,Urban regions,Yes,0.02297,120,15903,0.01745,0.03063
370,370,2012,2nd Quintile,Urban regions,No,0.97703,1842,15903,0.93771,1.02906
371,371,2012,2nd Quintile,Rural regions,Yes,0.03482,72,15903,0.02392,0.04755
372,372,2012,2nd Quintile,Rural regions,No,0.96518,1166,15903,0.90613,1.02814
373,373,2012,3rd Quintile,Urban regions,No,1.0,1892,15903,0.96052,1.0419
374,374,2012,3rd Quintile,Rural regions,No,1.0,1226,15903,0.94977,1.06011
375,375,2012,4th Quintile,Urban regions,No,1.0,1890,15903,0.95707,1.05066
376,376,2012,4th Quintile,Rural regions,No,1.0,1041,15903,0.93859,1.05682
377,377,2012,5th Quintile,Urban regions,No,1.0,2282,15903,0.96263,1.03865
378,378,2012,5th Quintile,Rural regions,No,1.0,809,15903,0.9333,1.07393
379,379,2013,1st Quintile,Urban regions,Yes,0.09015,337,17506,0.07449,0.10577
380,380,2013,1st Quintile,Urban regions,No,0.90985,2374,17506,0.86727,0.95651
381,381,2013,1st Quintile,Rural regions,Yes,0.13285,262,17506,0.10981,0.15463
382,382,2013,1st Quintile,Rural regions,No,0.86715,1173,17506,0.81395,0.93765
383,383,2013,2nd Quintile,Urban regions,Yes,0.03053,129,17506,0.02439,0.03836
384,384,2013,2nd Quintile,Urban regions,No,0.96947,2213,17506,0.92218,1.01462
385,385,2013,2nd Quintile,Rural regions,Yes,0.02956,79,17506,0.02189,0.04112
386,386,2013,2nd Quintile,Rural regions,No,0.97044,1386,17506,0.92128,1.03174
387,387,2013,3rd Quintile,Urban regions,Yes,0.01342,37,17506,0.00859,0.01734
388,388,2013,3rd Quintile,Urban regions,No,0.98658,2083,17506,0.94664,1.03438
389,389,2013,3rd Quintile,Rural regions,No,1.0,1197,17506,0.94219,1.07437
390,390,2013,4th Quintile,Urban regions,No,1.0,2037,17506,0.95978,1.04807
391,391,2013,4th Quintile,Rural regions,No,1.0,1028,17506,0.9395,1.07948
392,392,2013,5th Quintile,Urban regions,No,1.0,2400,17506,0.9632,1.04549
393,393,2013,5th Quintile,Rural regions,No,1.0,771,17506,0.91878,1.08534
394,394,2014,1st Quintile,Urban regions,Yes,0.09455,288,15653,0.08001,0.11156
395,395,2014,1st Quintile,Urban regions,No,0.90545,1917,15653,0.86788,0.95345
396,396,2014,1st Quintile,Rural regions,Yes,0.11763,182,15653,0.0925,0.14426
397,397,2014,1st Quintile,Rural regions,No,0.88237,1042,15653,0.82507,0.94426
398,398,2014,2nd Quintile,Urban regions,Yes,0.03616,115,15653,0.02761,0.04804
399,399,2014,2nd Quintile,Urban regions,No,0.96384,1910,15653,0.91913,1.01024
400,400,2014,2nd Quintile,Rural regions,Yes,0.02386,72,15653,0.01552,0.03196
401,401,2014,2nd Quintile,Rural regions,No,0.97614,1209,15653,0.919,1.03712
402,402,2014,3rd Quintile,Urban regions,No,1.0,1896,15653,0.95158,1.04838
403,403,2014,3rd Quintile,Rural regions,No,1.0,1146,15653,0.94708,1.06989
404,404,2014,4th Quintile,Urban regions,No,1.0,1937,15653,0.95093,1.04184
405,405,2014,4th Quintile,Rural regions,No,1.0,980,15653,0.94107,1.07231
406,406,2014,5th Quintile,Urban regions,No,1.0,2223,15653,0.9577,1.04552
407,407,2014,5th Quintile,Rural regions,No,1.0,736,15653,0.93072,1.1014
408,408,2015,1st Quintile,Urban regions,Yes,0.08017,222,15321,0.0635,0.0969
409,409,2015,1st Quintile,Urban regions,No,0.91983,2040,15321,0.8698,0.96656
410,410,2015,1st Quintile,Rural regions,Yes,0.0972,147,15321,0.07856,0.12157
411,411,2015,1st Quintile,Rural regions,No,0.9028,1052,15321,0.84919,0.97336
412,412,2015,2nd Quintile,Urban regions,Yes,0.02659,85,15321,0.01879,0.0328
413,413,2015,2nd Quintile,Urban regions,No,0.97341,1910,15321,0.92893,1.01887
414,414,2015,2nd Quintile,Rural regions,Yes,0.02104,56,15321,0.01282,0.03464
415,415,2015,2nd Quintile,Rural regions,No,0.97896,1239,15321,0.923,1.03314
416,416,2015,3rd Quintile,Urban regions,No,1.0,1863,15321,0.94806,1.05766
417,417,2015,3rd Quintile,Rural regions,No,1.0,1062,15321,0.92994,1.08219
418,418,2015,4th Quintile,Urban regions,No,1.0,1815,15321,0.95723,1.04507
419,419,2015,4th Quintile,Rural regions,No,1.0,916,15321,0.93268,1.07259
420,420,2015,5th Quintile,Urban regions,No,1.0,2173,15321,0.94928,1.0464
421,421,2015,5th Quintile,Rural regions,No,1.0,741,15321,0.92694,1.08997
422,422,2016,1st Quintile,Urban regions,Yes,0.07484,199,14114,0.06327,0.08922
423,423,2016,1st Quintile,Urban regions,No,0.92516,1744,14114,0.87515,0.97503
424,424,2016,1st Quintile,Rural regions,Yes,0.08996,126,14114,0.07467,0.10871
425,425,2016,1st Quintile,Rural regions,No,0.91004,973,14114,0.84901,0.97504
426,426,2016,2nd Quintile,Urban regions,Yes,0.02544,69,14114,0.01737,0.03414
427,427,2016,2nd Quintile,Urban regions,No,0.97456,1826,14114,0.92047,1.02389
428,428,2016,2nd Quintile,Rural regions,Yes,0.02117,44,14114,0.01194,0.03331
429,429,2016,2nd Quintile,Rural regions,No,0.97883,1137,14114,0.91676,1.03679
430,430,2016,3rd Quintile,Urban regions,No,1.0,1678,14114,0.9567,1.04763
431,431,2016,3rd Quintile,Rural regions,No,1.0,1015,14114,0.93552,1.07808
432,432,2016,4th Quintile,Urban regions,No,1.0,1742,14114,0.95674,1.04743
433,433,2016,4th Quintile,Rural regions,No,1.0,869,14114,0.93492,1.0799
434,434,2016,5th Quintile,Urban regions,No,1.0,1999,14114,0.95569,1.03658
435,435,2016,5th Quintile,Rural regions,No,1.0,693,14114,0.93128,1.08071
436,436,2017,1st Quintile,Urban regions,Yes,0.06451,256,17261,0.05326,0.07424
437,437,2017,1st Quintile,Urban regions,No,0.93549,2910,17261,0.8891,0.97941
438,438,2017,1st Quintile,Rural regions,Yes,0.10013,181,17261,0.08406,0.12644
439,439,2017,1st Quintile,Rural regions,No,0.89987,1464,17261,0.83653,0.97492
440,440,2017,2nd Quintile,Urban regions,Yes,0.02804,85,17261,0.02194,0.0365
441,441,2017,2nd Quintile,Urban regions,No,0.97196,1939,17261,0.91924,1.00837
442,442,2017,2nd Quintile,Rural regions,Yes,0.01421,44,17261,0.00898,0.01891
443,443,2017,2nd Quintile,Rural regions,No,0.98579,1251,17261,0.92321,1.03569
444,444,2017,3rd Quintile,Urban regions,No,1.0,1874,17261,0.95983,1.045
445,445,2017,3rd Quintile,Rural regions,No,1.0,1164,17261,0.9387,1.05689
446,446,2017,4th Quintile,Urban regions,No,1.0,1978,17261,0.96294,1.05092
447,447,2017,4th Quintile,Rural regions,No,1.0,1027,17261,0.92151,1.06376
448,448,2017,5th Quintile,Urban regions,No,1.0,2300,17261,0.95494,1.04586
449,449,2017,5th Quintile,Rural regions,No,1.0,788,17261,0.92618,1.07375
450,450,2018,1st Quintile,Urban regions,Yes,0.07991,373,17525,0.06619,0.09395
451,451,2018,1st Quintile,Urban regions,No,0.92009,3140,17525,0.87046,0.97558
452,452,2018,1st Quintile,Rural regions,Yes,0.09862,224,17525,0.08034,0.12026
453,453,2018,1st Quintile,Rural regions,No,0.90138,1525,17525,0.83508,0.97404
454,454,2018,2nd Quintile,Urban regions,Yes,0.0256,159,17525,0.02074,0.03253
455,455,2018,2nd Quintile,Urban regions,No,0.9744,2040,17525,0.93232,1.03121
456,456,2018,2nd Quintile,Rural regions,Yes,0.01178,57,17525,0.00713,0.01615
457,457,2018,2nd Quintile,Rural regions,No,0.98822,1260,17525,0.93294,1.05069
458,458,2018,3rd Quintile,Urban regions,No,1.0,1830,17525,0.95748,1.04335
459,459,2018,3rd Quintile,Rural regions,No,1.0,1078,17525,0.93303,1.06717
460,460,2018,4th Quintile,Urban regions,No,1.0,1914,17525,0.9523,1.04873
461,461,2018,4th Quintile,Rural regions,No,1.0,935,17525,0.92668,1.0654
462,462,2018,5th Quintile,Urban regions,No,1.0,2220,17525,0.95323,1.04565
463,463,2018,5th Quintile,Rural regions,No,1.0,770,17525,0.93658,1.06508
464,464,2019,1st Quintile,Urban regions,Yes,0.08612,290,17772,0.07362,0.10331
465,465,2019,1st Quintile,Urban regions,No,0.91388,3029,17772,0.8609,0.97005
466,466,2019,1st Quintile,Rural regions,Yes,0.1089,171,17772,0.08608,0.13521
467,467,2019,1st Quintile,Rural regions,No,0.8911,1401,17772,0.81442,0.96156
468,468,2019,2nd Quintile,Urban regions,Yes,0.01507,64,17772,0.01093,0.01993
469,469,2019,2nd Quintile,Urban regions,No,0.98493,1776,17772,0.9217,1.04071
470,470,2019,2nd Quintile,Rural regions,Yes,0.02069,43,17772,0.01024,0.03015
471,471,2019,2nd Quintile,Rural regions,No,0.97931,1130,17772,0.90982,1.04408
472,472,2019,3rd Quintile,Urban regions,No,1.0,1745,17772,0.94642,1.04991
473,473,2019,3rd Quintile,Rural regions,No,1.0,1067,17772,0.92771,1.06326
474,474,2019,4th Quintile,Urban regions,No,1.0,1875,17772,0.95114,1.0595
475,475,2019,4th Quintile,Rural regions,No,1.0,990,17772,0.93259,1.07133
476,476,2019,5th Quintile,Urban regions,No,1.0,3070,17772,0.94767,1.0423
477,477,2019,5th Quintile,Rural regions,No,1.0,1121,17772,0.9206,1.09571
478,478,2020,1st Quintile,Urban regions,Yes,0.07445,341,18863,0.05919,0.0905
479,479,2020,1st Quintile,Urban regions,No,0.92555,4021,18863,0.87446,0.97461
480,480,2020,1st Quintile,Rural regions,Yes,0.08422,136,18863,0.06313,0.10613
481,481,2020,1st Quintile,Rural regions,No,0.91578,1539,18863,0.83828,0.99176
482,482,2020,2nd Quintile,Urban regions,Yes,0.02283,61,18863,0.0158,0.0306
483,483,2020,2nd Quintile,Urban regions,No,0.97717,2094,18863,0.92522,1.02818
484,484,2020,2nd Quintile,Rural regions,Yes,0.01821,35,18863,0.00983,0.0278
485,485,2020,2nd Quintile,Rural regions,No,0.98179,1237,18863,0.91774,1.04519
486,486,2020,3rd Quintile,Urban regions,No,1.0,1893,18863,0.94817,1.04998
487,487,2020,3rd Quintile,Rural regions,No,1.0,1015,18863,0.92999,1.06179
488,488,2020,4th Quintile,Urban regions,No,1.0,1877,18863,0.94715,1.04253
489,489,2020,4th Quintile,Rural regions,No,1.0,920,18863,0.92494,1.07354
490,490,2020,5th Quintile,Urban regions,No,1.0,2717,18863,0.95188,1.05168
491,491,2020,5th Quintile,Rural regions,No,1.0,977,18863,0.91321,1.09037
492,492,2021,1st Quintile,Urban regions,Yes,0.06679,235,12366,0.05359,0.08233
493,493,2021,1st Quintile,Urban regions,No,0.93321,2076,12366,0.86875,0.99777
494,494,2021,1st Quintile,Rural regions,Yes,0.07686,83,12366,0.05284,0.11246
495,495,2021,1st Quintile,Rural regions,No,0.92314,866,12366,0.85443,1.01609
496,496,2021,2nd Quintile,Urban regions,Yes,0.02689,62,12366,0.01747,0.03764
497,497,2021,2nd Quintile,Urban regions,No,0.97311,1419,12366,0.91036,1.02416
498,498,2021,2nd Quintile,Rural regions,No,1.0,854,12366,0.9163,1.09298
499,499,2021,3rd Quintile,Urban regions,No,1.0,1310,12366,0.94082,1.06429
500,500,2021,3rd Quintile,Rural regions,No,1.0,704,12366,0.91602,1.07848
501,501,2021,4th Quintile,Urban regions,No,1.0,1417,12366,0.94252,1.05234
502,502,2021,4th Quintile,Rural regions,No,1.0,669,12366,0.90922,1.09265
503,503,2021,5th Quintile,Urban regions,No,1.0,1963,12366,0.94056,1.07791
504,504,2021,5th Quintile,Rural regions,No,1.0,708,12366,0.89323,1.10595
