year,bula_h,pgisced97,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.05390,64,391,0.03149,0.07631
1995,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.84988,589,759,0.82445,0.87531
1995,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.04137,95,759,0.02719,0.05554
1995,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01482,43,759,0.00622,0.02342
1995,Baden-Wuerttemberg,Upper Secondary Level,Eastern Europe,0.03130,32,759,0.01891,0.04370
1995,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Germany,0.72744,43,43,0.59277,0.86210
1995,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.92739,83,83,0.87122,0.98355
1995,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.84359,103,103,0.77310,0.91409
1995,Bavaria,Lower Secondary Level,Germany,0.80787,237,320,0.76463,0.85110
1995,Bavaria,Lower Secondary Level,Southern Europe,0.04026,51,320,0.01869,0.06183
1995,Bavaria,Lower Secondary Level,Western Asia,0.03920,32,320,0.01790,0.06050
1995,Bavaria,Upper Secondary Level,Germany,0.88968,715,802,0.86799,0.91138
1995,Bavaria,Upper Secondary Level,Southern Europe,0.01902,52,802,0.00956,0.02848
1995,Bavaria,Upper Secondary Level,Eastern Europe,0.03388,35,802,0.02135,0.04641
1995,Bavaria,Post-secondary Non-tertiary Level,Germany,0.72378,37,37,0.57771,0.86984
1995,Bavaria,First Stage of Tertiary Education,Germany,0.86606,96,96,0.79757,0.93455
1995,Bavaria,Second Stage of Tertiary Education,Germany,0.82832,146,146,0.76694,0.88970
1995,Berlin,Lower Secondary Level,Germany,0.84798,51,51,0.74846,0.94750
1995,Berlin,Upper Secondary Level,Germany,0.89879,226,226,0.85938,0.93820
1995,Berlin,First Stage of Tertiary Education,Germany,0.88592,32,32,0.77401,0.99783
1995,Berlin,Second Stage of Tertiary Education,Germany,0.88463,131,131,0.82971,0.93955
1995,Brandenburg,Lower Secondary Level,Germany,0.95183,61,61,0.89764,1.00601
1995,Brandenburg,Upper Secondary Level,Germany,0.97458,298,298,0.95668,0.99248
1995,Brandenburg,First Stage of Tertiary Education,Germany,0.95645,41,41,0.89319,1.01970
1995,Brandenburg,Second Stage of Tertiary Education,Germany,0.94675,134,134,0.90859,0.98491
1995,Mecklenburg-Western Pomerania,Upper Secondary Level,Germany,0.97106,223,223,0.94900,0.99311
1995,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Germany,0.98072,90,90,0.95215,1.00929
1995,Saxony,Lower Secondary Level,Germany,0.97991,118,118,0.95448,1.00533
1995,Saxony,Upper Secondary Level,Germany,0.95836,601,601,0.94237,0.97434
1995,Saxony,First Stage of Tertiary Education,Germany,0.94605,57,57,0.88687,1.00522
1995,Saxony,Second Stage of Tertiary Education,Germany,0.94794,225,225,0.91885,0.97703
1995,Saxony-Anhalt,Lower Secondary Level,Germany,0.95740,69,69,0.90940,1.00540
1995,Saxony-Anhalt,Upper Secondary Level,Germany,0.93235,360,360,0.90637,0.95833
1995,Saxony-Anhalt,First Stage of Tertiary Education,Germany,0.92168,50,50,0.84645,0.99691
1995,Saxony-Anhalt,Second Stage of Tertiary Education,Germany,0.93179,145,145,0.89061,0.97296
1995,Thuringa,Lower Secondary Level,Germany,0.87441,69,69,0.79565,0.95318
1995,Thuringa,Upper Secondary Level,Germany,0.94783,390,390,0.92574,0.96993
1995,Thuringa,Second Stage of Tertiary Education,Germany,0.91546,112,112,0.86370,0.96721
1996,Schleswig-Holstein,Lower Secondary Level,Germany,0.91429,41,41,0.82754,1.00105
1996,Schleswig-Holstein,Upper Secondary Level,Germany,0.98067,151,151,0.95864,1.00271
1996,Hamburg,Upper Secondary Level,Germany,0.95858,61,61,0.90816,1.00900
1996,Lower Saxony,Lower Secondary Level,Germany,0.83399,154,154,0.77502,0.89295
1996,Lower Saxony,Upper Secondary Level,Germany,0.93144,463,463,0.90840,0.95449
1996,Lower Saxony,Post-secondary Non-tertiary Level,Germany,0.76385,37,37,0.62511,0.90259
1996,Lower Saxony,First Stage of Tertiary Education,Germany,0.88698,63,63,0.80817,0.96579
1996,Lower Saxony,Second Stage of Tertiary Education,Germany,0.81359,90,90,0.73267,0.89450
1996,Bremen,Upper Secondary Level,Germany,0.75093,38,38,0.61158,0.89028
1996,North Rhine-Westphalia,No answer / don't know,Germany,0.65994,43,43,0.51667,0.80321
1996,North Rhine-Westphalia,Pre-primary Level,Germany,0.89131,63,63,0.81384,0.96879
1996,North Rhine-Westphalia,Primary Level,Southern Europe,0.29067,56,104,0.20298,0.37836
1996,North Rhine-Westphalia,Primary Level,Western Asia,0.32804,48,104,0.23737,0.41871
1996,North Rhine-Westphalia,Lower Secondary Level,Germany,0.80230,321,458,0.76578,0.83881
1996,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.04527,61,458,0.02621,0.06433
1996,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.07247,76,458,0.04870,0.09624
1996,North Rhine-Westphalia,Upper Secondary Level,Germany,0.87610,1018,1191,0.85738,0.89482
1996,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01908,65,1191,0.01131,0.02685
1996,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01477,56,1191,0.00791,0.02162
1996,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.03193,52,1191,0.02194,0.04192
1996,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.81686,86,86,0.73464,0.89909
1996,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.90431,119,119,0.85123,0.95739
1996,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.86613,230,230,0.82202,0.91023
1996,Hesse,Lower Secondary Level,Germany,0.72246,125,157,0.65219,0.79273
1996,Hesse,Lower Secondary Level,Southern Europe,0.05499,32,157,0.01921,0.09076
1996,Hesse,Upper Secondary Level,Germany,0.82930,318,392,0.79200,0.86659
1996,Hesse,Upper Secondary Level,Southern Europe,0.03778,41,392,0.01888,0.05668
1996,Hesse,Upper Secondary Level,Western Asia,0.03712,33,392,0.01838,0.05586
1996,Hesse,First Stage of Tertiary Education,Germany,0.93638,36,36,0.85552,1.01724
1996,Hesse,Second Stage of Tertiary Education,Germany,0.79753,80,80,0.70891,0.88614
1996,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.86805,143,143,0.81239,0.92372
1996,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.87314,271,271,0.83344,0.91284
1996,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Germany,0.97240,35,35,0.91734,1.02747
1996,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.92423,49,49,0.84937,0.99910
1996,Baden-Wuerttemberg,Pre-primary Level,Germany,0.90440,31,31,0.79918,1.00962
1996,Baden-Wuerttemberg,Primary Level,Southern Europe,0.51751,86,128,0.43060,0.60441
1996,Baden-Wuerttemberg,Primary Level,Western Asia,0.19972,42,128,0.13019,0.26925
1996,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.73234,216,364,0.68679,0.77788
1996,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.07864,92,364,0.05095,0.10633
1996,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.04794,56,364,0.02596,0.06991
1996,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.85427,577,714,0.82837,0.88017
1996,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.04690,97,714,0.03138,0.06242
1996,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01400,40,714,0.00537,0.02262
1996,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Germany,0.71691,39,39,0.57367,0.86015
1996,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.87644,84,84,0.80564,0.94723
1996,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.84914,105,105,0.78035,0.91793
1996,Bavaria,Lower Secondary Level,Germany,0.80583,236,319,0.76236,0.84931
1996,Bavaria,Lower Secondary Level,Southern Europe,0.04857,50,319,0.02494,0.07219
1996,Bavaria,Lower Secondary Level,Western Asia,0.04211,33,319,0.02004,0.06419
1996,Bavaria,Upper Secondary Level,Germany,0.89136,714,798,0.86976,0.91297
1996,Bavaria,Upper Secondary Level,Southern Europe,0.02086,51,798,0.01094,0.03078
1996,Bavaria,Upper Secondary Level,Eastern Europe,0.03249,33,798,0.02018,0.04480
1996,Bavaria,Post-secondary Non-tertiary Level,Germany,0.74640,36,36,0.60226,0.89054
1996,Bavaria,First Stage of Tertiary Education,Germany,0.91071,98,98,0.85396,0.96746
1996,Bavaria,Second Stage of Tertiary Education,Germany,0.82243,144,144,0.75979,0.88506
1996,Berlin,Lower Secondary Level,Germany,0.81341,43,43,0.69559,0.93123
1996,Berlin,Upper Secondary Level,Germany,0.90754,218,218,0.86900,0.94609
1996,Berlin,First Stage of Tertiary Education,Germany,0.91485,33,33,0.81814,1.01155
1996,Berlin,Second Stage of Tertiary Education,Germany,0.89945,129,129,0.84734,0.95155
1996,Brandenburg,Lower Secondary Level,Germany,0.95274,62,62,0.89949,1.00599
1996,Brandenburg,Upper Secondary Level,Germany,0.98016,304,304,0.96446,0.99586
1996,Brandenburg,First Stage of Tertiary Education,Germany,0.95436,41,41,0.88968,1.01904
1996,Brandenburg,Second Stage of Tertiary Education,Germany,0.94716,138,138,0.90970,0.98462
1996,Mecklenburg-Western Pomerania,Upper Secondary Level,Germany,0.96989,218,218,0.94715,0.99262
1996,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Germany,0.97936,91,91,0.94999,1.00873
1996,Saxony,Lower Secondary Level,Germany,0.97931,111,111,0.95271,1.00591
1996,Saxony,Upper Secondary Level,Germany,0.95587,595,595,0.93935,0.97239
1996,Saxony,First Stage of Tertiary Education,Germany,0.94626,60,60,0.88872,1.00380
1996,Saxony,Second Stage of Tertiary Education,Germany,0.95320,237,237,0.92626,0.98015
1996,Saxony-Anhalt,Lower Secondary Level,Germany,0.92798,68,68,0.86608,0.98988
1996,Saxony-Anhalt,Upper Secondary Level,Germany,0.92917,346,346,0.90210,0.95624
1996,Saxony-Anhalt,First Stage of Tertiary Education,Germany,0.91685,47,47,0.83706,0.99664
1996,Saxony-Anhalt,Second Stage of Tertiary Education,Germany,0.92707,139,139,0.88368,0.97045
1996,Thuringa,Lower Secondary Level,Germany,0.86765,64,64,0.78397,0.95133
1996,Thuringa,Upper Secondary Level,Germany,0.94311,394,394,0.92021,0.96601
1996,Thuringa,Second Stage of Tertiary Education,Germany,0.92931,112,112,0.88163,0.97699
1997,Schleswig-Holstein,Lower Secondary Level,Germany,0.90255,33,33,0.79980,1.00531
1997,Schleswig-Holstein,Upper Secondary Level,Germany,0.97075,147,147,0.94342,0.99809
1997,Hamburg,Upper Secondary Level,Germany,0.95767,60,60,0.90629,1.00904
1997,Lower Saxony,Lower Secondary Level,Germany,0.82996,155,155,0.77062,0.88929
1997,Lower Saxony,Upper Secondary Level,Germany,0.93098,453,453,0.90761,0.95435
1997,Lower Saxony,Post-secondary Non-tertiary Level,Germany,0.82555,38,38,0.70327,0.94783
1997,Lower Saxony,First Stage of Tertiary Education,Germany,0.89266,62,62,0.81497,0.97034
1997,Lower Saxony,Second Stage of Tertiary Education,Germany,0.86110,93,93,0.79043,0.93177
1997,Bremen,Upper Secondary Level,Germany,0.74932,39,39,0.61152,0.88712
1997,North Rhine-Westphalia,No answer / don't know,Germany,0.69102,44,44,0.55291,0.82913
1997,North Rhine-Westphalia,Pre-primary Level,Germany,0.88677,60,60,0.80592,0.96763
1997,North Rhine-Westphalia,Primary Level,Southern Europe,0.27788,47,92,0.18584,0.36992
1997,North Rhine-Westphalia,Primary Level,Western Asia,0.33465,45,92,0.23770,0.43160
1997,North Rhine-Westphalia,Lower Secondary Level,Germany,0.81901,322,443,0.78312,0.85490
1997,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.03785,53,443,0.02006,0.05564
1997,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.05846,68,443,0.03659,0.08033
1997,North Rhine-Westphalia,Upper Secondary Level,Germany,0.88153,1015,1180,0.86309,0.89998
1997,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01690,59,1180,0.00954,0.02426
1997,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01528,55,1180,0.00827,0.02228
1997,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.03130,51,1180,0.02136,0.04124
1997,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.83237,86,86,0.75296,0.91178
1997,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.88610,119,119,0.82878,0.94342
1997,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.87340,235,235,0.83079,0.91600
1997,Hesse,Lower Secondary Level,Germany,0.70533,110,110,0.61974,0.79092
1997,Hesse,Upper Secondary Level,Germany,0.82552,291,359,0.78620,0.86483
1997,Hesse,Upper Secondary Level,Southern Europe,0.04158,37,359,0.02090,0.06225
1997,Hesse,Upper Secondary Level,Western Asia,0.03850,31,359,0.01857,0.05843
1997,Hesse,Second Stage of Tertiary Education,Germany,0.76925,80,80,0.67634,0.86216
1997,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.87094,150,150,0.81710,0.92477
1997,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.85995,272,272,0.81864,0.90127
1997,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Germany,0.98935,36,36,0.95533,1.02336
1997,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.90734,50,50,0.82615,0.98853
1997,Baden-Wuerttemberg,Pre-primary Level,Germany,0.94417,33,33,0.86461,1.02372
1997,Baden-Wuerttemberg,Primary Level,Southern Europe,0.52214,81,123,0.43350,0.61078
1997,Baden-Wuerttemberg,Primary Level,Western Asia,0.20814,42,123,0.13610,0.28018
1997,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.72643,227,376,0.68131,0.77155
1997,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.08219,92,376,0.05439,0.10998
1997,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.05396,57,376,0.03109,0.07683
1997,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.84456,576,745,0.81852,0.87059
1997,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.05086,94,745,0.03507,0.06665
1997,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01698,42,745,0.00769,0.02626
1997,Baden-Wuerttemberg,Upper Secondary Level,Eastern Europe,0.03467,33,745,0.02152,0.04782
1997,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Germany,0.67374,37,37,0.52059,0.82690
1997,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.89631,87,87,0.83187,0.96074
1997,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.82368,97,97,0.74745,0.89992
1997,Bavaria,Lower Secondary Level,Germany,0.78751,234,285,0.73993,0.83508
1997,Bavaria,Lower Secondary Level,Southern Europe,0.05350,51,285,0.02733,0.07967
1997,Bavaria,Upper Secondary Level,Germany,0.88881,707,754,0.86636,0.91126
1997,Bavaria,Upper Secondary Level,Southern Europe,0.02069,47,754,0.01053,0.03086
1997,Bavaria,Post-secondary Non-tertiary Level,Germany,0.72713,34,34,0.57515,0.87911
1997,Bavaria,First Stage of Tertiary Education,Germany,0.94479,99,99,0.89957,0.99001
1997,Bavaria,Second Stage of Tertiary Education,Germany,0.82274,146,146,0.76059,0.88490
1997,Berlin,Lower Secondary Level,Germany,0.80708,40,40,0.68323,0.93092
1997,Berlin,Upper Secondary Level,Germany,0.91229,206,206,0.87357,0.95101
1997,Berlin,First Stage of Tertiary Education,Germany,0.91048,33,33,0.81157,1.00940
1997,Berlin,Second Stage of Tertiary Education,Germany,0.91437,130,130,0.86609,0.96266
1997,Brandenburg,Lower Secondary Level,Germany,0.94940,56,56,0.89148,1.00733
1997,Brandenburg,Upper Secondary Level,Germany,0.98237,297,297,0.96737,0.99736
1997,Brandenburg,First Stage of Tertiary Education,Germany,0.94936,37,37,0.87773,1.02098
1997,Brandenburg,Second Stage of Tertiary Education,Germany,0.95074,146,146,0.91551,0.98596
1997,Mecklenburg-Western Pomerania,Upper Secondary Level,Germany,0.97748,212,212,0.95746,0.99750
1997,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Germany,0.97786,87,87,0.94676,1.00896
1997,Saxony,Lower Secondary Level,Germany,0.97936,112,112,0.95291,1.00581
1997,Saxony,Upper Secondary Level,Germany,0.95826,582,582,0.94200,0.97452
1997,Saxony,First Stage of Tertiary Education,Germany,0.94241,61,61,0.88346,1.00136
1997,Saxony,Second Stage of Tertiary Education,Germany,0.96066,236,236,0.93580,0.98551
1997,Saxony-Anhalt,Lower Secondary Level,Germany,0.93481,67,67,0.87526,0.99437
1997,Saxony-Anhalt,Upper Secondary Level,Germany,0.93301,334,334,0.90616,0.95986
1997,Saxony-Anhalt,First Stage of Tertiary Education,Germany,0.92914,51,51,0.85802,1.00027
1997,Saxony-Anhalt,Second Stage of Tertiary Education,Germany,0.92024,134,134,0.87419,0.96628
1997,Thuringa,Lower Secondary Level,Germany,0.84865,59,59,0.75641,0.94088
1997,Thuringa,Upper Secondary Level,Germany,0.93916,392,392,0.91546,0.96285
1997,Thuringa,Second Stage of Tertiary Education,Germany,0.93071,115,115,0.88410,0.97733
1998,Schleswig-Holstein,Lower Secondary Level,Germany,0.93681,43,43,0.86323,1.01039
1998,Schleswig-Holstein,Upper Secondary Level,Germany,0.96339,172,172,0.93524,0.99154
1998,Schleswig-Holstein,Second Stage of Tertiary Education,Germany,0.88124,34,34,0.77086,0.99162
1998,Hamburg,Upper Secondary Level,Germany,0.95481,75,75,0.90748,1.00214
1998,Lower Saxony,No answer / don't know,Germany,0.90926,47,47,0.82626,0.99227
1998,Lower Saxony,Lower Secondary Level,Germany,0.80491,171,171,0.74534,0.86448
1998,Lower Saxony,Upper Secondary Level,Germany,0.93787,519,519,0.91708,0.95866
1998,Lower Saxony,Post-secondary Non-tertiary Level,Germany,0.83258,51,51,0.72909,0.93606
1998,Lower Saxony,First Stage of Tertiary Education,Germany,0.94725,76,76,0.89666,0.99784
1998,Lower Saxony,Second Stage of Tertiary Education,Germany,0.85523,115,115,0.79064,0.91982
1998,Bremen,Upper Secondary Level,Germany,0.79356,44,44,0.67258,0.91454
1998,North Rhine-Westphalia,No answer / don't know,Germany,0.82515,117,117,0.75602,0.89427
1998,North Rhine-Westphalia,Pre-primary Level,Germany,0.84865,60,60,0.75720,0.94010
1998,North Rhine-Westphalia,Primary Level,Southern Europe,0.24286,42,87,0.15223,0.33349
1998,North Rhine-Westphalia,Primary Level,Western Asia,0.30124,45,87,0.20427,0.39821
1998,North Rhine-Westphalia,Lower Secondary Level,Germany,0.81100,380,490,0.77630,0.84570
1998,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.04110,50,490,0.02350,0.05869
1998,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.05532,60,490,0.03505,0.07558
1998,North Rhine-Westphalia,Upper Secondary Level,Germany,0.88110,1144,1300,0.86350,0.89870
1998,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01719,51,1300,0.01012,0.02426
1998,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01775,52,1300,0.01057,0.02493
1998,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.03011,53,1300,0.02081,0.03940
1998,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.78317,97,97,0.70074,0.86560
1998,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.92450,152,152,0.88236,0.96664
1998,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.85870,262,262,0.81644,0.90096
1998,Hesse,Lower Secondary Level,Germany,0.73019,128,128,0.65300,0.80739
1998,Hesse,Upper Secondary Level,Germany,0.84556,343,379,0.80913,0.88199
1998,Hesse,Upper Secondary Level,Southern Europe,0.04528,36,379,0.02432,0.06624
1998,Hesse,Second Stage of Tertiary Education,Germany,0.78158,92,92,0.69669,0.86647
1998,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.87768,173,173,0.82871,0.92665
1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.87599,320,320,0.83982,0.91215
1998,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Germany,0.92881,41,41,0.84912,1.00850
1998,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.94055,58,58,0.87916,1.00194
1998,Baden-Wuerttemberg,No answer / don't know,Germany,0.73321,57,57,0.61736,0.84905
1998,Baden-Wuerttemberg,Primary Level,Southern Europe,0.51040,66,104,0.41386,0.60694
1998,Baden-Wuerttemberg,Primary Level,Western Asia,0.22555,38,104,0.14484,0.30627
1998,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.72865,264,413,0.68571,0.77159
1998,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.09917,94,413,0.07031,0.12803
1998,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.05592,55,413,0.03373,0.07810
1998,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.84606,616,772,0.82059,0.87154
1998,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.05161,80,772,0.03599,0.06723
1998,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.02005,42,772,0.01016,0.02995
1998,Baden-Wuerttemberg,Upper Secondary Level,Eastern Europe,0.03224,34,772,0.01977,0.04471
1998,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Germany,0.65449,43,43,0.51067,0.79831
1998,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.88921,85,85,0.82209,0.95634
1998,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.85851,122,122,0.79641,0.92061
1998,Bavaria,No answer / don't know,Germany,0.80060,74,74,0.70894,0.89225
1998,Bavaria,Pre-primary Level,Germany,0.85197,31,31,0.72489,0.97905
1998,Bavaria,Lower Secondary Level,Germany,0.81091,287,331,0.76866,0.85316
1998,Bavaria,Lower Secondary Level,Southern Europe,0.05511,44,331,0.03049,0.07973
1998,Bavaria,Upper Secondary Level,Germany,0.89730,800,877,0.87719,0.91740
1998,Bavaria,Upper Secondary Level,Southern Europe,0.02374,43,877,0.01365,0.03382
1998,Bavaria,Upper Secondary Level,Eastern Europe,0.03687,34,877,0.02439,0.04935
1998,Bavaria,Post-secondary Non-tertiary Level,Germany,0.66758,41,41,0.52159,0.81357
1998,Bavaria,First Stage of Tertiary Education,Germany,0.93935,110,110,0.89454,0.98416
1998,Bavaria,Second Stage of Tertiary Education,Germany,0.82985,170,170,0.77320,0.88651
1998,Berlin,Lower Secondary Level,Germany,0.79930,41,41,0.67518,0.92343
1998,Berlin,Upper Secondary Level,Germany,0.91463,205,205,0.87629,0.95298
1998,Berlin,First Stage of Tertiary Education,Germany,0.91159,32,32,0.81165,1.01153
1998,Berlin,Second Stage of Tertiary Education,Germany,0.92372,153,153,0.88152,0.96592
1998,Brandenburg,Lower Secondary Level,Germany,0.95843,56,56,0.90568,1.01118
1998,Brandenburg,Upper Secondary Level,Germany,0.97174,313,313,0.95336,0.99013
1998,Brandenburg,First Stage of Tertiary Education,Germany,0.92821,37,37,0.84389,1.01254
1998,Brandenburg,Second Stage of Tertiary Education,Germany,0.95232,148,148,0.91788,0.98677
1998,Mecklenburg-Western Pomerania,Upper Secondary Level,Germany,0.98750,221,221,0.97282,1.00218
1998,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Germany,0.98045,95,95,0.95246,1.00844
1998,Saxony,No answer / don't know,Germany,0.93832,32,32,0.85363,1.02301
1998,Saxony,Lower Secondary Level,Germany,0.98659,117,117,0.96565,1.00752
1998,Saxony,Upper Secondary Level,Germany,0.96583,636,636,0.95170,0.97996
1998,Saxony,First Stage of Tertiary Education,Germany,0.94584,64,64,0.88995,1.00173
1998,Saxony,Second Stage of Tertiary Education,Germany,0.96790,240,240,0.94556,0.99025
1998,Saxony-Anhalt,Lower Secondary Level,Germany,0.93922,76,76,0.88514,0.99329
1998,Saxony-Anhalt,Upper Secondary Level,Germany,0.94070,339,339,0.91553,0.96588
1998,Saxony-Anhalt,First Stage of Tertiary Education,Germany,0.93161,52,52,0.86234,1.00089
1998,Saxony-Anhalt,Second Stage of Tertiary Education,Germany,0.91961,143,143,0.87489,0.96433
1998,Thuringa,Lower Secondary Level,Germany,0.84862,65,65,0.76080,0.93643
1998,Thuringa,Upper Secondary Level,Germany,0.95786,432,432,0.93889,0.97683
1998,Thuringa,Second Stage of Tertiary Education,Germany,0.94341,127,127,0.90306,0.98375
1999,Schleswig-Holstein,Lower Secondary Level,Germany,0.92151,38,38,0.83485,1.00817
1999,Schleswig-Holstein,Upper Secondary Level,Germany,0.96953,179,179,0.94427,0.99478
1999,Schleswig-Holstein,Second Stage of Tertiary Education,Germany,0.97631,34,34,0.92442,1.02820
1999,Hamburg,Upper Secondary Level,Germany,0.94832,69,69,0.89570,1.00094
1999,Lower Saxony,Lower Secondary Level,Germany,0.81472,181,181,0.75796,0.87148
1999,Lower Saxony,Upper Secondary Level,Germany,0.93344,528,528,0.91216,0.95472
1999,Lower Saxony,Post-secondary Non-tertiary Level,Germany,0.85492,51,51,0.75730,0.95254
1999,Lower Saxony,First Stage of Tertiary Education,Germany,0.93014,65,65,0.86769,0.99259
1999,Lower Saxony,Second Stage of Tertiary Education,Germany,0.90416,116,116,0.85036,0.95796
1999,Bremen,Upper Secondary Level,Germany,0.80796,41,41,0.68589,0.93003
1999,North Rhine-Westphalia,No answer / don't know,Germany,0.75632,50,50,0.63612,0.87653
1999,North Rhine-Westphalia,Pre-primary Level,Germany,0.89835,69,69,0.82653,0.97018
1999,North Rhine-Westphalia,Primary Level,Southern Europe,0.24609,39,84,0.15342,0.33876
1999,North Rhine-Westphalia,Primary Level,Western Asia,0.31057,45,84,0.21102,0.41012
1999,North Rhine-Westphalia,Lower Secondary Level,Germany,0.81571,359,457,0.78012,0.85130
1999,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.03879,42,457,0.02107,0.05652
1999,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.05631,56,457,0.03515,0.07747
1999,North Rhine-Westphalia,Upper Secondary Level,Germany,0.88938,1124,1274,0.87215,0.90661
1999,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01786,50,1274,0.01059,0.02514
1999,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01751,49,1274,0.01030,0.02471
1999,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.03351,51,1274,0.02362,0.04339
1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.80253,100,100,0.72412,0.88095
1999,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.92248,149,149,0.87939,0.96556
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.85977,258,258,0.81732,0.90222
1999,Hesse,Lower Secondary Level,Germany,0.76774,133,133,0.69571,0.83978
1999,Hesse,Upper Secondary Level,Germany,0.83344,335,371,0.79548,0.87141
1999,Hesse,Upper Secondary Level,Southern Europe,0.05332,36,371,0.03043,0.07621
1999,Hesse,Post-secondary Non-tertiary Level,Germany,0.86752,33,33,0.75006,0.98498
1999,Hesse,Second Stage of Tertiary Education,Germany,0.80535,97,97,0.72614,0.88455
