year,age_gr,bula_h,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,30-45 y.,Berlin,Germany,0.79453,70,70,0.69920,0.88987
1987,46-65 y.,Schleswig-Holstein,Germany,0.94610,84,84,0.89752,0.99468
1987,46-65 y.,Hamburg,Germany,0.91189,49,49,0.83171,0.99208
1987,46-65 y.,Lower Saxony,Germany,0.92190,293,293,0.89112,0.95268
1987,46-65 y.,North Rhine-Westphalia,Germany,0.88309,597,794,0.86073,0.90546
1987,46-65 y.,North Rhine-Westphalia,Southern Europe,0.02978,132,794,0.01795,0.04161
1987,46-65 y.,North Rhine-Westphalia,Western Asia,0.01943,65,794,0.00983,0.02904
1987,46-65 y.,Hesse,Germany,0.81465,195,288,0.76970,0.85961
1987,46-65 y.,Hesse,Southern Europe,0.04000,59,288,0.01733,0.06268
1987,46-65 y.,Hesse,Western Asia,0.02260,34,288,0.00540,0.03979
1987,46-65 y.,"Rhineland-Palatinate, Saarland",Germany,0.95359,227,227,0.92616,0.98102
1987,46-65 y.,Baden-Wuerttemberg,Germany,0.81656,359,537,0.78379,0.84932
1987,46-65 y.,Baden-Wuerttemberg,Southern Europe,0.04250,132,537,0.02542,0.05958
1987,46-65 y.,Baden-Wuerttemberg,Western Asia,0.01546,46,537,0.00501,0.02590
1987,46-65 y.,Bavaria,Germany,0.90234,393,454,0.87500,0.92968
1987,46-65 y.,Bavaria,Southern Europe,0.02411,61,454,0.00999,0.03824
1987,46-65 y.,Berlin,Germany,0.90924,84,84,0.84744,0.97104
1987,66 and older,Hamburg,Germany,0.99499,36,36,0.97159,1.01839
1987,66 and older,Lower Saxony,Germany,0.97379,124,124,0.94555,1.00202
1987,66 and older,Bremen,Germany,0.97354,32,32,0.91705,1.03004
1987,66 and older,North Rhine-Westphalia,Germany,0.94896,227,227,0.92027,0.97765
1987,66 and older,Hesse,Germany,0.93407,101,101,0.88543,0.98271
1987,66 and older,"Rhineland-Palatinate, Saarland",Germany,0.97386,96,96,0.94177,1.00594
1987,66 and older,Baden-Wuerttemberg,Germany,0.94142,148,148,0.90345,0.97938
1987,66 and older,Bavaria,Germany,0.95631,179,179,0.92628,0.98634
1987,66 and older,Berlin,Germany,0.97003,37,37,0.91432,1.02573
1988,17-29 y.,Schleswig-Holstein,Germany,0.95604,66,66,0.90620,1.00588
1988,17-29 y.,Hamburg,Germany,0.95400,31,31,0.87904,1.02896
1988,17-29 y.,Lower Saxony,Germany,0.94600,259,259,0.91842,0.97358
1988,17-29 y.,North Rhine-Westphalia,Germany,0.90780,588,767,0.88731,0.92829
1988,17-29 y.,North Rhine-Westphalia,Southern Europe,0.01516,61,767,0.00651,0.02381
1988,17-29 y.,North Rhine-Westphalia,Western Asia,0.04068,118,767,0.02669,0.05467
1988,17-29 y.,Hesse,Germany,0.85898,162,265,0.81699,0.90096
1988,17-29 y.,Hesse,Southern Europe,0.03935,39,265,0.01590,0.06281
1988,17-29 y.,Hesse,Western Asia,0.05525,64,265,0.02769,0.08281
