"plb0022_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Freiwilliger Wehrdienst","1999","weiblich","","","",""
"FSJ/FOeJ/BFD","1999","maennlich","","","",""
"FSJ/FOeJ/BFD","1999","weiblich","","","",""
"Werkstatt fuer Behinderte","1999","maennlich","","","",""
"Werkstatt fuer Behinderte","1999","weiblich","","","",""
"Nicht erwerbstaetig","1999","maennlich","2066","0.347111783655461","0.335666619756307","0.358556947554614"
"Nicht erwerbstaetig","1999","weiblich","3563","0.555712758725698","0.544173611255774","0.567251906195622"
"Betriebliches Praktikum","1999","maennlich","","","",""
"Betriebliches Praktikum","1999","weiblich","","","",""
"Wehrpflicht/Zivildienst","1999","maennlich","51","0.00654304346654779","0.00460469277806442","0.00848139415503116"
"Wehrpflicht/Zivildienst","1999","weiblich","","","",""
"Voll erwerbstaetig","2000","maennlich","6881","0.575528452373197","0.566557129075644","0.58449977567075"
"Voll erwerbstaetig","2000","weiblich","3206","0.238019438598359","0.230586360307118","0.2454525168896"
"Teilzeitbeschaeftigung","2000","maennlich","208","0.0221670847217991","0.019494783363278","0.0248393860803202"
"Teilzeitbeschaeftigung","2000","weiblich","2032","0.15195206563174","0.145686589899637","0.158217541363842"
"Ausbildung/Lehre","2000","maennlich","402","0.0287343684148217","0.0257020929327794","0.0317666438968641"
"Ausbildung/Lehre","2000","weiblich","301","0.0187886335821495","0.0164187913676547","0.0211584757966443"
"Geringfuegig erwerbstaetig","2000","maennlich","199","0.0205846478917537","0.0180074130692236","0.0231618827142838"
"Geringfuegig erwerbstaetig","2000","weiblich","587","0.0467099950645005","0.043026941982164","0.050393048146837"
"Altersteilzeit mit Arbeitszeit Null","2000","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","2000","weiblich","","","",""
"Freiwilliger Wehrdienst","2000","maennlich","","","",""
"Freiwilliger Wehrdienst","2000","weiblich","","","",""
"FSJ/FOeJ/BFD","2000","maennlich","","","",""
"FSJ/FOeJ/BFD","2000","weiblich","","","",""
"Werkstatt fuer Behinderte","2000","maennlich","","","",""
"Werkstatt fuer Behinderte","2000","weiblich","","","",""
"Nicht erwerbstaetig","2000","maennlich","3857","0.344522262464087","0.335896719671879","0.353147805256295"
"Nicht erwerbstaetig","2000","weiblich","6466","0.543371522796838","0.534677505879605","0.552065539714071"
"Betriebliches Praktikum","2000","maennlich","","","",""
"Betriebliches Praktikum","2000","weiblich","","","",""
"Wehrpflicht/Zivildienst","2000","maennlich","97","0.00688252456617796","0.00538189667913036","0.00838315245322557"
"Wehrpflicht/Zivildienst","2000","weiblich","","","",""
"Voll erwerbstaetig","2001","maennlich","6150","0.564759208122618","0.5553129312953","0.574205484949936"
"Voll erwerbstaetig","2001","weiblich","2932","0.238083903729998","0.230293197574275","0.245874609885722"
"Teilzeitbeschaeftigung","2001","maennlich","195","0.0222453471498512","0.0194353961168184","0.025055298182884"
"Teilzeitbeschaeftigung","2001","weiblich","1872","0.154123087700046","0.147518500648687","0.160727674751406"
"Ausbildung/Lehre","2001","maennlich","363","0.0284805520598119","0.0253112461282319","0.0316498579913919"
"Ausbildung/Lehre","2001","weiblich","326","0.0255260165318976","0.0226410891880467","0.0284109438757484"
"Geringfuegig erwerbstaetig","2001","maennlich","207","0.022409938089623","0.0195898483416074","0.0252300278376385"
"Geringfuegig erwerbstaetig","2001","weiblich","558","0.046192316896339","0.0423528271354877","0.0500318066571902"
"Altersteilzeit mit Arbeitszeit Null","2001","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","2001","weiblich","","","",""
"Freiwilliger Wehrdienst","2001","maennlich","","","",""
"Freiwilliger Wehrdienst","2001","weiblich","","","",""
"FSJ/FOeJ/BFD","2001","maennlich","","","",""
"FSJ/FOeJ/BFD","2001","weiblich","","","",""
"Werkstatt fuer Behinderte","2001","maennlich","","","",""
"Werkstatt fuer Behinderte","2001","weiblich","","","",""
"Nicht erwerbstaetig","2001","maennlich","3558","0.351454879912312","0.342358489342874","0.36055127048175"
"Nicht erwerbstaetig","2001","weiblich","5777","0.535054009118206","0.52593057590007","0.544177442336341"
"Betriebliches Praktikum","2001","maennlich","","","",""
"Betriebliches Praktikum","2001","weiblich","","","",""
"Wehrpflicht/Zivildienst","2001","maennlich","94","0.00899070259657787","0.00719224628288415","0.0107891589102716"
"Wehrpflicht/Zivildienst","2001","weiblich","","","",""
"Voll erwerbstaetig","2002","maennlich","6476","0.546730926593212","0.537502431131868","0.555959422054555"
"Voll erwerbstaetig","2002","weiblich","3095","0.227189025905201","0.219685452705664","0.234692599104738"
"Teilzeitbeschaeftigung","2002","maennlich","200","0.0201536878951633","0.017548600581707","0.0227587752086197"
"Teilzeitbeschaeftigung","2002","weiblich","2094","0.155646143498287","0.149154282138474","0.1621380048581"
"Ausbildung/Lehre","2002","maennlich","370","0.0301993446447753","0.027026812477507","0.0333718768120436"
"Ausbildung/Lehre","2002","weiblich","314","0.0258191423134449","0.0229790758077225","0.0286592088191672"
"Geringfuegig erwerbstaetig","2002","maennlich","221","0.0210774866884647","0.0184146188737987","0.0237403545031308"
"Geringfuegig erwerbstaetig","2002","weiblich","617","0.0491131624130826","0.0452432496405141","0.0529830751856511"
"Altersteilzeit mit Arbeitszeit Null","2002","maennlich","54","0.00464644987946897","0.00338573943240407","0.00590716032653386"
"Altersteilzeit mit Arbeitszeit Null","2002","weiblich","30","0.00289028532346922","0.00192893950605963","0.00385163114087881"
"Freiwilliger Wehrdienst","2002","maennlich","33","0.00258850117608578","0.00164655213774836","0.00353045021442319"
"Freiwilliger Wehrdienst","2002","weiblich","","","",""
"FSJ/FOeJ/BFD","2002","maennlich","57","0.00408074356581148","0.00289893330727956","0.00526255382434341"
"FSJ/FOeJ/BFD","2002","weiblich","","","",""
"Werkstatt fuer Behinderte","2002","maennlich","","","",""
"Werkstatt fuer Behinderte","2002","weiblich","","","",""
"Nicht erwerbstaetig","2002","maennlich","3749","0.368381586576423","0.359439427600646","0.3773237455522"
"Nicht erwerbstaetig","2002","weiblich","5812","0.538115578217375","0.529187823530265","0.547043332904485"
"Betriebliches Praktikum","2002","maennlich","","","",""
"Betriebliches Praktikum","2002","weiblich","","","",""
"Wehrpflicht/Zivildienst","2002","maennlich","","","",""
"Wehrpflicht/Zivildienst","2002","weiblich","","","",""
"Voll erwerbstaetig","2003","maennlich","5992","0.530625925489019","0.521183978874569","0.54006787210347"
"Voll erwerbstaetig","2003","weiblich","2879","0.22274274921279","0.21515975584876","0.230325742576819"
"Teilzeitbeschaeftigung","2003","maennlich","218","0.0235820191509019","0.0207111318972937","0.02645290640451"
"Teilzeitbeschaeftigung","2003","weiblich","2064","0.155766828800692","0.149157989491509","0.162375668109874"
"Ausbildung/Lehre","2003","maennlich","338","0.0276584655898746","0.0245558267898299","0.0307611043899192"
"Ausbildung/Lehre","2003","weiblich","275","0.021344029527339","0.0187100661724706","0.0239779928822073"
"Geringfuegig erwerbstaetig","2003","maennlich","240","0.0221160955386866","0.0193337847700108","0.0248984063073623"
"Geringfuegig erwerbstaetig","2003","weiblich","622","0.0533711660218467","0.0492747910218973","0.0574675410217961"
"Altersteilzeit mit Arbeitszeit Null","2003","maennlich","73","0.00920168372076035","0.00739520005179299","0.0110081673897277"
"Altersteilzeit mit Arbeitszeit Null","2003","weiblich","58","0.00907763396415971","0.00734916078122344","0.010806107147096"
"Freiwilliger Wehrdienst","2003","maennlich","43","0.00296193192074653","0.00193379450225154","0.00399006933924151"
"Freiwilliger Wehrdienst","2003","weiblich","","","",""
"FSJ/FOeJ/BFD","2003","maennlich","38","0.00310507495091106","0.00205246251783451","0.0041576873839876"
"FSJ/FOeJ/BFD","2003","weiblich","","","",""
"Werkstatt fuer Behinderte","2003","maennlich","","","",""
"Werkstatt fuer Behinderte","2003","weiblich","","","",""
"Nicht erwerbstaetig","2003","maennlich","3773","0.378708809909307","0.369531655037759","0.387885964780854"
"Nicht erwerbstaetig","2003","weiblich","5642","0.535858802893369","0.526769998833461","0.544947606953277"
"Betriebliches Praktikum","2003","maennlich","","","",""
"Betriebliches Praktikum","2003","weiblich","","","",""
"Wehrpflicht/Zivildienst","2003","maennlich","","","",""
"Wehrpflicht/Zivildienst","2003","weiblich","","","",""
"Voll erwerbstaetig","2004","maennlich","5767","0.521654845947437","0.512068165546123","0.531241526348752"
"Voll erwerbstaetig","2004","weiblich","2768","0.220210680839143","0.212571622133051","0.227849739545235"
"Teilzeitbeschaeftigung","2004","maennlich","214","0.0231475008767834","0.0202616592913518","0.026033342462215"
"Teilzeitbeschaeftigung","2004","weiblich","1977","0.152558478454778","0.145930134135309","0.159186822774246"
"Ausbildung/Lehre","2004","maennlich","315","0.0272267825527005","0.024103509884114","0.0303500552212871"
"Ausbildung/Lehre","2004","weiblich","271","0.0233685591522493","0.0205836352335489","0.0261534830709496"
"Geringfuegig erwerbstaetig","2004","maennlich","252","0.0237802246292936","0.0208561549758358","0.0267042942827515"
"Geringfuegig erwerbstaetig","2004","weiblich","675","0.0578786549737908","0.0535739374984031","0.0621833724491784"
"Altersteilzeit mit Arbeitszeit Null","2004","maennlich","79","0.0100307392637277","0.00811831932729041","0.0119431592001651"
"Altersteilzeit mit Arbeitszeit Null","2004","weiblich","58","0.00831727161083141","0.00664306584457307","0.00999147737708974"
"Freiwilliger Wehrdienst","2004","maennlich","","","",""
"Freiwilliger Wehrdienst","2004","weiblich","","","",""
"FSJ/FOeJ/BFD","2004","maennlich","33","0.00251537106267688","0.00155406855989881","0.00347667356545495"
"FSJ/FOeJ/BFD","2004","weiblich","","","",""
"Werkstatt fuer Behinderte","2004","maennlich","","","",""
"Werkstatt fuer Behinderte","2004","weiblich","","","",""
"Nicht erwerbstaetig","2004","maennlich","3733","0.387998884524424","0.378647039910313","0.397350729138535"
"Nicht erwerbstaetig","2004","weiblich","5531","0.535843616625844","0.526650067288144","0.545037165963544"
"Betriebliches Praktikum","2004","maennlich","","","",""
"Betriebliches Praktikum","2004","weiblich","","","",""
"Wehrpflicht/Zivildienst","2004","maennlich","","","",""
"Wehrpflicht/Zivildienst","2004","weiblich","","","",""
"Voll erwerbstaetig","2005","maennlich","5391","0.521517780146604","0.511701483717827","0.53133407657538"
"Voll erwerbstaetig","2005","weiblich","2610","0.219905454733878","0.212117474379246","0.227693435088511"
"Teilzeitbeschaeftigung","2005","maennlich","215","0.0246034870709235","0.0215593154411765","0.0276476587006705"
"Teilzeitbeschaeftigung","2005","weiblich","1881","0.15578105480791","0.148962095594934","0.162600014020886"
"Ausbildung/Lehre","2005","maennlich","288","0.0296291563687081","0.0262971278090446","0.0329611849283716"
"Ausbildung/Lehre","2005","weiblich","234","0.021077322965846","0.0183763816676923","0.0237782642639997"
"Geringfuegig erwerbstaetig","2005","maennlich","243","0.0259469613284793","0.0228229344790914","0.0290709881778673"
"Geringfuegig erwerbstaetig","2005","weiblich","712","0.0625427079581121","0.0579897115034318","0.0670957044127925"
"Altersteilzeit mit Arbeitszeit Null","2005","maennlich","71","0.00760118754839607","0.00589446060408645","0.00930791449270569"
"Altersteilzeit mit Arbeitszeit Null","2005","weiblich","73","0.00718079043399371","0.00559314164072682","0.0087684392272606"
"Freiwilliger Wehrdienst","2005","maennlich","","","",""
"Freiwilliger Wehrdienst","2005","weiblich","","","",""
"FSJ/FOeJ/BFD","2005","maennlich","","","",""
"FSJ/FOeJ/BFD","2005","weiblich","","","",""
"Werkstatt fuer Behinderte","2005","maennlich","","","",""
"Werkstatt fuer Behinderte","2005","weiblich","","","",""
"Nicht erwerbstaetig","2005","maennlich","3684","0.385273855162621","0.375710598444062","0.39483711188118"
"Nicht erwerbstaetig","2005","weiblich","5327","0.530877764504972","0.521494077733459","0.540261451276485"
"Betriebliches Praktikum","2005","maennlich","","","",""
"Betriebliches Praktikum","2005","weiblich","","","",""
"Wehrpflicht/Zivildienst","2005","maennlich","","","",""
"Wehrpflicht/Zivildienst","2005","weiblich","","","",""
"Voll erwerbstaetig","2006","maennlich","5616","0.525381637663598","0.515838499291801","0.534924776035396"
"Voll erwerbstaetig","2006","weiblich","2714","0.217939231287457","0.210413679511739","0.225464783063175"
"Teilzeitbeschaeftigung","2006","maennlich","246","0.0253246872121393","0.0223221836185911","0.0283271908056875"
"Teilzeitbeschaeftigung","2006","weiblich","2066","0.155864994523478","0.14925302809311","0.162476960953847"
"Ausbildung/Lehre","2006","maennlich","265","0.0260744373296689","0.02302898459998","0.0291198900593578"
"Ausbildung/Lehre","2006","weiblich","229","0.0208979092487337","0.0182904603917678","0.0235053581056997"
"Geringfuegig erwerbstaetig","2006","maennlich","298","0.029569014486454","0.0263317196072882","0.0328063093656197"
"Geringfuegig erwerbstaetig","2006","weiblich","769","0.064942458705735","0.0604505189558862","0.0694343984555838"
"Altersteilzeit mit Arbeitszeit Null","2006","maennlich","81","0.008245568291963","0.00651736877592788","0.00997376780799811"
"Altersteilzeit mit Arbeitszeit Null","2006","weiblich","70","0.00548581846184503","0.0041394107313511","0.00683222619233895"
"Freiwilliger Wehrdienst","2006","maennlich","","","",""
"Freiwilliger Wehrdienst","2006","weiblich","","","",""
"FSJ/FOeJ/BFD","2006","maennlich","34","0.00260658908973037","0.00163215820228138","0.00358101997717936"
"FSJ/FOeJ/BFD","2006","weiblich","","","",""
"Werkstatt fuer Behinderte","2006","maennlich","","","",""
"Werkstatt fuer Behinderte","2006","weiblich","","","",""
"Nicht erwerbstaetig","2006","maennlich","3937","0.378243489352817","0.368975673216647","0.387511305488986"
"Nicht erwerbstaetig","2006","weiblich","5688","0.532355604587717","0.523260469107535","0.5414507400679"
"Betriebliches Praktikum","2006","maennlich","","","",""
"Betriebliches Praktikum","2006","weiblich","","","",""
"Wehrpflicht/Zivildienst","2006","maennlich","","","",""
"Wehrpflicht/Zivildienst","2006","weiblich","","","",""
"Voll erwerbstaetig","2007","maennlich","5338","0.536127528500912","0.526262642990198","0.545992414011625"
"Voll erwerbstaetig","2007","weiblich","2548","0.221989975417007","0.214154327968949","0.229825622865064"
"Teilzeitbeschaeftigung","2007","maennlich","235","0.0281477609227913","0.0248760061688306","0.0314195156767521"
"Teilzeitbeschaeftigung","2007","weiblich","2059","0.169852657220798","0.16277272054645","0.176932593895146"
"Ausbildung/Lehre","2007","maennlich","253","0.02515430340779","0.0220566502929191","0.0282519565226608"
"Ausbildung/Lehre","2007","weiblich","193","0.0196271071621805","0.0170116994288148","0.0222425148955462"
"Geringfuegig erwerbstaetig","2007","maennlich","274","0.0296050568773771","0.0262521931091839","0.0329579206455704"
"Geringfuegig erwerbstaetig","2007","weiblich","712","0.0652581154342155","0.0606014104502391","0.0699148204181919"
"Altersteilzeit mit Arbeitszeit Null","2007","maennlich","89","0.00951797094509626","0.00759729462059067","0.0114386472696018"
"Altersteilzeit mit Arbeitszeit Null","2007","weiblich","81","0.00835685465859289","0.00664046953770689","0.0100732397794789"
"Freiwilliger Wehrdienst","2007","maennlich","","","",""
"Freiwilliger Wehrdienst","2007","weiblich","","","",""
"FSJ/FOeJ/BFD","2007","maennlich","","","",""
"FSJ/FOeJ/BFD","2007","weiblich","","","",""
"Werkstatt fuer Behinderte","2007","maennlich","","","",""
"Werkstatt fuer Behinderte","2007","weiblich","","","",""
"Nicht erwerbstaetig","2007","maennlich","3562","0.364866489669017","0.35534383142534","0.374389147912694"
"Nicht erwerbstaetig","2007","weiblich","5192","0.512530190098808","0.503105888034245","0.521954492163371"
"Betriebliches Praktikum","2007","maennlich","","","",""
"Betriebliches Praktikum","2007","weiblich","","","",""
"Wehrpflicht/Zivildienst","2007","maennlich","","","",""
"Wehrpflicht/Zivildienst","2007","weiblich","","","",""
"Voll erwerbstaetig","2008","maennlich","5014","0.544686838423028","0.534540440598472","0.554833236247585"
"Voll erwerbstaetig","2008","weiblich","2514","0.234075635441624","0.225849246258453","0.242302024624795"
"Teilzeitbeschaeftigung","2008","maennlich","218","0.0251666212372742","0.0219753700049332","0.0283578724696152"
"Teilzeitbeschaeftigung","2008","weiblich","1913","0.170013039609475","0.162714853156163","0.177311226062787"
"Ausbildung/Lehre","2008","maennlich","241","0.0272651295739919","0.0239470685524686","0.0305831905955152"
"Ausbildung/Lehre","2008","weiblich","182","0.0187445361175849","0.0161096211993663","0.0213794510358035"
"Geringfuegig erwerbstaetig","2008","maennlich","278","0.0334787987187633","0.029813798802145","0.0371437986353817"
"Geringfuegig erwerbstaetig","2008","weiblich","702","0.0726113793379669","0.0675697440166053","0.0776530146593285"
"Altersteilzeit mit Arbeitszeit Null","2008","maennlich","58","0.00704722379551591","0.00534288208623913","0.00875156550479269"
"Altersteilzeit mit Arbeitszeit Null","2008","weiblich","43","0.0035151286918288","0.00236527079187111","0.00466498659178648"
"Freiwilliger Wehrdienst","2008","maennlich","","","",""
"Freiwilliger Wehrdienst","2008","weiblich","","","",""
"FSJ/FOeJ/BFD","2008","maennlich","","","",""
"FSJ/FOeJ/BFD","2008","weiblich","","","",""
"Werkstatt fuer Behinderte","2008","maennlich","","","",""
"Werkstatt fuer Behinderte","2008","weiblich","","","",""
"Nicht erwerbstaetig","2008","maennlich","3403","0.356555191525005","0.346796257630572","0.366314125419437"
"Nicht erwerbstaetig","2008","weiblich","4806","0.499436265339128","0.48972204540053","0.509150485277727"
"Betriebliches Praktikum","2008","maennlich","","","",""
"Betriebliches Praktikum","2008","weiblich","","","",""
"Wehrpflicht/Zivildienst","2008","maennlich","","","",""
"Wehrpflicht/Zivildienst","2008","weiblich","","","",""
"Voll erwerbstaetig","2009","maennlich","4616","0.536106329557677","0.525593360099281","0.546619299016074"
"Voll erwerbstaetig","2009","weiblich","2372","0.241454342969309","0.232840310800418","0.250068375138199"
"Teilzeitbeschaeftigung","2009","maennlich","220","0.0263171596533044","0.0229425854859368","0.029691733820672"
"Teilzeitbeschaeftigung","2009","weiblich","1774","0.168227906042579","0.160698697818027","0.17575711426713"
"Ausbildung/Lehre","2009","maennlich","233","0.028762128393994","0.0252387115473535","0.0322855452406345"
"Ausbildung/Lehre","2009","weiblich","170","0.0190852551076015","0.0163312627443114","0.0218392474708915"
"Geringfuegig erwerbstaetig","2009","maennlich","229","0.0321894065014115","0.0284685546177774","0.0359102583850457"
"Geringfuegig erwerbstaetig","2009","weiblich","697","0.0765957598032614","0.0712427700500698","0.081948749556453"
"Altersteilzeit mit Arbeitszeit Null","2009","maennlich","51","0.00561752452411674","0.00404194643947266","0.00719310260876081"
"Altersteilzeit mit Arbeitszeit Null","2009","weiblich","42","0.00338168627417361","0.00221318496143499","0.00455018758691223"
"Freiwilliger Wehrdienst","2009","maennlich","","","",""
"Freiwilliger Wehrdienst","2009","weiblich","","","",""
"FSJ/FOeJ/BFD","2009","maennlich","31","0.00301697453202343","0.00186080794018398","0.00417314112386288"
"FSJ/FOeJ/BFD","2009","weiblich","","","",""
"Werkstatt fuer Behinderte","2009","maennlich","","","",""
"Werkstatt fuer Behinderte","2009","weiblich","","","",""
"Nicht erwerbstaetig","2009","maennlich","3229","0.362973534039851","0.352836592781551","0.373110475298151"
"Nicht erwerbstaetig","2009","weiblich","4403","0.488137075391542","0.478075966490575","0.49819818429251"
"Betriebliches Praktikum","2009","maennlich","","","",""
"Betriebliches Praktikum","2009","weiblich","","","",""
"Wehrpflicht/Zivildienst","2009","maennlich","","","",""
"Wehrpflicht/Zivildienst","2009","weiblich","","","",""
"Voll erwerbstaetig","2010","maennlich","6383","0.527039217772455","0.517689559140579","0.536388876404331"
"Voll erwerbstaetig","2010","weiblich","2638","0.242000610590658","0.234670845677269","0.249330375504048"
"Teilzeitbeschaeftigung","2010","maennlich","354","0.0291568648547196","0.0260061676570738","0.0323075620523653"
"Teilzeitbeschaeftigung","2010","weiblich","2700","0.171677862437555","0.165224230846673","0.178131494028436"
"Ausbildung/Lehre","2010","maennlich","250","0.0269327399309445","0.0239011292975084","0.0299643505643805"
"Ausbildung/Lehre","2010","weiblich","225","0.0215007612572383","0.0190184596326999","0.0239830628817766"
"Geringfuegig erwerbstaetig","2010","maennlich","345","0.0337702330418492","0.0303874904007388","0.0371529756829596"
"Geringfuegig erwerbstaetig","2010","weiblich","1104","0.0770448932757912","0.0724812719120885","0.0816085146394938"
"Altersteilzeit mit Arbeitszeit Null","2010","maennlich","48","0.00480254374630073","0.00350789481808611","0.00609719267451535"
"Altersteilzeit mit Arbeitszeit Null","2010","weiblich","42","0.00332042953648473","0.00233591462261229","0.00430494445035718"
"Freiwilliger Wehrdienst","2010","maennlich","","","",""
"Freiwilliger Wehrdienst","2010","weiblich","","","",""
"FSJ/FOeJ/BFD","2010","maennlich","","","",""
"FSJ/FOeJ/BFD","2010","weiblich","","","",""
"Werkstatt fuer Behinderte","2010","maennlich","","","",""
"Werkstatt fuer Behinderte","2010","weiblich","","","",""
"Nicht erwerbstaetig","2010","maennlich","3516","0.371572085572376","0.362522868696995","0.380621302447757"
"Nicht erwerbstaetig","2010","weiblich","6386","0.483192168782021","0.474640086445511","0.491744251118531"
"Betriebliches Praktikum","2010","maennlich","","","",""
"Betriebliches Praktikum","2010","weiblich","","","",""
"Wehrpflicht/Zivildienst","2010","maennlich","","","",""
"Wehrpflicht/Zivildienst","2010","weiblich","","","",""
"Voll erwerbstaetig","2011","maennlich","7434","0.542330822632856","0.533734206221338","0.550927439044374"
"Voll erwerbstaetig","2011","weiblich","3394","0.253520393585925","0.246690998350324","0.260349788821527"
"Teilzeitbeschaeftigung","2011","maennlich","388","0.0308433461455292","0.0278600435423908","0.0338266487486675"
"Teilzeitbeschaeftigung","2011","weiblich","3553","0.170242572883205","0.164342240402156","0.176142905364254"
"Ausbildung/Lehre","2011","maennlich","290","0.0258418586432279","0.023104093576341","0.0285796237101148"
"Ausbildung/Lehre","2011","weiblich","258","0.0183821089781628","0.0162733073695707","0.0204909105867549"
"Geringfuegig erwerbstaetig","2011","maennlich","340","0.0308518319212592","0.0278681320182517","0.0338355318242668"
"Geringfuegig erwerbstaetig","2011","weiblich","1228","0.0681721511732973","0.0642154052335548","0.0721288971130398"
"Altersteilzeit mit Arbeitszeit Null","2011","maennlich","60","0.00428339883796976","0.00315650837476515","0.00541028930117436"
"Altersteilzeit mit Arbeitszeit Null","2011","weiblich","53","0.00410417628601529","0.0031005159019795","0.00510783667005109"
"Freiwilliger Wehrdienst","2011","maennlich","","","",""
"Freiwilliger Wehrdienst","2011","weiblich","","","",""
"FSJ/FOeJ/BFD","2011","maennlich","","","",""
"FSJ/FOeJ/BFD","2011","weiblich","","","",""
"Werkstatt fuer Behinderte","2011","maennlich","","","",""
"Werkstatt fuer Behinderte","2011","weiblich","","","",""
"Nicht erwerbstaetig","2011","maennlich","4340","0.360487915907871","0.352202977093935","0.368772854721807"
"Nicht erwerbstaetig","2011","weiblich","7076","0.483717058854932","0.47587181562397","0.491562302085895"
"Betriebliches Praktikum","2011","maennlich","","","",""
"Betriebliches Praktikum","2011","weiblich","","","",""
"Wehrpflicht/Zivildienst","2011","maennlich","","","",""
"Wehrpflicht/Zivildienst","2011","weiblich","","","",""
"Voll erwerbstaetig","2012","maennlich","7089","0.540197561418365","0.531495447520819","0.548899675315912"
"Voll erwerbstaetig","2012","weiblich","3408","0.252421806862633","0.245503185900264","0.259340427825002"
"Teilzeitbeschaeftigung","2012","maennlich","424","0.0316922008070014","0.0286334384777932","0.0347509631362095"
"Teilzeitbeschaeftigung","2012","weiblich","3529","0.177676114573603","0.171588267039211","0.183763962107995"
"Ausbildung/Lehre","2012","maennlich","317","0.0251056945696614","0.0223740278868663","0.0278373612524565"
"Ausbildung/Lehre","2012","weiblich","256","0.0171063011388061","0.0150411153754049","0.0191714869022073"
"Geringfuegig erwerbstaetig","2012","maennlich","397","0.0338639837062192","0.0307057011772378","0.0370222662352006"
"Geringfuegig erwerbstaetig","2012","weiblich","1217","0.0710518511103524","0.0669600809969519","0.075143621223753"
"Altersteilzeit mit Arbeitszeit Null","2012","maennlich","54","0.00376065509117682","0.0026919043838497","0.00482940579850394"
"Altersteilzeit mit Arbeitszeit Null","2012","weiblich","49","0.00380826814746111","0.00282728167836653","0.0047892546165557"
"Freiwilliger Wehrdienst","2012","maennlich","","","",""
"Freiwilliger Wehrdienst","2012","weiblich","","","",""
"FSJ/FOeJ/BFD","2012","maennlich","","","",""
"FSJ/FOeJ/BFD","2012","weiblich","","","",""
"Werkstatt fuer Behinderte","2012","maennlich","","","",""
"Werkstatt fuer Behinderte","2012","weiblich","","","",""
"Nicht erwerbstaetig","2012","maennlich","4270","0.360230295941017","0.351847965617529","0.368612626264506"
"Nicht erwerbstaetig","2012","weiblich","6645","0.474881860726508","0.466928529102784","0.482835192350232"
"Betriebliches Praktikum","2012","maennlich","","","",""
"Betriebliches Praktikum","2012","weiblich","","","",""
"Wehrpflicht/Zivildienst","2012","maennlich","","","",""
"Wehrpflicht/Zivildienst","2012","weiblich","","","",""
"Voll erwerbstaetig","2013","maennlich","7918","0.531863529799974","0.523610081879992","0.540116977719956"
"Voll erwerbstaetig","2013","weiblich","3763","0.24314439660803","0.236642072658584","0.249646720557477"
"Teilzeitbeschaeftigung","2013","maennlich","510","0.0327090134470532","0.0297668867931346","0.0356511401009719"
"Teilzeitbeschaeftigung","2013","weiblich","3952","0.184219130098101","0.178343099122696","0.190095161073507"
"Ausbildung/Lehre","2013","maennlich","466","0.028919847773249","0.0261479665822086","0.0316917289642894"
"Ausbildung/Lehre","2013","weiblich","378","0.01829099123348","0.0162598507448465","0.0203221317221135"
"Geringfuegig erwerbstaetig","2013","maennlich","484","0.0345009002633663","0.0314820593878899","0.0375197411388427"
"Geringfuegig erwerbstaetig","2013","weiblich","1505","0.0776822599984863","0.0736250156736615","0.0817395043233112"
"Altersteilzeit mit Arbeitszeit Null","2013","maennlich","65","0.00566032764507307","0.00441942634256056","0.00690122894758559"
"Altersteilzeit mit Arbeitszeit Null","2013","weiblich","60","0.00562929189625989","0.00449524503712656","0.00676333875539321"
"Freiwilliger Wehrdienst","2013","maennlich","","","",""
"Freiwilliger Wehrdienst","2013","weiblich","","","",""
"FSJ/FOeJ/BFD","2013","maennlich","","","",""
"FSJ/FOeJ/BFD","2013","weiblich","","","",""
"Werkstatt fuer Behinderte","2013","maennlich","","","",""
"Werkstatt fuer Behinderte","2013","weiblich","","","",""
"Nicht erwerbstaetig","2013","maennlich","4572","0.363457376939886","0.355501472463855","0.371413281415916"
"Nicht erwerbstaetig","2013","weiblich","7023","0.468438598139442","0.460874920522663","0.476002275756222"
"Betriebliches Praktikum","2013","maennlich","","","",""
"Betriebliches Praktikum","2013","weiblich","","","",""
"Wehrpflicht/Zivildienst","2013","maennlich","","","",""
"Wehrpflicht/Zivildienst","2013","weiblich","","","",""
"Voll erwerbstaetig","2014","maennlich","6902","0.526023815446652","0.517267667980993","0.534779962912311"
"Voll erwerbstaetig","2014","weiblich","3341","0.242358084136072","0.235436182292257","0.249279985979888"
"Teilzeitbeschaeftigung","2014","maennlich","463","0.0381656151134285","0.0348057767416345","0.0415254534852225"
"Teilzeitbeschaeftigung","2014","weiblich","3446","0.186329130468567","0.180039437484486","0.192618823452648"
"Ausbildung/Lehre","2014","maennlich","374","0.0293808548100678","0.0264195116010877","0.0323421980190479"
"Ausbildung/Lehre","2014","weiblich","337","0.0185378631454276","0.0163589932666983","0.0207167330241568"
"Geringfuegig erwerbstaetig","2014","maennlich","495","0.039465278613652","0.0360510214917555","0.0428795357355484"
"Geringfuegig erwerbstaetig","2014","weiblich","1359","0.0816421661839525","0.0772190544396556","0.0860652779282493"
"Altersteilzeit mit Arbeitszeit Null","2014","maennlich","54","0.00475518805246985","0.00354881698559747","0.00596155911934223"
"Altersteilzeit mit Arbeitszeit Null","2014","weiblich","56","0.00478098115097155","0.00366673143126006","0.00589523087068303"
"Freiwilliger Wehrdienst","2014","maennlich","","","",""
