"plb0022_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstaetig","1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","409","0.288542371520853","0.264791813165845","0.312292929875862"
"Nicht erwerbstaetig","1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1479","0.323864782450018","0.310509292222615","0.337220272677421"
"Nicht erwerbstaetig","1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","736","0.388684048313254","0.368291943642178","0.40907615298433"
"Nicht erwerbstaetig","1992","66 und älter","Westdeutschland, alte Bundeslaender","1058","0.984958872011691","0.977699727121027","0.992218016902355"
"Nicht erwerbstaetig","1992","66 und älter","Ostdeutschland, neue Bundeslaender","396","0.987433546684849","0.976517172963953","0.998349920405745"
"Betriebliches Praktikum","1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1992","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1992","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","39","0.0140244675989689","0.0101874738895684","0.0178614613083694"
"Wehrpflicht/Zivildienst","1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1992","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1992","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1784","0.500055430933369","0.483701943177385","0.516408918689352"
"Voll erwerbstaetig","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","679","0.529573280317411","0.502748801452042","0.55639775918278"
"Voll erwerbstaetig","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2564","0.542279433711512","0.52794741708969","0.556611450333333"
"Voll erwerbstaetig","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1196","0.51131403257965","0.49001553104958","0.53261253410972"
"Voll erwerbstaetig","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","223","0.0680768701318239","0.0598387100995105","0.0763150301641373"
"Teilzeitbeschaeftigung","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","81","0.0606795649361488","0.0478488639226867","0.073510265949611"
"Teilzeitbeschaeftigung","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","536","0.117477300804217","0.108214646731341","0.126739954877093"
"Teilzeitbeschaeftigung","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","120","0.0499415649962189","0.0406605282498996","0.0592226017425381"
"Teilzeitbeschaeftigung","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","341","0.0946567999203841","0.085082149652336","0.104231450188432"
"Ausbildung/Lehre","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","163","0.114227019474347","0.0971320666267093","0.131321972321984"
"Ausbildung/Lehre","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","81","0.025506994152287","0.0203504422552212","0.0306635460493528"
"Geringfuegig erwerbstaetig","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","89","0.0230492863957385","0.0187324996723055","0.0273660731191714"
"Geringfuegig erwerbstaetig","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1125","0.297525738984435","0.282573099313754","0.312478378655115"
"Nicht erwerbstaetig","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","381","0.274149632280992","0.250175678982928","0.298123585579057"
"Nicht erwerbstaetig","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1450","0.316510742798496","0.303130758709659","0.329890726887332"
"Nicht erwerbstaetig","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","780","0.430164591798953","0.409069456999259","0.451259726598647"
"Nicht erwerbstaetig","1993","66 und älter","Westdeutschland, alte Bundeslaender","1082","0.981990597326126","0.974153164229716","0.989828030422536"
"Nicht erwerbstaetig","1993","66 und älter","Ostdeutschland, neue Bundeslaender","391","0.992264426859026","0.9836135537966","1.00091529992145"
"Betriebliches Praktikum","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","37","0.0141781658777016","0.0103113843843304","0.0180449473710727"
"Wehrpflicht/Zivildienst","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1727","0.493266229229452","0.476803829959951","0.509728628498953"
"Voll erwerbstaetig","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","610","0.508481174363173","0.481050892435574","0.535911456290771"
"Voll erwerbstaetig","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2363","0.515262025858297","0.500655254295659","0.529868797420934"
"Voll erwerbstaetig","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1190","0.511065491121745","0.489726375745031","0.53240460649846"
"Voll erwerbstaetig","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","232","0.0700163535540881","0.0616140200560874","0.0784186870520889"
"Teilzeitbeschaeftigung","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","82","0.0616524998987479","0.0484553560642532","0.0748496437332426"
"Teilzeitbeschaeftigung","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","530","0.119469299131452","0.109989763646841","0.128948834616062"
"Teilzeitbeschaeftigung","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","133","0.0598970282715078","0.0497671753805858","0.0700268811624297"
"Teilzeitbeschaeftigung","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","278","0.0792136360855825","0.0703207663887825","0.0881065057823825"
"Ausbildung/Lehre","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","163","0.111054059870419","0.0938144414406045","0.128293678300233"
"Ausbildung/Lehre","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","93","0.0296317117802658","0.0240481775510771","0.0352152460094545"
"Geringfuegig erwerbstaetig","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","112","0.0274475776985622","0.0226723380837882","0.0322228173133363"
"Geringfuegig erwerbstaetig","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1182","0.315312081290701","0.300012513831138","0.330611648750265"
"Nicht erwerbstaetig","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","377","0.287557576857876","0.262722812274862","0.31239234144089"
"Nicht erwerbstaetig","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1487","0.336554300737212","0.322743561952101","0.350365039522323"
"Nicht erwerbstaetig","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","759","0.41869085357435","0.397630623918129","0.439751083230571"
"Nicht erwerbstaetig","1994","66 und älter","Westdeutschland, alte Bundeslaender","1092","0.982719004778786","0.975073343633369","0.990364665924202"
"Nicht erwerbstaetig","1994","66 und älter","Ostdeutschland, neue Bundeslaender","404","0.996534222824132","0.990810652714896","1.00225779293337"
"Betriebliches Praktikum","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","31","0.0125599880599107","0.00889297472931981","0.0162270013905015"
"Wehrpflicht/Zivildienst","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","31","0.0235183939903182","0.0152034635951183","0.0318333243855181"
"Wehrpflicht/Zivildienst","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1832","0.490661731410045","0.474625092762372","0.506698370057718"
"Voll erwerbstaetig","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","599","0.525360431827447","0.497453879501286","0.553266984153608"
"Voll erwerbstaetig","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2489","0.507432261221846","0.493275724329572","0.521588798114121"
"Voll erwerbstaetig","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1192","0.526834755561292","0.505284749936321","0.548384761186263"
"Voll erwerbstaetig","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","229","0.0652720341809065","0.0573483841041772","0.0731956842576359"
"Teilzeitbeschaeftigung","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","77","0.0627834836946791","0.0492272762203857","0.0763396911689725"
"Teilzeitbeschaeftigung","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","548","0.114911122002388","0.105880670182149","0.123941573822627"
"Teilzeitbeschaeftigung","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","148","0.0641326262491519","0.0535583554905729","0.0747068970077308"
"Teilzeitbeschaeftigung","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","289","0.0802583464983209","0.0715427497582347","0.088973943238407"
"Ausbildung/Lehre","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","156","0.10823416046375","0.0908720255060123","0.125596295421488"
"Ausbildung/Lehre","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","108","0.0302830828515419","0.0247858817544553","0.0357802839486284"
"Geringfuegig erwerbstaetig","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","141","0.0319356502626525","0.0269568465946486","0.0369144539306564"
"Geringfuegig erwerbstaetig","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1234","0.317682545076737","0.302747414860623","0.33261767529285"
"Nicht erwerbstaetig","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","371","0.281796863504553","0.256655590645245","0.306938136363861"
"Nicht erwerbstaetig","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1608","0.344959068923786","0.331498822580451","0.35841931526712"
"Nicht erwerbstaetig","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","697","0.39603749575321","0.374928046533957","0.417146944972464"
"Nicht erwerbstaetig","1995","66 und älter","Westdeutschland, alte Bundeslaender","1110","0.974746158888176","0.965642525564044","0.983849792212309"
"Nicht erwerbstaetig","1995","66 und älter","Ostdeutschland, neue Bundeslaender","412","0.996255057667496","0.990364167820053","1.00214594751494"
"Betriebliches Praktikum","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","41","0.0158422599824493","0.0118367296919694","0.0198477902729292"
"Wehrpflicht/Zivildienst","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1762","0.485475329017023","0.469124188677855","0.501826469356192"
"Voll erwerbstaetig","1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","551","0.488024760196937","0.459648486084944","0.51640103430893"
"Voll erwerbstaetig","1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2407","0.505843558200206","0.491528692056744","0.520158424343668"
"Voll erwerbstaetig","1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1183","0.525354662033983","0.503889619598229","0.546819704469736"
"Voll erwerbstaetig","1996","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1996","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","238","0.0719864826917889","0.063530501856707","0.0804424635268709"
"Teilzeitbeschaeftigung","1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","61","0.057925621652674","0.0446642663438532","0.0711869769614948"
"Teilzeitbeschaeftigung","1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","595","0.125308132872526","0.115829097965332","0.134787167779719"
"Teilzeitbeschaeftigung","1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","150","0.0639120317935906","0.0533979708497922","0.074426092737389"
"Teilzeitbeschaeftigung","1996","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1996","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","262","0.0769774766426845","0.0682568168051395","0.0856981364802294"
"Ausbildung/Lehre","1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","162","0.107416140726066","0.089838149217545","0.124994132234586"
"Ausbildung/Lehre","1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1996","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1996","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","96","0.0286426765216766","0.0231856298211309","0.0340997232222222"
"Geringfuegig erwerbstaetig","1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","135","0.030199090642179","0.0252992136760457","0.0350989676083122"
"Geringfuegig erwerbstaetig","1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
