year,bula_h,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Bavaria,Owner,"Yes, Occasionally",0.04372,40,911,0.03043,0.05701
2003,Bavaria,Owner,No,0.86813,772,911,0.84615,0.89012
2003,Bavaria,Tenant,No,0.92741,688,688,0.90801,0.94681
2003,Berlin,Owner,No,0.78566,59,59,0.68005,0.89127
2003,Berlin,Tenant,No,0.89770,380,380,0.86719,0.92821
2003,Brandenburg,Owner,No,0.96458,192,192,0.93836,0.99079
2003,Brandenburg,Tenant,No,0.95971,287,287,0.93692,0.98250
2003,Mecklenburg-Western Pomerania,Owner,No,0.99560,110,110,0.98317,1.00803
2003,Mecklenburg-Western Pomerania,Tenant,No,0.94273,162,162,0.90684,0.97862
2003,Saxony,Owner,No,0.93620,298,298,0.90840,0.96399
2003,Saxony,Tenant,No,0.94755,498,498,0.92795,0.96715
2003,Saxony-Anhalt,Owner,No,0.95500,210,210,0.92689,0.98311
2003,Saxony-Anhalt,Tenant,No,0.95613,260,260,0.93118,0.98107
2003,Thuringa,Owner,No,0.95682,228,228,0.93037,0.98326
2003,Thuringa,Tenant,No,0.97006,241,241,0.94850,0.99162
2004,Schleswig-Holstein,Owner,No,0.85216,171,171,0.79880,0.90551
2004,Schleswig-Holstein,Tenant,No,0.92056,138,138,0.87528,0.96585
2004,Hamburg,Owner,No,0.87487,43,43,0.77480,0.97493
2004,Hamburg,Tenant,No,0.91289,118,118,0.86179,0.96399
2004,Lower Saxony,Owner,"Yes, Regularly",0.06944,48,548,0.04814,0.09074
2004,Lower Saxony,Owner,No,0.87583,500,548,0.84820,0.90347
2004,Lower Saxony,Tenant,No,0.92174,383,383,0.89480,0.94867
2004,Bremen,Owner,No,0.86221,35,35,0.74635,0.97807
2004,Bremen,Tenant,No,0.88738,47,47,0.79602,0.97874
2004,North Rhine-Westphalia,Owner,"Yes, Regularly",0.10608,133,1125,0.08808,0.12408
2004,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.07335,74,1125,0.05811,0.08859
2004,North Rhine-Westphalia,Owner,No,0.81604,918,1125,0.79339,0.83869
2004,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.05514,63,1298,0.04272,0.06756
2004,North Rhine-Westphalia,Tenant,"Yes, Occasionally",0.03364,35,1298,0.02382,0.04345
2004,North Rhine-Westphalia,Tenant,No,0.90766,1200,1298,0.89190,0.92342
2004,Hesse,Owner,"Yes, Regularly",0.08571,45,360,0.05675,0.11467
2004,Hesse,Owner,No,0.83994,315,360,0.80202,0.87787
2004,Hesse,Tenant,No,0.92208,371,371,0.89477,0.94939
2004,"Rhineland-Palatinate, Saarland",Owner,"Yes, Regularly",0.07631,33,388,0.04986,0.10277
2004,"Rhineland-Palatinate, Saarland",Owner,No,0.87901,355,388,0.84652,0.91150
2004,"Rhineland-Palatinate, Saarland",Tenant,No,0.91779,277,277,0.88538,0.95019
2004,Baden-Wuerttemberg,Owner,"Yes, Regularly",0.05560,43,697,0.03858,0.07262
2004,Baden-Wuerttemberg,Owner,"Yes, Occasionally",0.04740,33,697,0.03161,0.06319
2004,Baden-Wuerttemberg,Owner,No,0.89296,621,697,0.86999,0.91593
2004,Baden-Wuerttemberg,Tenant,No,0.94300,631,631,0.92489,0.96110
2004,Bavaria,Owner,"Yes, Regularly",0.05517,65,886,0.04013,0.07022
2004,Bavaria,Owner,"Yes, Occasionally",0.04666,50,886,0.03276,0.06055
2004,Bavaria,Owner,No,0.89469,771,886,0.87447,0.91491
2004,Bavaria,Tenant,No,0.92542,673,673,0.90556,0.94529
2004,Berlin,Owner,No,0.82538,66,66,0.73309,0.91768
2004,Berlin,Tenant,No,0.95165,383,383,0.93014,0.97316
2004,Brandenburg,Owner,No,0.97211,190,190,0.94864,0.99559
2004,Brandenburg,Tenant,No,0.97500,284,284,0.95680,0.99319
2004,Mecklenburg-Western Pomerania,Owner,No,0.97539,113,113,0.94670,1.00408
2004,Mecklenburg-Western Pomerania,Tenant,No,0.94727,158,158,0.91231,0.98223
2004,Saxony,Owner,No,0.97256,304,304,0.95417,0.99096
