year,bula_h,sampreg,hlf0178_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2018,Bavaria,West,Yes,0.80817,2368,17823,0,0.77300,0,0.84214
2018,Bavaria,West,No,0.19183,275,17823,0,0.17290,0,0.21104
2018,Berlin,West,Yes,0.87310,441,17823,0,0.78547,0,0.94436
2018,Berlin,West,No,0.12690,38,17823,0,0.10185,0,0.15244
2018,Berlin,East,Yes,0.83207,272,17823,0,0.73032,0,0.94064
2018,Berlin,East,No,0.16793,34,17823,0,0.11724,0,0.22076
2018,Brandenburg,East,Yes,0.77079,610,17823,0,0.69942,0,0.85551
2018,Brandenburg,East,No,0.22921,113,17823,0,0.19447,0,0.27331
2018,Mecklenburg-Western Pomerania,East,Yes,0.73067,340,17823,0,0.64412,0,0.84667
2018,Mecklenburg-Western Pomerania,East,No,0.26933,79,17823,0,0.21482,0,0.34379
2018,Saxony,East,Yes,0.81881,926,17823,0,0.75875,0,0.88822
2018,Saxony,East,No,0.18119,133,17823,0,0.15448,0,0.20626
2018,Saxony-Anhalt,East,Yes,0.72520,501,17823,0,0.64758,0,0.80307
2018,Saxony-Anhalt,East,No,0.27480,120,17823,0,0.22577,0,0.32484
2018,Thuringa,East,Yes,0.76454,527,17823,0,0.67722,0,0.84942
2018,Thuringa,East,No,0.23546,119,17823,0,0.19519,0,0.27804
2019,Schleswig-Holstein,West,Yes,0.89675,667,18300,0,0.79885,0,0.98136
2019,Schleswig-Holstein,West,No,0.10325,50,18300,0,0.07395,0,0.13678
2019,Hamburg,West,Yes,1.00000,371,18300,0,0.88069,0,1.11249
2019,Lower Saxony,West,Yes,0.86280,1647,18300,0,0.80774,0,0.91592
2019,Lower Saxony,West,No,0.13720,123,18300,0,0.11432,0,0.15737
2019,Bremen,West,Yes,1.00000,166,18300,0,0.81078,0,1.23580
2019,North Rhine-Westphalia,West,Yes,0.86854,3621,18300,0,0.82369,0,0.90712
2019,North Rhine-Westphalia,West,No,0.13146,252,18300,0,0.11633,0,0.14808
2019,Hesse,West,Yes,0.87940,1207,18300,0,0.81307,0,0.94332
2019,Hesse,West,No,0.12060,86,18300,0,0.09583,0,0.14210
2019,"Rhineland-Palatinate, Saarland",West,Yes,0.80742,947,18300,0,0.73727,0,0.87488
2019,"Rhineland-Palatinate, Saarland",West,No,0.19258,105,18300,0,0.16264,0,0.23113
2019,Baden-Wuerttemberg,West,Yes,0.86894,1817,18300,0,0.82688,0,0.92186
2019,Baden-Wuerttemberg,West,No,0.13106,129,18300,0,0.11046,0,0.15280
2019,Bavaria,West,Yes,0.83552,2559,18300,0,0.79319,0,0.87605
2019,Bavaria,West,No,0.16448,222,18300,0,0.14662,0,0.18689
2019,Berlin,West,Yes,0.85905,420,18300,0,0.77098,0,0.96337
2019,Berlin,West,No,0.14095,32,18300,0,0.10545,0,0.17870
2019,Berlin,East,Yes,1.00000,279,18300,0,0.86054,0,1.16891
2019,Brandenburg,East,Yes,0.81263,708,18300,0,0.72530,0,0.89077
2019,Brandenburg,East,No,0.18737,86,18300,0,0.14996,0,0.22720
2019,Mecklenburg-Western Pomerania,East,Yes,0.76137,369,18300,0,0.63807,0,0.86936
2019,Mecklenburg-Western Pomerania,East,No,0.23863,65,18300,0,0.18527,0,0.29798
2019,Saxony,East,Yes,0.84018,991,18300,0,0.78075,0,0.91444
2019,Saxony,East,No,0.15982,114,18300,0,0.13767,0,0.18463
2019,Saxony-Anhalt,East,Yes,0.74438,532,18300,0,0.66825,0,0.81441
2019,Saxony-Anhalt,East,No,0.25562,90,18300,0,0.20813,0,0.31210
2019,Thuringa,East,Yes,0.74533,538,18300,0,0.66217,0,0.83806
2019,Thuringa,East,No,0.25467,107,18300,0,0.20110,0,0.31705
2020,Schleswig-Holstein,West,Yes,1.00000,135,2869,0,0.81831,0,1.17161
2020,Hamburg,West,Yes,1.00000,66,2869,0,0.75277,0,1.27769
2020,Lower Saxony,West,Yes,1.00000,312,2869,0,0.85627,0,1.14607
2020,Bremen,West,Yes,1.00000,68,2869,0,0.77282,0,1.24295
2020,North Rhine-Westphalia,West,Yes,0.92966,912,2869,0,0.86464,0,0.99252
2020,North Rhine-Westphalia,West,No,0.07034,45,2869,0,0.04653,0,0.10034
2020,Hesse,West,Yes,1.00000,210,2869,0,0.85868,0,1.14693
2020,"Rhineland-Palatinate, Saarland",West,Yes,1.00000,176,2869,0,0.84223,0,1.18050
2020,Baden-Wuerttemberg,West,Yes,1.00000,231,2869,0,0.88270,0,1.15568
2020,Bavaria,West,Yes,1.00000,254,2869,0,0.87402,0,1.11941
2020,Berlin,West,Yes,1.00000,93,2869,0,0.82733,0,1.20789
2020,Berlin,East,Yes,1.00000,59,2869,0,0.76044,0,1.25395
2020,Brandenburg,East,Yes,1.00000,68,2869,0,0.68321,0,1.28419
2020,Mecklenburg-Western Pomerania,East,Yes,1.00000,33,2869,0,0.76919,0,1.28518
2020,Saxony,East,Yes,1.00000,92,2869,0,0.78065,0,1.22948
2020,Saxony-Anhalt,East,Yes,1.00000,59,2869,0,0.75174,0,1.23082
2020,Thuringa,East,Yes,1.00000,56,2869,0,0.75949,0,1.24281
2021,Schleswig-Holstein,West,Yes,0.92052,484,12506,0,0.79292,0,1.04635
2021,Schleswig-Holstein,West,No,0.07948,31,12506,0,0.05675,0,0.10593
2021,Hamburg,West,Yes,1.00000,291,12506,0,0.84299,0,1.15488
2021,Lower Saxony,West,Yes,0.88493,1149,12506,0,0.81515,0,0.95275
2021,Lower Saxony,West,No,0.11507,63,12506,0,0.09444,0,0.13782
2021,Bremen,West,Yes,1.00000,102,12506,0,0.69427,0,1.29800
2021,North Rhine-Westphalia,West,Yes,0.92176,2574,12506,0,0.88306,0,0.96569
2021,North Rhine-Westphalia,West,No,0.07824,113,12506,0,0.06572,0,0.08995
2021,Hesse,West,Yes,0.90483,823,12506,0,0.82445,0,0.99502
2021,Hesse,West,No,0.09517,37,12506,0,0.06898,0,0.12701
