"erwst","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","1994","66","Städtischer Raum","","","",""
"Teilzeit","1994","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1994","17-29","Städtischer Raum","876","0.392344302303745","0.372105973209293","0.412582631398197"
"nicht erwerbstätig","1994","17-29","Ländlicher Raum","389","0.346077243041452","0.318066285340646","0.374088200742258"
"nicht erwerbstätig","1994","30-45","Städtischer Raum","585","0.206836020892025","0.191509896954899","0.22216214482915"
"nicht erwerbstätig","1994","30-45","Ländlicher Raum","299","0.204955086025579","0.184284420461129","0.225625751590028"
"nicht erwerbstätig","1994","46-65","Städtischer Raum","1069","0.417955716142053","0.398853381425647","0.437058050858459"
"nicht erwerbstätig","1994","46-65","Ländlicher Raum","632","0.498228669632801","0.471337088838858","0.525120250426744"
"nicht erwerbstätig","1994","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1994","66","Ländlicher Raum","","","",""
"Andere","1994","17-29","Städtischer Raum","281","0.121658681624929","0.108109427108977","0.135207936140881"
"Andere","1994","17-29","Ländlicher Raum","208","0.190234188223432","0.167124067506129","0.213344308940734"
"Andere","1994","30-45","Städtischer Raum","89","0.0369219811485392","0.0297867016753027","0.0440572606217756"
"Andere","1994","30-45","Ländlicher Raum","44","0.0410427655556939","0.0308838533523492","0.0512016777590386"
"Andere","1994","46-65","Städtischer Raum","50","0.022804847778007","0.0170232544233969","0.028586441132617"
"Andere","1994","46-65","Ländlicher Raum","12","","",""
"Andere","1994","66","Städtischer Raum","","","",""
"Andere","1994","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1995","17-29","Städtischer Raum","950","0.42088204038672","0.40038202383928","0.44138205693416"
"voll erwerbstätig","1995","17-29","Ländlicher Raum","475","0.438763947328359","0.409792220528637","0.467735674128081"
"voll erwerbstätig","1995","30-45","Städtischer Raum","1792","0.626718190010849","0.609031977393702","0.644404402627996"
"voll erwerbstätig","1995","30-45","Ländlicher Raum","1034","0.628595233015526","0.604671834698829","0.652518631332222"
"voll erwerbstätig","1995","46-65","Städtischer Raum","1239","0.464021445813572","0.444837476111878","0.483205415515265"
"voll erwerbstätig","1995","46-65","Ländlicher Raum","630","0.422336631035499","0.39618163867933","0.448491623391668"
"voll erwerbstätig","1995","66","Städtischer Raum","","","",""
"voll erwerbstätig","1995","66","Ländlicher Raum","","","",""
"Teilzeit","1995","17-29","Städtischer Raum","84","0.0339952697277549","0.0264705666072039","0.0415199728483059"
"Teilzeit","1995","17-29","Ländlicher Raum","51","0.0508968133174297","0.0380649966920048","0.0637286299428546"
"Teilzeit","1995","30-45","Städtischer Raum","357","0.13068429578214","0.118359471345305","0.143009120218975"
"Teilzeit","1995","30-45","Ländlicher Raum","177","0.129121852600537","0.112518638676176","0.145725066524898"
"Teilzeit","1995","46-65","Städtischer Raum","214","0.0851332939557421","0.074397742024117","0.0958688458873671"
"Teilzeit","1995","46-65","Ländlicher Raum","84","0.0644402043257577","0.05143844756185","0.0774419610896653"
"Teilzeit","1995","66","Städtischer Raum","","","",""
"Teilzeit","1995","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1995","17-29","Städtischer Raum","892","0.405738238674171","0.385348936584124","0.426127540764219"
"nicht erwerbstätig","1995","17-29","Ländlicher Raum","386","0.324258632869886","0.296929732353485","0.351587533386287"
"nicht erwerbstätig","1995","30-45","Städtischer Raum","642","0.213323401730714","0.198343890468269","0.228302912993159"
"nicht erwerbstätig","1995","30-45","Ländlicher Raum","317","0.21249496985205","0.192240793454432","0.232749146249667"
"nicht erwerbstätig","1995","46-65","Städtischer Raum","1073","0.419752405178716","0.40076791153488","0.438736898822552"
"nicht erwerbstätig","1995","46-65","Ländlicher Raum","630","0.489678232793383","0.463207543308681","0.516148922278085"
"nicht erwerbstätig","1995","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1995","66","Ländlicher Raum","","","",""
"Andere","1995","17-29","Städtischer Raum","302","0.139384451211353","0.125003015088387","0.15376588733432"
"Andere","1995","17-29","Ländlicher Raum","215","0.186080606484325","0.163359609305521","0.208801603663129"
"Andere","1995","30-45","Städtischer Raum","82","0.0292741124762975","0.0231100014514443","0.0354382235011507"
"Andere","1995","30-45","Ländlicher Raum","39","0.0297879445318874","0.0213707532950403","0.0382051357687345"
"Andere","1995","46-65","Städtischer Raum","70","0.0310928550519701","0.0244160741159021","0.0377696359880381"
"Andere","1995","46-65","Ländlicher Raum","26","","",""
"Andere","1995","66","Städtischer Raum","","","",""
"Andere","1995","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1996","17-29","Städtischer Raum","847","0.398627642709662","0.377535613955783","0.41971967146354"
"voll erwerbstätig","1996","17-29","Ländlicher Raum","451","0.422501299889406","0.393217492593759","0.451785107185053"
"voll erwerbstätig","1996","30-45","Städtischer Raum","1809","0.632627174179215","0.615056987225844","0.650197361132587"
"voll erwerbstätig","1996","30-45","Ländlicher Raum","993","0.613859702445354","0.589567200078801","0.638152204811908"
"voll erwerbstätig","1996","46-65","Städtischer Raum","1155","0.450271806719898","0.430846888304192","0.469696725135604"
"voll erwerbstätig","1996","46-65","Ländlicher Raum","627","0.421434572425923","0.395400902821439","0.447468242030407"
"voll erwerbstätig","1996","66","Städtischer Raum","","","",""
"voll erwerbstätig","1996","66","Ländlicher Raum","","","",""
"Teilzeit","1996","17-29","Städtischer Raum","100","0.0473302361516934","0.0381827145276402","0.0564777577757467"
"Teilzeit","1996","17-29","Ländlicher Raum","52","0.0613323767669512","0.0471078172530218","0.0755569362808806"
"Teilzeit","1996","30-45","Städtischer Raum","379","0.13465333692456","0.122212414886448","0.147094258962671"
"Teilzeit","1996","30-45","Ländlicher Raum","177","0.142025080537407","0.124607615540942","0.159442545533872"
"Teilzeit","1996","46-65","Städtischer Raum","235","0.0954866468162809","0.0840123353824972","0.106960958250065"
"Teilzeit","1996","46-65","Ländlicher Raum","100","0.0749931781950691","0.0611071700085898","0.0888791863815484"
"Teilzeit","1996","66","Städtischer Raum","","","",""
"Teilzeit","1996","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1996","17-29","Städtischer Raum","831","0.402494625324105","0.381368791023202","0.423620459625009"
"nicht erwerbstätig","1996","17-29","Ländlicher Raum","401","0.363959270717351","0.335435504613848","0.392483036820853"
"nicht erwerbstätig","1996","30-45","Städtischer Raum","613","0.200007390398785","0.18542881941133","0.214585961386239"
"nicht erwerbstätig","1996","30-45","Ländlicher Raum","332","0.21166670538117","0.191284726957768","0.232048683804573"
"nicht erwerbstätig","1996","46-65","Städtischer Raum","1074","0.42982145282821","0.410492990684644","0.449149914971775"
"nicht erwerbstätig","1996","46-65","Ländlicher Raum","633","0.485017109209906","0.458667814237446","0.511366404182365"
"nicht erwerbstätig","1996","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1996","66","Ländlicher Raum","","","",""
"Andere","1996","17-29","Städtischer Raum","292","0.15154749581454","0.13610024961524","0.166994742013839"
"Andere","1996","17-29","Ländlicher Raum","189","0.152207052626292","0.130910941816721","0.173503163435864"
"Andere","1996","30-45","Städtischer Raum","91","0.0327120984974405","0.0262290237748001","0.0391951732200808"
"Andere","1996","30-45","Ländlicher Raum","41","0.0324485116360682","0.0236075488759449","0.0412894743961915"
"Andere","1996","46-65","Städtischer Raum","56","0.0244200936356113","0.0183937636827083","0.0304464235885142"
"Andere","1996","46-65","Ländlicher Raum","22","","",""
"Andere","1996","66","Städtischer Raum","","","",""
"Andere","1996","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1997","17-29","Städtischer Raum","784","0.390407681794511","0.368870756635484","0.411944606953539"
"voll erwerbstätig","1997","17-29","Ländlicher Raum","448","0.42040309244378","0.390630811211662","0.450175373675898"
"voll erwerbstätig","1997","30-45","Städtischer Raum","1786","0.628254790574766","0.610555649987947","0.645953931161585"
"voll erwerbstätig","1997","30-45","Ländlicher Raum","964","0.622521894873226","0.597998480109507","0.647045309636945"
"voll erwerbstätig","1997","46-65","Städtischer Raum","1100","0.438959364453065","0.419400422807472","0.458518306098659"
"voll erwerbstätig","1997","46-65","Ländlicher Raum","627","0.414755476388092","0.388761465792411","0.440749486983772"
"voll erwerbstätig","1997","66","Städtischer Raum","","","",""
"voll erwerbstätig","1997","66","Ländlicher Raum","","","",""
"Teilzeit","1997","17-29","Städtischer Raum","86","0.0513057739399556","0.0415659517336781","0.0610455961462331"
"Teilzeit","1997","17-29","Ländlicher Raum","35","0.0518886923747447","0.0385109706369016","0.0652664141125878"
"Teilzeit","1997","30-45","Städtischer Raum","359","0.131446708017821","0.1190720080913","0.143821407944342"
"Teilzeit","1997","30-45","Ländlicher Raum","160","0.117864363149228","0.101552007352505","0.134176718945952"
"Teilzeit","1997","46-65","Städtischer Raum","239","0.102131439117644","0.090196446875605","0.114066431359684"
"Teilzeit","1997","46-65","Ländlicher Raum","103","0.0755104471938496","0.0615704375936193","0.08945045679408"
"Teilzeit","1997","66","Städtischer Raum","","","",""
"Teilzeit","1997","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1997","17-29","Städtischer Raum","806","0.403918239604076","0.382255946499098","0.425580532709054"
"nicht erwerbstätig","1997","17-29","Ländlicher Raum","400","0.385044298616515","0.355695292642868","0.414393304590161"
"nicht erwerbstätig","1997","30-45","Städtischer Raum","626","0.209347079070338","0.194447020453699","0.224247137686976"
"nicht erwerbstätig","1997","30-45","Ländlicher Raum","339","0.229365502139746","0.20809655375861","0.250634450520883"
"nicht erwerbstätig","1997","46-65","Städtischer Raum","1094","0.444570338064045","0.424985462848445","0.464155213279645"
"nicht erwerbstätig","1997","46-65","Ländlicher Raum","620","0.48690307436707","0.460531897443621","0.513274251290519"
"nicht erwerbstätig","1997","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1997","66","Ländlicher Raum","","","",""
"Andere","1997","17-29","Städtischer Raum","295","0.154368304661457","0.138417798381233","0.170318810941681"
"Andere","1997","17-29","Ländlicher Raum","173","0.142663916564961","0.121570411356472","0.16375742177345"
"Andere","1997","30-45","Städtischer Raum","93","0.030951422337075","0.0246087151272776","0.0372941295468723"
"Andere","1997","30-45","Ländlicher Raum","38","0.0302482398377997","0.0215838479491247","0.0389126317264747"
"Andere","1997","46-65","Städtischer Raum","40","0.0143388583652457","0.00965334546398314","0.0190243712665083"
"Andere","1997","46-65","Ländlicher Raum","30","0.0228310020509887","0.0149504639282647","0.0307115401737127"
"Andere","1997","66","Städtischer Raum","","","",""
"Andere","1997","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1998","17-29","Städtischer Raum","801","0.388832113711823","0.367750240476472","0.409913986947175"
"voll erwerbstätig","1998","17-29","Ländlicher Raum","438","0.379177120325463","0.350621786811171","0.407732453839754"
"voll erwerbstätig","1998","30-45","Städtischer Raum","1992","0.626990925844887","0.610132144834896","0.643849706854878"
"voll erwerbstätig","1998","30-45","Ländlicher Raum","1040","0.60711333312829","0.583661374292871","0.630565291963708"
"voll erwerbstätig","1998","46-65","Städtischer Raum","1249","0.450132331223979","0.43173429720203","0.468530365245927"
"voll erwerbstätig","1998","46-65","Ländlicher Raum","692","0.408831225273","0.38462103096749","0.433041419578511"
"voll erwerbstätig","1998","66","Städtischer Raum","","","",""
"voll erwerbstätig","1998","66","Ländlicher Raum","","","",""
"Teilzeit","1998","17-29","Städtischer Raum","81","0.0422408324417146","0.0335423745713867","0.0509392903120425"
"Teilzeit","1998","17-29","Ländlicher Raum","34","0.0437508443743879","0.0317126578031175","0.0557890309456583"
"Teilzeit","1998","30-45","Städtischer Raum","401","0.141372971911964","0.129227306457119","0.153518637366808"
"Teilzeit","1998","30-45","Ländlicher Raum","172","0.117216457779347","0.10176988969449","0.132663025864204"
"Teilzeit","1998","46-65","Städtischer Raum","277","0.0995858912650433","0.0885122034883003","0.110659579041786"
"Teilzeit","1998","46-65","Ländlicher Raum","131","0.0814746826691056","0.0680028274502382","0.094946537887973"
"Teilzeit","1998","66","Städtischer Raum","","","",""
"Teilzeit","1998","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1998","17-29","Städtischer Raum","862","0.41510162194459","0.393792512739435","0.436410731149746"
"nicht erwerbstätig","1998","17-29","Ländlicher Raum","421","0.393163998203895","0.364416182068859","0.421911814338932"
"nicht erwerbstätig","1998","30-45","Städtischer Raum","661","0.201556804610926","0.187571994060757","0.215541615161096"
"nicht erwerbstätig","1998","30-45","Ländlicher Raum","398","0.240113530414625","0.219602226719996","0.260624834109255"
"nicht erwerbstätig","1998","46-65","Städtischer Raum","1230","0.43269890342437","0.414376943442727","0.451020863406014"
"nicht erwerbstätig","1998","46-65","Ländlicher Raum","723","0.484750426405827","0.460138907177975","0.50936194563368"
"nicht erwerbstätig","1998","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1998","66","Ländlicher Raum","","","",""
"Andere","1998","17-29","Städtischer Raum","310","0.153825431901872","0.138223013241411","0.169427850562333"
"Andere","1998","17-29","Ländlicher Raum","216","0.183908037096254","0.161107124862137","0.206708949330372"
"Andere","1998","30-45","Städtischer Raum","107","0.0300792976322228","0.024124900412418","0.0360336948520276"
"Andere","1998","30-45","Ländlicher Raum","56","0.0355566786777386","0.0266644721483827","0.0444488852070946"
"Andere","1998","46-65","Städtischer Raum","53","0.0175828740866076","0.0127225512558074","0.0224431969174079"
"Andere","1998","46-65","Ländlicher Raum","38","0.0249436656520665","0.0172635900597014","0.0326237412444316"
"Andere","1998","66","Städtischer Raum","","","",""
"Andere","1998","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1999","17-29","Städtischer Raum","757","0.38153051848785","0.359813751188376","0.403247285787323"
"voll erwerbstätig","1999","17-29","Ländlicher Raum","412","0.397247243977343","0.367663932794076","0.42683055516061"
"voll erwerbstätig","1999","30-45","Städtischer Raum","1963","0.637701606658683","0.620731923507985","0.65467128980938"
"voll erwerbstätig","1999","30-45","Ländlicher Raum","1039","0.622021781347637","0.598489865112362","0.645553697582912"
"voll erwerbstätig","1999","46-65","Städtischer Raum","1194","0.456978508151935","0.438111666618753","0.475845349685116"
"voll erwerbstätig","1999","46-65","Ländlicher Raum","663","0.415122635489367","0.390277780099052","0.439967490879682"
"voll erwerbstätig","1999","66","Städtischer Raum","","","",""
"voll erwerbstätig","1999","66","Ländlicher Raum","","","",""
"Teilzeit","1999","17-29","Städtischer Raum","84","0.0420958242458894","0.0331183960261861","0.0510732524655927"
"Teilzeit","1999","17-29","Ländlicher Raum","49","0.0523421184931898","0.0388773723276169","0.0658068646587628"
"Teilzeit","1999","30-45","Städtischer Raum","388","0.131876793784728","0.119931230136028","0.143822357433428"
"Teilzeit","1999","30-45","Ländlicher Raum","191","0.119610315331231","0.10386168094002","0.135358949722442"
"Teilzeit","1999","46-65","Städtischer Raum","257","0.0968567523780539","0.0856549972213601","0.108058507534748"
"Teilzeit","1999","46-65","Ländlicher Raum","135","0.0931758931868443","0.0785194304035172","0.107832355970171"
"Teilzeit","1999","66","Städtischer Raum","","","",""
"Teilzeit","1999","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1999","17-29","Städtischer Raum","745","0.389522184188833","0.367721383667728","0.411322984709937"
"nicht erwerbstätig","1999","17-29","Ländlicher Raum","379","0.358355732948436","0.329365542362028","0.387345923534844"
"nicht erwerbstätig","1999","30-45","Städtischer Raum","585","0.177880626059837","0.164379700586971","0.191381551532703"
"nicht erwerbstätig","1999","30-45","Ländlicher Raum","328","0.210577307050174","0.190790227602893","0.230364386497455"
"nicht erwerbstätig","1999","46-65","Städtischer Raum","1157","0.418343955456666","0.399661124828052","0.437026786085279"
"nicht erwerbstätig","1999","46-65","Ländlicher Raum","668","0.457666969585775","0.432546736104528","0.482787203067022"
"nicht erwerbstätig","1999","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1999","66","Ländlicher Raum","","","",""
"Andere","1999","17-29","Städtischer Raum","336","0.186851473077428","0.169425196516102","0.204277749638753"
"Andere","1999","17-29","Ländlicher Raum","211","0.192054904581031","0.168239917038636","0.215869892123427"
"Andere","1999","30-45","Städtischer Raum","146","0.0525409734967525","0.0446639697813879","0.0604179772121171"
"Andere","1999","30-45","Ländlicher Raum","73","0.0477905962709583","0.0374377785370106","0.058143414004906"
"Andere","1999","46-65","Städtischer Raum","70","0.0278207840133454","0.0215920375575212","0.0340495304691697"
"Andere","1999","46-65","Ländlicher Raum","45","0.0340345017380133","0.0248921828678367","0.0431768206081899"
"Andere","1999","66","Städtischer Raum","","","",""
"Andere","1999","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2000","17-29","Städtischer Raum","1036","0.383185182564629","0.365497084414674","0.400873280714585"
"voll erwerbstätig","2000","17-29","Ländlicher Raum","624","0.408679311115812","0.385144324953855","0.432214297277768"
"voll erwerbstätig","2000","30-45","Städtischer Raum","3300","0.63329174429947","0.620395419474113","0.646188069124827"
"voll erwerbstätig","2000","30-45","Ländlicher Raum","1724","0.620033759440601","0.602058643064577","0.638008875816625"
"voll erwerbstätig","2000","46-65","Städtischer Raum","2189","0.441283048285953","0.427619288881015","0.45494680769089"
"voll erwerbstätig","2000","46-65","Ländlicher Raum","1155","0.428256169327985","0.409570792836143","0.446941545819826"
"voll erwerbstätig","2000","66","Städtischer Raum","","","",""
"voll erwerbstätig","2000","66","Ländlicher Raum","","","",""
"Teilzeit","2000","17-29","Städtischer Raum","165","0.0587571071383476","0.0502009166522464","0.0673132976244488"
"Teilzeit","2000","17-29","Ländlicher Raum","66","0.0366506708734518","0.0276547847782563","0.0456465569686474"
"Teilzeit","2000","30-45","Städtischer Raum","792","0.147064693854264","0.137586710012928","0.1565426776956"
"Teilzeit","2000","30-45","Ländlicher Raum","374","0.137317159715792","0.124570995122481","0.150063324309103"
"Teilzeit","2000","46-65","Städtischer Raum","555","0.111949988629502","0.103273452114337","0.120626525144667"
"Teilzeit","2000","46-65","Ländlicher Raum","253","0.0984323090263663","0.087183221351951","0.109681396700782"
"Teilzeit","2000","66","Städtischer Raum","","","",""
"Teilzeit","2000","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2000","17-29","Städtischer Raum","1176","0.379496954624267","0.361841638701618","0.397152270546917"
"nicht erwerbstätig","2000","17-29","Ländlicher Raum","628","0.3577183513961","0.334770372021085","0.380666330771114"
"nicht erwerbstätig","2000","30-45","Städtischer Raum","1046","0.176501070041633","0.16629851615276","0.186703623930506"
"nicht erwerbstätig","2000","30-45","Ländlicher Raum","583","0.201316467136471","0.186466737318894","0.216166196954048"
"nicht erwerbstätig","2000","46-65","Städtischer Raum","2183","0.413113051825812","0.399563424710389","0.426662678941234"
"nicht erwerbstätig","2000","46-65","Ländlicher Raum","1202","0.438528687783501","0.419791168806132","0.457266206760869"
"nicht erwerbstätig","2000","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2000","66","Ländlicher Raum","","","",""
"Andere","2000","17-29","Städtischer Raum","525","0.178560755672755","0.164626617321481","0.19249489402403"
"Andere","2000","17-29","Ländlicher Raum","358","0.196951666614637","0.17791189404073","0.215991439188543"
"Andere","2000","30-45","Städtischer Raum","226","0.043142491804633","0.0377052336463807","0.0485797499628853"
"Andere","2000","30-45","Ländlicher Raum","120","0.0413326137071355","0.0339608408050918","0.0487043866091792"
"Andere","2000","46-65","Städtischer Raum","146","0.0336539112587336","0.0286914197224395","0.0386164027950276"
"Andere","2000","46-65","Ländlicher Raum","84","0.0347828338621484","0.0278638184964875","0.0417018492278094"
"Andere","2000","66","Städtischer Raum","","","",""
"Andere","2000","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2001","17-29","Städtischer Raum","904","0.362310661677146","0.343873681439234","0.380747641915059"
"voll erwerbstätig","2001","17-29","Ländlicher Raum","514","0.392309080479447","0.367500484918204","0.417117676040689"
"voll erwerbstätig","2001","30-45","Städtischer Raum","2968","0.637106145222419","0.623551427681079","0.650660862763759"
"voll erwerbstätig","2001","30-45","Ländlicher Raum","1531","0.616799172715797","0.597718882474621","0.635879462956972"
"voll erwerbstätig","2001","46-65","Städtischer Raum","2047","0.445023557338446","0.430691686525387","0.459355428151504"
"voll erwerbstätig","2001","46-65","Ländlicher Raum","1066","0.425133709469725","0.405661332732604","0.444606086206846"
"voll erwerbstätig","2001","66","Städtischer Raum","","","",""
"voll erwerbstätig","2001","66","Ländlicher Raum","","","",""
"Teilzeit","2001","17-29","Städtischer Raum","121","0.0499067298595016","0.0415544058617802","0.0582590538572229"
"Teilzeit","2001","17-29","Ländlicher Raum","57","0.0356676813740762","0.026244502707424","0.0450908600407283"
"Teilzeit","2001","30-45","Städtischer Raum","750","0.14770631257359","0.13770426462795","0.15770836051923"
"Teilzeit","2001","30-45","Ländlicher Raum","338","0.138463642274305","0.124908485428897","0.152018799119714"
"Teilzeit","2001","46-65","Städtischer Raum","529","0.117537674445644","0.10824991960133","0.126825429289958"
"Teilzeit","2001","46-65","Ländlicher Raum","242","0.103605669062214","0.0916019981271071","0.11560933999732"
"Teilzeit","2001","66","Städtischer Raum","","","",""
"Teilzeit","2001","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2001","17-29","Städtischer Raum","1051","0.377752994863876","0.359156545979989","0.396349443747762"
"nicht erwerbstätig","2001","17-29","Ländlicher Raum","580","0.362049296066671","0.337630511709783","0.386468080423559"
"nicht erwerbstätig","2001","30-45","Städtischer Raum","905","0.170290585412193","0.159694313452041","0.180886857372344"
"nicht erwerbstätig","2001","30-45","Ländlicher Raum","510","0.200121794944385","0.184419649604406","0.215823940284363"
"nicht erwerbstätig","2001","46-65","Städtischer Raum","1894","0.40382645404201","0.389676408318275","0.417976499765745"
"nicht erwerbstätig","2001","46-65","Ländlicher Raum","1099","0.442605927760866","0.423041706907313","0.462170148614418"
"nicht erwerbstätig","2001","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2001","66","Ländlicher Raum","","","",""
"Andere","2001","17-29","Städtischer Raum","535","0.210029613599476","0.194405682056388","0.225653545142565"
"Andere","2001","17-29","Ländlicher Raum","337","0.209973942079806","0.189279675733591","0.230668208426022"
"Andere","2001","30-45","Städtischer Raum","211","0.0448969567917987","0.0390594374208473","0.0507344761627502"
"Andere","2001","30-45","Ländlicher Raum","115","0.0446153900655135","0.0365126606888819","0.0527181194421452"
"Andere","2001","46-65","Städtischer Raum","149","0.0336123141739004","0.0284147601673625","0.0388098681804383"
"Andere","2001","46-65","Ländlicher Raum","69","0.0286546937071958","0.022083300127564","0.0352260872868277"
"Andere","2001","66","Städtischer Raum","","","",""
"Andere","2001","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2002","17-29","Städtischer Raum","830","0.332461633190114","0.314542181726951","0.350381084653278"
"voll erwerbstätig","2002","17-29","Ländlicher Raum","473","0.346782866649746","0.322583929801874","0.370981803497619"
"voll erwerbstätig","2002","30-45","Städtischer Raum","3037","0.616582691560014","0.603092151376081","0.630073231743947"
"voll erwerbstätig","2002","30-45","Ländlicher Raum","1478","0.598104734845002","0.57869095439388","0.617518515296123"
"voll erwerbstätig","2002","46-65","Städtischer Raum","2498","0.442098939937548","0.428646947881785","0.455550931993312"
"voll erwerbstätig","2002","46-65","Ländlicher Raum","1198","0.419199956334672","0.400298850911162","0.438101061758183"
"voll erwerbstätig","2002","66","Städtischer Raum","","","",""
"voll erwerbstätig","2002","66","Ländlicher Raum","","","",""
"Teilzeit","2002","17-29","Städtischer Raum","136","0.0572244983589694","0.048389408523422","0.0660595881945168"
"Teilzeit","2002","17-29","Ländlicher Raum","56","0.0387221933218751","0.0289127780894138","0.0485316085543364"
"Teilzeit","2002","30-45","Städtischer Raum","808","0.146073903219479","0.136274620710163","0.155873185728796"
"Teilzeit","2002","30-45","Ländlicher Raum","340","0.137213127840996","0.123588813810231","0.150837441871762"
"Teilzeit","2002","46-65","Städtischer Raum","623","0.116425150228297","0.10773767961869","0.125112620837904"
"Teilzeit","2002","46-65","Ländlicher Raum","282","0.108271983780669","0.0963695020732807","0.120174465488058"
"Teilzeit","2002","66","Städtischer Raum","","","",""
"Teilzeit","2002","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2002","17-29","Städtischer Raum","1139","0.399921998670628","0.381287945585115","0.418556051756142"
"nicht erwerbstätig","2002","17-29","Ländlicher Raum","622","0.394924080997203","0.370069844359067","0.419778317635338"
"nicht erwerbstätig","2002","30-45","Städtischer Raum","912","0.18778469079787","0.176948828048925","0.198620553546815"
"nicht erwerbstätig","2002","30-45","Ländlicher Raum","520","0.216127744360179","0.199829420025707","0.23242606869465"
"nicht erwerbstätig","2002","46-65","Städtischer Raum","1941","0.404895040669994","0.391599185201214","0.418190896138775"
"nicht erwerbstätig","2002","46-65","Ländlicher Raum","1049","0.435031490179372","0.416041019088527","0.454021961270217"
"nicht erwerbstätig","2002","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2002","66","Ländlicher Raum","","","",""
"Andere","2002","17-29","Städtischer Raum","550","0.210391869780288","0.194888142843708","0.225895596716868"
"Andere","2002","17-29","Ländlicher Raum","335","0.219570859031176","0.198523734266162","0.24061798379619"
"Andere","2002","30-45","Städtischer Raum","233","0.0495587144226367","0.0435369954890226","0.0555804333562507"
"Andere","2002","30-45","Ländlicher Raum","112","0.0485543929538235","0.0400435751021601","0.057065210805487"
"Andere","2002","46-65","Städtischer Raum","174","0.0365808691641602","0.0314959633258185","0.041665775002502"
"Andere","2002","46-65","Ländlicher Raum","89","0.0374965697052861","0.0302194388824144","0.0447737005281579"
"Andere","2002","66","Städtischer Raum","","","",""
"Andere","2002","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2003","17-29","Städtischer Raum","764","0.313577533285972","0.295764860099513","0.331390206472431"
"voll erwerbstätig","2003","17-29","Ländlicher Raum","447","0.360276664869701","0.335137943371241","0.385415386368161"
"voll erwerbstätig","2003","30-45","Städtischer Raum","2754","0.606300889421552","0.592268833993005","0.620332944850099"
"voll erwerbstätig","2003","30-45","Ländlicher Raum","1344","0.579313655446437","0.559050048263532","0.599577262629342"
"voll erwerbstätig","2003","46-65","Städtischer Raum","2380","0.446983854324485","0.433253651929953","0.460714056719016"
"voll erwerbstätig","2003","46-65","Ländlicher Raum","1128","0.40908802660159","0.389948601505102","0.428227451698077"
"voll erwerbstätig","2003","66","Städtischer Raum","","","",""
"voll erwerbstätig","2003","66","Ländlicher Raum","","","",""
"Teilzeit","2003","17-29","Städtischer Raum","142","0.0654317237146598","0.0559374754587872","0.0749259719705324"
"Teilzeit","2003","17-29","Ländlicher Raum","52","0.0432576007619722","0.0326049485655575","0.053910252958387"
"Teilzeit","2003","30-45","Städtischer Raum","799","0.154395446820705","0.144017872011352","0.164773021630059"
"Teilzeit","2003","30-45","Ländlicher Raum","346","0.147565495858585","0.133007433058881","0.16212355865829"
"Teilzeit","2003","46-65","Städtischer Raum","600","0.10812413140766","0.0995483117787831","0.116699951036537"
"Teilzeit","2003","46-65","Ländlicher Raum","295","0.117328512890349","0.104801127414257","0.129855898366441"
"Teilzeit","2003","66","Städtischer Raum","","","",""
"Teilzeit","2003","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2003","17-29","Städtischer Raum","1162","0.426422700574114","0.407434796855575","0.445410604292652"
"nicht erwerbstätig","2003","17-29","Ländlicher Raum","597","0.39481935585831","0.36922343516788","0.42041527654874"
"nicht erwerbstätig","2003","30-45","Städtischer Raum","899","0.192376764229736","0.181056001646646","0.203697526812826"
"nicht erwerbstätig","2003","30-45","Ländlicher Raum","471","0.220746108685557","0.203721909747529","0.237770307623586"
"nicht erwerbstätig","2003","46-65","Städtischer Raum","1876","0.405638430899573","0.392078514159056","0.41919834764009"
"nicht erwerbstätig","2003","46-65","Ländlicher Raum","1019","0.431362906337779","0.412083302720048","0.45064250995551"
