"erwst","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","2018","35-65","4189","0.192116960961046","0.186083937903585","0.198149984018506"
"nicht erwerbstätig","2018","66 +","4584","0.910215686876214","0.902307651149457","0.918123722602971"
"Teilzeit","2018","17-34","739","0.0996365793820478","0.0932199982791153","0.10605316048498"
"Teilzeit","2018","35-65","3505","0.195639289158539","0.189564498050622","0.201714080266457"
"Teilzeit","2018","66 +","118","","",""
"voll erwerbstätig","2018","17-34","2432","","",""
"voll erwerbstätig","2018","35-65","7747","0.559072326155242","0.551469141079362","0.566675511231123"
"voll erwerbstätig","2018","66 +","73","0.01555895670787","0.0121353700544356","0.0189825433613044"
"Andere","2019","17-34","1406","","",""
"Andere","2019","35-65","896","0.0524537753187731","0.0490926827878569","0.0558148678496893"
"Andere","2019","66 +","264","","",""
"nicht erwerbstätig","2019","17-34","3030","0.294410510351712","0.284093424554991","0.304727596148432"
"nicht erwerbstätig","2019","35-65","3818","0.189680725582232","0.183770125494454","0.195591325670011"
"nicht erwerbstätig","2019","66 +","4600","0.917201861066033","0.909758113197113","0.924645608934953"
"Teilzeit","2019","17-34","724","0.117058426389645","0.109781103251603","0.124335749527686"
"Teilzeit","2019","35-65","3540","0.202607670546198","0.196547904482365","0.208667436610031"
"Teilzeit","2019","66 +","183","","",""
"voll erwerbstätig","2019","17-34","2337","","",""
"voll erwerbstätig","2019","35-65","8647","0.555257828552796","0.547765904064923","0.56274975304067"
"voll erwerbstätig","2019","66 +","218","","",""
"Andere","2020","17-34","1446","","",""
"Andere","2020","35-65","788","0.0466141501401547","0.0433941161226648","0.0498341841576446"
"Andere","2020","66 +","261","","",""
"nicht erwerbstätig","2020","17-34","3235","0.296403128632908","0.286722718133502","0.306083539132315"
"nicht erwerbstätig","2020","35-65","3829","0.1913454824729","0.185337096290644","0.197353868655157"
"nicht erwerbstätig","2020","66 +","4413","0.913071032368773","0.905251036973708","0.920891027763839"
"Teilzeit","2020","17-34","744","0.112625216826448","0.105923874648513","0.119326559004383"
"Teilzeit","2020","35-65","3444","0.208014128370304","0.201814404351517","0.214213852389092"
"Teilzeit","2020","66 +","164","","",""
"voll erwerbstätig","2020","17-34","3124","0.425346228946247","0.414866142707942","0.435826315184551"
"voll erwerbstätig","2020","35-65","8404","0.554026239016641","0.546433699794151","0.56161877823913"
"voll erwerbstätig","2020","66 +","148","","",""
