"erwst","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","2005","Laendlicher Raum","maennlich","1755","","",""
"voll erwerbstätig","2005","Laendlicher Raum","weiblich","890","0.221753310424701","0.208214904434973","0.235291716414429"
"voll erwerbstätig","2005","Staedtischer Raum","maennlich","3624","0.530718767073959","0.518626480057576","0.542811054090341"
"voll erwerbstätig","2005","Staedtischer Raum","weiblich","1715","","",""
"Andere","2006","Laendlicher Raum","maennlich","247","","",""
"Andere","2006","Laendlicher Raum","weiblich","373","0.0884551626523703","0.079645529223106","0.0972647960816346"
"Andere","2006","Staedtischer Raum","maennlich","389","0.0584983354060254","0.0529800966588497","0.064016574153201"
"Andere","2006","Staedtischer Raum","weiblich","684","0.0900459858047539","0.0836306993608523","0.0964612722486554"
"nicht erwerbstätig","2006","Laendlicher Raum","maennlich","1506","","",""
"nicht erwerbstätig","2006","Laendlicher Raum","weiblich","2006","","",""
"nicht erwerbstätig","2006","Staedtischer Raum","maennlich","2635","","",""
"nicht erwerbstätig","2006","Staedtischer Raum","weiblich","3803","0.532076627181775","0.52089387729182","0.543259377071731"
"Teilzeit","2006","Laendlicher Raum","maennlich","70","0.0147565703305076","0.010861371133648","0.0186517695273671"
"Teilzeit","2006","Laendlicher Raum","weiblich","674","0.147780098756139","0.136770004442074","0.158790193070204"
"Teilzeit","2006","Staedtischer Raum","maennlich","176","","",""
"Teilzeit","2006","Staedtischer Raum","weiblich","1389","","",""
"voll erwerbstätig","2006","Laendlicher Raum","maennlich","1858","","",""
"voll erwerbstätig","2006","Laendlicher Raum","weiblich","938","0.220416980883159","0.207556389573622","0.233277572192695"
"voll erwerbstätig","2006","Staedtischer Raum","maennlich","3748","0.525226413944273","0.513484612283925","0.536968215604622"
"voll erwerbstätig","2006","Staedtischer Raum","weiblich","1772","","",""
"Andere","2007","Laendlicher Raum","maennlich","225","","",""
"Andere","2007","Laendlicher Raum","weiblich","329","0.0901527779947253","0.0809678325410155","0.0993377234484352"
"Andere","2007","Staedtischer Raum","maennlich","366","0.0567570268793215","0.051114325636663","0.0623997281219799"
"Andere","2007","Staedtischer Raum","weiblich","629","0.0893045095508147","0.0826997924452027","0.0959092266564267"
"nicht erwerbstätig","2007","Laendlicher Raum","maennlich","1382","","",""
"nicht erwerbstätig","2007","Laendlicher Raum","weiblich","1835","","",""
"nicht erwerbstätig","2007","Staedtischer Raum","maennlich","2418","","",""
"nicht erwerbstätig","2007","Staedtischer Raum","weiblich","3502","0.520903352954767","0.509333680209278","0.532473025700257"
"Teilzeit","2007","Laendlicher Raum","maennlich","61","0.0159855796414807","0.0118263421046993","0.020144817178262"
"Teilzeit","2007","Laendlicher Raum","weiblich","675","0.164510679548241","0.152620996223477","0.176400362873004"
"Teilzeit","2007","Staedtischer Raum","maennlich","173","","",""
"Teilzeit","2007","Staedtischer Raum","weiblich","1381","","",""
"voll erwerbstätig","2007","Laendlicher Raum","maennlich","1825","","",""
"voll erwerbstätig","2007","Laendlicher Raum","weiblich","896","0.221624583676363","0.208304519728027","0.2349446476247"
"voll erwerbstätig","2007","Staedtischer Raum","maennlich","3502","0.529520590638852","0.517348163445499","0.541693017832205"
"voll erwerbstätig","2007","Staedtischer Raum","weiblich","1650","","",""
"Andere","2008","Laendlicher Raum","maennlich","195","","",""
"Andere","2008","Laendlicher Raum","weiblich","333","0.102119624431173","0.0920821090618929","0.112157139800454"
"Andere","2008","Staedtischer Raum","maennlich","382","0.0694183190265851","0.0630217515674981","0.0758148864856721"
"Andere","2008","Staedtischer Raum","weiblich","606","0.0940809145085801","0.0871107049932454","0.101051124023915"
"nicht erwerbstätig","2008","Laendlicher Raum","maennlich","1303","","",""
"nicht erwerbstätig","2008","Laendlicher Raum","weiblich","1667","","",""
"nicht erwerbstätig","2008","Staedtischer Raum","maennlich","2236","","",""
"nicht erwerbstätig","2008","Staedtischer Raum","weiblich","3209","0.500526221569135","0.488588536248005","0.512463906890264"
"Teilzeit","2008","Laendlicher Raum","maennlich","61","0.0202006096576626","0.0153793708934264","0.0250218484218988"
"Teilzeit","2008","Laendlicher Raum","weiblich","630","0.166333938432748","0.153990138464968","0.178677738400528"
"Teilzeit","2008","Staedtischer Raum","maennlich","157","","",""
"Teilzeit","2008","Staedtischer Raum","weiblich","1280","","",""
"voll erwerbstätig","2008","Laendlicher Raum","maennlich","1712","","",""
"voll erwerbstätig","2008","Laendlicher Raum","weiblich","866","0.228583465067832","0.214663784896639","0.242503145239026"
"voll erwerbstätig","2008","Staedtischer Raum","maennlich","3290","0.540725968587855","0.52818424436299","0.553267692812721"
"voll erwerbstätig","2008","Staedtischer Raum","weiblich","1644","","",""
"Andere","2009","Laendlicher Raum","maennlich","176","","",""
"Andere","2009","Laendlicher Raum","weiblich","301","0.0992555227566089","0.0890862054690575","0.10942484004416"
"Andere","2009","Staedtischer Raum","maennlich","330","0.0659888726901603","0.0594947084698591","0.0724830369104615"
"Andere","2009","Staedtischer Raum","weiblich","614","0.101941964306267","0.0944135086174644","0.10947041999507"
"nicht erwerbstätig","2009","Laendlicher Raum","maennlich","1244","","",""
"nicht erwerbstätig","2009","Laendlicher Raum","weiblich","1574","","",""
"nicht erwerbstätig","2009","Staedtischer Raum","maennlich","2151","","",""
"nicht erwerbstätig","2009","Staedtischer Raum","weiblich","2896","","",""
"Teilzeit","2009","Laendlicher Raum","maennlich","62","0.0198592324624264","0.0149574531643187","0.024761011760534"
"Teilzeit","2009","Laendlicher Raum","weiblich","605","0.165213547628264","0.152582941921784","0.177844153334744"
"Teilzeit","2009","Staedtischer Raum","maennlich","156","","",""
"Teilzeit","2009","Staedtischer Raum","weiblich","1166","","",""
"voll erwerbstätig","2009","Laendlicher Raum","maennlich","1630","","",""
"voll erwerbstätig","2009","Laendlicher Raum","weiblich","841","0.240985907666254","0.226440215366164","0.255531599966343"
"voll erwerbstätig","2009","Staedtischer Raum","maennlich","2977","","",""
"voll erwerbstätig","2009","Staedtischer Raum","weiblich","1529","","",""
"Andere","2010","Laendlicher Raum","maennlich","220","","",""
"Andere","2010","Laendlicher Raum","weiblich","531","0.118775646803787","0.109411130105749","0.128140163501825"
"Andere","2010","Staedtischer Raum","maennlich","447","0.0706260374044029","0.0646954669256367","0.0765566078831692"
"Andere","2010","Staedtischer Raum","weiblich","868","0.0939082141170344","0.0877627817656256","0.100053646468443"
"nicht erwerbstätig","2010","Laendlicher Raum","maennlich","1325","","",""
"nicht erwerbstätig","2010","Laendlicher Raum","weiblich","2211","","",""
"nicht erwerbstätig","2010","Staedtischer Raum","maennlich","2366","","",""
"nicht erwerbstätig","2010","Staedtischer Raum","weiblich","4293","0.492499576644314","0.481966974244504","0.503032179044125"
"Teilzeit","2010","Laendlicher Raum","maennlich","112","","",""
"Teilzeit","2010","Laendlicher Raum","weiblich","907","0.166976968112914","0.156181655800536","0.177772280425291"
"Teilzeit","2010","Staedtischer Raum","maennlich","241","","",""
"Teilzeit","2010","Staedtischer Raum","weiblich","1792","","",""
"voll erwerbstätig","2010","Laendlicher Raum","maennlich","2260","","",""
"voll erwerbstätig","2010","Laendlicher Raum","weiblich","936","0.23938225007391","0.227031093665841","0.25173340648198"
"voll erwerbstätig","2010","Staedtischer Raum","maennlich","4115","0.521066778193593","0.509502914207477","0.53263064217971"
"voll erwerbstätig","2010","Staedtischer Raum","weiblich","1702","","",""
"Andere","2011","Laendlicher Raum","maennlich","273","","",""
"Andere","2011","Laendlicher Raum","weiblich","620","0.10608789048988","0.0980474202656929","0.114128360714066"
"Andere","2011","Staedtischer Raum","maennlich","447","0.0591860361954538","0.0541164834175916","0.0642555889733161"
"Andere","2011","Staedtischer Raum","weiblich","962","0.0846259772453201","0.0792071066349157","0.0900448478557245"
"nicht erwerbstätig","2011","Laendlicher Raum","maennlich","1690","","",""
"nicht erwerbstätig","2011","Laendlicher Raum","weiblich","2557","","",""
"nicht erwerbstätig","2011","Staedtischer Raum","maennlich","2905","","",""
"nicht erwerbstätig","2011","Staedtischer Raum","weiblich","4690","0.493524465192274","0.483790467920756","0.503258462463793"
"Teilzeit","2011","Laendlicher Raum","maennlich","130","","",""
"Teilzeit","2011","Laendlicher Raum","weiblich","1209","","",""
"Teilzeit","2011","Staedtischer Raum","maennlich","257","","",""
"Teilzeit","2011","Staedtischer Raum","weiblich","2342","","",""
"voll erwerbstätig","2011","Laendlicher Raum","maennlich","2710","","",""
"voll erwerbstätig","2011","Laendlicher Raum","weiblich","1249","","",""
"voll erwerbstätig","2011","Staedtischer Raum","maennlich","4714","0.535568023598548","0.524853409841353","0.546282637355743"
"voll erwerbstätig","2011","Staedtischer Raum","weiblich","2140","","",""
"Andere","2012","Laendlicher Raum","maennlich","299","","",""
"Andere","2012","Laendlicher Raum","weiblich","600","0.0965811688762769","0.0888273356954893","0.104335002057065"
"Andere","2012","Staedtischer Raum","maennlich","508","0.0652604016686584","0.0598643723717187","0.0706564309655981"
"Andere","2012","Staedtischer Raum","weiblich","983","0.091457399693885","0.0857435691547314","0.0971712302330385"
"nicht erwerbstätig","2012","Laendlicher Raum","maennlich","1728","","",""
"nicht erwerbstätig","2012","Laendlicher Raum","weiblich","2475","","",""
"nicht erwerbstätig","2012","Staedtischer Raum","maennlich","2777","","",""
"nicht erwerbstätig","2012","Staedtischer Raum","weiblich","4361","0.480783640762356","0.470880013010403","0.490687268514308"
"Teilzeit","2012","Laendlicher Raum","maennlich","138","","",""
"Teilzeit","2012","Laendlicher Raum","weiblich","1251","","",""
"Teilzeit","2012","Staedtischer Raum","maennlich","282","","",""
"Teilzeit","2012","Staedtischer Raum","weiblich","2276","","",""
"voll erwerbstätig","2012","Laendlicher Raum","maennlich","2600","","",""
"voll erwerbstätig","2012","Laendlicher Raum","weiblich","1249","","",""
"voll erwerbstätig","2012","Staedtischer Raum","maennlich","4481","0.540760612659492","0.529873162063649","0.551648063255335"
"voll erwerbstätig","2012","Staedtischer Raum","weiblich","2157","","",""
"Andere","2013","Laendlicher Raum","maennlich","350","0.0648186612910521","0.0579620130224812","0.0716753095596229"
"Andere","2013","Laendlicher Raum","weiblich","653","0.0961112757129114","0.0885153868098044","0.103707164616019"
"Andere","2013","Staedtischer Raum","maennlich","693","0.069110036385791","0.0639547867294334","0.0742652860421487"
"Andere","2013","Staedtischer Raum","weiblich","1332","","",""
"nicht erwerbstätig","2013","Laendlicher Raum","maennlich","1741","","",""
"nicht erwerbstätig","2013","Laendlicher Raum","weiblich","2489","","",""
"nicht erwerbstätig","2013","Staedtischer Raum","maennlich","3057","0.362135093732565","0.352366554425619","0.371903633039511"
"nicht erwerbstätig","2013","Staedtischer Raum","weiblich","4742","0.473534383150959","0.464262536048157","0.48280623025376"
"Teilzeit","2013","Laendlicher Raum","maennlich","149","","",""
"Teilzeit","2013","Laendlicher Raum","weiblich","1367","","",""
"Teilzeit","2013","Staedtischer Raum","maennlich","357","0.0365143447358286","0.0327020686092337","0.0403266208624236"
"Teilzeit","2013","Staedtischer Raum","weiblich","2583","","",""
"voll erwerbstätig","2013","Laendlicher Raum","maennlich","2713","","",""
"voll erwerbstätig","2013","Laendlicher Raum","weiblich","1275","","",""
"voll erwerbstätig","2013","Staedtischer Raum","maennlich","5192","0.532240525145815","0.522099187712478","0.542381862579153"
"voll erwerbstätig","2013","Staedtischer Raum","weiblich","2483","","",""
"Andere","2014","Laendlicher Raum","maennlich","363","0.0768744488172574","0.069089428345795","0.0846594692887197"
"Andere","2014","Laendlicher Raum","weiblich","604","0.105137671107574","0.0967774433035959","0.113497898911552"
"Andere","2014","Staedtischer Raum","maennlich","623","0.0732130382524692","0.067581897861953","0.0788441786429854"
"Andere","2014","Staedtischer Raum","weiblich","1190","","",""
"nicht erwerbstätig","2014","Laendlicher Raum","maennlich","1576","","",""
"nicht erwerbstätig","2014","Laendlicher Raum","weiblich","2223","","",""
"nicht erwerbstätig","2014","Staedtischer Raum","maennlich","2806","","",""
"nicht erwerbstätig","2014","Staedtischer Raum","weiblich","4134","0.467477688794565","0.457578610020829","0.477376767568302"
"Teilzeit","2014","Laendlicher Raum","maennlich","128","","",""
"Teilzeit","2014","Laendlicher Raum","weiblich","1207","","",""
"Teilzeit","2014","Staedtischer Raum","maennlich","331","0.042380435515835","0.0380254030687077","0.0467354679629623"
"Teilzeit","2014","Staedtischer Raum","weiblich","2237","","",""
"voll erwerbstätig","2014","Laendlicher Raum","maennlich","2431","","",""
"voll erwerbstätig","2014","Laendlicher Raum","weiblich","1137","","",""
"voll erwerbstätig","2014","Staedtischer Raum","maennlich","4460","0.522619032965933","0.511821181646007","0.533416884285859"
"voll erwerbstätig","2014","Staedtischer Raum","weiblich","2198","","",""
"Andere","2015","Laendlicher Raum","maennlich","351","0.0760354795174568","0.068228553262656","0.0838424057722576"
"Andere","2015","Laendlicher Raum","weiblich","585","0.103770056604997","0.095402019146662","0.112138094063331"
"Andere","2015","Staedtischer Raum","maennlich","610","0.0767189185820973","0.0709436199600846","0.08249421720411"
"Andere","2015","Staedtischer Raum","weiblich","1103","","",""
"nicht erwerbstätig","2015","Laendlicher Raum","maennlich","1553","","",""
"nicht erwerbstätig","2015","Laendlicher Raum","weiblich","2184","","",""
"nicht erwerbstätig","2015","Staedtischer Raum","maennlich","2775","","",""
"nicht erwerbstätig","2015","Staedtischer Raum","weiblich","4134","0.4600754207789","0.450133380712232","0.470017460845567"
"Teilzeit","2015","Laendlicher Raum","maennlich","137","","",""
"Teilzeit","2015","Laendlicher Raum","weiblich","1207","","",""
"Teilzeit","2015","Staedtischer Raum","maennlich","356","0.0402501419787617","0.0359851425521016","0.0445151414054219"
"Teilzeit","2015","Staedtischer Raum","weiblich","2251","","",""
"voll erwerbstätig","2015","Laendlicher Raum","maennlich","2387","","",""
"voll erwerbstätig","2015","Laendlicher Raum","weiblich","1126","","",""
"voll erwerbstätig","2015","Staedtischer Raum","maennlich","4417","0.518746252489667","0.507903968240508","0.529588536738827"
"voll erwerbstätig","2015","Staedtischer Raum","weiblich","2166","","",""
"Andere","2016","Laendlicher Raum","maennlich","350","0.0715143322292754","0.0640548285489398","0.078973835909611"
"Andere","2016","Laendlicher Raum","weiblich","521","0.0957621350789531","0.0876373072523524","0.103886962905554"
"Andere","2016","Staedtischer Raum","maennlich","634","0.0748551886394734","0.0692787889110352","0.0804315883679117"
"Andere","2016","Staedtischer Raum","weiblich","988","0.0923753165152213","0.0865888392978898","0.0981617937325528"
"nicht erwerbstätig","2016","Laendlicher Raum","maennlich","1895","","",""
"nicht erwerbstätig","2016","Laendlicher Raum","weiblich","2293","","",""
"nicht erwerbstätig","2016","Staedtischer Raum","maennlich","3578","0.364434439978301","0.354236135641585","0.374632744315017"
"nicht erwerbstätig","2016","Staedtischer Raum","weiblich","4470","0.452869445639925","0.442921918718346","0.462816972561504"
"Teilzeit","2016","Laendlicher Raum","maennlich","151","","",""
"Teilzeit","2016","Laendlicher Raum","weiblich","1175","","",""
"Teilzeit","2016","Staedtischer Raum","maennlich","397","0.0453741074728864","0.0409639028861127","0.04978431205966"
"Teilzeit","2016","Staedtischer Raum","weiblich","2094","","",""
"voll erwerbstätig","2016","Laendlicher Raum","maennlich","2188","","",""
"voll erwerbstätig","2016","Laendlicher Raum","weiblich","1050","","",""
"voll erwerbstätig","2016","Staedtischer Raum","maennlich","3946","0.515336263909339","0.504746075192943","0.525926452625735"
"voll erwerbstätig","2016","Staedtischer Raum","weiblich","2067","","",""
"Andere","2017","Laendlicher Raum","maennlich","417","0.0753638475067858","0.0681931240303154","0.0825345709832562"
"Andere","2017","Laendlicher Raum","weiblich","577","0.100164659298916","0.0923322861387427","0.107997032459089"
"Andere","2017","Staedtischer Raum","maennlich","718","0.0726242686582825","0.0674372284684721","0.0778113088480929"
"Andere","2017","Staedtischer Raum","weiblich","1037","","",""
"nicht erwerbstätig","2017","Laendlicher Raum","maennlich","2077","","",""
"nicht erwerbstätig","2017","Laendlicher Raum","weiblich","2517","","",""
"nicht erwerbstätig","2017","Staedtischer Raum","maennlich","3912","0.361379092096701","0.351777263670398","0.370980920523004"
"nicht erwerbstätig","2017","Staedtischer Raum","weiblich","4926","0.447921452510772","0.438488553698142","0.457354351323401"
"Teilzeit","2017","Laendlicher Raum","maennlich","182","","",""
"Teilzeit","2017","Laendlicher Raum","weiblich","1268","","",""
"Teilzeit","2017","Staedtischer Raum","maennlich","454","0.0431129704093977","0.0390533523985201","0.0471725884202754"
"Teilzeit","2017","Staedtischer Raum","weiblich","2429","","",""
"voll erwerbstätig","2017","Laendlicher Raum","maennlich","2530","","",""
"voll erwerbstätig","2017","Laendlicher Raum","weiblich","1282","","",""
"voll erwerbstätig","2017","Staedtischer Raum","maennlich","4532","0.522883668835619","0.512900566025187","0.53286677164605"
"voll erwerbstätig","2017","Staedtischer Raum","weiblich","2284","","",""
"Andere","2018","Laendlicher Raum","maennlich","410","0.0704336096488536","0.063252329113219","0.0776148901844882"
"Andere","2018","Laendlicher Raum","weiblich","487","0.0854288605141735","0.0779283308639295","0.0929293901644174"
"Andere","2018","Staedtischer Raum","maennlich","769","0.0759838110068284","0.070599126662915","0.0813684953507418"
"Andere","2018","Staedtischer Raum","weiblich","1037","","",""
"nicht erwerbstätig","2018","Laendlicher Raum","maennlich","1866","","",""
"nicht erwerbstätig","2018","Laendlicher Raum","weiblich","2356","","",""
"nicht erwerbstätig","2018","Staedtischer Raum","maennlich","3588","0.345858047616288","0.336192090420153","0.355524004812423"
"nicht erwerbstätig","2018","Staedtischer Raum","weiblich","4644","0.439731337554088","0.430125620552808","0.449337054555367"
"Teilzeit","2018","Laendlicher Raum","maennlich","207","","",""
"Teilzeit","2018","Laendlicher Raum","weiblich","1274","","",""
"Teilzeit","2018","Staedtischer Raum","maennlich","558","0.0516246892834918","0.047128146101194","0.0561212324657896"
"Teilzeit","2018","Staedtischer Raum","weiblich","2323","","",""
"voll erwerbstätig","2018","Laendlicher Raum","maennlich","2394","","",""
"voll erwerbstätig","2018","Laendlicher Raum","weiblich","1218","","",""
"voll erwerbstätig","2018","Staedtischer Raum","maennlich","4387","0.526533452093392","0.516386921771093","0.53667998241569"
"voll erwerbstätig","2018","Staedtischer Raum","weiblich","2253","","",""
"Andere","2019","Laendlicher Raum","maennlich","376","0.0694435647344141","0.0623098694487235","0.0765772600201046"
"Andere","2019","Laendlicher Raum","weiblich","480","0.0827950885373899","0.0752208655688037","0.090369311505976"
"Andere","2019","Staedtischer Raum","maennlich","718","0.0672256844412109","0.0621526703054583","0.0722986985769635"
"Andere","2019","Staedtischer Raum","weiblich","933","0.0853182104127899","0.0797828519041654","0.0908535689214144"
"nicht erwerbstätig","2019","Laendlicher Raum","maennlich","1696","","",""
"nicht erwerbstätig","2019","Laendlicher Raum","weiblich","2151","","",""
"nicht erwerbstätig","2019","Staedtischer Raum","maennlich","3218","0.3391874845388","0.32959636715937","0.348778601918229"
"nicht erwerbstätig","2019","Staedtischer Raum","weiblich","4195","0.438521202671285","0.428688976779217","0.448353428563354"
"Teilzeit","2019","Laendlicher Raum","maennlich","226","","",""
"Teilzeit","2019","Laendlicher Raum","weiblich","1225","","",""
"Teilzeit","2019","Staedtischer Raum","maennlich","573","0.0557479714624512","0.051099944224261","0.0603959987006415"
"Teilzeit","2019","Staedtischer Raum","weiblich","2334","","",""
"voll erwerbstätig","2019","Laendlicher Raum","maennlich","2580","","",""
"voll erwerbstätig","2019","Laendlicher Raum","weiblich","1229","","",""
"voll erwerbstätig","2019","Staedtischer Raum","maennlich","4851","0.537838859557538","0.527738589907352","0.547939129207724"
"voll erwerbstätig","2019","Staedtischer Raum","weiblich","2322","","",""
"Andere","2020","Laendlicher Raum","maennlich","345","0.0733977491605893","0.0660293468842234","0.0807661514369552"
"Andere","2020","Laendlicher Raum","weiblich","456","0.082919703141163","0.0752275295206932","0.0906118767616328"
"Andere","2020","Staedtischer Raum","maennlich","794","0.0675679752619554","0.0626703951238365","0.0724655554000744"
"Andere","2020","Staedtischer Raum","weiblich","899","0.0830513485150956","0.077684071884525","0.0884186251456662"
"nicht erwerbstätig","2020","Laendlicher Raum","maennlich","1665","","",""
"nicht erwerbstätig","2020","Laendlicher Raum","weiblich","2053","","",""
"nicht erwerbstätig","2020","Staedtischer Raum","maennlich","3364","0.341097587376539","0.331847360586333","0.350347814166745"
"nicht erwerbstätig","2020","Staedtischer Raum","weiblich","4392","0.441585089069777","0.431926941641663","0.451243236497892"
"Teilzeit","2020","Laendlicher Raum","maennlich","222","","",""
"Teilzeit","2020","Laendlicher Raum","weiblich","1181","","",""
"Teilzeit","2020","Staedtischer Raum","maennlich","623","0.0556372288341887","0.0511646842121093","0.0601097734562682"
"Teilzeit","2020","Staedtischer Raum","weiblich","2325","","",""
"voll erwerbstätig","2020","Laendlicher Raum","maennlich","2580","","",""
"voll erwerbstätig","2020","Laendlicher Raum","weiblich","1247","","",""
"voll erwerbstätig","2020","Staedtischer Raum","maennlich","5309","0.535697208527317","0.525966088106121","0.545428328948513"
"voll erwerbstätig","2020","Staedtischer Raum","weiblich","2539","","",""
