"erwst","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1999","35-65","Westdeutschland","208","","",""
"Andere","1999","35-65","Ostdeutschland","40","0.0211605870872773","0.0150457926823192","0.0272753814922354"
"Andere","1999","66 +","Westdeutschland","15","","",""
"Andere","1999","66 +","Ostdeutschland","3","","",""
"voll erwerbstätig","2000","17-34","Westdeutschland","2464","","",""
"voll erwerbstätig","2000","17-34","Ostdeutschland","692","0.423804543985799","0.400132373325357","0.44747671464624"
"voll erwerbstätig","2000","35-65","Westdeutschland","5075","0.512638279478893","0.502908975934398","0.522367583023388"
"voll erwerbstätig","2000","35-65","Ostdeutschland","1797","","",""
"voll erwerbstätig","2000","66 +","Westdeutschland","31","0.0119233856795528","0.0078450879603778","0.0160016833987279"
"voll erwerbstätig","2000","66 +","Ostdeutschland","1","","",""
"Teilzeit","2000","17-34","Westdeutschland","422","0.0758442973008473","0.0687823338241066","0.0829062607775879"
"Teilzeit","2000","17-34","Ostdeutschland","98","0.0687045849569229","0.0565872543625631","0.0808219155512827"
"Teilzeit","2000","35-65","Westdeutschland","1418","","",""
"Teilzeit","2000","35-65","Ostdeutschland","267","","",""
"Teilzeit","2000","66 +","Westdeutschland","24","","",""
"Teilzeit","2000","66 +","Ostdeutschland","3","","",""
"nicht erwerbstätig","2000","17-34","Westdeutschland","1794","","",""
"nicht erwerbstätig","2000","17-34","Ostdeutschland","611","0.35463986863631","0.331722475808337","0.377557261464283"
"nicht erwerbstätig","2000","35-65","Westdeutschland","3249","0.31010922609207","0.301106002380482","0.319112449803657"
"nicht erwerbstätig","2000","35-65","Ostdeutschland","1164","","",""
"nicht erwerbstätig","2000","66 +","Westdeutschland","2638","","",""
"nicht erwerbstätig","2000","66 +","Ostdeutschland","868","0.988425102362937","0.981341951357289","0.995508253368586"
"Andere","2000","17-34","Westdeutschland","719","0.133773142060298","0.124693019430809","0.142853264689787"
"Andere","2000","17-34","Ostdeutschland","273","","",""
"Andere","2000","35-65","Westdeutschland","397","0.0388366133522471","0.035075903614333","0.0425973230901611"
"Andere","2000","35-65","Ostdeutschland","70","0.0265605152381355","0.021072750406267","0.0320482800700041"
"Andere","2000","66 +","Westdeutschland","28","","",""
"Andere","2000","66 +","Ostdeutschland","4","0.00648380647763585","0.00116886441142921","0.0117987485438425"
"voll erwerbstätig","2001","17-34","Westdeutschland","2076","","",""
"voll erwerbstätig","2001","17-34","Ostdeutschland","609","0.415574430269467","0.390904607634594","0.440244252904339"
"voll erwerbstätig","2001","35-65","Westdeutschland","4687","0.518154092508879","0.507952124086997","0.528356060930761"
"voll erwerbstätig","2001","35-65","Ostdeutschland","1658","","",""
"voll erwerbstätig","2001","66 +","Westdeutschland","25","","",""
"voll erwerbstätig","2001","66 +","Ostdeutschland","4","0.00462008645809408","3.41510269170472e-05","0.00920602188927112"
"Teilzeit","2001","17-34","Westdeutschland","357","0.07637944423821","0.0687957556335078","0.0839631328429122"
"Teilzeit","2001","17-34","Ostdeutschland","93","0.0649764832864441","0.0526378691804778","0.0773150973924104"
"Teilzeit","2001","35-65","Westdeutschland","1322","","",""
"Teilzeit","2001","35-65","Ostdeutschland","265","","",""
"Teilzeit","2001","66 +","Westdeutschland","20","","",""
"Teilzeit","2001","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","2001","17-34","Westdeutschland","1574","","",""
"nicht erwerbstätig","2001","17-34","Ostdeutschland","568","0.357674855855248","0.333681075411256","0.381668636299241"
"nicht erwerbstätig","2001","35-65","Westdeutschland","2827","","",""
"nicht erwerbstätig","2001","35-65","Ostdeutschland","1070","","",""
"nicht erwerbstätig","2001","66 +","Westdeutschland","2478","","",""
"nicht erwerbstätig","2001","66 +","Ostdeutschland","830","0.988040179690722","0.980688982402736","0.995391376978708"
"Andere","2001","17-34","Westdeutschland","705","0.152125815742824","0.141871359971111","0.162380271514537"
"Andere","2001","17-34","Ostdeutschland","263","","",""
"Andere","2001","35-65","Westdeutschland","379","0.0389526322309548","0.0350022308602257","0.0429030336016839"
"Andere","2001","35-65","Ostdeutschland","69","0.0258695835760126","0.020246833646173","0.0314923335058522"
"Andere","2001","66 +","Westdeutschland","36","0.0142400281310282","0.00964959187307712","0.0188304643889793"
"Andere","2001","66 +","Ostdeutschland","6","0.00733973385118397","0.00156743346651708","0.0131120342358509"
"voll erwerbstätig","2002","17-34","Westdeutschland","1944","","",""
"voll erwerbstätig","2002","17-34","Ostdeutschland","569","0.390964894471857","0.36617978811129","0.415750000832424"
"voll erwerbstätig","2002","35-65","Westdeutschland","5326","0.50456738630547","0.49488821798586","0.51424655462508"
"voll erwerbstätig","2002","35-65","Ostdeutschland","1675","","",""
"voll erwerbstätig","2002","66 +","Westdeutschland","36","0.00776405683163841","0.00445520821222232","0.0110729054510545"
"voll erwerbstätig","2002","66 +","Ostdeutschland","2","","",""
"Teilzeit","2002","17-34","Westdeutschland","335","0.0714719095677507","0.0640627797934787","0.0788810393420227"
"Teilzeit","2002","17-34","Ostdeutschland","85","0.0626132885045653","0.0503079548082005","0.0749186222009302"
"Teilzeit","2002","35-65","Westdeutschland","1559","","",""
"Teilzeit","2002","35-65","Ostdeutschland","266","","",""
"Teilzeit","2002","66 +","Westdeutschland","36","0.0104876672710211","0.00664727909269966","0.0143280554493426"
"Teilzeit","2002","66 +","Ostdeutschland","2","","",""
"nicht erwerbstätig","2002","17-34","Westdeutschland","1651","","",""
"nicht erwerbstätig","2002","17-34","Ostdeutschland","568","0.372654413240796","0.348095604317916","0.397213222163676"
"nicht erwerbstätig","2002","35-65","Westdeutschland","2912","","",""
"nicht erwerbstätig","2002","35-65","Ostdeutschland","1052","","",""
"nicht erwerbstätig","2002","66 +","Westdeutschland","2595","","",""
"nicht erwerbstätig","2002","66 +","Ostdeutschland","877","0.990648958043859","0.984318552916675","0.996979363171044"
"Andere","2002","17-34","Westdeutschland","714","0.152299897049506","0.141965791135175","0.162634002963837"
"Andere","2002","17-34","Ostdeutschland","267","","",""
"Andere","2002","35-65","Westdeutschland","453","0.0465829702833212","0.0425031484351673","0.050662792131475"
"Andere","2002","35-65","Ostdeutschland","59","0.0213107140949873","0.0161870901732867","0.0264343380166879"
"Andere","2002","66 +","Westdeutschland","36","0.011735264387046","0.00767543150560848","0.0157950972684835"
"Andere","2002","66 +","Ostdeutschland","7","0.00763676999227159","0.00191102772293971","0.0133625122616035"
"voll erwerbstätig","2003","17-34","Westdeutschland","1771","","",""
"voll erwerbstätig","2003","17-34","Ostdeutschland","521","0.371198410902027","0.346399694702818","0.395997127101237"
"voll erwerbstätig","2003","35-65","Westdeutschland","4955","0.502485274513345","0.492534161912525","0.512436387114165"
"voll erwerbstätig","2003","35-65","Ostdeutschland","1570","","",""
"voll erwerbstätig","2003","66 +","Westdeutschland","37","0.00996417009911781","0.00624591145917819","0.0136824287390574"
"voll erwerbstätig","2003","66 +","Ostdeutschland","3","","",""
"Teilzeit","2003","17-34","Westdeutschland","327","0.0776148869449955","0.0696936863248141","0.0855360875651769"
"Teilzeit","2003","17-34","Ostdeutschland","100","","",""
"Teilzeit","2003","35-65","Westdeutschland","1518","","",""
"Teilzeit","2003","35-65","Ostdeutschland","289","","",""
"Teilzeit","2003","66 +","Westdeutschland","33","0.00918382151312072","0.00561272296432952","0.0127549200619119"
"Teilzeit","2003","66 +","Ostdeutschland","2","","",""
"nicht erwerbstätig","2003","17-34","Westdeutschland","1590","","",""
"nicht erwerbstätig","2003","17-34","Ostdeutschland","601","0.409588411944203","0.38434659598082","0.434830227907585"
"nicht erwerbstätig","2003","35-65","Westdeutschland","2794","","",""
"nicht erwerbstätig","2003","35-65","Ostdeutschland","1039","","",""
"nicht erwerbstätig","2003","66 +","Westdeutschland","2625","","",""
"nicht erwerbstätig","2003","66 +","Ostdeutschland","896","0.988663775187017","0.98178161645146","0.995545933922573"
"Andere","2003","17-34","Westdeutschland","695","0.150046078967283","0.139473708521732","0.160618449412834"
"Andere","2003","17-34","Ostdeutschland","236","","",""
"Andere","2003","35-65","Westdeutschland","431","0.0458692322552696","0.0417056064930786","0.0500328580174605"
"Andere","2003","35-65","Ostdeutschland","79","0.0317099174042999","0.025415450259847","0.0380043845487528"
"Andere","2003","66 +","Westdeutschland","46","0.0173971068215261","0.0125024628480626","0.0222917507949897"
"Andere","2003","66 +","Ostdeutschland","8","0.00776755464064387","0.00206046071712458","0.0134746485641632"
"voll erwerbstätig","2004","17-34","Westdeutschland","1644","","",""
"voll erwerbstätig","2004","17-34","Ostdeutschland","499","0.336822985773558","0.312258148811008","0.361387822736107"
"voll erwerbstätig","2004","35-65","Westdeutschland","4806","0.503700937612263","0.493590244696571","0.513811630527955"
"voll erwerbstätig","2004","35-65","Ostdeutschland","1526","","",""
"voll erwerbstätig","2004","66 +","Westdeutschland","40","0.00940555000654221","0.00583600990764175","0.0129750901054427"
"voll erwerbstätig","2004","66 +","Ostdeutschland","3","","",""
"Teilzeit","2004","17-34","Westdeutschland","284","","",""
"Teilzeit","2004","17-34","Ostdeutschland","101","","",""
"Teilzeit","2004","35-65","Westdeutschland","1468","","",""
"Teilzeit","2004","35-65","Ostdeutschland","293","","",""
"Teilzeit","2004","66 +","Westdeutschland","37","0.00993911564099177","0.00627071260218006","0.0136075186798035"
"Teilzeit","2004","66 +","Ostdeutschland","3","","",""
"nicht erwerbstätig","2004","17-34","Westdeutschland","1591","","",""
"nicht erwerbstätig","2004","17-34","Ostdeutschland","585","0.407062868562406","0.381528015612852","0.432597721511961"
"nicht erwerbstätig","2004","35-65","Westdeutschland","2650","","",""
"nicht erwerbstätig","2004","35-65","Ostdeutschland","947","0.374128540061936","0.356362990170764","0.391894089953109"
"nicht erwerbstätig","2004","66 +","Westdeutschland","2674","","",""
"nicht erwerbstätig","2004","66 +","Ostdeutschland","935","0.986786846767115","0.979529585733848","0.994044107800381"
"Andere","2004","17-34","Westdeutschland","667","0.152544202735197","0.141652272267473","0.163436133202921"
"Andere","2004","17-34","Ostdeutschland","237","","",""
"Andere","2004","35-65","Westdeutschland","470","0.0497262707885923","0.0453304485683443","0.0541220930088403"
"Andere","2004","35-65","Ostdeutschland","84","0.0349462700250432","0.0282040670637843","0.041688472986302"
"Andere","2004","66 +","Westdeutschland","58","0.0191893491684814","0.0141159979267525","0.0242627004102103"
"Andere","2004","66 +","Ostdeutschland","10","","",""
"voll erwerbstätig","2005","17-34","Westdeutschland","1501","","",""
"voll erwerbstätig","2005","17-34","Ostdeutschland","474","0.34961788237198","0.324162228343762","0.375073536400197"
"voll erwerbstätig","2005","35-65","Westdeutschland","4552","0.507016867616352","0.496625430880841","0.517408304351862"
"voll erwerbstätig","2005","35-65","Ostdeutschland","1425","","",""
"voll erwerbstätig","2005","66 +","Westdeutschland","30","0.00907732271746352","0.00556941378030222","0.0125852316546248"
"voll erwerbstätig","2005","66 +","Ostdeutschland","2","","",""
"Teilzeit","2005","17-34","Westdeutschland","267","","",""
"Teilzeit","2005","17-34","Ostdeutschland","83","0.0555633994547363","0.043334596310099","0.0677922025993736"
"Teilzeit","2005","35-65","Westdeutschland","1393","","",""
"Teilzeit","2005","35-65","Ostdeutschland","302","0.109372907517768","0.0976674047862642","0.121078410249272"
"Teilzeit","2005","66 +","Westdeutschland","40","0.0114924430134913","0.0075501789090557","0.0154347071179269"
"Teilzeit","2005","66 +","Ostdeutschland","7","0.00844052175949424","0.00264744385957044","0.014233599659418"
"nicht erwerbstätig","2005","17-34","Westdeutschland","1540","","",""
"nicht erwerbstätig","2005","17-34","Ostdeutschland","587","0.443077819574502","0.416559841497244","0.469595797651761"
"nicht erwerbstätig","2005","35-65","Westdeutschland","2450","","",""
"nicht erwerbstätig","2005","35-65","Ostdeutschland","920","0.373055925577238","0.354917958332274","0.391193892822201"
"nicht erwerbstätig","2005","66 +","Westdeutschland","2692","","",""
"nicht erwerbstätig","2005","66 +","Ostdeutschland","936","0.98003781217866","0.971180727000515","0.988894897356804"
"Andere","2005","17-34","Westdeutschland","653","0.161168842895189","0.149718368223584","0.172619317566793"
"Andere","2005","17-34","Ostdeutschland","204","","",""
"Andere","2005","35-65","Westdeutschland","497","0.0585514177345973","0.0536714677086309","0.0634313677605637"
"Andere","2005","35-65","Ostdeutschland","84","0.0294326901958901","0.0230937734148192","0.035771606976961"
"Andere","2005","66 +","Westdeutschland","46","0.0153318199186662","0.0107872651053585","0.0198763747319739"
"Andere","2005","66 +","Ostdeutschland","13","","",""
"voll erwerbstätig","2006","17-34","Westdeutschland","1491","","",""
"voll erwerbstätig","2006","17-34","Ostdeutschland","453","0.345085444066705","0.320012409831145","0.370158478302265"
"voll erwerbstätig","2006","35-65","Westdeutschland","4825","0.509844099103041","0.499821667196214","0.519866531009867"
"voll erwerbstätig","2006","35-65","Ostdeutschland","1492","","",""
"voll erwerbstätig","2006","66 +","Westdeutschland","51","0.0137769939692069","0.00980300041915039","0.0177509875192634"
"voll erwerbstätig","2006","66 +","Ostdeutschland","4","0.00188137738653094","-0.000650839315164236","0.00441359408822612"
"Teilzeit","2006","17-34","Westdeutschland","280","","",""
"Teilzeit","2006","17-34","Ostdeutschland","85","0.0542250518382467","0.0422811797763624","0.0661689239001311"
"Teilzeit","2006","35-65","Westdeutschland","1559","","",""
"Teilzeit","2006","35-65","Ostdeutschland","333","0.106139049366896","0.0948505125499793","0.117427586183812"
"Teilzeit","2006","66 +","Westdeutschland","48","0.0137912510208686","0.0098152305084848","0.0177672715332525"
"Teilzeit","2006","66 +","Ostdeutschland","4","0.00463599871240246","0.000666511126774788","0.00860548629803014"
"nicht erwerbstätig","2006","17-34","Westdeutschland","1561","","",""
"nicht erwerbstätig","2006","17-34","Ostdeutschland","588","0.427531696463115","0.401439470339768","0.453623922586462"
"nicht erwerbstätig","2006","35-65","Westdeutschland","2639","","",""
"nicht erwerbstätig","2006","35-65","Ostdeutschland","920","0.352559912471077","0.335050106551584","0.37006971839057"
"nicht erwerbstätig","2006","66 +","Westdeutschland","3136","0.95583366729641","0.948828811636991","0.962838522955829"
"nicht erwerbstätig","2006","66 +","Ostdeutschland","1106","","",""
"Andere","2006","17-34","Westdeutschland","708","0.172521411876524","0.160870570414256","0.184172253338791"
"Andere","2006","17-34","Ostdeutschland","255","","",""
"Andere","2006","35-65","Westdeutschland","534","0.0579684643853416","0.0532833961910881","0.0626535325795951"
"Andere","2006","35-65","Ostdeutschland","115","","",""
"Andere","2006","66 +","Westdeutschland","70","0.0165980877135143","0.0122423982339791","0.0209537771930496"
"Andere","2006","66 +","Ostdeutschland","11","","",""
"voll erwerbstätig","2007","17-34","Westdeutschland","1395","","",""
"voll erwerbstätig","2007","17-34","Ostdeutschland","449","0.363605782239044","0.337516928047095","0.389694636430992"
"voll erwerbstätig","2007","35-65","Westdeutschland","4531","0.516858471308887","0.506420732744914","0.527296209872859"
"voll erwerbstätig","2007","35-65","Ostdeutschland","1446","","",""
"voll erwerbstätig","2007","66 +","Westdeutschland","48","0.0112928076943857","0.00764425909106202","0.0149413562977093"
"voll erwerbstätig","2007","66 +","Ostdeutschland","4","0.000912769540621259","-0.000855796792206921","0.00268133587344944"
"Teilzeit","2007","17-34","Westdeutschland","291","","",""
"Teilzeit","2007","17-34","Ostdeutschland","103","","",""
"Teilzeit","2007","35-65","Westdeutschland","1520","","",""
"Teilzeit","2007","35-65","Ostdeutschland","325","0.116599093455296","0.104411793841795","0.128786393068797"
"Teilzeit","2007","66 +","Westdeutschland","45","0.0137375960598724","0.00971842090362564","0.0177567712161192"
"Teilzeit","2007","66 +","Ostdeutschland","6","0.00461704958559101","0.000646812444165559","0.00858728672701646"
"nicht erwerbstätig","2007","17-34","Westdeutschland","1403","","",""
"nicht erwerbstätig","2007","17-34","Ostdeutschland","523","0.392765004316641","0.366278704474775","0.419251304158508"
"nicht erwerbstätig","2007","35-65","Westdeutschland","2251","","",""
"nicht erwerbstätig","2007","35-65","Ostdeutschland","800","0.327325537045475","0.309506944555565","0.345144129535384"
"nicht erwerbstätig","2007","66 +","Westdeutschland","3065","0.955343919108107","0.948212014959587","0.962475823256627"
"nicht erwerbstätig","2007","66 +","Ostdeutschland","1095","","",""
"Andere","2007","17-34","Westdeutschland","643","0.172311848433139","0.160195598781909","0.184428098084368"
"Andere","2007","17-34","Ostdeutschland","231","","",""
"Andere","2007","35-65","Westdeutschland","503","0.058566382364431","0.0536617951531435","0.0634709695757184"
"Andere","2007","35-65","Ostdeutschland","93","0.0405870326495248","0.0330936584058299","0.0480804068932196"
"Andere","2007","66 +","Westdeutschland","64","0.0196256771376347","0.0148361392621161","0.0244152150131534"
"Andere","2007","66 +","Ostdeutschland","15","","",""
"voll erwerbstätig","2008","17-34","Westdeutschland","1320","","",""
"voll erwerbstätig","2008","17-34","Ostdeutschland","448","0.389403577501273","0.361558236414868","0.417248918587678"
"voll erwerbstätig","2008","35-65","Westdeutschland","4265","0.530816125690263","0.51998949336496","0.541642758015566"
"voll erwerbstätig","2008","35-65","Ostdeutschland","1427","","",""
"voll erwerbstätig","2008","66 +","Westdeutschland","48","0.0117904078457633","0.00803815778163135","0.0155426579098952"
"voll erwerbstätig","2008","66 +","Ostdeutschland","4","0.000928576384860701","-0.000857617467630746","0.00271477023735215"
"Teilzeit","2008","17-34","Westdeutschland","255","","",""
"Teilzeit","2008","17-34","Ostdeutschland","79","0.0649309863893633","0.0508600409583313","0.0790019318203953"
"Teilzeit","2008","35-65","Westdeutschland","1446","","",""
"Teilzeit","2008","35-65","Ostdeutschland","296","","",""
"Teilzeit","2008","66 +","Westdeutschland","46","0.0122277207488519","0.00840736329307403","0.0160480782046298"
"Teilzeit","2008","66 +","Ostdeutschland","6","0.0063186150614624","0.00167179312717467","0.0109654369957501"
"nicht erwerbstätig","2008","17-34","Westdeutschland","1206","","",""
"nicht erwerbstätig","2008","17-34","Ostdeutschland","451","0.38313553399397","0.355373803172202","0.410897264815739"
"nicht erwerbstätig","2008","35-65","Westdeutschland","1967","","",""
"nicht erwerbstätig","2008","35-65","Ostdeutschland","694","0.291263405359309","0.273499549648093","0.309027261070525"
"nicht erwerbstätig","2008","66 +","Westdeutschland","3007","0.949944101711406","0.942363922348444","0.957524281074367"
"nicht erwerbstätig","2008","66 +","Ostdeutschland","1090","","",""
"Andere","2008","17-34","Westdeutschland","641","0.187845651842906","0.174759018078111","0.2009322856077"
"Andere","2008","17-34","Ostdeutschland","200","","",""
"Andere","2008","35-65","Westdeutschland","484","0.0626294443443394","0.0573729678238896","0.0678859208647891"
"Andere","2008","35-65","Ostdeutschland","96","0.0448229289960232","0.03673301495024","0.0529128430418064"
"Andere","2008","66 +","Westdeutschland","78","0.0260377696939793","0.0205020285303991","0.0315735108575594"
"Andere","2008","66 +","Ostdeutschland","17","","",""
"voll erwerbstätig","2009","17-34","Westdeutschland","1193","","",""
"voll erwerbstätig","2009","17-34","Ostdeutschland","398","0.396265944426265","0.366876357011552","0.425655531840978"
"voll erwerbstätig","2009","35-65","Westdeutschland","3964","0.538116474060294","0.526829029588756","0.549403918531831"
"voll erwerbstätig","2009","35-65","Ostdeutschland","1362","","",""
"voll erwerbstätig","2009","66 +","Westdeutschland","53","0.0121789175349846","0.00828438483923007","0.0160734502307392"
"voll erwerbstätig","2009","66 +","Ostdeutschland","7","0.00511941537073015","0.000932331545526588","0.00930649919593371"
"Teilzeit","2009","17-34","Westdeutschland","232","","",""
"Teilzeit","2009","17-34","Ostdeutschland","79","0.0586176176866286","0.044502828624374","0.0727324067488832"
"Teilzeit","2009","35-65","Westdeutschland","1305","","",""
"Teilzeit","2009","35-65","Ostdeutschland","313","0.1301321827472","0.116643543816405","0.143620821677994"
"Teilzeit","2009","66 +","Westdeutschland","53","0.015866089995263","0.0114292484506431","0.0203029315398829"
"Teilzeit","2009","66 +","Ostdeutschland","7","0.006970973922658","0.00208958181885987","0.0118523660264561"
"nicht erwerbstätig","2009","17-34","Westdeutschland","1116","","",""
"nicht erwerbstätig","2009","17-34","Ostdeutschland","407","0.364608087303375","0.335687223039995","0.393528951566756"
"nicht erwerbstätig","2009","35-65","Westdeutschland","1779","","",""
"nicht erwerbstätig","2009","35-65","Ostdeutschland","629","0.277205293773279","0.259259718620502","0.295150868926056"
"nicht erwerbstätig","2009","66 +","Westdeutschland","2845","","",""
"nicht erwerbstätig","2009","66 +","Ostdeutschland","1089","","",""
"Andere","2009","17-34","Westdeutschland","600","0.187498054510475","0.173848304092031","0.201147804928918"
"Andere","2009","17-34","Ostdeutschland","180","","",""
"Andere","2009","35-65","Westdeutschland","446","0.062745300096513","0.0572548157149578","0.0682357844780681"
"Andere","2009","35-65","Ostdeutschland","86","0.0402035887640291","0.0323282161257713","0.048078961402287"
"Andere","2009","66 +","Westdeutschland","96","0.0314124594929018","0.0252190146566191","0.0376059043291845"
"Andere","2009","66 +","Ostdeutschland","13","","",""
"voll erwerbstätig","2010","17-34","Westdeutschland","1674","","",""
"voll erwerbstätig","2010","17-34","Ostdeutschland","563","0.399627763950655","0.375521238082957","0.423734289818354"
"voll erwerbstätig","2010","35-65","Westdeutschland","5148","0.533205929720149","0.523672020464141","0.542739838976157"
"voll erwerbstätig","2010","35-65","Ostdeutschland","1571","","",""
"voll erwerbstätig","2010","66 +","Westdeutschland","52","0.0136336577897337","0.0094602787138104","0.017807036865657"
"voll erwerbstätig","2010","66 +","Ostdeutschland","5","0.00357253386124116","-2.09122217268596e-05","0.00716597994420919"
"Teilzeit","2010","17-34","Westdeutschland","435","0.0695333214217175","0.0627015207768201","0.0763651220666149"
"Teilzeit","2010","17-34","Ostdeutschland","132","","",""
"Teilzeit","2010","35-65","Westdeutschland","2008","","",""
"Teilzeit","2010","35-65","Ostdeutschland","423","0.135857950304753","0.123324616886247","0.148391283723258"
"Teilzeit","2010","66 +","Westdeutschland","47","0.0140999123077453","0.00985677411708866","0.018343050498402"
"Teilzeit","2010","66 +","Ostdeutschland","7","0.00534424861942481","0.000953082803466947","0.00973541443538267"
"nicht erwerbstätig","2010","17-34","Westdeutschland","2345","","",""
"nicht erwerbstätig","2010","17-34","Ostdeutschland","681","0.374913516982675","0.351088561232953","0.398738472732397"
"nicht erwerbstätig","2010","35-65","Westdeutschland","2628","","",""
"nicht erwerbstätig","2010","35-65","Ostdeutschland","727","0.24796813789167","0.232172122227929","0.263764153555411"
"nicht erwerbstätig","2010","66 +","Westdeutschland","2777","","",""
"nicht erwerbstätig","2010","66 +","Ostdeutschland","1037","","",""
"Andere","2010","17-34","Westdeutschland","871","0.195881160809388","0.185221466806898","0.206540854811877"
"Andere","2010","17-34","Ostdeutschland","210","","",""
"Andere","2010","35-65","Westdeutschland","735","0.066356789835265","0.0616002184490619","0.0711133612214681"
"Andere","2010","35-65","Ostdeutschland","150","","",""
"Andere","2010","66 +","Westdeutschland","90","0.0255975998697917","0.0199138976903606","0.0312813020492229"
"Andere","2010","66 +","Ostdeutschland","10","","",""
"voll erwerbstätig","2011","17-34","Westdeutschland","1795","","",""
"voll erwerbstätig","2011","17-34","Ostdeutschland","603","0.438757793135566","0.414777597413905","0.462737988857227"
"voll erwerbstätig","2011","35-65","Westdeutschland","6457","0.546918743464134","0.5383524278206","0.555485059107668"
"voll erwerbstätig","2011","35-65","Ostdeutschland","1902","","",""
"voll erwerbstätig","2011","66 +","Westdeutschland","51","0.0112287971068815","0.00790946254914018","0.0145481316646229"
"voll erwerbstätig","2011","66 +","Ostdeutschland","5","0.00324372470116343","0.000118933387869405","0.00636851601445746"
"Teilzeit","2011","17-34","Westdeutschland","577","0.0756956023598118","0.0688094598771682","0.0825817448424554"
"Teilzeit","2011","17-34","Ostdeutschland","167","","",""
"Teilzeit","2011","35-65","Westdeutschland","2609","","",""
"Teilzeit","2011","35-65","Ostdeutschland","516","0.125636808393657","0.114604267365896","0.136669349421417"
"Teilzeit","2011","66 +","Westdeutschland","65","0.0134488246389861","0.00982022978835477","0.0170774194896174"
"Teilzeit","2011","66 +","Ostdeutschland","4","0.00415867328031398","0.00062214602870762","0.00769520053192034"
"nicht erwerbstätig","2011","17-34","Westdeutschland","2323","","",""
"nicht erwerbstätig","2011","17-34","Ostdeutschland","657","0.33971380411963","0.316826858057061","0.362600750182199"
"nicht erwerbstätig","2011","35-65","Westdeutschland","3062","0.230609877741441","0.223361231971534","0.237858523511349"
"nicht erwerbstätig","2011","35-65","Ostdeutschland","882","0.249008338384832","0.234613868586693","0.263402808182971"
"nicht erwerbstätig","2011","66 +","Westdeutschland","3668","0.951889823234434","0.945148450758765","0.958631195710103"
"nicht erwerbstätig","2011","66 +","Ostdeutschland","1250","","",""
"Andere","2011","17-34","Westdeutschland","973","0.172277303914199","0.162446486381264","0.182108121447133"
"Andere","2011","17-34","Ostdeutschland","218","","",""
"Andere","2011","35-65","Westdeutschland","844","0.0599768656620774","0.0558907959196115","0.0640629354045433"
"Andere","2011","35-65","Ostdeutschland","167","","",""
"Andere","2011","66 +","Westdeutschland","87","0.0234325550196984","0.0186671759904645","0.0281979340489324"
"Andere","2011","66 +","Ostdeutschland","13","","",""
"voll erwerbstätig","2012","17-34","Westdeutschland","1716","","",""
"voll erwerbstätig","2012","17-34","Ostdeutschland","521","0.426390103875381","0.40124516627285","0.451535041477912"
"voll erwerbstätig","2012","35-65","Westdeutschland","6299","0.546376425515734","0.537692642100802","0.555060208930665"
"voll erwerbstätig","2012","35-65","Ostdeutschland","1895","","",""
"voll erwerbstätig","2012","66 +","Westdeutschland","49","0.0122137015824108","0.00877658638423795","0.0156508167805837"
"voll erwerbstätig","2012","66 +","Ostdeutschland","7","0.00414526822570393","0.00062821943809274","0.00766231701331511"
"Teilzeit","2012","17-34","Westdeutschland","515","0.0798018888385205","0.0725554047460732","0.0870483729309679"
"Teilzeit","2012","17-34","Ostdeutschland","152","","",""
"Teilzeit","2012","35-65","Westdeutschland","2652","","",""
"Teilzeit","2012","35-65","Ostdeutschland","546","0.13413845474449","0.122808998076235","0.145467911412745"
"Teilzeit","2012","66 +","Westdeutschland","76","0.0150051570104274","0.0112008444829593","0.0188094695378955"
"Teilzeit","2012","66 +","Ostdeutschland","6","0.0042697402881281","0.000700501033189119","0.00783897954306708"
"nicht erwerbstätig","2012","17-34","Westdeutschland","2102","","",""
"nicht erwerbstätig","2012","17-34","Ostdeutschland","595","0.346887693541348","0.322687041563074","0.371088345519623"
"nicht erwerbstätig","2012","35-65","Westdeutschland","2854","","",""
"nicht erwerbstätig","2012","35-65","Ostdeutschland","869","0.258702893364448","0.244144783161166","0.27326100356773"
"nicht erwerbstätig","2012","66 +","Westdeutschland","3667","0.941788921876238","0.934462050843007","0.949115792909469"
"nicht erwerbstätig","2012","66 +","Ostdeutschland","1254","","",""
"Andere","2012","17-34","Westdeutschland","1039","","",""
"Andere","2012","17-34","Ostdeutschland","218","","",""
"Andere","2012","35-65","Westdeutschland","821","0.0553495827853565","0.0513610980461959","0.0593380675245171"
"Andere","2012","35-65","Ostdeutschland","166","","",""
"Andere","2012","66 +","Westdeutschland","131","","",""
"Andere","2012","66 +","Ostdeutschland","15","","",""
"voll erwerbstätig","2013","17-34","Westdeutschland","2183","","",""
"voll erwerbstätig","2013","17-34","Ostdeutschland","488","0.425168308569068","0.399652093427971","0.450684523710164"
"voll erwerbstätig","2013","35-65","Westdeutschland","7053","0.538859013272499","0.530664099778655","0.547053926766342"
"voll erwerbstätig","2013","35-65","Ostdeutschland","1877","","",""
"voll erwerbstätig","2013","66 +","Westdeutschland","53","0.0109448197147665","0.00764285586895866","0.0142467835605742"
"voll erwerbstätig","2013","66 +","Ostdeutschland","9","0.00536072941921202","0.00128329033385355","0.00943816850457049"
"Teilzeit","2013","17-34","Westdeutschland","630","0.0794423313890869","0.0730826963703985","0.0858019664077752"
"Teilzeit","2013","17-34","Ostdeutschland","175","","",""
