year,regtyp,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Urban regions,male,Easy,0.30626,317,1300,0.28120,0.33133
2020,Urban regions,male,Difficult,0.52011,786,1300,0.49294,0.54728
2020,Urban regions,male,Almost impossible,0.17363,197,1300,0.15303,0.19423
2020,Urban regions,female,Easy,0.32533,458,1886,0.30418,0.34648
2020,Urban regions,female,Difficult,0.49516,1095,1886,0.47259,0.51773
2020,Urban regions,female,Almost impossible,0.17950,333,1886,0.16218,0.19683
2020,Rural regions,male,Easy,0.26265,125,522,0.22486,0.30044
2020,Rural regions,male,Difficult,0.55371,330,522,0.51102,0.59639
2020,Rural regions,male,Almost impossible,0.18365,67,522,0.15040,0.21689
2020,Rural regions,female,Easy,0.30556,173,744,0.27243,0.33868
2020,Rural regions,female,Difficult,0.46854,421,744,0.43265,0.50442
2020,Rural regions,female,Almost impossible,0.22591,150,744,0.19584,0.25598
2021,Urban regions,male,Easy,0.23957,80,338,0.19400,0.28515
2021,Urban regions,male,Difficult,0.56684,221,338,0.51394,0.61975
2021,Urban regions,male,Almost impossible,0.19358,37,338,0.15140,0.23577
2021,Urban regions,female,Easy,0.26607,110,461,0.22568,0.30645
2021,Urban regions,female,Difficult,0.61021,288,461,0.56564,0.65478
2021,Urban regions,female,Almost impossible,0.12372,63,461,0.09363,0.15381
2021,Rural regions,male,Difficult,0.36260,50,50,0.22799,0.49721
2021,Rural regions,female,Difficult,0.59173,72,72,0.47740,0.70606
2022,Urban regions,male,Easy,0.23572,61,214,0.17871,0.29272
2022,Urban regions,male,Difficult,0.61093,153,214,0.54546,0.67641
2022,Urban regions,female,Easy,0.24887,80,375,0.20505,0.29269
2022,Urban regions,female,Difficult,0.61218,245,375,0.56280,0.66156
2022,Urban regions,female,Almost impossible,0.13895,50,375,0.10389,0.17400
2022,Rural regions,male,Difficult,0.59803,39,39,0.44213,0.75392
2022,Rural regions,female,Easy,0.28044,32,105,0.19410,0.36678
2022,Rural regions,female,Difficult,0.63457,73,105,0.54202,0.72712
