,Unnamed: 0,year,regtyp,sampreg,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
343,343,2019,Urban regions,West,Difficult,0.48461,1628,4465,0.43383,0.53506
344,344,2019,Urban regions,West,Almost impossible,0.19203,423,4465,0.16086,0.23401
345,345,2019,Urban regions,East,Easy,0.35746,89,4465,0.25429,0.48177
346,346,2019,Urban regions,East,Difficult,0.44001,200,4465,0.33777,0.55262
347,347,2019,Urban regions,East,Almost impossible,0.20252,59,4465,0.13039,0.30126
348,348,2019,Rural regions,West,Easy,0.34707,226,4465,0.28043,0.409
349,349,2019,Rural regions,West,Difficult,0.49584,500,4465,0.38643,0.59385
350,350,2019,Rural regions,West,Almost impossible,0.1571,123,4465,0.12451,0.18687
351,351,2019,Rural regions,East,Easy,0.18245,85,4465,0.12935,0.23277
352,352,2019,Rural regions,East,Difficult,0.60948,273,4465,0.49476,0.74176
353,353,2019,Rural regions,East,Almost impossible,0.20807,115,4465,0.15173,0.27711
354,354,2020,Urban regions,West,Easy,0.31647,689,4455,0.27639,0.35577
355,355,2020,Urban regions,West,Difficult,0.49796,1649,4455,0.44841,0.54334
356,356,2020,Urban regions,West,Almost impossible,0.18557,495,4455,0.15772,0.21164
357,357,2020,Urban regions,East,Easy,0.31927,86,4455,0.23258,0.42376
358,358,2020,Urban regions,East,Difficult,0.5622,233,4455,0.4402,0.71371
359,359,2020,Urban regions,East,Almost impossible,0.11853,36,4455,0.07385,0.18605
360,360,2020,Rural regions,West,Easy,0.31234,210,4455,0.24448,0.39385
361,361,2020,Rural regions,West,Difficult,0.49105,470,4455,0.39103,0.58475
362,362,2020,Rural regions,West,Almost impossible,0.19661,134,4455,0.14823,0.25952
363,363,2020,Rural regions,East,Easy,0.22723,88,4455,0.16708,0.28913
364,364,2020,Rural regions,East,Difficult,0.54732,282,4455,0.45245,0.66699
365,365,2020,Rural regions,East,Almost impossible,0.22545,83,4455,0.15962,0.29011
366,366,2021,Urban regions,West,Easy,0.25289,167,930,0.19878,0.31808
367,367,2021,Urban regions,West,Difficult,0.60032,454,930,0.50968,0.70874
368,368,2021,Urban regions,West,Almost impossible,0.14679,92,930,0.10841,0.19605
369,369,2021,Urban regions,East,Difficult,1.0,55,930,0.70146,1.32344
370,370,2021,Rural regions,West,Easy,0.41119,40,930,0.23876,0.64627
371,371,2021,Rural regions,West,Difficult,0.58881,91,930,0.40674,0.8174
372,372,2021,Rural regions,East,Difficult,1.0,31,930,0.65194,1.50946
