year,plb0419_h,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
2007,Easy,3rd Quintile,female,0.1189873417721519,25385,0.11500435427805343,0.12297032926625036
2007,Easy,2nd Quintile,female,0.10126582278481013,25385,0.09755462103693853,0.10497702453268172
2007,Easy,1st Quintile,female,0.09620253164556962,25385,0.09257512454969895,0.09982993874144029
2007,Easy,4th Quintile,male,0.07848101265822785,25385,0.07517273516317302,0.08178929015328268
2007,Easy,3rd Quintile,male,0.07341772151898734,25385,0.07020916322925919,0.0766262798087155
2007,Easy,1st Quintile,male,0.06835443037974684,25385,0.06525004104110278,0.0714588197183909
2007,Easy,2nd Quintile,male,0.05822784810126582,25385,0.055347096713257174,0.06110859948927447
2007,Difficult,1st Quintile,female,0.15727391874180865,25385,0.15279535191391197,0.16175248556970534
2007,Difficult,3rd Quintile,female,0.14220183486238533,25385,0.13790535635066,0.14649831337411065
2007,Difficult,2nd Quintile,female,0.1382699868938401,25385,0.13402362447186097,0.14251634931581922
2007,Difficult,1st Quintile,male,0.1127129750982962,25385,0.10882264449570303,0.11660330570088936
2007,Difficult,4th Quintile,female,0.10288335517693316,25385,0.09914599886874584,0.10662071148512048
2007,Difficult,5th Quintile,female,0.0910878112712975,25385,0.08754817542558285,0.09462744711701215
2007,Difficult,2nd Quintile,male,0.07142857142857142,25385,0.06826038209152119,0.07459676076562166
2007,Difficult,3rd Quintile,male,0.06880733944954129,25385,0.06569343958668228,0.0719212393124003
2007,Difficult,4th Quintile,male,0.06487549148099607,25385,0.061845492114345244,0.0679054908476469
2007,Difficult,5th Quintile,male,0.05045871559633028,25385,0.04776598745456468,0.053151443738095876
2007,Almost impossible,1st Quintile,female,0.23076923076923078,25385,0.225586188358145,0.23595227318031656
2007,Almost impossible,1st Quintile,male,0.14756671899529042,25385,0.1432036518485434,0.15192978614203745
2007,Almost impossible,2nd Quintile,female,0.14442700156985872,25385,0.14010265771585487,0.14875134542386256
2007,Almost impossible,4th Quintile,female,0.09419152276295134,25385,0.09059823840457057,0.09778480712133211
2007,Almost impossible,3rd Quintile,female,0.09419152276295134,25385,0.09059823840457057,0.09778480712133211
2007,Almost impossible,2nd Quintile,male,0.07849293563579278,25385,0.0751844282541247,0.08180144301746085
2007,Almost impossible,4th Quintile,male,0.059654631083202514,25385,0.05674100870115787,0.06256825346524716
2007,Almost impossible,5th Quintile,female,0.058084772370486655,25385,0.05520734386028631,0.060962200880687
2007,Almost impossible,3rd Quintile,male,0.05180533751962323,25385,0.04907885012344476,0.054531824915801705
2007,Almost impossible,5th Quintile,male,0.04081632653061224,25385,0.03838224380486584,0.043250409256358646
2008,Easy,5th Quintile,female,0.17091836734693877,23673,0.1661229938672768,0.17571374082660074
2008,Easy,4th Quintile,female,0.16071428571428573,23673,0.15603573244138064,0.16539283898719082
2008,Easy,1st Quintile,female,0.1096938775510204,23673,0.10571289479361232,0.1136748603084285
2008,Easy,3rd Quintile,female,0.10714285714285714,23673,0.10320280451626807,0.11108290976944621
2008,Easy,5th Quintile,male,0.10714285714285714,23673,0.10320280451626807,0.11108290976944621
2008,Easy,4th Quintile,male,0.09438775510204081,23673,0.0906633372998612,0.09811217290422042
2008,Easy,3rd Quintile,male,0.06887755102040816,23673,0.06565149674595368,0.07210360529486264
2008,Easy,1st Quintile,male,0.06377551020408163,23673,0.06066274479452861,0.06688827561363465
2008,Easy,2nd Quintile,female,0.058673469387755105,23673,0.055679685433506015,0.061667253342004194
2008,Easy,2nd Quintile,male,0.058673469387755105,23673,0.055679685433506015,0.061667253342004194
2008,Difficult,1st Quintile,female,0.15699404761904762,23673,0.15235972422968702,0.1616283710084082
2008,Difficult,2nd Quintile,female,0.12797619047619047,23673,0.12372061612307374,0.13223176482930718
2008,Difficult,4th Quintile,female,0.12351190476190477,23673,0.11932052663329706,0.12770328289051247
2008,Difficult,1st Quintile,male,0.11383928571428571,23673,0.10979323101533307,0.11788534041323835
2008,Difficult,3rd Quintile,female,0.11160714285714286,23673,0.10759590933079385,0.11561837638349187
2008,Difficult,5th Quintile,female,0.10416666666666667,23673,0.10027525286489399,0.10805808046843936
