year,bula_h,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,"Rhineland-Palatinate, Saarland",Seldom,0.07752,105,21292,0.07726,0.07778
2001,"Rhineland-Palatinate, Saarland",Never,0.92248,1194,21292,0.92222,0.92274
2001,Baden-Wuerttemberg,At least once per month,0.01571,35,21292,0.01563,0.01580
2001,Baden-Wuerttemberg,Seldom,0.06681,159,21292,0.06664,0.06698
2001,Baden-Wuerttemberg,Never,0.91748,2348,21292,0.91729,0.91766
2001,Bavaria,At least once per month,0.01576,47,21292,0.01568,0.01584
2001,Bavaria,Seldom,0.06393,184,21292,0.06377,0.06408
2001,Bavaria,Never,0.92031,2729,21292,0.92014,0.92048
2001,Berlin,Seldom,0.05309,37,21292,0.05282,0.05336
2001,Berlin,Never,0.94691,718,21292,0.94664,0.94718
2001,Brandenburg,At least once per month,0.03865,33,21292,0.03839,0.03891
2001,Brandenburg,Seldom,0.06393,63,21292,0.06360,0.06425
2001,Brandenburg,Never,0.89742,847,21292,0.89702,0.89783
2001,Mecklenburg-Western Pomerania,Seldom,0.06455,35,21292,0.06413,0.06497
2001,Mecklenburg-Western Pomerania,Never,0.93545,453,21292,0.93503,0.93587
2001,Saxony,Seldom,0.04532,79,21292,0.04511,0.04553
2001,Saxony,Never,0.95468,1513,21292,0.95447,0.95489
2001,Saxony-Anhalt,Seldom,0.04477,55,21292,0.04449,0.04504
2001,Saxony-Anhalt,Never,0.95523,918,21292,0.95496,0.95551
2001,Thuringa,Seldom,0.07100,71,21292,0.07064,0.07137
2001,Thuringa,Never,0.92900,863,21292,0.92863,0.92936
2003,Schleswig-Holstein,Seldom,0.25133,169,21676,0.25078,0.25187
2003,Schleswig-Holstein,Never,0.74867,462,21676,0.74813,0.74922
2003,Hamburg,Never,1.00000,260,21676,1.00000,1.00000
2003,Lower Saxony,At least once per month,0.01504,34,21676,0.01495,0.01514
2003,Lower Saxony,Seldom,0.09181,160,21676,0.09158,0.09203
2003,Lower Saxony,Never,0.89315,1681,21676,0.89291,0.89339
2003,Bremen,Never,1.00000,158,21676,1.00000,1.00000
2003,North Rhine-Westphalia,At least once per week,0.00993,55,21676,0.00988,0.00998
2003,North Rhine-Westphalia,At least once per month,0.01045,61,21676,0.01040,0.01051
2003,North Rhine-Westphalia,Seldom,0.07709,357,21676,0.07695,0.07723
2003,North Rhine-Westphalia,Never,0.90253,4152,21676,0.90237,0.90268
2003,Hesse,Seldom,0.08110,124,21676,0.08085,0.08134
