year,pgisced97,quintil_oecd,pli0097_h,proportion,n,lower_confidence,upper_confidence
2015,higher education,1. Quintil,Seltener,0.000768521364893944,38036,0.0004900249054988404,0.0010470178242890475
2015,higher education,4. Quintil,Min 1x pro Woche,0.0007300952966492469,38036,0.00045864530586247915,0.0010015452874360146
2015,middle vocational,3. Quintil,Min 1x pro Woche,0.0007300952966492469,38036,0.00045864530586247915,0.0010015452874360146
2015,higher vocational,5. Quintil,Min 1x pro Monat,0.0007300952966492469,38036,0.00045864530586247915,0.0010015452874360146
2015,higher vocational,5. Quintil,Min 1x pro Woche,0.0007300952966492469,38036,0.00045864530586247915,0.0010015452874360146
2015,higher vocational,4. Quintil,Min 1x pro Monat,0.0007300952966492469,38036,0.00045864530586247915,0.0010015452874360146
2015,vocational + Abi,3. Quintil,Seltener,0.0006916692284045496,38036,0.0004274541288402184,0.0009558843279688808
2015,inadequately,5. Quintil,Nie,0.0006916692284045496,38036,0.0004274541288402184,0.0009558843279688808
2015,higher education,3. Quintil,Min 1x pro Monat,0.0005379649554257608,38036,0.0003049312205982541,0.0007709986902532675
2015,general elemantary,1. Quintil,Seltener,0.0004995388871810636,38036,0.00027497764477058624,0.000724100129591541
2015,middle vocational,2. Quintil,Min 1x pro Monat,0.0004995388871810636,38036,0.00027497764477058624,0.000724100129591541
2015,higher education,2. Quintil,Min 1x pro Monat,0.0004995388871810636,38036,0.00027497764477058624,0.000724100129591541
2015,general elemantary,5. Quintil,Seltener,0.0004995388871810636,38036,0.00027497764477058624,0.000724100129591541
2015,higher vocational,2. Quintil,Seltener,0.00046111281893636643,38036,0.00024535720868406474,0.0006768684291886681
2015,higher vocational,3. Quintil,Seltener,0.00046111281893636643,38036,0.00024535720868406474,0.0006768684291886681
2015,middle vocational,1. Quintil,Min 1x pro Monat,0.00046111281893636643,38036,0.00024535720868406474,0.0006768684291886681
2015,in school,3. Quintil,Seltener,0.000384260682446972,38036,0.00018729608641120896,0.000581225278482735
2015,vocational + Abi,5. Quintil,Min 1x pro Monat,0.0003074085459575776,38036,0.00013123128358748232,0.0004835858083276729
2015,higher education,1. Quintil,Min 1x pro Monat,0.0003074085459575776,38036,0.00013123128358748232,0.0004835858083276729
