,Unnamed: 0,year,pgisced97,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
322,322,2017,Lower Secondary Level,Seldom,0.02903,88,25685,0.02345,0.03503
323,323,2017,Lower Secondary Level,Never,0.97097,2606,25685,0.9281,1.00598
324,324,2017,Upper Secondary Level,At least once per week,0.00681,88,25685,0.00508,0.00846
325,325,2017,Upper Secondary Level,At least once per month,0.0113,151,25685,0.00931,0.01343
326,326,2017,Upper Secondary Level,Seldom,0.05745,638,25685,0.05265,0.06249
327,327,2017,Upper Secondary Level,Never,0.92445,11132,25685,0.90627,0.94125
328,328,2017,Post-secondary Non-tertiary Level,Seldom,0.05246,106,25685,0.04261,0.06285
329,329,2017,Post-secondary Non-tertiary Level,Never,0.94754,2061,25685,0.90068,1.00536
330,330,2017,First Stage of Tertiary Education,At least once per month,0.0225,35,25685,0.01443,0.03131
331,331,2017,First Stage of Tertiary Education,Seldom,0.08028,132,25685,0.06726,0.09453
332,332,2017,First Stage of Tertiary Education,Never,0.89722,1333,25685,0.85124,0.95673
333,333,2017,Second Stage of Tertiary Education,At least once per week,0.02339,135,25685,0.01932,0.02796
334,334,2017,Second Stage of Tertiary Education,At least once per month,0.03145,183,25685,0.02716,0.03656
335,335,2017,Second Stage of Tertiary Education,Seldom,0.08194,529,25685,0.07203,0.09021
336,336,2017,Second Stage of Tertiary Education,Never,0.86323,5645,25685,0.83656,0.89261
337,337,2019,Pre-primary Level,Seldom,0.10935,37,24902,0.07349,0.14936
338,338,2019,Pre-primary Level,Never,0.89065,272,24902,0.74573,1.03838
339,339,2019,Primary Level,Never,1.0,363,24902,0.887,1.12136
340,340,2019,Lower Secondary Level,Seldom,0.06728,148,24902,0.05601,0.08001
341,341,2019,Lower Secondary Level,Never,0.93272,2205,24902,0.88663,0.98143
342,342,2019,Upper Secondary Level,At least once per week,0.00824,136,24902,0.00644,0.01026
343,343,2019,Upper Secondary Level,At least once per month,0.0143,192,24902,0.012,0.01645
344,344,2019,Upper Secondary Level,Seldom,0.09299,987,24902,0.08691,0.10045
345,345,2019,Upper Secondary Level,Never,0.88447,9748,24902,0.86587,0.90578
346,346,2019,Post-secondary Non-tertiary Level,At least once per week,0.00619,32,24902,0.0032,0.01225
347,347,2019,Post-secondary Non-tertiary Level,At least once per month,0.02015,34,24902,0.01084,0.03043
348,348,2019,Post-secondary Non-tertiary Level,Seldom,0.09826,212,24902,0.08172,0.12086
349,349,2019,Post-secondary Non-tertiary Level,Never,0.8754,1891,24902,0.82872,0.92991
350,350,2019,First Stage of Tertiary Education,At least once per week,0.01714,35,24902,0.01016,0.02423
351,351,2019,First Stage of Tertiary Education,At least once per month,0.02393,66,24902,0.01717,0.03121
352,352,2019,First Stage of Tertiary Education,Seldom,0.10515,184,24902,0.08621,0.126
353,353,2019,First Stage of Tertiary Education,Never,0.85377,1370,24902,0.78481,0.90952
354,354,2019,Second Stage of Tertiary Education,At least once per week,0.02684,207,24902,0.02226,0.03224
355,355,2019,Second Stage of Tertiary Education,At least once per month,0.03183,292,24902,0.02727,0.03637
356,356,2019,Second Stage of Tertiary Education,Seldom,0.1116,918,24902,0.10205,0.12257
357,357,2019,Second Stage of Tertiary Education,Never,0.82974,5573,24902,0.79863,0.86234
