"e11102","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","2002","17-29","1 Einkommensschwächstes Quintil","697","0.621272787753906","0.593188707621053","0.64935686788676"
"erwerbstätig","2002","17-29","2","672","0.698043679824187","0.669473983993194","0.72661337565518"
"erwerbstätig","2002","17-29","3","565","0.76356299061473","0.73349318830374","0.79363279292572"
"erwerbstätig","2002","17-29","4","562","0.839112330582616","0.81244031976148","0.865784341403751"
"erwerbstätig","2002","17-29","5 Einkommensstärkstes Quintil","330","0.71622384158289","0.67698136111457","0.75546632205121"
"erwerbstätig","2002","30-45","1 Einkommensschwächstes Quintil","1010","0.701057964341006","0.677413074094541","0.72470285458747"
"erwerbstätig","2002","30-45","2","1518","0.85150552891902","0.835028010766694","0.867983047071346"
"erwerbstätig","2002","30-45","3","1272","0.910655210883285","0.895819255404449","0.925491166362122"
"erwerbstätig","2002","30-45","4","1331","0.930382293806013","0.917282795497163","0.943481792114863"
"erwerbstätig","2002","30-45","5 Einkommensstärkstes Quintil","1261","0.961865178065343","0.951614521937775","0.972115834192911"
"erwerbstätig","2002","46-65","1 Einkommensschwächstes Quintil","635","0.482677667502634","0.455822276076088","0.509533058929179"
"erwerbstätig","2002","46-65","2","880","0.603516156575822","0.578859772115739","0.628172541035906"
"erwerbstätig","2002","46-65","3","981","0.673169566538711","0.648985036678317","0.697354096399106"
"erwerbstätig","2002","46-65","4","1134","0.755509200914263","0.733715854051629","0.777302547776898"
"erwerbstätig","2002","46-65","5 Einkommensstärkstes Quintil","1734","0.818681877421398","0.802096451259261","0.835267303583535"
"erwerbstätig","2002","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2002","66","2","","","",""
"erwerbstätig","2002","66","3","","","",""
"erwerbstätig","2002","66","4","","","",""
"erwerbstätig","2002","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2003","17-29","1 Einkommensschwächstes Quintil","461","0.432841720403876","0.403694087103267","0.461989353704486"
"nicht erwerbstätig","2003","17-29","2","324","0.304838693078799","0.275839343760382","0.333838042397215"
"nicht erwerbstätig","2003","17-29","3","198","0.21014830777823","0.181087322110412","0.239209293446048"
"nicht erwerbstätig","2003","17-29","4","190","0.22534841409631","0.195163520864351","0.255533307328269"
"nicht erwerbstätig","2003","17-29","5 Einkommensstärkstes Quintil","175","0.349826913919044","0.305163477050194","0.394490350787894"
"nicht erwerbstätig","2003","30-45","1 Einkommensschwächstes Quintil","410","0.317758512738872","0.292726068333248","0.342790957144495"
"nicht erwerbstätig","2003","30-45","2","256","0.150428226897626","0.133297932525022","0.167558521270229"
"nicht erwerbstätig","2003","30-45","3","148","0.0958240773832638","0.0805786229498837","0.111069531816644"
"nicht erwerbstätig","2003","30-45","4","110","0.0621932671044716","0.0493955236114109","0.0749910105975323"
"nicht erwerbstätig","2003","30-45","5 Einkommensstärkstes Quintil","62","0.0473961166493735","0.0350344304773601","0.0597578028213868"
"nicht erwerbstätig","2003","46-65","1 Einkommensschwächstes Quintil","645","0.53227653537707","0.504255273650958","0.560297797103182"
"nicht erwerbstätig","2003","46-65","2","588","0.397132841309664","0.372111193453313","0.422154489166015"
"nicht erwerbstätig","2003","46-65","3","434","0.317446353941463","0.292363801089141","0.342528906793784"
"nicht erwerbstätig","2003","46-65","4","380","0.256136850261123","0.234854971366757","0.277418729155489"
"nicht erwerbstätig","2003","46-65","5 Einkommensstärkstes Quintil","316","0.171052010584411","0.15432168448945","0.187782336679371"
"nicht erwerbstätig","2003","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2003","66","2","","","",""
"nicht erwerbstätig","2003","66","3","","","",""
"nicht erwerbstätig","2003","66","4","","","",""
"nicht erwerbstätig","2003","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2003","17-29","1 Einkommensschwächstes Quintil","649","0.567158279596124","0.538010646295514","0.596305912896734"
"erwerbstätig","2003","17-29","2","644","0.695161306921201","0.666161957602785","0.724160656239618"
"erwerbstätig","2003","17-29","3","557","0.78985169222177","0.760790706553952","0.818912677889588"
"erwerbstätig","2003","17-29","4","546","0.77465158590369","0.744466692671731","0.80483647913565"
"erwerbstätig","2003","17-29","5 Einkommensstärkstes Quintil","263","0.650173086080956","0.605509649212106","0.694836522949806"
"erwerbstätig","2003","30-45","1 Einkommensschwächstes Quintil","919","0.682241487261129","0.657209042855505","0.707273931666752"
"erwerbstätig","2003","30-45","2","1417","0.849571773102374","0.832441478729771","0.866702067474978"
"erwerbstätig","2003","30-45","3","1284","0.904175922616736","0.888930468183356","0.919421377050116"
"erwerbstätig","2003","30-45","4","1258","0.937806732895528","0.925008989402468","0.950604476388589"
"erwerbstätig","2003","30-45","5 Einkommensstärkstes Quintil","1073","0.952603883350627","0.940242197178613","0.96496556952264"
"erwerbstätig","2003","46-65","1 Einkommensschwächstes Quintil","573","0.46772346462293","0.439702202896818","0.495744726349042"
"erwerbstätig","2003","46-65","2","881","0.602867158690336","0.577845510833986","0.627888806546687"
"erwerbstätig","2003","46-65","3","889","0.682553646058537","0.657471093206216","0.707636198910859"
"erwerbstätig","2003","46-65","4","1236","0.743863149738877","0.722581270844511","0.765145028633243"
"erwerbstätig","2003","46-65","5 Einkommensstärkstes Quintil","1630","0.828947989415589","0.812217663320629","0.84567831551055"
"erwerbstätig","2003","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2003","66","2","","","",""
"erwerbstätig","2003","66","3","","","",""
"erwerbstätig","2003","66","4","","","",""
"erwerbstätig","2003","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2004","17-29","1 Einkommensschwächstes Quintil","471","0.423561040384515","0.394280836529431","0.452841244239599"
"nicht erwerbstätig","2004","17-29","2","344","0.311898241700374","0.282952589543641","0.340843893857107"
"nicht erwerbstätig","2004","17-29","3","221","0.297670591944937","0.264038234579332","0.331302949310541"
"nicht erwerbstätig","2004","17-29","4","199","0.226985351960536","0.196260361070016","0.257710342851057"
"nicht erwerbstätig","2004","17-29","5 Einkommensstärkstes Quintil","169","0.294899264862573","0.25304611982992","0.336752409895227"
"nicht erwerbstätig","2004","30-45","1 Einkommensschwächstes Quintil","403","0.314178267270066","0.288568118267404","0.339788416272729"
"nicht erwerbstätig","2004","30-45","2","257","0.162883293541894","0.144434836176944","0.181331750906843"
"nicht erwerbstätig","2004","30-45","3","117","0.086077088556624","0.0706756267196341","0.101478550393614"
"nicht erwerbstätig","2004","30-45","4","92","0.0566576384506813","0.0442701307556976","0.069045146145665"
"nicht erwerbstätig","2004","30-45","5 Einkommensstärkstes Quintil","67","0.0500720803872955","0.0372765250966054","0.0628676356779857"
"nicht erwerbstätig","2004","46-65","1 Einkommensschwächstes Quintil","631","0.51345011230577","0.485158915856159","0.541741308755381"
"nicht erwerbstätig","2004","46-65","2","559","0.399541821627284","0.374173070561561","0.424910572693007"
"nicht erwerbstätig","2004","46-65","3","405","0.325349884433125","0.299511756532641","0.351188012333609"
"nicht erwerbstätig","2004","46-65","4","368","0.242230941600339","0.220846931699145","0.263614951501533"
"nicht erwerbstätig","2004","46-65","5 Einkommensstärkstes Quintil","308","0.164808627391703","0.148252264073534","0.181364990709872"
"nicht erwerbstätig","2004","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2004","66","2","","","",""
"nicht erwerbstätig","2004","66","3","","","",""
"nicht erwerbstätig","2004","66","4","","","",""
"nicht erwerbstätig","2004","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2004","17-29","1 Einkommensschwächstes Quintil","623","0.576438959615485","0.547158755760401","0.605719163470569"
"erwerbstätig","2004","17-29","2","640","0.688101758299626","0.659156106142893","0.717047410456359"
"erwerbstätig","2004","17-29","3","489","0.702329408055063","0.668697050689459","0.735961765420668"
"erwerbstätig","2004","17-29","4","515","0.773014648039464","0.742289657148943","0.803739638929984"
"erwerbstätig","2004","17-29","5 Einkommensstärkstes Quintil","287","0.705100735137427","0.663247590104773","0.74695388017008"
"erwerbstätig","2004","30-45","1 Einkommensschwächstes Quintil","859","0.685821732729934","0.660211583727271","0.711431881732597"
"erwerbstätig","2004","30-45","2","1282","0.837116706458106","0.818668249093157","0.855565163823056"
"erwerbstätig","2004","30-45","3","1157","0.913922911443376","0.898521449606386","0.929324373280366"
"erwerbstätig","2004","30-45","4","1246","0.943342361549319","0.930954853854335","0.955729869244302"
"erwerbstätig","2004","30-45","5 Einkommensstärkstes Quintil","1049","0.949927919612705","0.937132364322014","0.962723474903395"
"erwerbstätig","2004","46-65","1 Einkommensschwächstes Quintil","568","0.48654988769423","0.458258691244619","0.514841084143841"
"erwerbstätig","2004","46-65","2","873","0.600458178372716","0.575089427306993","0.625826929438439"
"erwerbstätig","2004","46-65","3","858","0.674650115566875","0.648811987666391","0.700488243467359"
"erwerbstätig","2004","46-65","4","1174","0.757769058399661","0.736385048498468","0.779153068300855"
"erwerbstätig","2004","46-65","5 Einkommensstärkstes Quintil","1621","0.835191372608297","0.818635009290128","0.851747735926466"
"erwerbstätig","2004","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2004","66","2","","","",""
"erwerbstätig","2004","66","3","","","",""
"erwerbstätig","2004","66","4","","","",""
"erwerbstätig","2004","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2005","17-29","1 Einkommensschwächstes Quintil","519","0.438033745561217","0.409131353967682","0.466936137154752"
"nicht erwerbstätig","2005","17-29","2","325","0.330498297434733","0.299436928430969","0.361559666438497"
"nicht erwerbstätig","2005","17-29","3","188","0.245001312155141","0.212139428948903","0.277863195361379"
"nicht erwerbstätig","2005","17-29","4","183","0.200215608210405","0.170863830297893","0.229567386122917"
"nicht erwerbstätig","2005","17-29","5 Einkommensstärkstes Quintil","163","0.290332768336398","0.248063801592816","0.332601735079981"
"nicht erwerbstätig","2005","30-45","1 Einkommensschwächstes Quintil","398","0.327501565110862","0.301124065067566","0.353879065154158"
"nicht erwerbstätig","2005","30-45","2","212","0.154865670825647","0.135617094311757","0.174114247339536"
"nicht erwerbstätig","2005","30-45","3","108","0.0786035560564541","0.0632027501369342","0.0940043619759739"
"nicht erwerbstätig","2005","30-45","4","81","0.0560165994801478","0.0432020367746356","0.06883116218566"
"nicht erwerbstätig","2005","30-45","5 Einkommensstärkstes Quintil","55","0.0356339922378036","0.0247039928037952","0.0465639916718119"
"nicht erwerbstätig","2005","46-65","1 Einkommensschwächstes Quintil","605","0.492686826106434","0.46424573349023","0.521127918722637"
"nicht erwerbstätig","2005","46-65","2","523","0.391291978101787","0.365003885053739","0.417580071149835"
"nicht erwerbstätig","2005","46-65","3","333","0.281890135343213","0.256098657912357","0.30768161277407"
"nicht erwerbstätig","2005","46-65","4","317","0.223691394583157","0.202220226873456","0.245162562292858"
"nicht erwerbstätig","2005","46-65","5 Einkommensstärkstes Quintil","305","0.160075430355263","0.143540034594119","0.176610826116407"
"nicht erwerbstätig","2005","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2005","66","2","","","",""
"nicht erwerbstätig","2005","66","3","","","",""
"nicht erwerbstätig","2005","66","4","","","",""
"nicht erwerbstätig","2005","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2005","17-29","1 Einkommensschwächstes Quintil","613","0.561966254438783","0.533063862845248","0.590868646032318"
"erwerbstätig","2005","17-29","2","556","0.669501702565267","0.638440333561503","0.700563071569031"
"erwerbstätig","2005","17-29","3","470","0.754998687844859","0.722136804638622","0.787860571051097"
"erwerbstätig","2005","17-29","4","531","0.799784391789595","0.770432613877083","0.829136169702107"
"erwerbstätig","2005","17-29","5 Einkommensstärkstes Quintil","280","0.709667231663602","0.667398264920019","0.751936198407184"
"erwerbstätig","2005","30-45","1 Einkommensschwächstes Quintil","818","0.672498434889138","0.646120934845843","0.698875934932434"
"erwerbstätig","2005","30-45","2","1145","0.845134329174353","0.825885752660464","0.864382905688243"
"erwerbstätig","2005","30-45","3","1065","0.921396443943546","0.905995638024026","0.936797249863066"
"erwerbstätig","2005","30-45","4","1156","0.943983400519852","0.93116883781434","0.956797963225364"
"erwerbstätig","2005","30-45","5 Einkommensstärkstes Quintil","1050","0.964366007762196","0.953436008328188","0.975296007196205"
"erwerbstätig","2005","46-65","1 Einkommensschwächstes Quintil","582","0.507313173893567","0.478872081277363","0.53575426650977"
"erwerbstätig","2005","46-65","2","801","0.608708021898213","0.582419928850165","0.634996114946261"
"erwerbstätig","2005","46-65","3","836","0.718109864656787","0.69231838722593","0.743901342087643"
"erwerbstätig","2005","46-65","4","1130","0.776308605416843","0.754837437707142","0.797779773126544"
"erwerbstätig","2005","46-65","5 Einkommensstärkstes Quintil","1584","0.839924569644737","0.823389173883593","0.856459965405881"
"erwerbstätig","2005","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2005","66","2","","","",""
"erwerbstätig","2005","66","3","","","",""
"erwerbstätig","2005","66","4","","","",""
"erwerbstätig","2005","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2006","17-29","1 Einkommensschwächstes Quintil","537","0.440851512513912","0.412366106907348","0.469336918120475"
"nicht erwerbstätig","2006","17-29","2","332","0.313038058066327","0.283023750239664","0.343052365892989"
"nicht erwerbstätig","2006","17-29","3","262","0.317224496814904","0.283371111468137","0.351077882161672"
"nicht erwerbstätig","2006","17-29","4","217","0.226065222696411","0.196385838781182","0.255744606611639"
"nicht erwerbstätig","2006","17-29","5 Einkommensstärkstes Quintil","180","0.328212746862657","0.282705554857045","0.373719938868268"
"nicht erwerbstätig","2006","30-45","1 Einkommensschwächstes Quintil","427","0.34757445829475","0.32087503426071","0.374273882328791"
"nicht erwerbstätig","2006","30-45","2","249","0.170119667546655","0.150576771693265","0.189662563400045"
"nicht erwerbstätig","2006","30-45","3","121","0.0942602773311783","0.0779045854686994","0.110615969193657"
"nicht erwerbstätig","2006","30-45","4","98","0.071083662732358","0.0569344269754973","0.0852328984892187"
"nicht erwerbstätig","2006","30-45","5 Einkommensstärkstes Quintil","60","0.0466537410314595","0.034438165927409","0.0588693161355101"
"nicht erwerbstätig","2006","46-65","1 Einkommensschwächstes Quintil","632","0.529878909660901","0.501872247020906","0.557885572300895"
"nicht erwerbstätig","2006","46-65","2","534","0.359965375671197","0.335234133829035","0.384696617513359"
"nicht erwerbstätig","2006","46-65","3","359","0.266608970077902","0.242571896637215","0.290646043518589"
"nicht erwerbstätig","2006","46-65","4","346","0.207444192548475","0.187735700917422","0.227152684179527"
"nicht erwerbstätig","2006","46-65","5 Einkommensstärkstes Quintil","326","0.157544523511762","0.141513827026777","0.173575219996747"
"nicht erwerbstätig","2006","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2006","66","2","","","",""
"nicht erwerbstätig","2006","66","3","","","",""
"nicht erwerbstätig","2006","66","4","","","",""
"nicht erwerbstätig","2006","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2006","17-29","1 Einkommensschwächstes Quintil","630","0.559148487486088","0.530663081879525","0.587633893092652"
"erwerbstätig","2006","17-29","2","585","0.686961941933673","0.65694763410701","0.716976249760336"
"erwerbstätig","2006","17-29","3","464","0.682775503185096","0.648922117838328","0.716628888531863"
"erwerbstätig","2006","17-29","4","546","0.773934777303589","0.744255393388361","0.803614161218818"
"erwerbstätig","2006","17-29","5 Einkommensstärkstes Quintil","229","0.671787253137343","0.626280061131732","0.717294445142955"
"erwerbstätig","2006","30-45","1 Einkommensschwächstes Quintil","795","0.65242554170525","0.625726117671209","0.67912496573929"
"erwerbstätig","2006","30-45","2","1171","0.829880332453345","0.810337436599955","0.849423228306735"
"erwerbstätig","2006","30-45","3","1105","0.905739722668822","0.889384030806343","0.922095414531301"
"erwerbstätig","2006","30-45","4","1169","0.928916337267642","0.914767101510781","0.943065573024503"
"erwerbstätig","2006","30-45","5 Einkommensstärkstes Quintil","1085","0.95334625896854","0.94113068386449","0.965561834072591"
"erwerbstätig","2006","46-65","1 Einkommensschwächstes Quintil","588","0.470121090339099","0.442114427699105","0.498127752979094"
"erwerbstätig","2006","46-65","2","913","0.640034624328803","0.615303382486641","0.664765866170965"
"erwerbstätig","2006","46-65","3","941","0.733391029922098","0.709353956481411","0.757428103362785"
"erwerbstätig","2006","46-65","4","1280","0.792555807451525","0.772847315820473","0.812264299082578"
"erwerbstätig","2006","46-65","5 Einkommensstärkstes Quintil","1658","0.842455476488238","0.826424780003253","0.858486172973223"
"erwerbstätig","2006","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2006","66","2","","","",""
"erwerbstätig","2006","66","3","","","",""
"erwerbstätig","2006","66","4","","","",""
"erwerbstätig","2006","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2007","17-29","1 Einkommensschwächstes Quintil","514","0.468584668578737","0.438415884248283","0.49875345290919"
"nicht erwerbstätig","2007","17-29","2","349","0.388024398468219","0.355699472399317","0.42034932453712"
"nicht erwerbstätig","2007","17-29","3","221","0.280694743121212","0.246822145758378","0.314567340484046"
"nicht erwerbstätig","2007","17-29","4","220","0.207199437552336","0.177449943303893","0.236948931800778"
"nicht erwerbstätig","2007","17-29","5 Einkommensstärkstes Quintil","176","0.289806019788595","0.246572549027161","0.333039490550028"
"nicht erwerbstätig","2007","30-45","1 Einkommensschwächstes Quintil","335","0.351211601093893","0.321187193973833","0.381236008213954"
"nicht erwerbstätig","2007","30-45","2","195","0.151921794633659","0.13229612339505","0.171547465872268"
"nicht erwerbstätig","2007","30-45","3","111","0.0889084037094519","0.0726418011025343","0.10517500631637"
"nicht erwerbstätig","2007","30-45","4","77","0.0554560527603107","0.0425122421724744","0.068399863348147"
"nicht erwerbstätig","2007","30-45","5 Einkommensstärkstes Quintil","52","0.0398572421768029","0.028168615623686","0.0515458687299198"
"nicht erwerbstätig","2007","46-65","1 Einkommensschwächstes Quintil","587","0.518475412421234","0.489534070475419","0.547416754367049"
"nicht erwerbstätig","2007","46-65","2","445","0.349861853022116","0.323642230418902","0.376081475625329"
"nicht erwerbstätig","2007","46-65","3","286","0.250440308364038","0.225122444712627","0.275758172015449"
"nicht erwerbstätig","2007","46-65","4","330","0.21191412454367","0.191864863444843","0.231963385642497"
"nicht erwerbstätig","2007","46-65","5 Einkommensstärkstes Quintil","302","0.143069039163863","0.127419404763459","0.158718673564266"
"nicht erwerbstätig","2007","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2007","66","2","","","",""
"nicht erwerbstätig","2007","66","3","","","",""
"nicht erwerbstätig","2007","66","4","","","",""
"nicht erwerbstätig","2007","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2007","17-29","1 Einkommensschwächstes Quintil","537","0.531415331421263","0.50124654709081","0.561584115751717"
"erwerbstätig","2007","17-29","2","524","0.611975601531781","0.57965067546288","0.644300527600682"
"erwerbstätig","2007","17-29","3","455","0.719305256878788","0.685432659515954","0.753177854241622"
"erwerbstätig","2007","17-29","4","493","0.792800562447664","0.763051068199222","0.822550056696107"
"erwerbstätig","2007","17-29","5 Einkommensstärkstes Quintil","247","0.710193980211405","0.666960509449972","0.753427450972839"
"erwerbstätig","2007","30-45","1 Einkommensschwächstes Quintil","636","0.648788398906107","0.618763991786046","0.678812806026167"
"erwerbstätig","2007","30-45","2","1090","0.848078205366341","0.828452534127732","0.86770387660495"
"erwerbstätig","2007","30-45","3","1065","0.911091596290548","0.89482499368363","0.927358198897466"
"erwerbstätig","2007","30-45","4","1124","0.944543947239689","0.931600136651853","0.957487757827526"
"erwerbstätig","2007","30-45","5 Einkommensstärkstes Quintil","1024","0.960142757823197","0.94845413127008","0.971831384376314"
"erwerbstätig","2007","46-65","1 Einkommensschwächstes Quintil","558","0.481524587578766","0.452583245632951","0.510465929524581"
"erwerbstätig","2007","46-65","2","826","0.650138146977884","0.623918524374671","0.676357769581098"
"erwerbstätig","2007","46-65","3","839","0.749559691635962","0.724241827984551","0.774877555287373"
"erwerbstätig","2007","46-65","4","1266","0.78808587545633","0.768036614357503","0.808135136555157"
"erwerbstätig","2007","46-65","5 Einkommensstärkstes Quintil","1621","0.856930960836137","0.841281326435734","0.872580595236541"
"erwerbstätig","2007","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2007","66","2","","","",""
"erwerbstätig","2007","66","3","","","",""
"erwerbstätig","2007","66","4","","","",""
"erwerbstätig","2007","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2008","17-29","1 Einkommensschwächstes Quintil","434","0.467108168075158","0.434603026346688","0.499613309803628"
"nicht erwerbstätig","2008","17-29","2","304","0.377358529853975","0.342851339842098","0.411865719865851"
"nicht erwerbstätig","2008","17-29","3","193","0.27899035498916","0.244078848157893","0.313901861820427"
"nicht erwerbstätig","2008","17-29","4","194","0.211729129786606","0.181090750766344","0.242367508806868"
"nicht erwerbstätig","2008","17-29","5 Einkommensstärkstes Quintil","172","0.292956267467912","0.25003912943986","0.335873405495963"
"nicht erwerbstätig","2008","30-45","1 Einkommensschwächstes Quintil","261","0.32846902937141","0.296005158393752","0.360932900349068"
"nicht erwerbstätig","2008","30-45","2","152","0.139363399448712","0.118294896092212","0.160431902805212"
"nicht erwerbstätig","2008","30-45","3","101","0.0906305362513515","0.0736032973281533","0.10765777517455"
"nicht erwerbstätig","2008","30-45","4","69","0.0495396559890675","0.0369819625702615","0.0620973494078735"
"nicht erwerbstätig","2008","30-45","5 Einkommensstärkstes Quintil","47","0.0334905672405466","0.022800069070819","0.0441810654102742"
"nicht erwerbstätig","2008","46-65","1 Einkommensschwächstes Quintil","516","0.496629613197037","0.466358556112147","0.526900670281926"
"nicht erwerbstätig","2008","46-65","2","362","0.313414543159665","0.2866504792008","0.34017860711853"
"nicht erwerbstätig","2008","46-65","3","270","0.243839618996453","0.218567514254219","0.269111723738688"
"nicht erwerbstätig","2008","46-65","4","321","0.205493735025357","0.185180726393878","0.225806743656835"
"nicht erwerbstätig","2008","46-65","5 Einkommensstärkstes Quintil","272","0.129727689946321","0.114470112302713","0.14498526758993"
"nicht erwerbstätig","2008","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2008","66","2","","","",""
"nicht erwerbstätig","2008","66","3","","","",""
"nicht erwerbstätig","2008","66","4","","","",""
"nicht erwerbstätig","2008","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2008","17-29","1 Einkommensschwächstes Quintil","471","0.532891831924842","0.500386690196372","0.565396973653312"
"erwerbstätig","2008","17-29","2","454","0.622641470146026","0.588134280134149","0.657148660157902"
"erwerbstätig","2008","17-29","3","441","0.72100964501084","0.686098138179573","0.755921151842107"
"erwerbstätig","2008","17-29","4","489","0.788270870213394","0.757632491193132","0.818909249233656"
"erwerbstätig","2008","17-29","5 Einkommensstärkstes Quintil","260","0.707043732532088","0.664126594504037","0.74996087056014"
"erwerbstätig","2008","30-45","1 Einkommensschwächstes Quintil","543","0.67153097062859","0.639067099650932","0.703994841606248"
"erwerbstätig","2008","30-45","2","886","0.860636600551288","0.839568097194788","0.881705103907788"
"erwerbstätig","2008","30-45","3","991","0.909369463748648","0.89234222482545","0.926396702671847"
"erwerbstätig","2008","30-45","4","1078","0.950460344010932","0.937902650592126","0.963018037429739"
"erwerbstätig","2008","30-45","5 Einkommensstärkstes Quintil","1041","0.966509432759453","0.955818934589726","0.977199930929181"
"erwerbstätig","2008","46-65","1 Einkommensschwächstes Quintil","532","0.503370386802963","0.473099329718074","0.533641443887853"
"erwerbstätig","2008","46-65","2","792","0.686585456840335","0.65982139288147","0.7133495207992"
"erwerbstätig","2008","46-65","3","839","0.756160381003547","0.730888276261312","0.781432485745781"
"erwerbstätig","2008","46-65","4","1199","0.794506264974643","0.774193256343165","0.814819273606122"
"erwerbstätig","2008","46-65","5 Einkommensstärkstes Quintil","1591","0.870272310053679","0.85501473241007","0.885529887697287"
"erwerbstätig","2008","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2008","66","2","","","",""
"erwerbstätig","2008","66","3","","","",""
"erwerbstätig","2008","66","4","","","",""
"erwerbstätig","2008","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2009","17-29","1 Einkommensschwächstes Quintil","367","0.441564252505338","0.407046056862497","0.476082448148178"
"nicht erwerbstätig","2009","17-29","2","247","0.332272945758827","0.296255543729481","0.368290347788173"
"nicht erwerbstätig","2009","17-29","3","179","0.288175633392805","0.250961577018776","0.325389689766834"
"nicht erwerbstätig","2009","17-29","4","180","0.238997215120473","0.205153914103726","0.272840516137221"
"nicht erwerbstätig","2009","17-29","5 Einkommensstärkstes Quintil","157","0.256848711864426","0.216923568100147","0.296773855628705"
"nicht erwerbstätig","2009","30-45","1 Einkommensschwächstes Quintil","207","0.298245999339625","0.263733535343018","0.332758463336231"
"nicht erwerbstätig","2009","30-45","2","115","0.112136886686911","0.0917365380618835","0.132537235311939"
"nicht erwerbstätig","2009","30-45","3","93","0.0998486327024171","0.0808245932689197","0.118872672135915"
"nicht erwerbstätig","2009","30-45","4","58","0.0439815334919301","0.0317464850511234","0.0562165819327368"
"nicht erwerbstätig","2009","30-45","5 Einkommensstärkstes Quintil","43","0.0304639833732533","0.0200589669977677","0.0408689997487388"
"nicht erwerbstätig","2009","46-65","1 Einkommensschwächstes Quintil","436","0.478922626417355","0.446987550735392","0.510857702099317"
"nicht erwerbstätig","2009","46-65","2","325","0.314296928861713","0.286506911742352","0.342086945981074"
"nicht erwerbstätig","2009","46-65","3","232","0.236821046020973","0.210378893436631","0.263263198605314"
"nicht erwerbstätig","2009","46-65","4","275","0.178447831098621","0.158940832917164","0.197954829280078"
"nicht erwerbstätig","2009","46-65","5 Einkommensstärkstes Quintil","274","0.127507347631858","0.112267252620315","0.142747442643401"
"nicht erwerbstätig","2009","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2009","66","2","","","",""
"nicht erwerbstätig","2009","66","3","","","",""
"nicht erwerbstätig","2009","66","4","","","",""
"nicht erwerbstätig","2009","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2009","17-29","1 Einkommensschwächstes Quintil","428","0.558435747494662","0.523917551851822","0.592953943137503"
"erwerbstätig","2009","17-29","2","410","0.667727054241173","0.631709652211827","0.703744456270519"
"erwerbstätig","2009","17-29","3","390","0.711824366607195","0.674610310233166","0.749038422981224"
"erwerbstätig","2009","17-29","4","430","0.761002784879527","0.727159483862779","0.794846085896274"
"erwerbstätig","2009","17-29","5 Einkommensstärkstes Quintil","303","0.743151288135574","0.703226144371295","0.783076431899853"
"erwerbstätig","2009","30-45","1 Einkommensschwächstes Quintil","468","0.701754000660375","0.667241536663769","0.736266464656982"
"erwerbstätig","2009","30-45","2","804","0.887863113313089","0.867462764688061","0.908263461938116"
"erwerbstätig","2009","30-45","3","861","0.900151367297583","0.881127327864086","0.91917540673108"
"erwerbstätig","2009","30-45","4","1021","0.95601846650807","0.943783418067263","0.968253514948877"
"erwerbstätig","2009","30-45","5 Einkommensstärkstes Quintil","1005","0.969536016626747","0.959131000251261","0.979941033002232"
"erwerbstätig","2009","46-65","1 Einkommensschwächstes Quintil","504","0.521077373582645","0.489142297900683","0.553012449264608"
"erwerbstätig","2009","46-65","2","747","0.685703071138287","0.657913054018926","0.713493088257648"
"erwerbstätig","2009","46-65","3","761","0.763178953979027","0.736736801394686","0.789621106563369"
"erwerbstätig","2009","46-65","4","1205","0.821552168901379","0.802045170719922","0.841059167082836"
"erwerbstätig","2009","46-65","5 Einkommensstärkstes Quintil","1566","0.872492652368142","0.857252557356598","0.887732747379685"
"erwerbstätig","2009","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2009","66","2","","","",""
