year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2009,46-65 y.,4th Quintile,938,8.941437201590745,8.718684706711645,9.164189696469844,2.3329999446868896,7.333000183105469,13.696683409046258,0.0,29.583,7.333,6.1660003662109375,7.999000549316406
2009,46-65 y.,5th Quintile,1068,9.04358195175882,8.851743722104619,9.235420181413023,3.5829999446868896,7.666999816894531,13.655541626841318,0.0,28.75,7.667,6.581924629211425,8.421174812316895
2009,66 and older,1st Quintile,284,7.627507454111276,7.132882734432955,8.122132173789598,0.9169999957084656,3.9467030674331713,11.256527418189687,0.0,26.765818551911522,3.917,2.2488999366760245,5.001000165939331
2009,66 and older,2nd Quintile,459,12.441536356538263,11.993968420379122,12.889104292697404,4.002585211532073,9.500610612495635,18.150318547395692,0.0,39.37191855119112,9.5,7.497924995422363,10.416999816894531
2009,66 and older,3rd Quintile,764,15.32610655614254,14.950825180421697,15.701387931863382,6.333000183105469,14.20608770528428,23.354208564140517,0.0,45.083,14.25,12.333000183105469,16.502075004577637
2009,66 and older,4th Quintile,1076,17.520874939418253,17.178677836744527,17.86307204209198,7.333000183105469,17.08300018310547,27.41699981689453,0.0,48.0,17.083,15.749000549316406,19.166000366210938
2009,66 and older,5th Quintile,1869,19.02062322151642,18.771621984079196,19.269624458953643,9.5,18.25,28.384418992548277,0.0,48.0,18.25,17.745825004577636,18.91907482147217
2009,,1st Quintile,,,,,,,,,,,,
2009,,2nd Quintile,,,,,,,,,,,,
2009,,3rd Quintile,30,19.93643880801281,16.878401325478343,22.994476290547276,3.663724365925835,15.124480497480697,31.083738401285796,0.583,57.5,15.667,2.0319246292114137,24.985749810934067
2009,,4th Quintile,40,20.58134188982343,17.9189302968548,23.243753482792062,5.216919742237437,10.37519007271845,37.96239231664571,0.333,52.833,10.25,-13.75,14.416999816894531
2009,,5th Quintile,117,24.030071750994455,22.548566607593784,25.511576894395127,8.353900593471035,23.363411595033003,38.981042919805795,0.167,59.167,23.917,17.802749633789055,31.20449981689453
2010,17-29 y.,1st Quintile,,,,,,,,,,,,
2010,17-29 y.,2nd Quintile,,,,,,,,,,,,
2010,17-29 y.,3rd Quintile,,,,,,,,,,,,
2010,17-29 y.,4th Quintile,,,,,,,,,,,,
2010,17-29 y.,5th Quintile,,,,,,,,,,,,
2010,30-45 y.,1st Quintile,296,1.6406487955895492,1.5446989936191202,1.7365985975599783,0.4169999957084656,1.0829999446868896,2.3329999446868896,0.0,5.206999868154526,1.083,0.7469248354434963,1.4180748894810677
2010,30-45 y.,2nd Quintile,280,2.6415577825920127,2.5107365141092846,2.772379051074741,0.7583319814593134,1.9170000553131104,3.9170000553131104,0.0,8.655002166093805,1.917,1.3340001106262207,2.251000165939331
2010,30-45 y.,3rd Quintile,326,2.534331932236519,2.408230569443861,2.660433295029177,0.6709237486014717,1.6670000553131104,3.5829999446868896,0.0,7.951114238815016,1.667,0.9149250566959375,1.8340001106262207
2010,30-45 y.,4th Quintile,313,3.2602836481455015,3.099216508688635,3.421350787602368,1.0,2.4170000553131104,4.694844094229557,0.0,10.237110235573894,2.417,2.001000165939331,3.0840001106262207
2010,30-45 y.,5th Quintile,265,3.0912730977168366,2.9373983686063148,3.2451478268273584,0.9797642119163235,2.4170000553131104,4.5,0.0,9.780353682125515,2.417,2.1649250566959375,3.0840001106262207
2010,46-65 y.,1st Quintile,354,6.729705277077872,6.41619152674186,7.043219027413883,1.533807752030404,4.416999816894531,11.333000183105469,0.0,26.031788829718067,4.417,2.0839996337890625,5.750999689102173
2010,46-65 y.,2nd Quintile,585,7.856861771574858,7.569210888653814,8.144512654495902,1.9170000553131104,5.666999816894531,11.738368098854004,0.0,26.470420164165343,5.667,4.166999816894531,7.500999689102173
2010,46-65 y.,3rd Quintile,761,8.714346612710196,8.465646991866661,8.963046233553731,2.75,7.0,12.583000183105469,0.0,27.332500457763672,7.0,5.914899826049805,7.75
2010,46-65 y.,4th Quintile,832,9.15775930058216,8.918497932098814,9.397020669065506,2.8329999446868896,7.5,14.166999816894531,0.0,29.75,7.5,6.333000183105469,8.335100173950195
2010,46-65 y.,5th Quintile,899,8.984958763314674,8.777180678137455,9.192736848491894,3.5,7.666999816894531,12.916999816894531,0.0,27.042499542236328,7.667,6.750999450683594,8.169099807739258
2010,66 and older,1st Quintile,300,9.008738751578147,8.46640861642608,9.551068886730214,1.2556053256930493,4.416999816894531,15.40808442228467,0.0,36.6368030671721,4.417,2.9169998168945312,5.753074687719345
2010,66 and older,2nd Quintile,522,11.471846227371039,11.048788627247873,11.894903827494204,2.0829999446868896,9.333000183105469,18.149041311062025,0.0,42.248103360624725,9.333,8.080900192260742,10.916000366210938
2010,66 and older,3rd Quintile,691,16.531443162928436,16.113391959948338,16.949494365908535,7.083000183105469,15.416999816894531,25.783330806110197,0.0,45.833,15.417,13.912849807739256,17.66699981689453
2010,66 and older,4th Quintile,1023,17.14507951647869,16.808543050227726,17.481615982729657,7.877298714952674,16.716932707484595,25.595103368694275,0.0,47.667,16.75,15.5,18.66699981689453
2010,66 and older,5th Quintile,1799,19.333335567223127,19.079320337867912,19.58735079657834,10.0,19.0,28.142277442045682,0.0,48.917,19.0,18.328850173950194,19.75
2010,,1st Quintile,,,,,,,,,,,,
2010,,2nd Quintile,,,,,,,,,,,,
2010,,3rd Quintile,,,,,,,,,,,,
2010,,4th Quintile,40,14.108548249192351,11.73740702475298,16.479689473631723,1.9913431104043053,8.358204737904895,16.26919663085284,0.167,37.68597691152564,8.583,1.1660003662109375,14.333000421524048
2010,,5th Quintile,106,22.287533893106474,20.72362541625133,23.851442369961617,6.810472741871088,20.057914275320787,38.78373748438622,0.417,60.167,20.167,13.416999816894531,30.761399459838866
2011,17-29 y.,1st Quintile,,,,,,,,,,,,
2011,17-29 y.,2nd Quintile,,,,,,,,,,,,
2011,17-29 y.,3rd Quintile,,,,,,,,,,,,
2011,17-29 y.,4th Quintile,,,,,,,,,,,,
2011,17-29 y.,5th Quintile,,,,,,,,,,,,
2011,30-45 y.,1st Quintile,453,1.5192966425615488,1.4450345170146257,1.593558768108472,0.4169999957084656,0.8330000042915344,2.25,0.0,4.999500006437302,0.833,0.4989999532699585,0.9990000128746033
2011,30-45 y.,2nd Quintile,437,2.356694340172585,2.2500130957378097,2.46337558460736,0.5830000042915344,1.5829999446868896,3.5829999446868896,0.0,8.082999855279922,1.583,1.2448498368263234,1.9180748879909515
2011,30-45 y.,3rd Quintile,399,2.4218352005978687,2.3141929918287016,2.529477409367036,0.6615370093838739,1.7427346266307895,3.5829999446868896,0.0,7.965194347641413,1.75,1.0829999446868896,1.9170000553131104
2011,30-45 y.,4th Quintile,345,3.1017610473127175,2.954833458149704,3.248688636475731,0.75,2.4170000553131104,4.583000183105469,0.0,10.332500457763672,2.417,1.8340001106262207,3.0840001106262207
2011,30-45 y.,5th Quintile,257,2.9299777671717124,2.779395948047497,3.080559586295928,1.0,2.3329999446868896,4.133409475301685,0.0,8.83352368825421,2.333,1.998999834060669,3.0010998368263246
2011,46-65 y.,1st Quintile,965,4.68518299076232,4.520182306586572,4.8501836749380685,0.6730573147116531,2.5,6.833000183105469,0.0,16.07291448569619,2.5,1.9149000525474542,3.0
2011,46-65 y.,2nd Quintile,1385,7.970769729655218,7.796616182051028,8.144923277259407,2.3637404304449685,6.25,12.233721411034582,0.0,27.038692881919,6.25,4.747924995422363,7.419074821472168
2011,46-65 y.,3rd Quintile,1253,8.936332891539855,8.750962591652973,9.121703191426738,2.75,7.916999816894531,13.478375566938459,0.0,28.75,7.917,6.416999816894531,9.005149459838867
2011,46-65 y.,4th Quintile,1270,9.337208346689936,9.147698223796779,9.526718469583093,3.4170000553131104,8.0,14.390069154309959,0.0,29.583,8.0,7.083000183105469,8.75
2011,46-65 y.,5th Quintile,1290,8.49920198070138,8.330562611624755,8.667841349778007,3.0829999446868896,7.583000183105469,12.166999816894531,0.0,25.792999625205994,7.583,6.6639253616333,8.170175361633301
2011,66 and older,1st Quintile,508,7.540340901757305,7.167764718214031,7.912917085300578,1.0829999446868896,3.5111770729972727,10.29344922019209,0.0,24.10912313344989,3.5,2.5,4.08299994468689
2011,66 and older,2nd Quintile,682,12.735684269826834,12.367030564832994,13.104337974820673,3.8329999446868896,10.416999816894531,19.41699981689453,0.0,42.792999625205994,10.417,8.992649459838866,12.088174629211426
2011,66 and older,3rd Quintile,914,14.612502351144617,14.26180668056733,14.963198021721903,4.461269364908652,12.75,21.585676384160028,0.0,47.27228691303709,12.75,11.328850173950194,14.416999816894531
2011,66 and older,4th Quintile,1164,18.07926232894626,17.748841948866247,18.409682709026274,7.6534509829576285,17.83974973221193,27.16699981689453,0.0,47.917,17.833,16.74485054016113,19.416000366210938
2011,66 and older,5th Quintile,1798,18.832069224177324,18.582473299649994,19.081665148704655,9.75,18.91699981689453,26.66699981689453,0.0,48.0,18.917,18.333999633789062,19.750999450683594
2011,,1st Quintile,,,,,,,,,,,,
2011,,2nd Quintile,,,,,,,,,,,,
2011,,3rd Quintile,,,,,,,,,,,,
2011,,4th Quintile,,,,,,,,,,,,
2011,,5th Quintile,90,23.243101685223998,21.621912363420154,24.86429100702784,8.743918133913002,21.24445634862794,34.31520554447645,0.083,54.917,21.167,14.250999450683594,26.30099945068359
2012,17-29 y.,1st Quintile,,,,,,,,,,,,
2012,17-29 y.,2nd Quintile,,,,,,,,,,,,
2012,17-29 y.,3rd Quintile,,,,,,,,,,,,
2012,17-29 y.,4th Quintile,,,,,,,,,,,,
2012,17-29 y.,5th Quintile,,,,,,,,,,,,
2012,30-45 y.,1st Quintile,532,1.6995884864564474,1.6193942698135009,1.779782703099394,0.4169999957084656,1.0,2.5,0.0,5.624500006437302,1.0,0.6670000553131104,1.25
2012,30-45 y.,2nd Quintile,432,2.3301662267046725,2.2300957348503085,2.4302367185590366,0.5830000042915344,1.6670000553131104,3.5,0.0,7.875499993562698,1.667,1.3319251120090478,1.836075109243393
2012,30-45 y.,3rd Quintile,446,2.4244143754250964,2.3290607518863546,2.519767998963838,0.8649019088704301,1.75,3.5,0.0,7.452647136694354,1.75,1.0829999446868896,1.9170000553131104
2012,30-45 y.,4th Quintile,391,3.0084566357867275,2.8755374938534755,3.1413757777199796,1.0116238609774038,1.8329999446868896,4.5,0.0,9.732564208533894,1.833,1.1659998893737793,2.0010998368263246
2012,30-45 y.,5th Quintile,241,2.7895391616182366,2.650424573956884,2.928653749279589,0.75,2.4170000553131104,4.5,0.0,10.125,2.417,2.1670000553131104,3.251000165939331
2012,46-65 y.,1st Quintile,1161,4.610466308408598,4.4664932565335524,4.7544393602836434,0.8330000042915344,2.346062451133203,6.666999816894531,0.0,15.417999535799026,2.417,1.751000165939331,2.836075109243393
2012,46-65 y.,2nd Quintile,1438,7.64746735390064,7.481369170430929,7.813565537370351,1.5,5.833000183105469,12.321389225469582,0.0,28.553473063673955,5.833,4.409750366210936,6.4160003662109375
