year,bula_h,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1990,Thueringen,Laendlicher Raum,0.9804376148784131,0.8841649407155051,1.0767102890413212,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,508.0
1991,Schleswig-Holstein,Staedtischer Raum,1.5366804410232489,1.2277039726795103,1.8456569093669875,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,145.0
1991,Schleswig-Holstein,Laendlicher Raum,1.1881606340335218,0.9534648082462861,1.4228564598207576,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,150.0
1991,Hamburg,Staedtischer Raum,0.6548313707576531,0.4756505460927324,0.8340121954225738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0
1991,Niedersachsen,Staedtischer Raum,0.7729999978835133,0.6779593684562768,0.8680406273107497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0
1991,Niedersachsen,Laendlicher Raum,1.0915452943708583,0.9620632066449395,1.2210273820967772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0
1991,Bremen,Staedtischer Raum,0.6585517742285627,0.46089585290713,0.8562076955499954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
1991,Nordrhein-Westfalen,Staedtischer Raum,1.0398743000786643,0.9892710128285331,1.0904775873287955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2434.0
1991,Nordrhein-Westfalen,Laendlicher Raum,1.8120436828733109,1.432515726418861,2.1915716393277607,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0,66.0
1991,Hessen,-1,,,,,,,,,,,,
1991,Hessen,Staedtischer Raum,1.003582146962666,0.9090621461106029,1.098102147814729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0
1991,Hessen,Laendlicher Raum,0.45398165636920584,0.31422039329166157,0.5937429194467501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
1991,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.9707978896481979,0.873324214403398,1.068271564892998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0
1991,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.6226370517548199,0.4449295722024573,0.8003445313071824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
1991,Baden-Wuerttemberg,-1,,,,,,,,,,,,
1991,Baden-Wuerttemberg,Staedtischer Raum,1.1629139909950594,1.089637174270012,1.236190807720107,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1525.0
1991,Baden-Wuerttemberg,Laendlicher Raum,0.5860692140822436,0.4758904892714894,0.6962479388929976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0
1991,Bayern,Staedtischer Raum,0.794571744500566,0.7188704904741643,0.8702729985269677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0
1991,Bayern,Laendlicher Raum,1.1750104660609828,1.0833902901567558,1.2666306419652098,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,771.0
1991,Berlin,-1,,,,,,,,,,,,
1991,Berlin,Staedtischer Raum,0.8541663519939937,0.7553217657636602,0.9530109382243273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0
1991,Brandenburg,-1,,,,,,,,,,,,
1991,Brandenburg,Staedtischer Raum,1.2895719055252517,0.9852957025878779,1.5938481084626255,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0,40.0
1991,Brandenburg,Laendlicher Raum,0.8434255600949568,0.7710936123497174,0.9157575078401963,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,618.0
1991,Mecklenburg-Vorpommern,-1,,,,,,,,,,,,
1991,Mecklenburg-Vorpommern,Staedtischer Raum,1.1958524071154037,0.8817062658956142,1.5099985483351932,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,51.0
1991,Mecklenburg-Vorpommern,Laendlicher Raum,0.9119478777720015,0.8111323485467672,1.0127634069972358,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,413.0
1991,Sachsen,-1,,,,,,,,,,,,
1991,Sachsen,Staedtischer Raum,1.0436860954673117,0.9539790811393788,1.1333931097952448,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,608.0
1991,Sachsen,Laendlicher Raum,0.8735658654618934,0.7872682229408412,0.9598635079829456,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,574.0
1991,Sachsen-Anhalt,-1,,,,,,,,,,,,
1991,Sachsen-Anhalt,Staedtischer Raum,0.6278341680324447,0.49971394840763295,0.7559543876572565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0
1991,Sachsen-Anhalt,Laendlicher Raum,0.9194809141093749,0.8383518220654267,1.0006100061533232,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,600.0
1991,Thueringen,-1,,,,,,,,,,,,
1991,Thueringen,Staedtischer Raum,0.879663017194682,0.7202879871134281,1.039038047275936,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,185.0
1991,Thueringen,Laendlicher Raum,1.187156496606072,1.053177516402661,1.3211354768094827,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,479.0
1992,Schleswig-Holstein,-1,,,,,,,,,,,,
1992,Schleswig-Holstein,Staedtischer Raum,1.843547745644085,1.4806816171571837,2.206413874130986,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,137.0
1992,Schleswig-Holstein,Laendlicher Raum,0.831983722745449,0.6364578561255541,1.0275095893653439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
1992,Hamburg,Staedtischer Raum,0.7549504056144357,0.5868507848595824,0.923050026369289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
1992,Niedersachsen,-1,,,,,,,,,,,,
1992,Niedersachsen,Staedtischer Raum,0.9745709901793377,0.8475754365447898,1.1015665438138855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0
1992,Niedersachsen,Laendlicher Raum,1.1483788235220458,1.015009841579066,1.2817478054650255,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,490.0
1992,Bremen,Staedtischer Raum,0.5401174370868409,0.34318761879818904,0.7370472553754928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
1992,Nordrhein-Westfalen,Staedtischer Raum,1.047685439424822,0.9969099333961552,1.098460945453489,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,2420.0
1992,Nordrhein-Westfalen,Laendlicher Raum,2.3885118231500075,1.8163811357230006,2.9606425105770144,0.0,0.0,3.0,0.0,7.5,0.0,-1.0,0.0,65.0
1992,Hessen,-1,,,,,,,,,,,,
