year,age_gr,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.64686,168,267,0.58942,0.70430
2022,17-29 y.,Baden-Wuerttemberg,Vocational training,0.25790,99,267,0.20532,0.31047
2022,17-29 y.,Bavaria,University/ Technical university,0.61458,192,307,0.56005,0.66911
2022,17-29 y.,Bavaria,Vocational training,0.24505,115,307,0.19686,0.29324
2022,17-29 y.,Berlin,University/ Technical university,0.84400,92,92,0.76945,0.91856
2022,17-29 y.,Saxony,University/ Technical university,0.68533,57,102,0.59476,0.77589
2022,17-29 y.,Saxony,Vocational training,0.23191,45,102,0.14960,0.31422
2022,17-29 y.,Saxony-Anhalt,University/ Technical university,0.81852,47,47,0.70714,0.92990
2022,17-29 y.,Thuringa,Vocational training,0.42079,33,33,0.24974,0.59185
2022,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.44420,59,154,0.36547,0.52293
2022,30-45 y.,North Rhine-Westphalia,Vocational training,0.29054,36,154,0.21860,0.36248
2022,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.26450,59,154,0.19461,0.33439
2022,30-45 y.,Baden-Wuerttemberg,University/ Technical university,0.59533,37,37,0.43499,0.75566
2022,30-45 y.,Bavaria,University/ Technical university,0.55949,48,83,0.45203,0.66694
2022,30-45 y.,Bavaria,Further training/ Retraining,0.22947,35,83,0.13846,0.32049
