year,bula_h,sex,plg0267_h,proportion,n,lower_confidence,upper_confidence
2014,Thüringen,maennlich,Allgemeinbildende Schule,0.0010691375623663579,38694,0.000743511792642036,0.0013947633320906799
2014,Brandenburg,maennlich,Allgemeinbildende Schule,0.0010691375623663579,38694,0.000743511792642036,0.0013947633320906799
2014,Sachsen-Anhalt,maennlich,Weiterbildung / Umschulung,0.0007127583749109052,38694,0.00044683862511087167,0.0009786781247109388
2014,Hamburg,maennlich,Weiterbildung / Umschulung,0.0003563791874554526,38694,0.00016831200256967808,0.0005444463723412272
2014,Hamburg,weiblich,Allgemeinbildende Schule,0.0003563791874554526,38694,0.00016831200256967808,0.0005444463723412272
2014,Bremen,weiblich,Berufliche Ausbildung,0.0003563791874554526,38694,0.00016831200256967808,0.0005444463723412272
2014,Thüringen,maennlich,Weiterbildung / Umschulung,0.0003563791874554526,38694,0.00016831200256967808,0.0005444463723412272
2015,Nordrhein-Westfalen,weiblich,Hochschule,0.04891518737672584,38036,0.046747532505290276,0.0510828422481614
2015,Nordrhein-Westfalen,maennlich,Hochschule,0.0398422090729783,38036,0.037876579569417056,0.041807838576539545
2015,Nordrhein-Westfalen,maennlich,Berufliche Ausbildung,0.036686390532544376,38036,0.03479711633891303,0.03857566472617572
2015,Bayern,weiblich,Hochschule,0.035897435897435895,38036,0.03402782175193032,0.037767050042941466
2015,Nordrhein-Westfalen,weiblich,Berufliche Ausbildung,0.03431952662721893,38036,0.032489969303446484,0.03614908395099138
2015,Bayern,weiblich,Berufliche Ausbildung,0.03195266272189349,38036,0.030185158430305187,0.033720167013481794
2015,Bayern,maennlich,Hochschule,0.02485207100591716,38036,0.023287572343208367,0.02641656966862595
2015,Bayern,maennlich,Berufliche Ausbildung,0.02485207100591716,38036,0.023287572343208367,0.02641656966862595
2015,Baden-Württemberg,maennlich,Hochschule,0.023274161735700197,38036,0.02175891968486956,0.024789403786530835
2015,Nordrhein-Westfalen,weiblich,Allgemeinbildende Schule,0.022879684418145956,38036,0.02137703492779566,0.024382333908496253
2015,Niedersachsen,weiblich,Berufliche Ausbildung,0.021696252465483234,38036,0.02023209470582139,0.02316041022514508
2015,Baden-Württemberg,weiblich,Hochschule,0.020907297830374753,38036,0.019469428197529504,0.022345167463220003
2015,Nordrhein-Westfalen,maennlich,Allgemeinbildende Schule,0.01932938856015779,38036,0.017945728864998553,0.02071304825531703
2015,Niedersachsen,maennlich,Berufliche Ausbildung,0.01814595660749507,38036,0.016804514135933084,0.019487399079057055
2015,Nordrhein-Westfalen,weiblich,Weiterbildung / Umschulung,0.01775147928994083,38036,0.016424431329789244,0.019078527250092413
2015,Baden-Württemberg,weiblich,Berufliche Ausbildung,0.01775147928994083,38036,0.016424431329789244,0.019078527250092413
2015,Niedersachsen,weiblich,Hochschule,0.01735700197238659,38036,0.01604451835756556,0.018669485587207615
2015,Baden-Württemberg,maennlich,Berufliche Ausbildung,0.01735700197238659,38036,0.01604451835756556,0.018669485587207615
2015,Hessen,maennlich,Hochschule,0.01735700197238659,38036,0.01604451835756556,0.018669485587207615
2015,Niedersachsen,maennlich,Hochschule,0.015384615384615385,38036,0.014147713411411649,0.016621517357819124
2015,Bayern,weiblich,Allgemeinbildende Schule,0.014201183431952662,38036,0.013012092501119867,0.015390274362785457
2015,Hessen,weiblich,Hochschule,0.014201183431952662,38036,0.013012092501119867,0.015390274362785457
2015,Baden-Württemberg,weiblich,Allgemeinbildende Schule,0.013412228796844181,38036,0.01225617779951187,0.014568279794176492
2015,Baden-Württemberg,maennlich,Allgemeinbildende Schule,0.013412228796844181,38036,0.01225617779951187,0.014568279794176492
2015,Nordrhein-Westfalen,maennlich,Weiterbildung / Umschulung,0.013412228796844181,38036,0.01225617779951187,0.014568279794176492
2015,"Rheinland-Pfalz,Saarland",weiblich,Berufliche Ausbildung,0.0126232741617357,38036,0.011501291612195184,0.013745256711276216
2015,Berlin,maennlich,Hochschule,0.01222879684418146,38036,0.011124263839743746,0.013333329848619173
2015,Niedersachsen,maennlich,Allgemeinbildende Schule,0.01222879684418146,38036,0.011124263839743746,0.013333329848619173
2015,Hessen,weiblich,Berufliche Ausbildung,0.011834319526627219,38036,0.010747530659868814,0.012921108393385623
2015,"Rheinland-Pfalz,Saarland",maennlich,Berufliche Ausbildung,0.011045364891518738,38036,0.009995008044184094,0.012095721738853382
2015,Sachsen,weiblich,Berufliche Ausbildung,0.010650887573964497,38036,0.00961925193598095,0.011682523211948044
2015,Hessen,maennlich,Berufliche Ausbildung,0.010256410256410256,38036,0.009243857423728569,0.011268963089091944
2015,Berlin,weiblich,Hochschule,0.009861932938856016,38036,0.008868845352092017,0.010855020525620014
2015,"Rheinland-Pfalz,Saarland",weiblich,Allgemeinbildende Schule,0.009467455621301775,38036,0.0084942386683068,0.01044067257429675
2015,Bayern,maennlich,Allgemeinbildende Schule,0.009072978303747535,38036,0.008120062732037248,0.010025893875457822
2015,Sachsen,maennlich,Hochschule,0.009072978303747535,38036,0.008120062732037248,0.010025893875457822
2015,"Rheinland-Pfalz,Saarland",maennlich,Hochschule,0.009072978303747535,38036,0.008120062732037248,0.010025893875457822
2015,Sachsen,maennlich,Berufliche Ausbildung,0.008678500986193294,38036,0.007746345686568756,0.009610656285817832
2015,Bayern,weiblich,Weiterbildung / Umschulung,0.008678500986193294,38036,0.007746345686568756,0.009610656285817832
2015,Hessen,weiblich,Allgemeinbildende Schule,0.008284023668639054,38036,0.007373118906862432,0.009194928430415675
2015,Brandenburg,weiblich,Berufliche Ausbildung,0.008284023668639054,38036,0.007373118906862432,0.009194928430415675
2015,Bayern,maennlich,Weiterbildung / Umschulung,0.007889546351084813,38036,0.0070004175448730365,0.00877867515729659
2015,Schleswig-Holstein,weiblich,Berufliche Ausbildung,0.007495069033530572,38036,0.006628281199258032,0.008361856867803111
2015,"Rheinland-Pfalz,Saarland",weiblich,Hochschule,0.007495069033530572,38036,0.006628281199258032,0.008361856867803111
2015,Niedersachsen,weiblich,Allgemeinbildende Schule,0.007100591715976331,38036,0.006256754746029396,0.007944428685923266
2015,Sachsen-Anhalt,weiblich,Hochschule,0.007100591715976331,38036,0.006256754746029396,0.007944428685923266
2015,Niedersachsen,weiblich,Weiterbildung / Umschulung,0.0067061143984220905,38036,0.005885889380116374,0.007526339416727807
2015,Thüringen,weiblich,Hochschule,0.0067061143984220905,38036,0.005885889380116374,0.007526339416727807
2015,Brandenburg,maennlich,Berufliche Ausbildung,0.0067061143984220905,38036,0.005885889380116374,0.007526339416727807
2015,Schleswig-Holstein,maennlich,Hochschule,0.00631163708086785,38036,0.0055157439372492826,0.007107530224486417
2015,Sachsen-Anhalt,maennlich,Berufliche Ausbildung,0.00631163708086785,38036,0.0055157439372492826,0.007107530224486417
2015,Schleswig-Holstein,weiblich,Allgemeinbildende Schule,0.005917159763313609,38036,0.005146386594305682,0.0066879329323215365
2015,Schleswig-Holstein,maennlich,Allgemeinbildende Schule,0.005917159763313609,38036,0.005146386594305682,0.0066879329323215365
2015,Hessen,maennlich,Allgemeinbildende Schule,0.005917159763313609,38036,0.005146386594305682,0.0066879329323215365
2015,Sachsen,weiblich,Hochschule,0.005522682445759369,38036,0.004777897089656656,0.006267467801862082
2015,Berlin,weiblich,Berufliche Ausbildung,0.005522682445759369,38036,0.004777897089656656,0.006267467801862082
2015,Baden-Württemberg,weiblich,Weiterbildung / Umschulung,0.005522682445759369,38036,0.004777897089656656,0.006267467801862082
2015,Schleswig-Holstein,weiblich,Hochschule,0.005522682445759369,38036,0.004777897089656656,0.006267467801862082
2015,Schleswig-Holstein,maennlich,Berufliche Ausbildung,0.005128205128205128,38036,0.0044103696722219265,0.00584604058418833
2015,Berlin,weiblich,Weiterbildung / Umschulung,0.004733727810650888,38036,0.0040439170948257264,0.005423538526476049
2015,Sachsen-Anhalt,maennlich,Hochschule,0.004339250493096647,38036,0.0036786761429536256,0.004999824843239669
2015,Thüringen,maennlich,Berufliche Ausbildung,0.004339250493096647,38036,0.0036786761429536256,0.004999824843239669
2015,Mecklenburg-Vorpommern,weiblich,Weiterbildung / Umschulung,0.004339250493096647,38036,0.0036786761429536256,0.004999824843239669
2015,Berlin,maennlich,Berufliche Ausbildung,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Thüringen,weiblich,Berufliche Ausbildung,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Sachsen-Anhalt,weiblich,Berufliche Ausbildung,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Sachsen,weiblich,Allgemeinbildende Schule,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Brandenburg,weiblich,Hochschule,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Berlin,weiblich,Allgemeinbildende Schule,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Brandenburg,weiblich,Weiterbildung / Umschulung,0.0039447731755424065,38036,0.0033148154888160883,0.004574730862268725
2015,Niedersachsen,maennlich,Weiterbildung / Umschulung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,Hamburg,weiblich,Hochschule,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,Hessen,weiblich,Weiterbildung / Umschulung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,Sachsen,weiblich,Weiterbildung / Umschulung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,"Rheinland-Pfalz,Saarland",weiblich,Weiterbildung / Umschulung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,Baden-Württemberg,maennlich,Weiterbildung / Umschulung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,Mecklenburg-Vorpommern,maennlich,Berufliche Ausbildung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,Hessen,maennlich,Weiterbildung / Umschulung,0.0035502958579881655,38036,0.0029525471911863756,0.0041480445247899555
2015,"Rheinland-Pfalz,Saarland",maennlich,Allgemeinbildende Schule,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Thüringen,weiblich,Weiterbildung / Umschulung,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Thüringen,maennlich,Hochschule,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Sachsen,maennlich,Allgemeinbildende Schule,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Brandenburg,maennlich,Hochschule,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Bremen,weiblich,Hochschule,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Hamburg,weiblich,Berufliche Ausbildung,0.003155818540433925,38036,0.0025921441513934926,0.0037194929294743573
2015,Thüringen,weiblich,Allgemeinbildende Schule,0.0027613412228796844,38036,0.002233967795737269,0.0032887146500221
2015,Brandenburg,weiblich,Allgemeinbildende Schule,0.0027613412228796844,38036,0.002233967795737269,0.0032887146500221
2015,Hamburg,maennlich,Berufliche Ausbildung,0.002366863905325444,38036,0.0018785144269282484,0.0028552133837226393
2015,Sachsen,maennlich,Weiterbildung / Umschulung,0.002366863905325444,38036,0.0018785144269282484,0.0028552133837226393
2015,Mecklenburg-Vorpommern,weiblich,Berufliche Ausbildung,0.002366863905325444,38036,0.0018785144269282484,0.0028552133837226393
2015,Mecklenburg-Vorpommern,weiblich,Allgemeinbildende Schule,0.002366863905325444,38036,0.0018785144269282484,0.0028552133837226393
2015,Bremen,weiblich,Weiterbildung / Umschulung,0.002366863905325444,38036,0.0018785144269282484,0.0028552133837226393
2015,"Rheinland-Pfalz,Saarland",maennlich,Weiterbildung / Umschulung,0.0019723865877712033,38036,0.0015264984167633448,0.002418274758779062
2015,Thüringen,maennlich,Allgemeinbildende Schule,0.0019723865877712033,38036,0.0015264984167633448,0.002418274758779062
2015,Sachsen-Anhalt,weiblich,Allgemeinbildende Schule,0.0019723865877712033,38036,0.0015264984167633448,0.002418274758779062
2015,Mecklenburg-Vorpommern,maennlich,Allgemeinbildende Schule,0.0019723865877712033,38036,0.0015264984167633448,0.002418274758779062
2015,Brandenburg,maennlich,Allgemeinbildende Schule,0.0019723865877712033,38036,0.0015264984167633448,0.002418274758779062
2015,Berlin,maennlich,Weiterbildung / Umschulung,0.0019723865877712033,38036,0.0015264984167633448,0.002418274758779062
2015,Bremen,maennlich,Berufliche Ausbildung,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Bremen,weiblich,Allgemeinbildende Schule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Sachsen-Anhalt,maennlich,Allgemeinbildende Schule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Hamburg,weiblich,Allgemeinbildende Schule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Hamburg,maennlich,Hochschule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Berlin,maennlich,Allgemeinbildende Schule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Hamburg,maennlich,Allgemeinbildende Schule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Mecklenburg-Vorpommern,weiblich,Hochschule,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Schleswig-Holstein,weiblich,Weiterbildung / Umschulung,0.0015779092702169625,38036,0.0011790159566133149,0.00197680258382061
2015,Schleswig-Holstein,maennlich,Weiterbildung / Umschulung,0.001183431952662722,38036,0.0008379119723002153,0.0015289519330252284
2015,Sachsen-Anhalt,weiblich,Weiterbildung / Umschulung,0.001183431952662722,38036,0.0008379119723002153,0.0015289519330252284
2015,Bremen,maennlich,Hochschule,0.001183431952662722,38036,0.0008379119723002153,0.0015289519330252284
