year,pgisced97,quintil_oecd,plh0184,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Lower Secondary Level,4th Quintile,Seldom,0.0027553509340873337,59,16717,0.0027424028257034866,0.0027682990424711808
2009,Lower Secondary Level,4th Quintile,Sometimes,0.00592587377237565,94,16717,0.005906915332669536,0.005944832212081765
2009,Lower Secondary Level,4th Quintile,Often,0.0021481890861756617,38,16717,0.00213675276650572,0.0021596254058456033
2009,Lower Secondary Level,5th Quintile,Sometimes,0.0028626484477602106,53,16717,0.0028494513477044046,0.0028758455478160166
2009,Upper Secondary Level,1st Quintile,Very seldom,0.013787989711161323,183,16717,0.013759185722757469,0.013816793699565177
2009,Upper Secondary Level,1st Quintile,Seldom,0.026048572792818657,383,16717,0.026009228873186123,0.02608791671245119
2009,Upper Secondary Level,1st Quintile,Sometimes,0.04105414022895833,596,16717,0.04100512934523462,0.041103151112682035
2009,Upper Secondary Level,1st Quintile,Often,0.024669176365558813,334,16717,0.0246308612351363,0.024707491495981327
2009,Upper Secondary Level,1st Quintile,Very often,0.004659818509579693,67,16717,0.004642996135819109,0.004676640883340277
2009,Upper Secondary Level,2nd Quintile,Very seldom,0.014388224517508841,208,16717,0.01435880919913527,0.014417639835882413
2009,Upper Secondary Level,2nd Quintile,Seldom,0.029776944515910366,490,16717,0.02973495964041459,0.02981892939140614
2009,Upper Secondary Level,2nd Quintile,Sometimes,0.04837099472791433,754,16717,0.048317998695979573,0.04842399075984909
2009,Upper Secondary Level,2nd Quintile,Often,0.022121714820837718,348,16717,0.02208538453587624,0.022158045105799197
2009,Upper Secondary Level,2nd Quintile,Very often,0.005537911479300592,77,16717,0.005519580564920589,0.0055562423936805945
2009,Upper Secondary Level,3rd Quintile,Very seldom,0.011105698942308825,183,16717,0.011079812945477375,0.011131584939140276
2009,Upper Secondary Level,3rd Quintile,Seldom,0.030107127620569277,466,16717,0.030064917795322423,0.030149337445816132
2009,Upper Secondary Level,3rd Quintile,Sometimes,0.050219680194383116,802,16717,0.05016573340995422,0.05027362697881201
2009,Upper Secondary Level,3rd Quintile,Often,0.02246289695063536,341,16717,0.022426293964609455,0.02249949993666127
2009,Upper Secondary Level,3rd Quintile,Very often,0.005228295560576243,84,16717,0.0052104816697805915,0.005246109451371895
2009,Upper Secondary Level,4th Quintile,Very seldom,0.013357966137092354,213,16717,0.013329608699533766,0.013386323574650942
2009,Upper Secondary Level,4th Quintile,Seldom,0.029998390507117945,492,16717,0.029956254613090722,0.030040526401145167
2009,Upper Secondary Level,4th Quintile,Sometimes,0.04942229931378567,834,16717,0.04936876006258758,0.049475838564983755
2009,Upper Secondary Level,4th Quintile,Often,0.022308467950349912,365,16717,0.02227198812014266,0.022344947780557164
2009,Upper Secondary Level,4th Quintile,Very often,0.003663653263501639,73,16717,0.0036487295405669322,0.003678576986436346
