,Unnamed: 0,year,bula_h,regtyp,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
123,123,2011,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,504,11774,0.9168,1.07008
124,124,2011,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,179,11774,0.89039,1.10259
125,125,2011,Baden-Wuerttemberg,Urban regions,Yes,0.03477,45,11774,0.02565,0.04473
126,126,2011,Baden-Wuerttemberg,Urban regions,No,0.96523,1209,11774,0.91603,1.01318
127,127,2011,Baden-Wuerttemberg,Rural regions,No,1.0,143,11774,0.84683,1.16162
128,128,2011,Bavaria,Urban regions,No,1.0,869,11774,0.94117,1.06127
129,129,2011,Bavaria,Rural regions,Yes,0.03218,32,11774,0.02051,0.04667
130,130,2011,Bavaria,Rural regions,No,0.96782,914,11774,0.91274,1.02868
131,131,2011,Berlin,Urban regions,No,1.0,496,11774,0.92174,1.06567
132,132,2011,Brandenburg,Urban regions,No,1.0,42,11774,0.81077,1.23866
133,133,2011,Brandenburg,Rural regions,No,1.0,452,11774,0.90808,1.08277
134,134,2011,Mecklenburg-Western Pomerania,Rural regions,No,1.0,268,11774,0.88491,1.09438
135,135,2011,Saxony,Urban regions,No,1.0,404,11774,0.91851,1.07497
136,136,2011,Saxony,Rural regions,No,1.0,358,11774,0.91888,1.09623
137,137,2011,Saxony-Anhalt,Urban regions,No,1.0,123,11774,0.82916,1.16742
138,138,2011,Saxony-Anhalt,Rural regions,No,1.0,353,11774,0.89737,1.10872
139,139,2011,Thuringa,Urban regions,No,1.0,161,11774,0.85293,1.1852
140,140,2011,Thuringa,Rural regions,No,1.0,329,11774,0.89755,1.09491
141,141,2016,Schleswig-Holstein,Urban regions,No,1.0,135,14001,0.81099,1.1838
142,142,2016,Schleswig-Holstein,Rural regions,No,1.0,353,14001,0.89315,1.12471
143,143,2016,Hamburg,Urban regions,No,1.0,256,14001,0.88597,1.11057
144,144,2016,Lower Saxony,Urban regions,No,1.0,552,14001,0.91504,1.10154
145,145,2016,Lower Saxony,Rural regions,Yes,0.03979,31,14001,0.02382,0.05832
146,146,2016,Lower Saxony,Rural regions,No,0.96021,750,14001,0.88044,1.03233
147,147,2016,Bremen,Urban regions,No,1.0,102,14001,0.78624,1.20207
148,148,2016,North Rhine-Westphalia,Urban regions,Yes,0.02871,82,14001,0.02114,0.03627
149,149,2016,North Rhine-Westphalia,Urban regions,No,0.97129,2773,14001,0.93676,1.01701
150,150,2016,North Rhine-Westphalia,Rural regions,No,1.0,49,14001,0.74305,1.23839
151,151,2016,Hesse,Urban regions,No,1.0,775,14001,0.94146,1.08241
152,152,2016,Hesse,Rural regions,No,1.0,177,14001,0.85765,1.22081
153,153,2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.04213,32,14001,0.03008,0.05321
154,154,2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95787,592,14001,0.87509,1.02657
155,155,2016,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,217,14001,0.8672,1.13537
156,156,2016,Baden-Wuerttemberg,Urban regions,No,1.0,1425,14001,0.95261,1.05591
157,157,2016,Baden-Wuerttemberg,Rural regions,No,1.0,169,14001,0.83738,1.16382
158,158,2016,Bavaria,Urban regions,No,1.0,1065,14001,0.94023,1.06801
159,159,2016,Bavaria,Rural regions,No,1.0,1190,14001,0.93016,1.06181
160,160,2016,Berlin,Urban regions,No,1.0,600,14001,0.92146,1.08829
161,161,2016,Brandenburg,Urban regions,No,1.0,43,14001,0.68452,1.2822
162,162,2016,Brandenburg,Rural regions,No,1.0,496,14001,0.91575,1.10498
163,163,2016,Mecklenburg-Western Pomerania,Urban regions,No,1.0,42,14001,0.75346,1.3252
164,164,2016,Mecklenburg-Western Pomerania,Rural regions,No,1.0,271,14001,0.87985,1.12849
165,165,2016,Saxony,Urban regions,No,1.0,447,14001,0.90615,1.11336
166,166,2016,Saxony,Rural regions,No,1.0,382,14001,0.88272,1.13465
167,167,2016,Saxony-Anhalt,Urban regions,No,1.0,123,14001,0.7983,1.29161
168,168,2016,Saxony-Anhalt,Rural regions,No,1.0,363,14001,0.88787,1.10514
169,169,2016,Thuringa,Urban regions,No,1.0,173,14001,0.82055,1.22606
170,170,2016,Thuringa,Rural regions,No,1.0,336,14001,0.8922,1.12958
171,171,2021,Schleswig-Holstein,Urban regions,No,1.0,150,10844,0.78606,1.17482
172,172,2021,Schleswig-Holstein,Rural regions,No,1.0,262,10844,0.86175,1.15416
173,173,2021,Hamburg,Urban regions,No,1.0,265,10844,0.86691,1.14666
174,174,2021,Lower Saxony,Urban regions,No,1.0,467,10844,0.88233,1.10541
175,175,2021,Lower Saxony,Rural regions,No,1.0,568,10844,0.90807,1.10889
176,176,2021,Bremen,Urban regions,No,1.0,79,10844,0.74144,1.27046
177,177,2021,North Rhine-Westphalia,Urban regions,Yes,0.01605,49,10844,0.01204,0.02101
178,178,2021,North Rhine-Westphalia,Urban regions,No,0.98395,2185,10844,0.93317,1.03236
179,179,2021,North Rhine-Westphalia,Rural regions,No,1.0,44,10844,0.71136,1.36152
180,180,2021,Hesse,Urban regions,No,1.0,547,10844,0.9133,1.09691
181,181,2021,Hesse,Rural regions,No,1.0,138,10844,0.81861,1.19977
182,182,2021,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,404,10844,0.89981,1.12165
183,183,2021,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,118,10844,0.79073,1.2043
184,184,2021,Baden-Wuerttemberg,Urban regions,No,1.0,1079,10844,0.93538,1.05961
185,185,2021,Baden-Wuerttemberg,Rural regions,No,1.0,113,10844,0.83235,1.1827
186,186,2021,Bavaria,Urban regions,No,1.0,858,10844,0.92453,1.08685
187,187,2021,Bavaria,Rural regions,No,1.0,855,10844,0.90641,1.09158
188,188,2021,Berlin,Urban regions,No,1.0,543,10844,0.89926,1.09442
189,189,2021,Brandenburg,Urban regions,No,1.0,39,10844,0.72036,1.27732
190,190,2021,Brandenburg,Rural regions,No,1.0,392,10844,0.84382,1.11672
191,191,2021,Mecklenburg-Western Pomerania,Urban regions,No,1.0,48,10844,0.72322,1.28903
192,192,2021,Mecklenburg-Western Pomerania,Rural regions,No,1.0,200,10844,0.8374,1.18087
193,193,2021,Saxony,Urban regions,No,1.0,387,10844,0.86728,1.13726
194,194,2021,Saxony,Rural regions,No,1.0,330,10844,0.88897,1.11621
195,195,2021,Saxony-Anhalt,Urban regions,No,1.0,79,10844,0.73264,1.35225
196,196,2021,Saxony-Anhalt,Rural regions,No,1.0,278,10844,0.85466,1.17899
197,197,2021,Thuringa,Urban regions,No,1.0,135,10844,0.79885,1.21874
198,198,2021,Thuringa,Rural regions,No,1.0,232,10844,0.87616,1.16217
