year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1999,3rd Quintile,West,1135,10.07345,9.51645,10.63044,2.00000,7.00000,15.00000,0.00000,34.50000,7.00000,6.00000,8.00000
1999,3rd Quintile,East,548,8.01310,7.33950,8.68670,2.00000,6.00000,9.00000,0.00000,19.50000,6.00000,5.00000,7.00000
1999,4th Quintile,West,1442,10.95124,10.44260,11.45989,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,9.00000
1999,4th Quintile,East,442,10.12611,9.22444,11.02778,3.00000,8.00000,11.80637,0.00000,25.01594,8.00000,7.00000,8.00000
1999,5th Quintile,West,1595,13.19597,12.65904,13.73291,4.00000,10.00000,20.00000,0.00000,44.00000,10.00000,9.00000,11.00000
1999,5th Quintile,East,306,8.77205,7.70043,9.84366,3.00000,6.96857,9.00000,0.00000,18.00000,7.00000,6.00000,7.00000
2000,1st Quintile,West,665,5.65396,5.11361,6.19431,1.00000,2.00000,8.00000,0.00000,18.50000,2.00000,2.00000,3.00000
2000,1st Quintile,East,309,4.49576,3.81957,5.17194,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
2000,2nd Quintile,West,947,8.03894,7.48609,8.59180,1.34408,5.00000,12.00000,0.00000,27.98388,5.00000,4.00000,5.00000
2000,2nd Quintile,East,487,6.51441,5.93225,7.09656,2.00000,4.00000,9.00000,0.00000,19.50000,4.00000,4.00000,5.00000
2000,3rd Quintile,West,1078,9.31064,8.78159,9.83969,2.00000,7.00000,14.00000,0.00000,32.00000,7.00000,6.00000,8.00000
2000,3rd Quintile,East,563,7.86727,7.20273,8.53180,2.00000,6.00000,9.00000,0.00000,19.50000,6.00000,5.00000,7.00000
2000,4th Quintile,West,1395,10.86592,10.36653,11.36531,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,7.00000,9.00000
2000,4th Quintile,East,459,9.73171,8.87031,10.59311,3.00000,7.00000,10.00000,0.00000,20.50000,7.00000,7.00000,8.00000
2000,5th Quintile,West,1575,13.16951,12.62998,13.70903,4.00000,10.00000,21.00000,0.00000,46.50000,10.00000,9.00000,11.00000
2000,5th Quintile,East,268,9.91254,8.67600,11.14907,3.00000,8.00000,10.00000,0.00000,20.50000,8.00000,6.97500,8.00000
2001,1st Quintile,West,1020,4.72520,4.31512,5.13529,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,2.00000
2001,1st Quintile,East,459,4.24495,3.70611,4.78378,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,2.00000
2001,2nd Quintile,West,1566,7.75445,7.33840,8.17051,1.00000,4.00000,12.00000,0.00000,28.50000,4.00000,4.00000,5.00000
2001,2nd Quintile,East,633,6.81613,6.25019,7.38207,2.00000,4.00000,9.00000,0.00000,19.50000,4.00000,4.00000,5.02500
2001,3rd Quintile,West,1912,9.68354,9.26213,10.10494,2.00000,6.00000,15.00000,0.00000,34.50000,6.00000,6.00000,7.00000
2001,3rd Quintile,East,754,8.78569,8.14158,9.42979,3.00000,6.00000,11.00000,0.00000,23.00000,6.00000,5.97500,7.00000
2001,4th Quintile,West,2377,11.39300,10.99650,11.78950,3.00000,9.00000,17.00000,0.00000,38.00000,9.00000,8.97500,10.00000
2001,4th Quintile,East,657,9.36620,8.68767,10.04473,3.00000,8.00000,11.00000,0.00000,23.00000,8.00000,6.00000,8.02500
2001,5th Quintile,West,2710,13.69640,13.27653,14.11628,4.00000,11.00000,21.00000,0.00000,46.50000,11.00000,10.00000,11.00000
2001,5th Quintile,East,463,10.22170,9.35366,11.08974,4.00000,8.00000,11.00000,0.00000,21.50000,8.00000,7.00000,9.00000
2002,1st Quintile,West,862,5.34985,4.89011,5.80958,1.00000,2.00000,7.00000,0.00000,16.00000,2.00000,2.00000,3.00000
2002,1st Quintile,East,367,4.75836,4.13548,5.38125,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
2002,2nd Quintile,West,1318,7.63430,7.17469,8.09390,2.00000,4.00000,11.00000,0.00000,24.50000,4.00000,3.00000,4.00000
2002,2nd Quintile,East,522,7.15944,6.46140,7.85749,2.00000,4.00000,10.00000,0.00000,22.00000,4.00000,4.00000,5.00000
2002,3rd Quintile,West,1640,9.49047,9.06046,9.92049,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,6.00000,7.00000
2002,3rd Quintile,East,623,8.71802,8.04873,9.38731,2.00000,6.00000,11.00000,0.00000,24.50000,6.00000,5.00000,7.00000
2002,4th Quintile,West,2133,11.34495,10.91601,11.77388,3.00000,9.00000,17.00000,0.00000,38.00000,9.00000,8.00000,9.00000
2002,4th Quintile,East,676,9.18720,8.54155,9.83284,3.00000,8.00000,11.00000,0.00000,23.00000,8.00000,7.00000,9.00000
2002,5th Quintile,West,3033,13.74235,13.34130,14.14341,4.00000,11.00000,22.00000,0.00000,49.00000,11.00000,10.00000,12.00000
2002,5th Quintile,East,549,11.23296,10.42967,12.03626,4.00000,9.00000,12.00000,0.00000,24.00000,9.00000,8.00000,11.00000
2003,1st Quintile,West,819,5.37054,4.90985,5.83122,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
2003,1st Quintile,East,343,5.35089,4.62954,6.07224,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
2003,2nd Quintile,West,1217,7.99421,7.52946,8.45895,2.00000,5.00000,11.00000,0.00000,24.50000,5.00000,4.00000,5.00000
2003,2nd Quintile,East,563,7.00844,6.43526,7.58161,2.00000,5.00000,10.00000,0.00000,22.00000,5.00000,4.00000,5.00000
2003,3rd Quintile,West,1674,9.96170,9.50360,10.41981,2.00000,6.00000,16.00000,0.00000,37.00000,6.00000,5.00000,7.00000
2003,3rd Quintile,East,626,8.54274,7.89645,9.18903,2.00000,6.25494,12.00000,0.00000,27.00000,6.00000,5.97500,7.02500
2003,4th Quintile,West,2248,11.11697,10.72007,11.51387,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,8.00000,9.00000
2003,4th Quintile,East,639,10.43852,9.70579,11.17125,3.73064,8.00000,13.00000,0.00000,26.90404,8.00000,7.00000,10.00000
2003,5th Quintile,West,3838,14.24009,13.87143,14.60875,4.00000,11.00000,23.00000,0.00000,51.50000,11.00000,11.00000,12.00000
2003,5th Quintile,East,636,11.50372,10.79980,12.20764,5.00000,10.00000,13.00000,0.00000,25.00000,10.00000,10.00000,11.00000
2004,1st Quintile,West,796,5.63416,5.13504,6.13327,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
2004,1st Quintile,East,348,4.97490,4.34853,5.60128,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
2004,2nd Quintile,West,1224,8.38784,7.90135,8.87432,2.00000,5.00000,12.00000,0.00000,27.00000,5.00000,4.00000,5.00000
2004,2nd Quintile,East,529,7.55157,6.88061,8.22252,2.00000,5.00000,11.00000,0.00000,24.50000,5.00000,4.00000,6.00000
2004,3rd Quintile,West,1569,10.16389,9.69063,10.63716,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,7.00000
2004,3rd Quintile,East,617,8.77401,8.14090,9.40712,3.00000,7.00000,12.00000,0.00000,25.50000,7.00000,6.00000,7.02500
2004,4th Quintile,West,2111,11.60096,11.18071,12.02121,3.00000,9.00000,18.00000,0.00000,40.50000,9.00000,8.00000,10.00000
2004,4th Quintile,East,645,10.47908,9.76774,11.19041,3.00000,9.00000,13.00000,0.00000,28.00000,9.00000,8.00000,10.00000
2004,5th Quintile,West,3749,14.14179,13.77669,14.50690,4.00000,12.00000,22.00000,0.00000,49.00000,12.00000,10.00000,12.00000
2004,5th Quintile,East,612,11.85730,11.13202,12.58257,4.00000,12.00000,14.00000,0.00000,29.00000,12.00000,11.00000,12.00000
2005,1st Quintile,West,736,4.98732,4.53096,5.44367,1.00000,3.00000,6.00000,0.00000,13.50000,3.00000,2.00000,3.00000
2005,1st Quintile,East,322,5.24880,4.52250,5.97510,1.00000,2.00000,8.00000,0.00000,18.50000,2.00000,2.00000,3.00000
2005,2nd Quintile,West,1119,8.37597,7.87735,8.87459,2.00000,5.00000,12.00000,0.00000,27.00000,5.00000,5.00000,6.00000
2005,2nd Quintile,East,501,7.85611,7.19681,8.51541,2.00000,6.00000,12.00000,0.00000,27.00000,6.00000,4.00000,7.00000
2005,3rd Quintile,West,1515,9.89601,9.44438,10.34764,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,8.00000
2005,3rd Quintile,East,555,9.55320,8.84812,10.25829,3.00000,7.00000,14.00000,0.00000,30.50000,7.00000,6.00000,8.02500
2005,4th Quintile,West,2104,11.29537,10.87631,11.71443,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,9.00000
2005,4th Quintile,East,621,11.12963,10.37508,11.88419,4.00000,9.00000,15.00000,0.00000,31.50000,9.00000,8.00000,11.00000
2005,5th Quintile,West,3492,13.99231,13.61510,14.36953,4.00000,11.00000,22.00000,0.00000,49.00000,11.00000,10.00000,12.00000
2005,5th Quintile,East,593,12.70211,11.94284,13.46138,5.00000,12.00000,15.00000,0.00000,30.00000,12.00000,10.00000,13.00000
2006,1st Quintile,West,695,5.18594,4.67117,5.70071,1.00000,3.00000,6.00000,0.00000,13.50000,3.00000,2.00000,3.00000
2006,1st Quintile,East,328,4.88952,4.21569,5.56334,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
2006,2nd Quintile,West,1016,8.32213,7.80699,8.83727,2.00000,6.00000,11.00000,0.00000,24.50000,6.00000,5.00000,6.00000
2006,2nd Quintile,East,479,7.32981,6.64601,8.01362,1.00000,5.00000,10.69467,0.00000,25.23667,5.00000,4.00000,6.00000
2006,3rd Quintile,West,1469,10.33298,9.85272,10.81324,3.00000,7.00000,16.00000,0.00000,35.50000,7.00000,6.97500,8.00000
2006,3rd Quintile,East,555,9.74597,9.02454,10.46740,3.00000,8.00000,14.26933,0.00000,31.17332,8.00000,6.00000,10.00000
2006,4th Quintile,West,1950,11.68777,11.24288,12.13267,3.00000,9.00000,18.00000,0.00000,40.50000,9.00000,8.00000,10.00000
2006,4th Quintile,East,554,11.24613,10.46651,12.02574,4.00000,9.00000,15.00000,0.00000,31.50000,9.00000,8.00000,11.00000
2006,5th Quintile,West,3257,14.13688,13.74440,14.52935,5.00000,11.00000,22.00000,0.00000,47.50000,11.00000,10.00000,12.00000
2006,5th Quintile,East,571,12.96346,12.14174,13.78518,5.87558,12.00000,16.00000,0.00000,31.18663,12.00000,10.00000,14.00000
2007,1st Quintile,West,776,5.54290,5.01738,6.06842,1.00000,2.00000,8.00000,0.00000,18.50000,2.00000,2.00000,3.00000
2007,1st Quintile,East,365,4.86988,4.23534,5.50443,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
2007,2nd Quintile,West,1192,8.71376,8.22041,9.20712,2.00000,6.00000,13.00000,0.00000,29.50000,6.00000,5.00000,7.00000
2007,2nd Quintile,East,469,7.38311,6.61645,8.14977,1.00000,4.00000,10.00000,0.00000,23.50000,4.00000,3.00000,5.00000
2007,3rd Quintile,West,1569,10.08386,9.60847,10.55925,2.00000,7.00000,15.00000,0.00000,34.50000,7.00000,6.00000,7.00000
2007,3rd Quintile,East,576,8.69451,8.01049,9.37852,2.00000,6.00000,13.00000,0.00000,29.50000,6.00000,5.00000,7.00000
2007,4th Quintile,West,2095,12.03095,11.59657,12.46534,3.00000,9.00000,18.00000,0.00000,40.50000,9.00000,8.00000,10.00000
2007,4th Quintile,East,661,11.03741,10.33403,11.74079,3.00000,10.00000,16.00000,0.00000,35.50000,10.00000,8.00000,11.00000
