year,quintil_oecd_hh,rentown,hlc0180,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2019,,Owner,No,0.9878048780487805,18428,0.9862201832714645,0.9893895728260964
2019,,Owner,Yes,0.012195121951219513,18428,0.010610427173903527,0.013779816728535498
2019,,Tenant,No,0.9719334719334719,18428,0.9695487948123828,0.974318149054561
2019,,Tenant,Yes,0.028066528066528068,18428,0.025681850945438966,0.03045120518761717
2019,,Owner,No,0.9910714285714286,18428,0.9897132388599446,0.9924296182829127
2019,,Owner,Yes,0.008928571428571428,18428,0.007570381717087366,0.01028676114005549
2019,,Tenant,No,0.9784546805349182,18428,0.9763583305189741,0.9805510305508623
2019,,Tenant,Yes,0.021545319465081723,18428,0.019448969449137637,0.02364166948102581
2019,,Owner,No,0.9626436781609196,18428,0.9599056884908286,0.9653816678310105
2019,,Owner,Yes,0.03735632183908046,18428,0.034618332168989484,0.04009431150917144
2019,,Tenant,No,0.9782082324455206,18428,0.9761001924074638,0.9803162724835773
2019,,Tenant,Yes,0.021791767554479417,18428,0.019683727516422642,0.023899807592536192
2019,,Owner,No,0.9740494870247435,18428,0.971753970337948,0.976345003711539
2019,,Owner,Yes,0.02595051297525649,18428,0.023654996288461023,0.028246029662051954
2019,,Tenant,No,0.9664775657555441,18428,0.9638787192358885,0.9690764122751997
2019,,Tenant,Yes,0.033522434244455904,18428,0.030923587724800278,0.03612128076411153
2019,,Owner,No,0.9692662312716097,18428,0.966774240554456,0.9717582219887634
2019,,Owner,Yes,0.03073376872839032,18428,0.02824177801123661,0.033225759445544026
2019,,Tenant,No,0.96,18428,0.957170676663083,0.962829323336917
2019,,Tenant,Yes,0.04,18428,0.03717067666308301,0.04282932333691699
2020,,Owner,No,0.9846153846153847,19329,0.98288027063653,0.9863504985942393
2020,,Owner,Yes,0.015384615384615385,19329,0.013649501405760807,0.017119729363469963
2020,,Tenant,No,0.9782433521353747,19329,0.9761866527310871,0.9803000515396624
2020,,Tenant,Yes,0.021756647864625302,19329,0.0196999484603377,0.023813347268912904
2020,,Owner,No,0.9825581395348837,19329,0.9807125848799325,0.9844036941898349
2020,,Owner,Yes,0.01744186046511628,19329,0.015596305810165146,0.01928741512006741
2020,,Tenant,No,0.9794238683127572,19329,0.9774225388661488,0.9814251977593655
2020,,Tenant,Yes,0.0205761316872428,19329,0.01857480224063448,0.022577461133851118
2020,,Owner,No,0.9858585858585859,19329,0.9841940041792776,0.9875231675378942
2020,,Owner,Yes,0.014141414141414142,19329,0.012476832462105885,0.0158059958207224
2020,,Tenant,No,0.9806629834254144,19329,0.978721623750854,0.9826043430999747
2020,,Tenant,Yes,0.019337016574585635,19329,0.017395656900025275,0.021278376249145994
2020,,Owner,No,0.9737903225806451,19329,0.9715380811490799,0.9760425640122103
2020,,Owner,Yes,0.02620967741935484,19329,0.023957435987789655,0.028461918850920025
2020,,Tenant,No,0.9706840390879479,19329,0.9683058718625679,0.9730622063133278
2020,,Tenant,Yes,0.029315960912052116,19329,0.026937793686672182,0.031694128137432054
2020,,Owner,No,0.9644218551461246,19329,0.9618104362063619,0.9670332740858872
2020,,Owner,Yes,0.035578144853875476,19329,0.03296672591411281,0.038189563793638144
2020,,Tenant,No,0.9599395313681028,19329,0.9571749375700322,0.9627041251661734
2020,,Tenant,Yes,0.0400604686318972,19329,0.03729587483382665,0.04282506242996775
2021,,Owner,No,0.9830508474576272,12568,0.9807940895625356,0.9853076053527188
2021,,Owner,Yes,0.01694915254237288,12568,0.014692394647281237,0.019205910437464526
2021,,Tenant,No,0.9738562091503268,12568,0.9710665272519983,0.9766458910486553
2021,,Tenant,Yes,0.026143790849673203,12568,0.023354108951344654,0.028933472748001753
2021,,Owner,No,0.9666666666666667,12568,0.9635283213381394,0.969805011995194
2021,,Owner,Yes,0.03333333333333333,12568,0.030194988004806023,0.03647167866186064
2021,,Tenant,No,0.9705128205128205,12568,0.9675552150453481,0.9734704259802929
2021,,Tenant,Yes,0.029487179487179487,12568,0.02652957401970713,0.03244478495465185
2021,,Owner,No,0.9642857142857143,12568,0.9610412213262564,0.9675302072451722
2021,,Owner,Yes,0.03571428571428571,12568,0.032469792754827795,0.03895877867374363
2021,,Tenant,No,0.9823529411764705,12568,0.980051006862069,0.984654875490872
2021,,Tenant,Yes,0.01764705882352941,12568,0.01534512450912793,0.01994899313793089
2021,,Owner,No,0.9718004338394793,12568,0.9689062058238446,0.9746946618551141
2021,,Owner,Yes,0.028199566160520606,12568,0.02530533814488589,0.03109379417615532
2021,,Tenant,No,0.9671457905544147,12568,0.9640293096583903,0.9702622714504392
2021,,Tenant,Yes,0.03285420944558522,12568,0.02973772854956079,0.03597069034160964
2021,,Owner,No,0.9639175257731959,12568,0.960656974164624,0.9671780773817678
2021,,Owner,Yes,0.03608247422680412,12568,0.03282192261823222,0.03934302583537602
2021,,Tenant,No,0.9558823529411765,12568,0.9522920476566309,0.9594726582257221
2021,,Tenant,Yes,0.04411764705882353,12568,0.040527341774277886,0.04770795234336918
