year,regtyp,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,West,Yes,0.59619,5298,15610,0.59599,0.59638
2015,Urban regions,West,No,0.40381,3782,15610,0.40362,0.40401
2015,Urban regions,East,Yes,0.61769,733,15610,0.61711,0.61827
2015,Urban regions,East,No,0.38231,466,15610,0.38173,0.38289
2015,Rural regions,West,Yes,0.64410,2048,15610,0.64377,0.64443
2015,Rural regions,West,No,0.35590,1227,15610,0.35557,0.35623
2015,Rural regions,East,Yes,0.61125,1261,15610,0.61080,0.61169
2015,Rural regions,East,No,0.38875,795,15610,0.38831,0.38920
2016,Urban regions,West,Yes,0.61358,4958,14182,0.61338,0.61377
2016,Urban regions,West,No,0.38642,3217,14182,0.38623,0.38662
2016,Urban regions,East,Yes,0.62990,706,14182,0.62932,0.63048
2016,Urban regions,East,No,0.37010,407,14182,0.36952,0.37068
2016,Rural regions,West,Yes,0.64066,1859,14182,0.64033,0.64099
2016,Rural regions,West,No,0.35934,1096,14182,0.35901,0.35967
2016,Rural regions,East,Yes,0.61652,1201,14182,0.61608,0.61696
2016,Rural regions,East,No,0.38348,738,14182,0.38304,0.38392
2017,Urban regions,West,Yes,0.62167,5564,15536,0.62148,0.62186
2017,Urban regions,West,No,0.37833,3343,15536,0.37814,0.37852
2017,Urban regions,East,Yes,0.65285,837,15536,0.65228,0.65342
2017,Urban regions,East,No,0.34715,392,15536,0.34658,0.34772
2017,Rural regions,West,Yes,0.69007,2167,15536,0.68975,0.69039
2017,Rural regions,West,No,0.30993,1065,15536,0.30961,0.31025
2017,Rural regions,East,Yes,0.64495,1394,15536,0.64451,0.64539
2017,Rural regions,East,No,0.35505,774,15536,0.35461,0.35549
2018,Urban regions,West,Yes,0.64654,5589,15334,0.64635,0.64672
2018,Urban regions,West,No,0.35346,3242,15334,0.35328,0.35365
2018,Urban regions,East,Yes,0.67806,853,15334,0.67750,0.67862
2018,Urban regions,East,No,0.32194,393,15334,0.32138,0.32250
2018,Rural regions,West,Yes,0.69201,2125,15334,0.69169,0.69233
2018,Rural regions,West,No,0.30799,964,15334,0.30767,0.30831
2018,Rural regions,East,Yes,0.62111,1357,15334,0.62066,0.62155
2018,Rural regions,East,No,0.37889,811,15334,0.37845,0.37934
2019,Urban regions,West,Yes,0.67474,6185,15499,0.67455,0.67492
2019,Urban regions,West,No,0.32526,2728,15499,0.32508,0.32545
2019,Urban regions,East,Yes,0.70624,939,15499,0.70569,0.70680
2019,Urban regions,East,No,0.29376,328,15499,0.29320,0.29431
2019,Rural regions,West,Yes,0.75328,2264,15499,0.75298,0.75358
2019,Rural regions,West,No,0.24672,818,15499,0.24642,0.24702
2019,Rural regions,East,Yes,0.65361,1558,15499,0.65317,0.65405
2019,Rural regions,East,No,0.34639,679,15499,0.34595,0.34683
2020,Urban regions,West,Yes,0.66725,6177,16057,0.66706,0.66743
2020,Urban regions,West,No,0.33275,3358,16057,0.33257,0.33294
2020,Urban regions,East,Yes,0.69741,901,16057,0.69686,0.69797
2020,Urban regions,East,No,0.30259,385,16057,0.30203,0.30314
2020,Rural regions,West,Yes,0.71065,2154,16057,0.71033,0.71096
2020,Rural regions,West,No,0.28935,960,16057,0.28904,0.28967
2020,Rural regions,East,Yes,0.65700,1419,16057,0.65656,0.65743
2020,Rural regions,East,No,0.34300,703,16057,0.34257,0.34344
2021,Urban regions,West,Yes,0.76513,4988,12166,0.76496,0.76529
2021,Urban regions,West,No,0.23487,2312,12166,0.23471,0.23504
2021,Urban regions,East,Yes,0.75224,703,12166,0.75170,0.75279
2021,Urban regions,East,No,0.24776,305,12166,0.24721,0.24830
2021,Rural regions,West,Yes,0.78016,1701,12166,0.77987,0.78044
2021,Rural regions,West,No,0.21984,637,12166,0.21956,0.22013
2021,Rural regions,East,Yes,0.78108,1140,12166,0.78070,0.78146
2021,Rural regions,East,No,0.21892,380,12166,0.21854,0.21930
