"plb0050","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2014","66 +","maennlich","","","",""
"Ja","2014","66 +","weiblich","","","",""
"Nein","2014","17-34","maennlich","","","",""
"Nein","2014","17-34","weiblich","","","",""
"Nein","2014","35-65","maennlich","","","",""
"Nein","2014","35-65","weiblich","","","",""
"Nein","2014","66 +","maennlich","","","",""
"Nein","2014","66 +","weiblich","","","",""
"Ja","2015","17-34","maennlich","","","",""
"Ja","2015","17-34","weiblich","","","",""
"Ja","2015","35-65","maennlich","","","",""
"Ja","2015","35-65","weiblich","","","",""
"Ja","2015","66 +","maennlich","","","",""
"Ja","2015","66 +","weiblich","","","",""
"Nein","2015","17-34","maennlich","","","",""
"Nein","2015","17-34","weiblich","","","",""
"Nein","2015","35-65","maennlich","","","",""
"Nein","2015","35-65","weiblich","","","",""
"Nein","2015","66 +","maennlich","","","",""
"Nein","2015","66 +","weiblich","","","",""
"Ja","2016","17-34","maennlich","878","0.530635750596985","0.506995641980366","0.554275859213604"
"Ja","2016","17-34","weiblich","803","0.496473045735615","0.472656497912508","0.520289593558723"
"Ja","2016","35-65","maennlich","2757","","",""
"Ja","2016","35-65","weiblich","2792","","",""
"Ja","2016","66 +","maennlich","36","0.229748319583501","0.158522379365116","0.300974259801887"
"Ja","2016","66 +","weiblich","22","","",""
"Nein","2016","17-34","maennlich","834","0.469364249403015","0.445724140786396","0.493004358019634"
"Nein","2016","17-34","weiblich","890","0.503526954264385","0.479710406441277","0.527343502087493"
"Nein","2016","35-65","maennlich","2099","","",""
"Nein","2016","35-65","weiblich","2601","","",""
"Nein","2016","66 +","maennlich","98","0.770251680416499","0.699025740198113","0.841477620634884"
"Nein","2016","66 +","weiblich","79","0.798231858401013","0.719964940921362","0.876498775880663"
"Ja","2017","17-34","maennlich","","","",""
"Ja","2017","17-34","weiblich","","","",""
"Ja","2017","35-65","maennlich","","","",""
"Ja","2017","35-65","weiblich","","","",""
"Ja","2017","66 +","maennlich","","","",""
"Ja","2017","66 +","weiblich","","","",""
"Nein","2017","17-34","maennlich","","","",""
"Nein","2017","17-34","weiblich","","","",""
"Nein","2017","35-65","maennlich","","","",""
"Nein","2017","35-65","weiblich","","","",""
"Nein","2017","66 +","maennlich","","","",""
"Nein","2017","66 +","weiblich","","","",""
"Ja","2018","17-34","maennlich","","","",""
"Ja","2018","17-34","weiblich","","","",""
"Ja","2018","35-65","maennlich","","","",""
"Ja","2018","35-65","weiblich","","","",""
"Ja","2018","66 +","maennlich","","","",""
"Ja","2018","66 +","weiblich","","","",""
"Nein","2018","17-34","maennlich","","","",""
"Nein","2018","17-34","weiblich","","","",""
"Nein","2018","35-65","maennlich","","","",""
"Nein","2018","35-65","weiblich","","","",""
"Nein","2018","66 +","maennlich","","","",""
"Nein","2018","66 +","weiblich","","","",""
"Ja","2019","17-34","maennlich","901","0.559712584264116","0.53643422799935","0.582990940528881"
"Ja","2019","17-34","weiblich","875","0.503572529020668","0.47992991840891","0.527215139632427"
"Ja","2019","35-65","maennlich","2828","","",""
"Ja","2019","35-65","weiblich","2933","","",""
"Ja","2019","66 +","maennlich","50","0.230674857174582","0.184446565714664","0.2769031486345"
"Ja","2019","66 +","weiblich","37","0.252749679127905","0.191437352302798","0.314062005953013"
"Nein","2019","17-34","maennlich","846","0.440287415735884","0.417009059471119","0.46356577200065"
"Nein","2019","17-34","weiblich","843","0.496427470979332","0.472784860367573","0.52007008159109"
"Nein","2019","35-65","maennlich","2935","","",""
"Nein","2019","35-65","weiblich","2984","","",""
"Nein","2019","66 +","maennlich","269","","",""
"Nein","2019","66 +","weiblich","156","","",""
