"plb0050","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2017","66 +","Realschule","","","",""
"Ja","2017","66 +","(Fach-)Abitur","","","",""
"Ja","2017","66 +","AkademikerIn","","","",""
"Nein","2017","17-34","(noch) kein Abschluss","","","",""
"Nein","2017","17-34","Hauptschule","","","",""
"Nein","2017","17-34","Realschule","","","",""
"Nein","2017","17-34","(Fach-)Abitur","","","",""
"Nein","2017","17-34","AkademikerIn","","","",""
"Nein","2017","35-65","(noch) kein Abschluss","","","",""
"Nein","2017","35-65","Hauptschule","","","",""
"Nein","2017","35-65","Realschule","","","",""
"Nein","2017","35-65","(Fach-)Abitur","","","",""
"Nein","2017","35-65","AkademikerIn","","","",""
"Nein","2017","66 +","(noch) kein Abschluss","","","",""
"Nein","2017","66 +","Hauptschule","","","",""
"Nein","2017","66 +","Realschule","","","",""
"Nein","2017","66 +","(Fach-)Abitur","","","",""
"Nein","2017","66 +","AkademikerIn","","","",""
"Ja","2018","17-34","(noch) kein Abschluss","","","",""
"Ja","2018","17-34","Hauptschule","","","",""
"Ja","2018","17-34","Realschule","","","",""
"Ja","2018","17-34","(Fach-)Abitur","","","",""
"Ja","2018","17-34","AkademikerIn","","","",""
"Ja","2018","35-65","(noch) kein Abschluss","","","",""
"Ja","2018","35-65","Hauptschule","","","",""
"Ja","2018","35-65","Realschule","","","",""
"Ja","2018","35-65","(Fach-)Abitur","","","",""
"Ja","2018","35-65","AkademikerIn","","","",""
"Ja","2018","66 +","(noch) kein Abschluss","","","",""
"Ja","2018","66 +","Hauptschule","","","",""
"Ja","2018","66 +","Realschule","","","",""
"Ja","2018","66 +","(Fach-)Abitur","","","",""
"Ja","2018","66 +","AkademikerIn","","","",""
"Nein","2018","17-34","(noch) kein Abschluss","","","",""
"Nein","2018","17-34","Hauptschule","","","",""
"Nein","2018","17-34","Realschule","","","",""
"Nein","2018","17-34","(Fach-)Abitur","","","",""
"Nein","2018","17-34","AkademikerIn","","","",""
"Nein","2018","35-65","(noch) kein Abschluss","","","",""
"Nein","2018","35-65","Hauptschule","","","",""
"Nein","2018","35-65","Realschule","","","",""
"Nein","2018","35-65","(Fach-)Abitur","","","",""
"Nein","2018","35-65","AkademikerIn","","","",""
"Nein","2018","66 +","(noch) kein Abschluss","","","",""
"Nein","2018","66 +","Hauptschule","","","",""
"Nein","2018","66 +","Realschule","","","",""
"Nein","2018","66 +","(Fach-)Abitur","","","",""
"Nein","2018","66 +","AkademikerIn","","","",""
"Ja","2019","17-34","(noch) kein Abschluss","37","0.447603073084105","0.346543194190614","0.548662951977597"
"Ja","2019","17-34","Hauptschule","201","","",""
"Ja","2019","17-34","Realschule","411","0.480526717457297","0.446679284259201","0.514374150655392"
"Ja","2019","17-34","(Fach-)Abitur","479","0.558200236254907","0.526023255436348","0.590377217073467"
"Ja","2019","17-34","AkademikerIn","493","0.683567023667734","0.650928371987284","0.716205675348184"
"Ja","2019","35-65","(noch) kein Abschluss","53","0.5133312542817","0.430537103689484","0.596125404873916"
"Ja","2019","35-65","Hauptschule","975","0.480260137338578","0.459273147099745","0.501247127577411"
"Ja","2019","35-65","Realschule","1688","","",""
"Ja","2019","35-65","(Fach-)Abitur","906","0.561958428137291","0.539572665225625","0.584344191048957"
"Ja","2019","35-65","AkademikerIn","2087","","",""
"Ja","2019","66 +","(noch) kein Abschluss","","","",""
"Ja","2019","66 +","Hauptschule","29","","",""
"Ja","2019","66 +","Realschule","13","","",""
"Ja","2019","66 +","(Fach-)Abitur","14","","",""
"Ja","2019","66 +","AkademikerIn","30","0.300618204395426","0.235247676963528","0.365988731827324"
"Nein","2019","17-34","(noch) kein Abschluss","56","0.552396926915895","0.451337048022403","0.653456805809386"
"Nein","2019","17-34","Hauptschule","294","","",""
"Nein","2019","17-34","Realschule","426","0.519473282542703","0.485625849344608","0.553320715740799"
"Nein","2019","17-34","(Fach-)Abitur","436","0.441799763745093","0.409622782926533","0.473976744563652"
"Nein","2019","17-34","AkademikerIn","287","","",""
"Nein","2019","35-65","(noch) kein Abschluss","87","0.4866687457183","0.403874595126083","0.569462896310516"
"Nein","2019","35-65","Hauptschule","1202","","",""
"Nein","2019","35-65","Realschule","1891","","",""
"Nein","2019","35-65","(Fach-)Abitur","981","0.438041571862709","0.415655808951043","0.460427334774375"
"Nein","2019","35-65","AkademikerIn","1671","","",""
"Nein","2019","66 +","(noch) kein Abschluss","6","1","1","1"
"Nein","2019","66 +","Hauptschule","128","","",""
"Nein","2019","66 +","Realschule","94","0.804403904854955","0.729246222817042","0.879561586892869"
"Nein","2019","66 +","(Fach-)Abitur","30","0.65115810344734","0.510333253535487","0.791982953359192"
"Nein","2019","66 +","AkademikerIn","159","","",""
