year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1986,46-65 y.,Lower Saxony,Seldom,0.61197,193,9650,0.61124,0.61270
1986,46-65 y.,Lower Saxony,Never,0.18903,58,9650,0.18844,0.18961
1986,46-65 y.,North Rhine-Westphalia,At least once per week,0.07772,67,9650,0.07746,0.07797
1986,46-65 y.,North Rhine-Westphalia,At least once per month,0.16196,162,9650,0.16161,0.16231
1986,46-65 y.,North Rhine-Westphalia,Seldom,0.53778,440,9650,0.53731,0.53825
1986,46-65 y.,North Rhine-Westphalia,Never,0.22254,182,9650,0.22215,0.22294
1986,46-65 y.,Hesse,At least once per week,0.09778,36,9650,0.09730,0.09826
1986,46-65 y.,Hesse,At least once per month,0.26266,94,9650,0.26195,0.26337
1986,46-65 y.,Hesse,Seldom,0.44046,130,9650,0.43966,0.44127
1986,46-65 y.,Hesse,Never,0.19910,65,9650,0.19846,0.19975
1986,46-65 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.26525,65,9650,0.26448,0.26603
1986,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.53601,131,9650,0.53513,0.53689
1986,46-65 y.,"Rhineland-Palatinate, Saarland",Never,0.19874,48,9650,0.19804,0.19944
1986,46-65 y.,Baden-Wuerttemberg,At least once per week,0.10317,66,9650,0.10279,0.10355
1986,46-65 y.,Baden-Wuerttemberg,At least once per month,0.15638,103,9650,0.15592,0.15683
1986,46-65 y.,Baden-Wuerttemberg,Seldom,0.50128,273,9650,0.50065,0.50191
1986,46-65 y.,Baden-Wuerttemberg,Never,0.23917,163,9650,0.23863,0.23970
1986,46-65 y.,Bavaria,At least once per week,0.10131,58,9650,0.10097,0.10166
1986,46-65 y.,Bavaria,At least once per month,0.19780,108,9650,0.19735,0.19826
1986,46-65 y.,Bavaria,Seldom,0.44229,222,9650,0.44171,0.44286
1986,46-65 y.,Bavaria,Never,0.25860,132,9650,0.25809,0.25910
1986,46-65 y.,Berlin,Seldom,0.56678,48,9650,0.56517,0.56840
1986,46-65 y.,Berlin,Never,0.43322,31,9650,0.43160,0.43483
1986,66 and older,Lower Saxony,Seldom,0.39164,40,9650,0.39059,0.39268
1986,66 and older,Lower Saxony,Never,0.60836,58,9650,0.60732,0.60941
1986,66 and older,North Rhine-Westphalia,Seldom,0.38459,80,9650,0.38387,0.38532
1986,66 and older,North Rhine-Westphalia,Never,0.61541,118,9650,0.61468,0.61613
1986,66 and older,Hesse,Never,1.00000,56,9650,1.00000,1.00000
1986,66 and older,"Rhineland-Palatinate, Saarland",Never,1.00000,44,9650,1.00000,1.00000
1986,66 and older,Baden-Wuerttemberg,Seldom,0.32115,42,9650,0.32022,0.32208
1986,66 and older,Baden-Wuerttemberg,Never,0.67885,80,9650,0.67792,0.67978
1986,66 and older,Bavaria,Seldom,0.24990,45,9650,0.24919,0.25061
1986,66 and older,Bavaria,Never,0.75010,114,9650,0.74939,0.75081
1988,17-29 y.,Schleswig-Holstein,Seldom,1.00000,47,9041,1.00000,1.00000
1988,17-29 y.,Lower Saxony,At least once per month,0.30018,83,9041,0.29941,0.30094
1988,17-29 y.,Lower Saxony,Seldom,0.60690,172,9041,0.60609,0.60772
1988,17-29 y.,Lower Saxony,Never,0.09292,36,9041,0.09244,0.09341
1988,17-29 y.,North Rhine-Westphalia,At least once per week,0.08297,76,9041,0.08267,0.08326
1988,17-29 y.,North Rhine-Westphalia,At least once per month,0.25823,199,9041,0.25776,0.25869
1988,17-29 y.,North Rhine-Westphalia,Seldom,0.53596,402,9041,0.53543,0.53648
1988,17-29 y.,North Rhine-Westphalia,Never,0.12285,116,9041,0.12250,0.12320
1988,17-29 y.,Hesse,At least once per week,0.11806,42,9041,0.11741,0.11871
1988,17-29 y.,Hesse,At least once per month,0.31438,79,9041,0.31345,0.31532
1988,17-29 y.,Hesse,Seldom,0.39583,108,9041,0.39485,0.39682
1988,17-29 y.,Hesse,Never,0.17172,46,9041,0.17096,0.17248
1988,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.26593,54,9041,0.26503,0.26682
1988,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.58951,116,9041,0.58852,0.59051
1988,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.14456,33,9041,0.14385,0.14527
1988,17-29 y.,Baden-Wuerttemberg,At least once per week,0.08807,67,9041,0.08768,0.08845
1988,17-29 y.,Baden-Wuerttemberg,At least once per month,0.29217,157,9041,0.29154,0.29279
1988,17-29 y.,Baden-Wuerttemberg,Seldom,0.43382,224,9041,0.43314,0.43450
1988,17-29 y.,Baden-Wuerttemberg,Never,0.18594,131,9041,0.18541,0.18648
1988,17-29 y.,Bavaria,At least once per week,0.08889,51,9041,0.08851,0.08927
1988,17-29 y.,Bavaria,At least once per month,0.31526,150,9041,0.31464,0.31588
1988,17-29 y.,Bavaria,Seldom,0.48544,209,9041,0.48477,0.48610
1988,17-29 y.,Bavaria,Never,0.11041,52,9041,0.10999,0.11083
1988,17-29 y.,Berlin,Seldom,1.00000,40,9041,1.00000,1.00000
1988,30-45 y.,Schleswig-Holstein,Seldom,1.00000,79,9041,1.00000,1.00000
1988,30-45 y.,Hamburg,Seldom,1.00000,33,9041,1.00000,1.00000
1988,30-45 y.,Lower Saxony,At least once per month,0.29712,75,9041,0.29629,0.29794
1988,30-45 y.,Lower Saxony,Seldom,0.70288,161,9041,0.70206,0.70371
1988,30-45 y.,North Rhine-Westphalia,At least once per week,0.05305,53,9041,0.05282,0.05327
1988,30-45 y.,North Rhine-Westphalia,At least once per month,0.20180,182,9041,0.20140,0.20219
1988,30-45 y.,North Rhine-Westphalia,Seldom,0.61538,493,9041,0.61490,0.61586
1988,30-45 y.,North Rhine-Westphalia,Never,0.12978,127,9041,0.12944,0.13011
1988,30-45 y.,Hesse,At least once per week,0.10555,48,9041,0.10497,0.10613
1988,30-45 y.,Hesse,At least once per month,0.21548,71,9041,0.21471,0.21626
1988,30-45 y.,Hesse,Seldom,0.53624,134,9041,0.53530,0.53717
1988,30-45 y.,Hesse,Never,0.14273,50,9041,0.14207,0.14339
1988,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.37763,38,9041,0.37634,0.37892
