year,rentown,hgseval,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Tenant,A Bit Too Small,0.20790259591086607,6750,0.19822152422528563,0.2175836675964465
1990,Tenant,Much Too Small,0.05398575694923041,6750,0.04859446785915662,0.0593770460393042
1990,Tenant,A Bit Too Large,0.03997243280496209,6750,0.03529910411396687,0.044645761495957316
1990,Tenant,Much Too Large,0.005283712382265104,6750,0.0035542011615669594,0.0070132236029632495
1991,Owner,Just Right,0.7943355119825708,6629,0.784605492595104,0.8040655313700376
1991,Owner,A Bit Too Large,0.09934640522875816,6629,0.0921455010182671,0.10654730943924923
1991,Owner,A Bit Too Small,0.09019607843137255,6629,0.08330003811460594,0.09709211874813915
1991,Owner,Much Too Large,0.008714596949891068,6629,0.006477138030211141,0.010952055869570996
1991,Owner,Much Too Small,0.007407407407407408,6629,0.005343212546245081,0.009471602268569735
1991,Tenant,Just Right,0.6555661274976213,6629,0.6441269910054798,0.6670052639897629
1991,Tenant,A Bit Too Small,0.23882017126546146,6629,0.22855629991041415,0.24908404262050876
1991,Tenant,Much Too Small,0.05780209324452902,6629,0.05218418149752477,0.06342000499153327
1991,Tenant,A Bit Too Large,0.042340627973358705,6629,0.037493145573541206,0.047188110373176204
1991,Tenant,Much Too Large,0.005470980019029496,6629,0.0036952646389730986,0.007246695399085894
1992,Owner,Just Right,0.7885117493472585,6603,0.778661831015375,0.7983616676791421
1992,Owner,A Bit Too Large,0.10052219321148825,6603,0.09326929426364863,0.10777509215932787
1992,Owner,A Bit Too Small,0.09051348999129678,6603,0.08359294639412683,0.09743403358846674
1992,Owner,Much Too Small,0.010879025239338555,6603,0.008376922602605797,0.013381127876071312
1992,Owner,Much Too Large,0.009573542210617928,6603,0.007224813440226607,0.01192227098100925
1992,Tenant,Just Right,0.6502145922746781,6603,0.6387114994997813,0.661717685049575
1992,Tenant,A Bit Too Small,0.24201239866475918,6603,0.23168156707943677,0.2523432302500816
1992,Tenant,Much Too Small,0.055793991416309016,6603,0.050257781890504186,0.06133020094211385
1992,Tenant,A Bit Too Large,0.04935622317596566,6603,0.04413147591283241,0.054580970439098916
1992,Tenant,Much Too Large,0.0026227944682880307,6603,0.0013891293892879214,0.0038564595472881397
1993,Owner,Just Right,0.7761717038983793,6570,0.7660928816977584,0.7862505260990003
1993,Owner,A Bit Too Large,0.1099430573806395,6570,0.10237880191679158,0.11750731284448743
1993,Owner,A Bit Too Small,0.09505037231712658,6570,0.08795847399189473,0.10214227064235844
1993,Owner,Much Too Large,0.010950503723171266,6570,0.00843398915886004,0.013467018287482492
1993,Owner,Much Too Small,0.00788436268068331,6570,0.005745721964513282,0.01002300339685334
1993,Tenant,Just Right,0.6554863440344992,6570,0.6439953279805922,0.6669773600884062
1993,Tenant,A Bit Too Small,0.23526593195975085,6570,0.22500922076218882,0.24552264315731287
1993,Tenant,Much Too Small,0.05390512697652132,6570,0.048444333303273204,0.059365920649769435
1993,Tenant,A Bit Too Large,0.052228078581696216,6570,0.04684813984641889,0.05760801731697354
1993,Tenant,Much Too Large,0.003114518447532343,6570,0.0017671341681952276,0.004461902726869458
1994,Owner,Just Right,0.7750653879686138,6496,0.7649115464929749,0.7852192294442527
1994,Owner,A Bit Too Large,0.11508282476024412,6496,0.10732232603221742,0.12284332348827082
1994,Owner,A Bit Too Small,0.08892763731473409,6496,0.08200569658200886,0.09584957804745932
1994,Owner,Much Too Large,0.013077593722755012,6496,0.01031486343871754,0.015840324006792486
1994,Owner,Much Too Small,0.007846556233653008,6496,0.0057008906703236596,0.009992221796982356
1994,Tenant,Just Right,0.6637931034482759,6496,0.6523048835442166,0.6752813233523353
1994,Tenant,A Bit Too Small,0.22635467980295568,6496,0.21617817238383266,0.2365311872220787
1994,Tenant,Much Too Small,0.05295566502463054,6496,0.04750970521873878,0.058401624830522296
1994,Tenant,A Bit Too Large,0.05270935960591133,6496,0.0472753730915113,0.058143346120311364
1994,Tenant,Much Too Large,0.0041871921182266006,6496,0.0026168894775329184,0.005757494758920283
1995,Owner,Just Right,0.7740137221269296,6697,0.7639968694476313,0.784030574806228
1995,Owner,A Bit Too Large,0.12435677530017153,6697,0.11645337018652221,0.13226018041382084
1995,Owner,A Bit Too Small,0.08361921097770154,6697,0.07698931151729026,0.09024911043811283
1995,Owner,Much Too Large,0.01072041166380789,6697,0.008253911336679732,0.013186911990936048
1995,Owner,Much Too Small,0.007289879931389366,6697,0.005252428174835814,0.009327331687942917
1995,Tenant,Just Right,0.6635470285446888,6697,0.6522304807927004,0.6748635762966773
1995,Tenant,A Bit Too Small,0.22976134768366868,6697,0.21968583715402748,0.23983685821330988
1995,Tenant,A Bit Too Large,0.05404773046326626,6697,0.048632221678353786,0.059463239248178736
1995,Tenant,Much Too Small,0.04843238184370613,6697,0.04329071819595068,0.05357404549146158
1995,Tenant,Much Too Large,0.004211511464670099,6697,0.0026604876494175653,0.005762535279922632
1996,Owner,Just Right,0.7676086039645719,6631,0.7574426884328858,0.777774519496258
1996,Owner,A Bit Too Large,0.1299029945170814,6631,0.12181091809432179,0.137995070939841
1996,Owner,A Bit Too Small,0.08435259384226065,6631,0.07766330555652573,0.09104188212799558
1996,Owner,Much Too Large,0.010544074230282582,6631,0.008085581028896784,0.01300256743166838
1996,Owner,Much Too Small,0.007591733445803458,6631,0.005502522851012015,0.009680944040594901
1996,Tenant,Just Right,0.6727099236641222,6631,0.661415946812308,0.6840039005159364
