year,bula_h,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Hesse,4th Quintile,Just Right,0.72934,80,80,0.63136,0.82732
1987,Hesse,5th Quintile,Just Right,0.73761,71,71,0.63455,0.84067
1987,"Rhineland-Palatinate, Saarland",1st Quintile,Just Right,0.76312,52,52,0.64643,0.87981
1987,"Rhineland-Palatinate, Saarland",2nd Quintile,Just Right,0.80606,64,64,0.70842,0.90369
1987,"Rhineland-Palatinate, Saarland",3rd Quintile,Just Right,0.82818,59,59,0.73109,0.92526
1987,"Rhineland-Palatinate, Saarland",4th Quintile,Just Right,0.83195,56,56,0.73313,0.93077
1987,"Rhineland-Palatinate, Saarland",5th Quintile,Just Right,0.67532,42,42,0.53199,0.81865
1987,Baden-Wuerttemberg,1st Quintile,Just Right,0.75989,94,94,0.67308,0.84671
1987,Baden-Wuerttemberg,2nd Quintile,Just Right,0.87264,158,158,0.82050,0.92479
1987,Baden-Wuerttemberg,3rd Quintile,Just Right,0.75987,150,150,0.69129,0.82846
1987,Baden-Wuerttemberg,4th Quintile,Just Right,0.84366,168,168,0.78858,0.89874
1987,Baden-Wuerttemberg,5th Quintile,Just Right,0.84227,129,129,0.77913,0.90542
1987,Bavaria,1st Quintile,A Bit Too Small,0.15435,31,129,0.09176,0.21694
1987,Bavaria,1st Quintile,Just Right,0.73690,98,129,0.66062,0.81318
1987,Bavaria,2nd Quintile,Just Right,0.75083,126,126,0.67500,0.82665
1987,Bavaria,3rd Quintile,Just Right,0.79257,138,138,0.72468,0.86047
1987,Bavaria,4th Quintile,Just Right,0.76859,125,125,0.69436,0.84282
1987,Bavaria,5th Quintile,Just Right,0.79170,132,132,0.72216,0.86124
1987,Berlin,3rd Quintile,Just Right,0.79830,37,37,0.66722,0.92938
1987,Berlin,4th Quintile,Just Right,0.69766,34,34,0.54096,0.85436
1988,Schleswig-Holstein,3rd Quintile,Just Right,0.86106,32,32,0.73930,0.98282
1988,Lower Saxony,1st Quintile,Just Right,0.79696,78,78,0.70711,0.88681
1988,Lower Saxony,2nd Quintile,Just Right,0.75866,73,73,0.65982,0.85750
1988,Lower Saxony,3rd Quintile,Just Right,0.87941,77,77,0.80620,0.95263
1988,Lower Saxony,4th Quintile,Just Right,0.80289,86,86,0.71831,0.88746
1988,Lower Saxony,5th Quintile,Just Right,0.76231,73,73,0.66399,0.86063
1988,North Rhine-Westphalia,1st Quintile,A Bit Too Small,0.13754,53,278,0.09698,0.17810
1988,North Rhine-Westphalia,1st Quintile,Just Right,0.78796,225,278,0.73982,0.83609
1988,North Rhine-Westphalia,2nd Quintile,A Bit Too Small,0.10790,42,238,0.06840,0.14740
1988,North Rhine-Westphalia,2nd Quintile,Just Right,0.80116,196,238,0.75034,0.85197
1988,North Rhine-Westphalia,3rd Quintile,A Bit Too Small,0.13503,33,223,0.09007,0.17998
1988,North Rhine-Westphalia,3rd Quintile,Just Right,0.78541,190,223,0.73141,0.83942
1988,North Rhine-Westphalia,4th Quintile,Just Right,0.82964,199,199,0.77727,0.88200
1988,North Rhine-Westphalia,5th Quintile,Just Right,0.77476,189,189,0.71504,0.83447
1988,Hesse,1st Quintile,Just Right,0.77330,62,62,0.66823,0.87838
1988,Hesse,2nd Quintile,Just Right,0.82891,69,69,0.73940,0.91842
1988,Hesse,3rd Quintile,Just Right,0.71613,57,57,0.59803,0.83422
1988,Hesse,4th Quintile,Just Right,0.69194,80,80,0.59013,0.79375
1988,Hesse,5th Quintile,Just Right,0.75424,61,61,0.64530,0.86318
1988,"Rhineland-Palatinate, Saarland",1st Quintile,Just Right,0.84357,59,59,0.75009,0.93706
1988,"Rhineland-Palatinate, Saarland",2nd Quintile,Just Right,0.79188,52,52,0.68046,0.90330
1988,"Rhineland-Palatinate, Saarland",3rd Quintile,Just Right,0.79744,64,64,0.69820,0.89669
1988,"Rhineland-Palatinate, Saarland",4th Quintile,Just Right,0.72518,51,51,0.60144,0.84893
1988,"Rhineland-Palatinate, Saarland",5th Quintile,Just Right,0.75086,38,38,0.61150,0.89023
1988,Baden-Wuerttemberg,1st Quintile,Just Right,0.77913,107,107,0.70016,0.85810
1988,Baden-Wuerttemberg,2nd Quintile,Just Right,0.87724,154,154,0.82524,0.92924
1988,Baden-Wuerttemberg,3rd Quintile,Just Right,0.75235,150,150,0.68304,0.82166
1988,Baden-Wuerttemberg,4th Quintile,Just Right,0.86552,158,158,0.81216,0.91889
1988,Baden-Wuerttemberg,5th Quintile,Just Right,0.81755,125,125,0.74957,0.88553
1988,Bavaria,1st Quintile,Just Right,0.76025,100,100,0.67615,0.84435
1988,Bavaria,2nd Quintile,Just Right,0.80385,127,127,0.73452,0.87319
1988,Bavaria,3rd Quintile,Just Right,0.77343,129,129,0.70091,0.84595
1988,Bavaria,4th Quintile,Just Right,0.75670,124,124,0.68087,0.83253
1988,Bavaria,5th Quintile,Just Right,0.76618,120,120,0.69014,0.84223
1988,Berlin,3rd Quintile,Just Right,0.75397,32,32,0.60236,0.90559
1988,Berlin,5th Quintile,Just Right,0.70025,31,31,0.53630,0.86419
1989,Schleswig-Holstein,2nd Quintile,Just Right,0.75377,36,36,0.61104,0.89650
1989,Lower Saxony,1st Quintile,Just Right,0.75903,78,78,0.66351,0.85456
1989,Lower Saxony,2nd Quintile,Just Right,0.83691,69,69,0.74910,0.92472
1989,Lower Saxony,3rd Quintile,Just Right,0.84537,85,85,0.76805,0.92269
1989,Lower Saxony,4th Quintile,Just Right,0.73444,81,81,0.63766,0.83122
1989,Lower Saxony,5th Quintile,Just Right,0.73253,60,60,0.61958,0.84548
