year,hhtyp,rentown,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Couple with children,Tenant,A Bit Too Small,0.24129,518,6426,0.24093,0.24165
1990,Couple with children,Tenant,Just Right,0.66348,1114,6426,0.66309,0.66388
1990,Couple with children,Tenant,A Bit Too Large,0.02765,40,6426,0.02752,0.02779
1990,Multi-generational household,Owner,Just Right,1.00000,68,6426,1.00000,1.00000
1990,Multi-generational household,Tenant,Just Right,1.00000,56,6426,1.00000,1.00000
1990,Other Combinations,Owner,Just Right,1.00000,51,6426,1.00000,1.00000
1990,Other Combinations,Tenant,Just Right,1.00000,55,6426,1.00000,1.00000
1991,Single-person household,Owner,Just Right,0.78335,188,6208,0.78282,0.78388
1991,Single-person household,Owner,A Bit Too Large,0.21665,51,6208,0.21612,0.21718
1991,Single-person household,Tenant,A Bit Too Small,0.14488,145,6208,0.14465,0.14511
1991,Single-person household,Tenant,Just Right,0.78171,748,6208,0.78144,0.78198
1991,Single-person household,Tenant,A Bit Too Large,0.07341,75,6208,0.07323,0.07358
1991,Couple without children,Owner,Just Right,0.82444,475,6208,0.82405,0.82483
1991,Couple without children,Owner,A Bit Too Large,0.17556,93,6208,0.17517,0.17595
1991,Couple without children,Tenant,A Bit Too Small,0.18247,174,6208,0.18213,0.18281
1991,Couple without children,Tenant,Just Right,0.75955,760,6208,0.75918,0.75993
1991,Couple without children,Tenant,A Bit Too Large,0.05798,51,6208,0.05778,0.05819
1991,Single parent,Owner,Just Right,1.00000,89,6208,1.00000,1.00000
1991,Single parent,Tenant,A Bit Too Small,0.24461,60,6208,0.24383,0.24539
1991,Single parent,Tenant,Just Right,0.75539,175,6208,0.75461,0.75617
1991,Couple with children,Owner,A Bit Too Small,0.11989,138,6208,0.11961,0.12016
1991,Couple with children,Owner,Just Right,0.81797,961,6208,0.81765,0.81830
1991,Couple with children,Owner,A Bit Too Large,0.06214,65,6208,0.06193,0.06234
1991,Couple with children,Tenant,Much Too Small,0.08168,161,6208,0.08145,0.08191
1991,Couple with children,Tenant,A Bit Too Small,0.33595,580,6208,0.33556,0.33635
1991,Couple with children,Tenant,Just Right,0.55540,982,6208,0.55498,0.55582
1991,Couple with children,Tenant,A Bit Too Large,0.02696,36,6208,0.02683,0.02710
1991,Multi-generational household,Owner,Just Right,1.00000,62,6208,1.00000,1.00000
1991,Multi-generational household,Tenant,Just Right,1.00000,43,6208,1.00000,1.00000
1991,Other Combinations,Owner,Just Right,1.00000,48,6208,1.00000,1.00000
1991,Other Combinations,Tenant,Just Right,1.00000,48,6208,1.00000,1.00000
1992,Single-person household,Owner,Just Right,0.81713,195,6238,0.81664,0.81761
1992,Single-person household,Owner,A Bit Too Large,0.18287,45,6238,0.18239,0.18336
1992,Single-person household,Tenant,A Bit Too Small,0.14610,149,6238,0.14587,0.14634
1992,Single-person household,Tenant,Just Right,0.77574,762,6238,0.77546,0.77601
1992,Single-person household,Tenant,A Bit Too Large,0.07816,79,6238,0.07798,0.07834
1992,Couple without children,Owner,Just Right,0.84151,494,6238,0.84114,0.84188
1992,Couple without children,Owner,A Bit Too Large,0.15849,88,6238,0.15812,0.15886
1992,Couple without children,Tenant,Much Too Small,0.03348,39,6238,0.03333,0.03364
1992,Couple without children,Tenant,A Bit Too Small,0.17776,181,6238,0.17743,0.17809
1992,Couple without children,Tenant,Just Right,0.72710,771,6238,0.72672,0.72748
1992,Couple without children,Tenant,A Bit Too Large,0.06166,63,6238,0.06145,0.06187
1992,Single parent,Owner,Just Right,1.00000,82,6238,1.00000,1.00000
1992,Single parent,Tenant,A Bit Too Small,0.24681,61,6238,0.24605,0.24757
1992,Single parent,Tenant,Just Right,0.75319,189,6238,0.75243,0.75395
1992,Couple with children,Owner,A Bit Too Small,0.12724,150,6238,0.12696,0.12752
1992,Couple with children,Owner,Just Right,0.80083,932,6238,0.80050,0.80117
1992,Couple with children,Owner,A Bit Too Large,0.07192,74,6238,0.07171,0.07214
1992,Couple with children,Tenant,Much Too Small,0.07571,146,6238,0.07549,0.07594
1992,Couple with children,Tenant,A Bit Too Small,0.34842,578,6238,0.34802,0.34882
1992,Couple with children,Tenant,Just Right,0.54182,905,6238,0.54140,0.54224
1992,Couple with children,Tenant,A Bit Too Large,0.03404,46,6238,0.03389,0.03420
1992,Multi-generational household,Owner,Just Right,1.00000,56,6238,1.00000,1.00000
1992,Multi-generational household,Tenant,Just Right,1.00000,36,6238,1.00000,1.00000
1992,Other Combinations,Owner,Just Right,1.00000,53,6238,1.00000,1.00000
1992,Other Combinations,Tenant,Just Right,1.00000,64,6238,1.00000,1.00000
1993,Single-person household,Owner,Just Right,0.79161,199,6262,0.79112,0.79211
1993,Single-person household,Owner,A Bit Too Large,0.20839,55,6262,0.20789,0.20888
1993,Single-person household,Tenant,A Bit Too Small,0.15193,153,6262,0.15170,0.15217
1993,Single-person household,Tenant,Just Right,0.76882,789,6262,0.76855,0.76910
1993,Single-person household,Tenant,A Bit Too Large,0.07924,90,6262,0.07907,0.07942
1993,Couple without children,Owner,A Bit Too Small,0.05032,35,6262,0.05011,0.05053
1993,Couple without children,Owner,Just Right,0.77091,489,6262,0.77050,0.77131
1993,Couple without children,Owner,A Bit Too Large,0.17877,106,6262,0.17840,0.17914
1993,Couple without children,Tenant,Much Too Small,0.03022,39,6262,0.03007,0.03037
1993,Couple without children,Tenant,A Bit Too Small,0.18445,183,6262,0.18412,0.18479
1993,Couple without children,Tenant,Just Right,0.73230,769,6262,0.73192,0.73268
1993,Couple without children,Tenant,A Bit Too Large,0.05303,63,6262,0.05283,0.05322
1993,Single parent,Owner,Just Right,1.00000,72,6262,1.00000,1.00000
1993,Single parent,Tenant,A Bit Too Small,0.25177,59,6262,0.25101,0.25254
1993,Single parent,Tenant,Just Right,0.74823,184,6262,0.74746,0.74899
1993,Couple with children,Owner,A Bit Too Small,0.12837,147,6262,0.12809,0.12865
1993,Couple with children,Owner,Just Right,0.79922,889,6262,0.79889,0.79956
1993,Couple with children,Owner,A Bit Too Large,0.07241,72,6262,0.07219,0.07262
1993,Couple with children,Tenant,Much Too Small,0.07180,134,6262,0.07158,0.07202
1993,Couple with children,Tenant,A Bit Too Small,0.34101,539,6262,0.34060,0.34141
1993,Couple with children,Tenant,Just Right,0.55602,903,6262,0.55559,0.55644
1993,Couple with children,Tenant,A Bit Too Large,0.03118,46,6262,0.03103,0.03133
1993,Multi-generational household,Owner,Just Right,1.00000,71,6262,1.00000,1.00000
1993,Multi-generational household,Tenant,Just Right,1.00000,35,6262,1.00000,1.00000
1993,Other Combinations,Owner,Just Right,1.00000,52,6262,1.00000,1.00000
1993,Other Combinations,Tenant,A Bit Too Small,0.34138,33,6262,0.33992,0.34284
1993,Other Combinations,Tenant,Just Right,0.65862,56,6262,0.65716,0.66008
1994,Single-person household,Owner,Just Right,0.78569,203,6148,0.78521,0.78617
1994,Single-person household,Owner,A Bit Too Large,0.21431,61,6148,0.21383,0.21479
1994,Single-person household,Tenant,A Bit Too Small,0.13981,143,6148,0.13958,0.14003
