year,bula_h,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Lower Saxony,West,Yes,0.05486,84,1348,0.04270,0.06702
2016,Lower Saxony,West,No,0.93887,1264,1348,0.92608,0.95166
2016,Bremen,West,No,0.98364,101,101,0.95877,1.00850
2016,North Rhine-Westphalia,West,Yes,0.02988,112,2907,0.02369,0.03607
2016,North Rhine-Westphalia,West,No,0.96390,2795,2907,0.95711,0.97068
2016,Hesse,West,Yes,0.02724,36,978,0.01703,0.03745
2016,Hesse,West,No,0.96869,942,978,0.95777,0.97961
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.02748,31,848,0.01647,0.03848
2016,"Rhineland-Palatinate, Saarland",West,No,0.96469,817,848,0.95226,0.97712
2016,Baden-Wuerttemberg,West,Yes,0.01775,60,1627,0.01133,0.02417
2016,Baden-Wuerttemberg,West,No,0.97781,1567,1627,0.97065,0.98497
2016,Bavaria,West,Yes,0.03312,104,2300,0.02580,0.04043
2016,Bavaria,West,No,0.96369,2196,2300,0.95605,0.97134
2016,Berlin,West,No,0.97668,336,336,0.96052,0.99284
2016,Berlin,East,No,0.97339,253,253,0.95352,0.99326
2016,Brandenburg,East,Yes,0.06669,39,562,0.04604,0.08733
2016,Brandenburg,East,No,0.92915,523,562,0.90792,0.95038
2016,Mecklenburg-Western Pomerania,East,No,0.96644,316,316,0.94655,0.98633
2016,Saxony,East,Yes,0.06868,65,865,0.05181,0.08554
2016,Saxony,East,No,0.92680,800,865,0.90943,0.94417
2016,Saxony-Anhalt,East,Yes,0.06402,46,513,0.04282,0.08522
2016,Saxony-Anhalt,East,No,0.92840,467,513,0.90607,0.95073
2016,Thuringa,East,Yes,0.05563,38,544,0.03635,0.07491
2016,Thuringa,East,No,0.93697,506,544,0.91653,0.95741
2021,Schleswig-Holstein,West,No,0.92656,402,402,0.90102,0.95209
2021,Hamburg,West,No,0.96616,259,259,0.94410,0.98823
2021,Lower Saxony,West,Yes,0.03573,48,1062,0.02456,0.04689
2021,Lower Saxony,West,No,0.95521,1014,1062,0.94276,0.96766
2021,Bremen,West,No,0.98473,78,78,0.95734,1.01212
2021,North Rhine-Westphalia,West,Yes,0.02684,84,2283,0.02021,0.03347
2021,North Rhine-Westphalia,West,No,0.96052,2199,2283,0.95253,0.96851
2021,Hesse,West,No,0.95823,671,671,0.94308,0.97338
2021,"Rhineland-Palatinate, Saarland",West,No,0.95391,513,513,0.93574,0.97207
2021,Baden-Wuerttemberg,West,Yes,0.01909,37,1215,0.01139,0.02678
2021,Baden-Wuerttemberg,West,No,0.97165,1178,1215,0.96232,0.98099
2021,Bavaria,West,Yes,0.04016,73,1747,0.03095,0.04936
2021,Bavaria,West,No,0.95301,1674,1747,0.94309,0.96294
2021,Berlin,West,No,0.98215,350,350,0.96826,0.99604
2021,Berlin,East,No,0.94839,195,195,0.91726,0.97952
2021,Brandenburg,East,No,0.95974,422,422,0.94096,0.97852
2021,Mecklenburg-Western Pomerania,East,No,0.94924,245,245,0.92170,0.97678
2021,Saxony,East,Yes,0.05583,38,733,0.03920,0.07246
2021,Saxony,East,No,0.93678,695,733,0.91916,0.95441
2021,Saxony-Anhalt,East,Yes,0.08232,36,369,0.05424,0.11040
2021,Saxony-Anhalt,East,No,0.90902,333,369,0.87964,0.93840
2021,Thuringa,East,No,0.94955,358,358,0.92684,0.97225
