year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Hamburg,3rd Quintile,No,0.99987,41,41,0.99631,1.00342
2021,Hamburg,4th Quintile,No,0.97842,46,46,0.93596,1.02088
2021,Hamburg,5th Quintile,No,0.99077,75,75,0.96898,1.01256
2021,Lower Saxony,1st Quintile,No,0.94585,189,189,0.91351,0.97820
2021,Lower Saxony,2nd Quintile,No,0.97971,206,206,0.96040,0.99901
2021,Lower Saxony,3rd Quintile,No,0.92738,187,187,0.89009,0.96468
2021,Lower Saxony,4th Quintile,No,0.96604,193,193,0.94042,0.99166
2021,Lower Saxony,5th Quintile,No,0.95451,239,239,0.92803,0.98098
2021,North Rhine-Westphalia,1st Quintile,No,0.94658,447,447,0.92571,0.96745
2021,North Rhine-Westphalia,2nd Quintile,No,0.93732,423,423,0.91420,0.96045
2021,North Rhine-Westphalia,3rd Quintile,No,0.97727,387,387,0.96240,0.99214
2021,North Rhine-Westphalia,4th Quintile,No,0.97455,397,397,0.95904,0.99006
2021,North Rhine-Westphalia,5th Quintile,No,0.97009,544,544,0.95576,0.98442
2021,Hesse,1st Quintile,No,0.94107,114,114,0.89765,0.98449
2021,Hesse,2nd Quintile,No,0.96781,97,97,0.93250,1.00312
2021,Hesse,3rd Quintile,No,0.98061,126,126,0.95644,1.00478
2021,Hesse,4th Quintile,No,0.98147,124,124,0.95764,1.00530
2021,Hesse,5th Quintile,No,0.92774,205,205,0.89220,0.96327
2021,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.92287,99,99,0.87005,0.97570
2021,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.96629,106,106,0.93177,1.00081
2021,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.95238,103,103,0.91105,0.99371
2021,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.99482,92,92,0.98006,1.00957
2021,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.92990,111,111,0.88219,0.97762
2021,Baden-Wuerttemberg,1st Quintile,No,0.96308,168,168,0.93447,0.99168
2021,Baden-Wuerttemberg,2nd Quintile,No,0.98269,190,190,0.96410,1.00129
2021,Baden-Wuerttemberg,3rd Quintile,No,0.97292,211,211,0.95097,0.99488
2021,Baden-Wuerttemberg,4th Quintile,No,0.96112,243,243,0.93677,0.98548
2021,Baden-Wuerttemberg,5th Quintile,No,0.98181,365,365,0.96808,0.99554
2021,Bavaria,1st Quintile,No,0.96397,239,239,0.94029,0.98765
2021,Bavaria,2nd Quintile,No,0.94474,328,328,0.91998,0.96951
2021,Bavaria,3rd Quintile,No,0.96233,301,301,0.94078,0.98387
2021,Bavaria,4th Quintile,No,0.94575,356,356,0.92218,0.96931
2021,Bavaria,5th Quintile,No,0.95164,447,447,0.93173,0.97155
2021,Berlin,1st Quintile,No,0.94873,118,118,0.90876,0.98869
2021,Berlin,2nd Quintile,No,0.96158,83,83,0.91998,1.00318
2021,Berlin,3rd Quintile,No,0.96356,93,93,0.92527,1.00185
2021,Berlin,4th Quintile,No,0.99355,107,107,0.97831,1.00879
2021,Berlin,5th Quintile,No,0.99233,143,143,0.97797,1.00668
2021,Brandenburg,1st Quintile,No,0.91966,83,83,0.86082,0.97849
2021,Brandenburg,2nd Quintile,No,0.97120,100,100,0.93826,1.00415
2021,Brandenburg,3rd Quintile,No,0.94914,80,80,0.90069,0.99759
2021,Brandenburg,4th Quintile,No,0.98157,73,73,0.95051,1.01264
2021,Brandenburg,5th Quintile,No,0.98418,86,86,0.95764,1.01071
2021,Mecklenburg-Western Pomerania,1st Quintile,No,0.98620,67,67,0.95805,1.01435
2021,Mecklenburg-Western Pomerania,2nd Quintile,No,0.93405,57,57,0.86905,0.99906
2021,Mecklenburg-Western Pomerania,3rd Quintile,No,0.85927,39,39,0.74871,0.96984
2021,Mecklenburg-Western Pomerania,4th Quintile,No,0.99952,39,39,0.99252,1.00651
2021,Mecklenburg-Western Pomerania,5th Quintile,No,0.98490,43,43,0.94802,1.02178
2021,Saxony,1st Quintile,No,0.91629,152,152,0.87211,0.96046
2021,Saxony,2nd Quintile,No,0.95984,165,165,0.92979,0.98989
2021,Saxony,3rd Quintile,No,0.89721,151,151,0.84860,0.94581
2021,Saxony,4th Quintile,No,0.99116,110,110,0.97358,1.00873
2021,Saxony,5th Quintile,No,0.95024,115,115,0.91033,0.99016
2021,Saxony-Anhalt,1st Quintile,No,0.94899,89,89,0.90302,0.99496
2021,Saxony-Anhalt,2nd Quintile,No,0.85790,75,75,0.77835,0.93746
2021,Saxony-Anhalt,3rd Quintile,No,0.94209,69,69,0.88657,0.99761
2021,Saxony-Anhalt,4th Quintile,No,0.87470,54,54,0.78557,0.96383
2021,Saxony-Anhalt,5th Quintile,No,0.89935,45,45,0.81045,0.98825
2021,Thuringa,1st Quintile,No,0.95022,91,91,0.90529,0.99516
2021,Thuringa,2nd Quintile,No,0.95691,88,88,0.91424,0.99958
2021,Thuringa,3rd Quintile,No,0.91719,60,60,0.84686,0.98751
2021,Thuringa,4th Quintile,No,0.96576,61,61,0.91975,1.01177
2021,Thuringa,5th Quintile,No,0.95730,58,58,0.90481,1.00979
