"pli0091_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1994","Westdeutschland","weiblich","1974","0.448864694393775","0.434527209139613","0.463202179647937"
"Nie","1994","Ostdeutschland","maennlich","612","0.377921232816309","0.355427977325262","0.400414488307355"
"Nie","1994","Ostdeutschland","weiblich","846","0.511465877372054","0.489358708263794","0.533573046480314"
"Taeglich","1995","Westdeutschland","maennlich","4","","",""
"Taeglich","1995","Westdeutschland","weiblich","2","","",""
"Taeglich","1995","Ostdeutschland","maennlich","2","","",""
"Taeglich","1995","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1995","Westdeutschland","maennlich","402","0.0747219358223211","0.067152969587193","0.0822909020574492"
"Min 1x pro Woche","1995","Westdeutschland","weiblich","295","0.050529207879212","0.0444007372120542","0.0566576785463698"
"Min 1x pro Woche","1995","Ostdeutschland","maennlich","127","0.0704338838677121","0.058431792400444","0.0824359753349802"
"Min 1x pro Woche","1995","Ostdeutschland","weiblich","99","0.0347546463659642","0.0265832790471035","0.0429260136848249"
"Min 1x pro Monat","1995","Westdeutschland","maennlich","761","0.157746366360943","0.147253901918689","0.168238830803197"
"Min 1x pro Monat","1995","Westdeutschland","weiblich","688","0.128591172737786","0.119225119586091","0.137957225889481"
"Min 1x pro Monat","1995","Ostdeutschland","maennlich","230","0.115631160726647","0.100631545111258","0.130630776342036"
"Min 1x pro Monat","1995","Ostdeutschland","weiblich","238","0.10574928079815","0.0920297961904647","0.119468765405836"
"Seltener","1995","Westdeutschland","maennlich","1561","0.340491003642189","0.326850212472985","0.354131794811393"
"Seltener","1995","Westdeutschland","weiblich","1615","0.32679730069844","0.313673723911011","0.339920877485869"
"Seltener","1995","Ostdeutschland","maennlich","734","0.376234801248953","0.353511782639961","0.398957819857945"
"Seltener","1995","Ostdeutschland","weiblich","764","0.342316259813164","0.321147678501686","0.363484841124641"
"Nie","1995","Westdeutschland","maennlich","1908","0.425790370142707","0.411556941425581","0.440023798859834"
"Nie","1995","Westdeutschland","weiblich","2307","0.493599927104374","0.479611319586229","0.507588534622519"
"Nie","1995","Ostdeutschland","maennlich","653","0.436787962443293","0.413523272652719","0.460052652233866"
"Nie","1995","Ostdeutschland","weiblich","829","0.517179813022722","0.494886073177154","0.53947355286829"
"Taeglich","1996","Westdeutschland","maennlich","","","",""
"Taeglich","1996","Westdeutschland","weiblich","","","",""
"Taeglich","1996","Ostdeutschland","maennlich","","","",""
"Taeglich","1996","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1996","Westdeutschland","maennlich","525","0.111361229271575","0.102189387430723","0.120533071112426"
"Min 1x pro Woche","1996","Westdeutschland","weiblich","323","0.0629729868349572","0.0560945744863001","0.0698513991836142"
"Min 1x pro Woche","1996","Ostdeutschland","maennlich","171","0.0880564569199899","0.0747834415337689","0.101329472306211"
"Min 1x pro Woche","1996","Ostdeutschland","weiblich","119","0.0447119572825233","0.0354700114173647","0.0539539031476818"
"Min 1x pro Monat","1996","Westdeutschland","maennlich","915","0.201531930024722","0.189836192070116","0.213227667979327"
"Min 1x pro Monat","1996","Westdeutschland","weiblich","811","0.148378972068646","0.138313263021634","0.158444681115658"
"Min 1x pro Monat","1996","Ostdeutschland","maennlich","312","0.174826598011159","0.157036375432889","0.192616820589429"
"Min 1x pro Monat","1996","Ostdeutschland","weiblich","293","0.134622830429028","0.119359599186638","0.149886061671418"
"Seltener","1996","Westdeutschland","maennlich","1723","0.385583692862067","0.371392542016929","0.399774843707205"
"Seltener","1996","Westdeutschland","weiblich","1796","0.368384599781542","0.354725813992391","0.382043385570693"
"Seltener","1996","Ostdeutschland","maennlich","826","0.444697144487468","0.421421477138577","0.467972811836359"
"Seltener","1996","Ostdeutschland","weiblich","853","0.400638826703439","0.378725655632027","0.42255199777485"
"Nie","1996","Westdeutschland","maennlich","1356","0.301523147841637","0.288142927708918","0.314903367974356"
"Nie","1996","Westdeutschland","weiblich","1861","0.420263441314855","0.406286531725824","0.434240350903886"
"Nie","1996","Ostdeutschland","maennlich","442","0.292419800581383","0.271114079270507","0.31372552189226"
"Nie","1996","Ostdeutschland","weiblich","656","0.42002638558501","0.397955141523468","0.442097629646552"
"Taeglich","1997","Westdeutschland","maennlich","","","",""
"Taeglich","1997","Westdeutschland","weiblich","","","",""
"Taeglich","1997","Ostdeutschland","maennlich","","","",""
"Taeglich","1997","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1997","Westdeutschland","maennlich","483","0.100724562212558","0.0918669770026393","0.109582147422476"
"Min 1x pro Woche","1997","Westdeutschland","weiblich","294","0.056553546037269","0.049937864958763","0.0631692271157751"
"Min 1x pro Woche","1997","Ostdeutschland","maennlich","187","0.10565718536311","0.0912052924572818","0.120109078268939"
"Min 1x pro Woche","1997","Ostdeutschland","weiblich","111","0.0494881702625243","0.0396659727299359","0.0593103677951127"
"Min 1x pro Monat","1997","Westdeutschland","maennlich","832","0.182409429405814","0.171043816558457","0.193775042253171"
"Min 1x pro Monat","1997","Westdeutschland","weiblich","789","0.156258691168103","0.145859183980004","0.166658198356202"
"Min 1x pro Monat","1997","Ostdeutschland","maennlich","311","0.15784455276168","0.140703632466005","0.174985473057356"
"Min 1x pro Monat","1997","Ostdeutschland","weiblich","284","0.132446037497056","0.117094674679168","0.147797400314944"
"Seltener","1997","Westdeutschland","maennlich","1706","0.385692983326054","0.371367315199191","0.400018651452917"
"Seltener","1997","Westdeutschland","weiblich","1741","0.365733326577022","0.351938881748246","0.379527771405798"
"Seltener","1997","Ostdeutschland","maennlich","793","0.43627963895006","0.41296452522355","0.459594752676571"
"Seltener","1997","Ostdeutschland","weiblich","800","0.38157463409232","0.35957514485579","0.40357412332885"
"Nie","1997","Westdeutschland","maennlich","1414","0.331173025055574","0.317321880976991","0.345024169134157"
"Nie","1997","Westdeutschland","weiblich","1859","0.421454436217606","0.407311808453916","0.435597063981297"
"Nie","1997","Ostdeutschland","maennlich","447","0.300218622925149","0.278669817011119","0.32176742883918"
"Nie","1997","Ostdeutschland","weiblich","678","0.4364911581481","0.414030768039779","0.45895154825642"
"Taeglich","1998","Westdeutschland","maennlich","1","","",""
"Taeglich","1998","Westdeutschland","weiblich","3","","",""
"Taeglich","1998","Ostdeutschland","maennlich","3","","",""
"Taeglich","1998","Ostdeutschland","weiblich","1","","",""
"Min 1x pro Woche","1998","Westdeutschland","maennlich","321","0.0559789498093054","0.0496096359055759","0.0623482637130348"
"Min 1x pro Woche","1998","Westdeutschland","weiblich","249","0.0434265264617028","0.0379466088486415","0.048906444074764"
"Min 1x pro Woche","1998","Ostdeutschland","maennlich","144","0.0638003449173708","0.052714426359547","0.0748862634751946"
"Min 1x pro Woche","1998","Ostdeutschland","weiblich","100","0.0392326441229849","0.0306896488550099","0.0477756393909598"
"Min 1x pro Monat","1998","Westdeutschland","maennlich","934","0.185815010649231","0.175038171930726","0.196591849367735"
"Min 1x pro Monat","1998","Westdeutschland","weiblich","898","0.157401278151795","0.14760971923815","0.16719283706544"
"Min 1x pro Monat","1998","Ostdeutschland","maennlich","304","0.154030807796954","0.137656724237182","0.170404891356726"
"Min 1x pro Monat","1998","Ostdeutschland","weiblich","296","0.135482118503413","0.12042280283646","0.150541434170367"
"Seltener","1998","Westdeutschland","maennlich","1912","0.381707491229953","0.368247283124493","0.395167699335414"
"Seltener","1998","Westdeutschland","weiblich","1952","0.353681868087487","0.340827021921663","0.36653671425331"
"Seltener","1998","Ostdeutschland","maennlich","797","0.405112732633758","0.382844732488652","0.427380732778864"
"Seltener","1998","Ostdeutschland","weiblich","827","0.377001942852856","0.355676777986438","0.398327107719273"
"Nie","1998","Westdeutschland","maennlich","1836","0.376382895685135","0.362959469182315","0.389806322187956"
"Nie","1998","Westdeutschland","weiblich","2212","0.445163313202163","0.431801063480263","0.458525562924064"
"Nie","1998","Ostdeutschland","maennlich","619","0.373989301322339","0.35204122816787","0.395937374476807"
