year,quintil_oecd_hh,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,1st Quintile,Tenant,Yes,0.04736,46,1272,0.03568,0.05904
1998,1st Quintile,Tenant,No,0.95210,1226,1272,0.94036,0.96384
1998,2nd Quintile,Owner,No,0.93760,499,499,0.91636,0.95885
1998,2nd Quintile,Tenant,Yes,0.04454,40,1051,0.03206,0.05702
1998,2nd Quintile,Tenant,No,0.95209,1011,1051,0.93917,0.96501
1998,3rd Quintile,Owner,No,0.95842,602,602,0.94246,0.97438
1998,3rd Quintile,Tenant,No,0.96977,880,880,0.95845,0.98109
1998,4th Quintile,Owner,No,0.95230,681,681,0.93628,0.96832
1998,4th Quintile,Tenant,No,0.96272,763,763,0.94926,0.97617
1998,5th Quintile,Owner,No,0.96213,780,780,0.94872,0.97553
1998,5th Quintile,Tenant,No,0.98301,484,484,0.97149,0.99454
1999,1st Quintile,Owner,No,0.91614,250,250,0.88171,0.95057
1999,1st Quintile,Tenant,Yes,0.04324,41,1239,0.03191,0.05458
1999,1st Quintile,Tenant,No,0.95676,1198,1239,0.94542,0.96809
1999,2nd Quintile,Owner,No,0.93646,479,479,0.91460,0.95833
1999,2nd Quintile,Tenant,Yes,0.06590,48,1022,0.05069,0.08112
1999,2nd Quintile,Tenant,No,0.93410,974,1022,0.91888,0.94931
1999,3rd Quintile,Owner,No,0.93898,606,606,0.91991,0.95806
1999,3rd Quintile,Tenant,No,0.96261,831,831,0.94970,0.97552
1999,4th Quintile,Owner,No,0.95663,662,662,0.94110,0.97215
1999,4th Quintile,Tenant,No,0.96176,674,674,0.94727,0.97625
1999,5th Quintile,Owner,No,0.97224,745,745,0.96044,0.98405
1999,5th Quintile,Tenant,No,0.97714,461,461,0.96348,0.99080
2000,1st Quintile,Owner,No,0.95323,489,489,0.93450,0.97197
2000,1st Quintile,Tenant,Yes,0.03495,65,2039,0.02698,0.04292
2000,1st Quintile,Tenant,No,0.96505,1974,2039,0.95708,0.97302
