year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1994,18-29 y.,No migration background,2239,0.11701433992129118,0.10865488237686176,0.12537379746572058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,18-29 y.,Direct migration background,507,0.11008445100761635,0.09527382193286857,0.12489508008236413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,18-29 y.,Indirect migration background,384,0.15154413832570654,0.125625400878625,0.17746287577278808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,30-45 y.,No migration background,3372,0.12835394570663963,0.1189128739265805,0.13779501748669878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,30-45 y.,Direct migration background,708,0.10747358457759143,0.09384772810552483,0.12109944104965803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,30-45 y.,Indirect migration background,41,0.09004523537401746,0.04757624393383128,0.13251422681420363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,46-65 y.,No migration background,2887,0.17071667639869637,0.1517494418147159,0.18968391098267684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,46-65 y.,Direct migration background,939,0.11312760707583372,0.09534653005596641,0.13090868409570103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,46-65 y.,Indirect migration background,,,,,,,,,,,,
1994,66 and older,No migration background,1289,0.36318309158362405,0.33555916851789785,0.39080701464935025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,66 and older,Direct migration background,170,0.24373653277092286,0.20058092505004044,0.2868921404918053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,66 and older,Indirect migration background,,,,,,,,,,,,
1995,under 18 y.,No migration background,,,,,,,,,,,,
1995,under 18 y.,Direct migration background,,,,,,,,,,,,
1995,under 18 y.,Indirect migration background,,,,,,,,,,,,
1995,18-29 y.,No migration background,2138,0.15047314038831022,0.13806768300697972,0.16287859776964073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,18-29 y.,Direct migration background,570,0.11164343628403993,0.09745414573933557,0.12583272682874427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,18-29 y.,Indirect migration background,393,0.1236860799686808,0.08099622029886877,0.16637593963849284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,30-45 y.,No migration background,3442,0.12407399611641426,0.11599889131865046,0.13214910091417806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,30-45 y.,Direct migration background,918,0.16200636866143509,0.13548334057479133,0.18852939674807884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,30-45 y.,Indirect migration background,46,0.21628944364085384,0.13070316829459067,0.301875718987117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
