"plh0033","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Keine Sorgen","1988","AkademikerIn","Laendlicher Raum","62","0.56296437435579","0.471911315123257","0.654017433588324"
"Keine Sorgen","1988","AkademikerIn","Staedtischer Raum","309","0.556385272998021","0.516160826783275","0.596609719212768"
"Keine Sorgen","1988","Hauptschule","Laendlicher Raum","432","0.356704794007776","0.330979780637505","0.382429807378047"
"Keine Sorgen","1988","Hauptschule","Staedtischer Raum","1461","0.384817429961399","0.370315205363225","0.399319654559574"
"Keine Sorgen","1988","Realschule","Laendlicher Raum","156","0.424592949944077","0.374632292206452","0.474553607681702"
"Keine Sorgen","1988","Realschule","Staedtischer Raum","550","0.443292246028351","0.416421827527659","0.470162664529044"
"Einige Sorgen","1989","(Fach-)Abitur","Laendlicher Raum","44","0.452022120589134","0.351411107497379","0.55263313368089"
"Einige Sorgen","1989","(Fach-)Abitur","Staedtischer Raum","285","0.425511664161761","0.387560890344439","0.463462437979084"
"Einige Sorgen","1989","(noch) kein Abschluss","Laendlicher Raum","61","0.520957162745886","0.427601658150846","0.614312667340927"
"Einige Sorgen","1989","(noch) kein Abschluss","Staedtischer Raum","325","0.374960966041339","0.340429007172405","0.409492924910273"
"Einige Sorgen","1989","AkademikerIn","Laendlicher Raum","40","0.299928534749415","0.215441717408365","0.384415352090465"
"Einige Sorgen","1989","AkademikerIn","Staedtischer Raum","202","0.3358827064691","0.29721156453462","0.374553848403579"
"Einige Sorgen","1989","Hauptschule","Laendlicher Raum","571","0.440591521238214","0.413025654025579","0.46815738845085"
"Einige Sorgen","1989","Hauptschule","Staedtischer Raum","1867","0.432746613176493","0.417692519273433","0.447800707079553"
"Einige Sorgen","1989","Realschule","Laendlicher Raum","175","0.451012115104113","0.399250311718098","0.502773918490128"
"Einige Sorgen","1989","Realschule","Staedtischer Raum","573","0.440108472059628","0.412882433531233","0.467334510588024"
"Grosse Sorgen","1989","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Grosse Sorgen","1989","(Fach-)Abitur","Staedtischer Raum","99","0.105790553992456","0.0821821099270134","0.129398998057898"
"Grosse Sorgen","1989","(noch) kein Abschluss","Laendlicher Raum","20","","",""
"Grosse Sorgen","1989","(noch) kein Abschluss","Staedtischer Raum","191","0.216347329261742","0.186976771545907","0.245717886977578"
"Grosse Sorgen","1989","AkademikerIn","Laendlicher Raum","8","","",""
"Grosse Sorgen","1989","AkademikerIn","Staedtischer Raum","31","0.0451359603375869","0.0281377619881424","0.0621341586870314"
"Grosse Sorgen","1989","Hauptschule","Laendlicher Raum","227","0.167635242014765","0.146894295346874","0.188376188682655"
"Grosse Sorgen","1989","Hauptschule","Staedtischer Raum","702","0.141582463400813","0.130989846735865","0.152175080065761"
"Grosse Sorgen","1989","Realschule","Laendlicher Raum","35","0.107246359657718","0.0750585807817543","0.139434138533681"
"Grosse Sorgen","1989","Realschule","Staedtischer Raum","107","0.0693363415748237","0.0554038277832416","0.0832688553664058"
"Keine Sorgen","1989","(Fach-)Abitur","Laendlicher Raum","38","0.431408806916401","0.331286987765251","0.531530626067551"
"Keine Sorgen","1989","(Fach-)Abitur","Staedtischer Raum","268","0.468697781845783","0.430394008686096","0.50700155500547"
"Keine Sorgen","1989","(noch) kein Abschluss","Laendlicher Raum","29","","",""
"Keine Sorgen","1989","(noch) kein Abschluss","Staedtischer Raum","239","0.408691704696919","0.373626246961277","0.44375716243256"
"Keine Sorgen","1989","AkademikerIn","Laendlicher Raum","65","0.61643433503123","0.526779824944677","0.706088845117782"
"Keine Sorgen","1989","AkademikerIn","Staedtischer Raum","340","0.618981333193313","0.579218009130418","0.658744657256209"
"Keine Sorgen","1989","Hauptschule","Laendlicher Raum","448","0.391773236747021","0.364668873111612","0.41887760038243"
"Keine Sorgen","1989","Hauptschule","Staedtischer Raum","1592","0.425670923422694","0.410647578864406","0.440694267980982"
"Keine Sorgen","1989","Realschule","Laendlicher Raum","145","0.441741525238169","0.390083750989441","0.493399299486898"
"Keine Sorgen","1989","Realschule","Staedtischer Raum","597","0.490555186365548","0.463136594256899","0.517973778474197"
"Einige Sorgen","1990","(Fach-)Abitur","Laendlicher Raum","92","0.504993039739834","0.43112780096415","0.578858278515519"
"Einige Sorgen","1990","(Fach-)Abitur","Staedtischer Raum","328","0.464858204851879","0.427670125131036","0.502046284572723"
"Einige Sorgen","1990","(noch) kein Abschluss","Laendlicher Raum","73","0.501884098641695","0.421330646996192","0.582437550287197"
"Einige Sorgen","1990","(noch) kein Abschluss","Staedtischer Raum","333","0.415779314357348","0.380075677642803","0.451482951071893"
"Einige Sorgen","1990","AkademikerIn","Laendlicher Raum","415","0.543077513270927","0.505935858961481","0.580219167580374"
"Einige Sorgen","1990","AkademikerIn","Staedtischer Raum","442","0.403915421836618","0.37310002441256","0.434730819260676"
"Einige Sorgen","1990","Hauptschule","Laendlicher Raum","1186","0.477902118189849","0.457821413772276","0.497982822607422"
"Einige Sorgen","1990","Hauptschule","Staedtischer Raum","2014","0.42672165675641","0.412304289959622","0.441139023553197"
"Einige Sorgen","1990","Realschule","Laendlicher Raum","756","0.488488545752099","0.462162957868578","0.51481413363562"
"Einige Sorgen","1990","Realschule","Staedtischer Raum","804","0.420638021956546","0.397541914631908","0.443734129281184"
"Grosse Sorgen","1990","(Fach-)Abitur","Laendlicher Raum","45","0.201299243502144","0.14206063119765","0.260537855806637"
"Grosse Sorgen","1990","(Fach-)Abitur","Staedtischer Raum","97","0.107707781046286","0.0845931928981815","0.130822369194391"
"Grosse Sorgen","1990","(noch) kein Abschluss","Laendlicher Raum","41","0.238682108801274","0.17000528769743","0.307358929905118"
"Grosse Sorgen","1990","(noch) kein Abschluss","Staedtischer Raum","185","0.219219644615586","0.189248955823692","0.24919033340748"
"Grosse Sorgen","1990","AkademikerIn","Laendlicher Raum","147","0.173200094241675","0.144984880891162","0.201415307592189"
"Grosse Sorgen","1990","AkademikerIn","Staedtischer Raum","144","0.100193948451855","0.0813373300146562","0.119050566889053"
"Grosse Sorgen","1990","Hauptschule","Laendlicher Raum","547","0.190591830265512","0.174802291920479","0.206381368610546"
"Grosse Sorgen","1990","Hauptschule","Staedtischer Raum","841","0.152628742899244","0.142145736149435","0.163111749649054"
"Grosse Sorgen","1990","Realschule","Laendlicher Raum","371","0.23196716924242","0.209737840006023","0.254196498478816"
"Grosse Sorgen","1990","Realschule","Staedtischer Raum","267","0.108089491146873","0.0935629604130901","0.122616021880655"
"Keine Sorgen","1990","(Fach-)Abitur","Laendlicher Raum","39","0.293707716758022","0.226419089825698","0.360996343690346"
"Keine Sorgen","1990","(Fach-)Abitur","Staedtischer Raum","266","0.427434014101835","0.390548454280663","0.464319573923007"
"Keine Sorgen","1990","(noch) kein Abschluss","Laendlicher Raum","34","0.259433792557032","0.188816274272223","0.33005131084184"
"Keine Sorgen","1990","(noch) kein Abschluss","Staedtischer Raum","214","0.365001041027065","0.330125086021062","0.399876996033069"
"Keine Sorgen","1990","AkademikerIn","Laendlicher Raum","129","0.283722392487398","0.250110221730473","0.317334563244323"
