year,pgisced97,sampreg,pli0081,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,First Stage of Tertiary Education,West,At least once per month,0.31329991473900837,390,21594,0.31284031271860285,0.3137595167594139
2003,First Stage of Tertiary Education,West,Seldom,0.18716516659118582,235,21594,0.1867786822470015,0.18755165093537013
2003,First Stage of Tertiary Education,East,Daily,0.09309463638715508,40,21594,0.09254773979042238,0.09364153298388778
2003,First Stage of Tertiary Education,East,At least once per week,0.381976459803386,171,21594,0.38106196190024855,0.3828909577065235
2003,First Stage of Tertiary Education,East,At least once per month,0.3531072004197429,156,21594,0.3522076379026284,0.35400676293685746
2003,First Stage of Tertiary Education,East,Seldom,0.17182170338971595,75,21594,0.17111169604998522,0.17253171072944667
2003,Second Stage of Tertiary Education,West,Daily,0.03846087385953513,124,21594,0.038327420660030406,0.038594327059039854
2003,Second Stage of Tertiary Education,West,At least once per week,0.3137090574382781,988,21594,0.3133870591235373,0.3140310557530189
2003,Second Stage of Tertiary Education,West,At least once per month,0.34972849973459863,1072,21594,0.349397560080389,0.35005943938880824
2003,Second Stage of Tertiary Education,West,Seldom,0.2586371276647097,789,21594,0.2583332513948438,0.2589410039345756
2003,Second Stage of Tertiary Education,West,Never,0.03946444130287845,75,21594,0.03932932876890319,0.03959955383685371
2003,Second Stage of Tertiary Education,East,Daily,0.057362424657732676,72,21594,0.057083154950569405,0.05764169436489595
2003,Second Stage of Tertiary Education,East,At least once per week,0.39576391256526994,499,21594,0.3951766137416975,0.3963512113888424
2003,Second Stage of Tertiary Education,East,At least once per month,0.3538343061880789,479,21594,0.35326004479122236,0.3544085675849354
2003,Second Stage of Tertiary Education,East,Seldom,0.19303935658891844,230,21594,0.19256534734253375,0.19351336583530312
2008,Pre-primary Level,West,At least once per week,0.34266763850617304,76,18613,0.3415875410085446,0.3437477360038015
2008,Pre-primary Level,West,At least once per month,0.3861128308579023,103,18613,0.38500484223175646,0.3872208194840482
2008,Pre-primary Level,West,Seldom,0.2712195306359246,74,18613,0.2702077351210316,0.2722313261508176
2008,Pre-primary Level,East,At least once per month,1.0,31,18613,1.0,1.0
2008,Primary Level,West,At least once per week,0.6026092577081008,65,18613,0.6012047831197938,0.6040137322964079
2008,Primary Level,West,At least once per month,0.39739074229189914,32,18613,0.3959862677035921,0.3987952168802062
