,Unnamed: 0,year,quintil_oecd_hh,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
367,367,2020,5th Quintile,Yes,0.91097,3445,19102,0.87274,0.95346
368,368,2020,5th Quintile,No,0.08903,298,19102,0.07742,0.10238
369,369,2021,1st Quintile,Yes,0.66257,1783,11143,0.61283,0.7054
370,370,2021,1st Quintile,No,0.33743,1025,11143,0.30695,0.37212
371,371,2021,2nd Quintile,Yes,0.80157,1653,11143,0.75241,0.84635
372,372,2021,2nd Quintile,No,0.19843,485,11143,0.17831,0.22067
373,373,2021,3rd Quintile,Yes,0.85792,1571,11143,0.80982,0.9079
374,374,2021,3rd Quintile,No,0.14208,305,11143,0.12542,0.16481
375,375,2021,4th Quintile,Yes,0.88458,1676,11143,0.82887,0.93501
376,376,2021,4th Quintile,No,0.11542,234,11143,0.09784,0.13529
377,377,2021,5th Quintile,Yes,0.9205,2226,11143,0.86867,0.9674
378,378,2021,5th Quintile,No,0.0795,185,11143,0.06381,0.09742
